chapter forty-one .	capitol . xli .	0.934615
then heat this cautery in the fire until it is hot and sends out sparks ; and so let it be applied to the hip , the patient lying on his sound side ; and thus three circular cauterizations will be produced at a time .	aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas , e aprop sia pausat sobre la partida del anqua , le malaute colcat sobre le latz sa .	0.9348
afterwards let it be for three days ; then smear with butter and leave the wound open for a while ; then treat with ointment till it heals .	e donc cauteriza aquel am tres cauteris redontz en una veguada .	0.66453
the author of this book says that we very rarely employ this method of cauterization on account of the ugliness and dread appearance of it , and because we find few patients who will endure it .	e aprop layssa aquel per tres jorns ; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias ; e aprop cura aquel am enguentz entro que sia sanat .	0.594295
nevertheless , it is one of the best cauteries for him who can endure it and is correctly treated by it .	diys albucasis : o , filhs , de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu , e per aquo que paucs havem trobatz les quals reguardan sobre lu .	0.483069
cauterization with caustics is thus : make two bowls like the ring into which a door-hinge descends , either of bronze or iron .	mays dels bos cauteris a lu qui les sufferta , et atroba am aquel le loc de lu .	0.545238
the height of their sides should be two thumb-joints or thereabouts , and they should be separated about a finger's breadth ; they should be open above and below , and joined one to another thus .	mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr ; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels .	0.34168
then place them over the capsule of the hip joint , the patient lying upon his sound side , and press down hard ; then pour caustic fluid between the two rings—it should have been heated slightly—and keep it there for the space of one hour by the sand-clock .	e si le spazi le qual es entre quascu la quantitat de la grossitut del dit ; e sian ubertz dejos e desus , e sian que contenguan se entre lor segon aquesta forma :	0.779744
the patient must endure the sting and heat of it ( for he will find it stings like fire ) till the causticity diminishes .	e aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa , e comprem la tua ma sobre la partida de la anqua ; e aprop pren de aygua cauda e fon la entre dos cercles , e la qualiditat de aquela sia am le foc petit a petit , e te aquela per la quantitat de una hora , e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio .	0.975524
then remove your hand with the instrument and wash away the caustic from the whole capsule with pure water .	e aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa .	0.70327
let be for three days and apply butter to it till the eschar comes away ; and let the pus flow from it for a few days , for that will be more conducive to healing .	e aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda , e leyssa aquo per alcus jorns , e correra de lu poyredura ; aquest es derier en juvament .	0.929131
then treat with ointment till it heals .	e aprop cura aquel am enguentz entro que sia sanat .	0.887255
if the pain extends to the hip joint or the leg , make a form in some material that will hold the fluid for that , just as you did for the capsule of the femur .	e si la dolor es extenduda entro la coyssa o la camba , fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment .	1.10625
now this is the description of the caustic ; i have already put it in my treatise on the improvement of drugs : take of the salt of potash and quicklime , equal parts , and beat them both up well and put them into a new earthen pot , in the bottom of which you have made a small hole of a size to take a probe . ~~~ place under that pot another one , glazed .	e aquesta es la manieyra de aygua cauda , e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas .	0.366667
pour enough water on the quicklime and potash to cover them to a finger's breadth after you have pressed them well together with your hand ; and leave the pot until the caustic fluid has passed down into the bottom of the glazed pot .	recipe de alcali e de caus no extinta de amdos ana partida una , e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc , segon la quantitat que intre en lu ray .	0.702818
then collect all that fluid and pour it upon a fresh lot of lime and potash . ~~~ thus will the water be very caustic indeed .	e pausa dejos le fons de la ola autra ola enveyriada , e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit , e pus que tu compremes aquels am la tieua ma per bona compressio , e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada .	0.376333
this is used for many medical procedures and for the cauterization of all members , as it has the very same action as fire itself .	e aprop ajusta tota aquela aygua , e geta la sobre autra caus viva e autre alcali renovelatz , quar aquela lahoras sira de mot forta acuitat , la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres , quar operacio fa de foc .	0.888889
there are other drugs too with which the capsule of the femur is cauterized , such as thapsia and mel anacardinum and inunction of lime with soap .	e so de las medicinas alcunas am las quals es cauterizat ancha , ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz .	1.0029
galen , quoting one of the men of old , mentions a treatment for pain in the thigh and sciatica and he makes much of it , asserting that no other treatment was necessary , and that it would heal on one application , so much so that the patient would be carried into the bath and would go out completely cured .	e gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica , e magnifiquet mot be esser de aquel , e diys que no hac necessitat de autra curacio , e quar es sanat per una veguada ayssi cum recomtec , quar fort leu aquel intrec en banh e eysic ja sa d’aquel .	1.09085
the method is as follows : take fresh green water-cress or new dry water-cress if fresh is not to be had ; beat it up well with some fat and apply it to the hip where it hurts , or to the leg or thigh , and bind up .	et es que sia pres de certarragi vert , e si no es atrobat vert , sia presa figua recent ; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor , o en la coyssa , o en la camba , e sia liat .	0.824055
then let be for three hours or until the patient feels a diminishing of the caustic ; and then let him be taken to the bath .	e sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio .	0.668182
when his body is bedewed with sweat , get him into the pool ; then the pain will vanish and he will be cured . ~~~ if he is not cured repeat the plaster in ten days' time and then he will be healed .	e aprop met aquel en banh e donc quan le cors de lu sia enrozat , entromet aquel en le sol , quar la dolor cessa e es sanat .	0.532836
but you must know that no one should have cauterization with these drugs except after evacuation of the bowel .	e sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors .	0.692427
dioscorides has said that cauterization with goats' dung is beneficial for sciatica . ~~~ the cauterization is carried out in this manner : take wool soaked in old oil and put it into the cleft which is between the thumb and the forearm but nearer to the forearm .	mays ja escorides diysec que quan am fenda de cabra la vena stretica es cauterizada , aprofieyra a lu mo be ; e sia le cauteri am lu segon aquesta manieyra : sia presa lana e sia enbeguda en oli antic , e sia pausat entre le pous del pe e entre le fossil .	0.381371
then take the dried dung of a goat and expose it to fire until it glows like a coal .	e aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo ; e aprop pausa lu sobre la lana e leysa la entro que sia estengida .	0.906397
place it on the piece of wool , and leave till it cools , then replace it with another , and so on until the sensation has reached the hip joint by way of the forearm , and the pain stops .	e aprop itera aquo , e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor .	0.977885
this kind of cautery is called 'the dung cautery' .	et aquesta manieyra de cauteri es apelat cauteri de vaquas .	0.516913
		0.3
