chapter seventy-five .	capitol . lxxv .	0.9
when the foetus comes out by the vertex in the normal manner and yet the delivery is with great difficulty for the woman and you see that her strength is getting exhausted , then make her sit on a seat and have her held firmly , and foment her womb in a decoction of fenugreek and in bland oils .	e aprop comanda a lu , aprop le cristeri , que sia compremuda e fay aquela stornudar am condisi ; e te la boca de lu e·l nas de lu per huna hora , quar le fet sira foro-getat tantost .	0.679015
then the midwife should take between two fingers a little scalpel and make an incision in the foetal membrane or open it with the finger nail , to allow the contained waters to flow out ; and put pressure upon the woman's abdomen until the foetus comes down .	e si las doas mas del fet so foro-getadas al comensament , lahoras cove que tu redusiscas aquelas am fecilitat petit a petit .	0.468462
but if it will not come down then the woman should have an enema of mucilage of fenugreek with oil of sesame .	mays si no obezeys al intrament , lahoras pausa la femna sobre una cezelha e leva les pes de lu sus , e aprop concuceys la cezelha sobre la terra ; e la femna sia tenguda que no caia deves la concussio .	0.678933
then bid her bear down after the enema , and with ptarmica stimulate her to sneeze ; and close her mouth and nose for a while and the foetus will quickly come out .	e si las mas no son dedintz tornadas e morr le fet , lahoras inscideys aquelas e extratz le romament del fet o lia le cors a la ma de lu am drap e extratz aquel am equalitat , quar aquel sira foro-getat .	0.917532
if the hands of the foetus present , you should slowly and gently push them back ; and if they will not go back then place the woman upon a seat , have her feet raised and meanwhile shake the seat ; but the woman should be held lest the shaking cause her to fall off .	de eyssiment del embrio sobre les sieus pes . ~~~ quan le fet yeys sobre les sieus pes , lahoras cove que tu impelliscas aquels en sus , e aprop convertas le fet petit , e aprop que engualhes aquel , e aprop que prenguas un pe de lu e extendas aquels petit a petit .	0.315308
but if the two hands will not go back and the foetus is dead cut them off and draw out the remains .	mays cum son eyssit entro a las coyssas , lahoras tu comanda a lu que se exprema , e fay aquela extornudar am condizi , quar sira foro-getat si deus lo vol .	0.496519
or tie tapes to the hands and pull on them evenly and it will come out .	e si no es foro-getat am aquo que havem recomtat , lahoras tu retorna le fet petit a petit entro que pauses aquel segon figura natural , quar aquel sira lahoras foro-getat am leugier eyssiment .	0.424561
foot presentation : when the foetus presents feet first you should raise them both ; then you should very gently turn the foetus so as to straighten it .	e si es prohibit am tot aquo que havem recomtat , lahoras pren de musellage de altea e de goma dissolvuda , e percuteys tot en le mortier per bona percussio , e aprop linieys am aquo le conh de la femna , el pus bas del ventre de lu .	0.859524
then take one of its feet and stretch it gently .	e aprop fay aquela cezer en aygua tebeza , entro que consegua les ypocondias .	0.8625
when they come down as far as the hips , bid her bear down , make her sneeze with ptarmica , and it will come out .	e cum vezes que las partidas dejos de lu so lenificadas , lahoras fay a lu subfumiguacio de mirta e sub-pausa aquela a lu .	0.728205
but if it will not come out with these means we have described , you should return the foetus gently until you have placed it in the natural position ; then it will come out easily .	e quan te la sub-fumiguacio per una hora , lahoras tu la fay sezer sobre una cezelha , e aprop fay aquela stornudar e extrenh la boca de lu , e levas de aquela , e prem la partida pus bassa del ventre de lu am leugiera compressio , quar le fet sira tantost foro-getat .	1.10859
but if it defies all that we have described , take mucilage of marsh mallow and fenugreek and oil of sesame and dissolved gum , and pound them all well together in the mortar and anoint the woman's pudenda and lower abdomen ; then make her sit down in warm water reaching to the costal margin .	eyssiment del fet sobre les sieus denols e las suas mas . ~~~ quan le fet eyssira segon aquesta forma , lahoras tu engenies en entrometen las suas mas petit a petit ; e aprop la femna stia evessada sobre le sieu col , e les pes de lu pengo en jos , e aquelas sia jasent sobre le lieyt , e complegua las suas mas .	0.213161
and when you see the lower parts are softened , make a suppository of myrrh and let her introduce it ; and when she has had the suppository in for a while make her sneeze , stopping her nose and mouth ; and press gently upon the abdomen ; then will the foetus immediately emerge .	e aprop prem sobre le ventre de lu petit a petit , e aprop extratz aquo que es dejos les pes de lu de las aurelhas entro que sia preparada en la partida pus dejos .	0.483867
presentation of the foetus by knees and hands : when it comes out after this manner you should seek to introduce the hands slowly ; then let the woman lie back on her shoulders with her feet hanging down , reclining on a couch with her hands clasped together ; then very gently put pressure upon the abdomen ; then take away the pillows from under her feet until her lower parts are vertical ; and if the foetus does not come out then , take both her feet and shake them violently ; then press upon her costal margin until the foetus ascends ; then let the midwife insert her hand and put the foetus in the right position , very gently , and bid the woman bear down , until the infant is born .	e si le fet no es fora-getat , lahoras pren les pes de lu e mau aquels am movement vehement , e aprop prem aquo que es sobre les ypocondres petit a petit entro que le fet puege a las partidas desus .	0.152244
presentation by the side with one hand hanging down : attempt to manœuvre the hand back again ; but if you cannot reduce it then make the woman stand up and walk .	e aprop entrometa las suas mas e engualhe le fet petit a petit , e comanda a la femna que se exprema entro que le fet sia foro-getat .	0.729907
but if she cannot walk then have her lie on a couch , and agitate her feet violently .	eyssiment del fet latutidinalment pendent una de las suas mas .	0.466667
then employ the ointment which i described among the mucilages .	sia engeniat en reduccio de la ma de lu , mays si no podes aquela reduzir , lahoras eleva la femna e fe aquela anar .	0.842727
if parturition begins , make her sit upon a seat and attempt the reduction of the hand and version of the foetus to the natural position , and make the woman sneeze and bear down until the child is born .	e si anar no pot , lahoras fay la jazer sobre le lieyt , e concuteys las coyssas de lu am concussio vehement , e aprop aministra liamentz les quals yeu e recomtatz de mucillages .	0.98835
presentation on the back , with hands outstretched and face towards the mother's back : the midwife should take the infant's hand and then turn him very slowly , and gently rectify his position .	e si es vengut le enfantament , lahoras fay aquela sezer sobre cezelha , e aprop studia sobre la reduccio de la ma , e enguala le fet segon figura natural , e fay stornudar la femna e comanda a lu que comprema a si entro que sia foro-getat .	1.15926
then when he is in the correct position apply to the maternal passage the oil and mucilage prescribed .	eyssiment del fet sobre·l col expandudas las suas mas e la fassia de lu es al dos de la sua mayre .	0.723418
then bid the woman move gently and when she has done so make her sit down upon a seat and bid her lean over to her right side ; then bid her bear down , and with ptarmica make her sneeze ; then the foetus will come forth .	cove que la matrona tengua la ma del fet e aprop revolva aquel petit a petit , e eque aquel am facilitat .	0.607353
the foetus presenting laterally , doubled up : when it presents at the os in this manner together with the membrane , open the membrane with your finger nail and let out the waters .	e cum es e quant so es engualhat , e lahoras pausa sobre le conh de lu aquo que havem recomtat de oli e de mucellages .	0.874468
and if it adhere over the infant's face and neck , cut it away from the umbilicus lest he be strangled and die .	e aprop comandas a lu que·s maugua petit a petit , e quan auras feyt aquo , lahoras fay aquela cezer sobre una cezelha e comanda li que sia inclinada sobre le latz dreyt , e aprop comanda a lu que sia compremuda ; e fay aquela stornudar am condizi . ~~~ exitus foetus praeparati super latus .	0.236667
then push the foetus back till it is in the proper position , and bid the woman bear down a few times until the foetus comes forth .	quan deyssen a horrifici de la mayre segon aquesta manieyra , considera , e lahoras tu inscideys la segondina am la tua ungla entro que sia evacuada de la humiditat .	0.832954
the birth of twin or multiple foetuses : you should know that it is a common occurrence for twins to be born alive , and sometimes three or four infants , but this is a rarity ; while five after this manner is altogether unnatural and they never live .	e si le fet es suspendut sobre la cara e·l col de lu , lahoras tu inscideys aquela del embelic , per so que no sia retengut e mora .	0.592184
although they may be more than one , they are enveloped in a single membrane but separated one from the other by a dividing membrane joined to the umbilicus of each one .	e aprop empelleys le fet a las partidas dedintz entro que pauses aquel segon que cove , e manda a la femna que comprema a si alcunas veguadas , e el sira fora-getat am eyssiment leugier , si dieus o vol . ~~~ exitus geminorum aut foetuum multorum .	0.325963
and when they are born they may come in the natural easy manner of a single foetus ; or by any abnormal presentation such as we have described .	sapias que gemels motas veguadas so natz , e alcunas vetz naysso tres o quatre , mays aquo es estranh e tart s’endeve ; mays v so causas foro natura , e no vivo .	0.969231
and if one of them be born with difficulty , presenting in some unnatural manner as described , the treatment is also as described .	e conte aquelas , ja sia que sian montiplicatz , una segondina , e son seperatz per ciphac , distingen aquels enter le liguament en l’ombilic de cascun de aquels e alcunas veguadas so foro-getatz ayssi cum es un fet per eyssiment natural leugier , e so eysitz alcunas veguadas per eyssiment no-lausabla ayssi cum havem recomtat .	1.11785
let the midwife be delicate and do whatever she does gently and calmly , adopting in each case whatever technique it demands that will conduce to a safe result .	e si son dificils alcus de lor deves le enfantament e perveno ad aquo que havem dit de las figuras no-naturals , lahoras tu cura aquels ayssi cum havem recontat .	0.687097
a note on the foetuses that may be formed in the womb and abort .	e si’ la matrona subtil e fassa aquo que fa am facilitat e subtilitat , e am tarditat , e sia ingeniat segon tota figura segon que es a lu preparat de l’engen amenant a salut .	1.28654
sometimes in the womb there may form one or two or three or four or five or six or seven or more than ten .	rememoratio eius quod formatur in matrice ex embrionibus et abortiuntur .	0.45625
and i can vouch that one woman had an abortion of seven foetuses and another woman of fifteen , all of them formed .	alcunas veguadas son formatz en la mayre un , e dos , e tres , e quatre , e . v . ,	0.895161
this is by the decree of the almighty , the wise .	e . vi . , ~~~ e . vii . , ~~~ e mays . x . ,	0.25
and all this should be part of the midwife's knowledge , for one day she may meet such a case and she must deal with it in the proper way .	e ja es deves mi verificat que una femna abortem ne getet . vi . , ~~~ e una autra x totz formatz , la qual causa fo fayta per mensuracio dels glorios savis .	0.217751
	e tot aysso cove que sia en la sciencia de la matrona quar fort leu ad aquela parve semblant de aquo , e donc opause se ad aquo am so que cove .	-0.3
		0.3
