chapter thirty-one .	capitol . xxxi .	0.942857
but if it does not go back thus , you must have ready a sturdy and powerful assistant to extend the leg from below , either with both his hands or with a wrapper bound upon the leg above the knee ; while another assistant pulls from above by putting his hands under the patient's axillae ; then you should bind a soft wrapper upon the root of the thigh , with a third assistant to hold the end of the bandage .	mays , si no retorna en aquesta manieyra , lahoras cove que tu prepares ministre fort e extendas la camba de lu de la partida pus dejos , o am las suas mas , o am liament lo qual es liat sobre la camba desus le denol ; e autre ministre extenda la ma de aquel desus enayssi que meta las suas mas dejos les titillics de lu ; e aprop strenha am liament leon sobre la razit de la coyssa , e tengua autre ministre ters le extremitat del liament .	0.779939
then extension should be made either anteriorly from the direction of the groin to the direction of the clavicle , or posteriorly toward the dorsal spine .	e sia extencio de lu o de la partida dedintz a l’angonar a la partida de la furcula , o de la partida detras a la partida del dos .	0.757074
let them all make their extension simultaneously so the patient is lifted up bodily and remains suspended .	e sia la extencio de totz aquels en una veguada entro que·l malaute sia elevat am le sieu cos de terra e que romangua pendent .	0.734124
this kind of extension is common to all four kinds of dislocation .	e aquesta specia de extencio es specia cominal a totas quatre .	0.975327
if the dislocation goes back by the way we have said , good . ~~~ otherwise , each kind must have the special treatment i shall describe .	e donc si la dislocacio retorna am aquo que havem dit , sira bo ; e sino , lahoras es necessari a tota specia aquo que dire de la propria curacio .	0.391892
when it is an internal dislocation then the special reduction is for the patient to lie upon his sound side ; then apply a wrapper to the root of the hip in the space between the head of the femur and the part below the groin ; then carry the bandage upward from the groin toward the upper part of the body , in the direction of the clavicle .	en la reduccio de lu propria , quan es dislocada , e la dislocacio es a las partidas dedintz , cove que·l malaute sia ressupinat sobre le sieu latz sa ; e aprop pausa les liamentz sobre la razit de la coyssa en aquel loc le qual entre le cap de la coyssa e·l loc que es dejos le langonar ; e aprop exten le liament en sus de la part del angonar a la pus auta partida de la furcula .	0.735334
then another powerful and sturdy assistant is to take hold of his arms while the thick part of the afflicted thigh is clasped and strongly extended outward ; then it will return to its place .	e aprop autre ministre fort prengua les brasses de lu , e amerme le loc gros de la coyssa malaute e extenda a las partidas deforo per extencio vehement , quar aquela retorna en le sieu loc .	0.778694
this kind of treatment is easier than the others for the reduction of this limb .	e aquesta specia es de pus leugiera curacio am la qual aquest membre es reduzit que las autres specias .	1.09728
but if you find it refractory and it does not answer to this method of treatment , then the patient's two feet will have to be bound together with a strong soft bandage round his two ankles and his two knees .	mays si es excusat sobre tu e no obezeys al entrament am aquesta specia de curacio de tot , lahoras cove que sian liatz les dos pes del malaute ensemps am liament fort , leugier , sobre amdos les talos e amdos les denols .	0.910155
the distance from each to the next should be four fingers , and the injured leg should be stretched two fingers beyond the other .	e sia la longitut de quascun de son par la quantitat de quatre ditz , e sia la camba malaute extenduda mays que l’autre per quantitat de dos ditz .	0.843278
then the patient is to reach upward and grasp any beam that may be in the house ; he should be about two cubits from the floor .	e aprop le malaute sia suspendut sobre le cap del fust , e que sia en la mayso ; e sia la longitut de lu de la terra la quantitat de dos brasses .	0.781947
then tell a powerful servant to clasp the head of the hip and another servant to hang from the patient ; and the other servant , the one who is clasping the hip , should thrust powerfully ; then the hip will speedily go back .	e aprop comanda a un jove fort que minuesca le cap de la coyssa , e sia suspendut am le malaute autre jove , e l’autre jove minuent la coysa am fortaleza empellesca , quar la junctura retorna al sieu loc am velocitat .	0.823106
the special method of reduction in the case of an external dislocation : it will be necessary for the patient to be lying on a bench after the manner described for the one with a curvature of the spine ; but wrappers are to be tied only on the injured leg and the chest .	mays en la reducio propria , quan es dislocacio a la partida defora , cove que·l malaute jaga sobre pug segon que havem recomtat en le havent gelbozitat ; e sia strenhut le liament sobre la camba malauta propriament e sobre le pietz de lu .	0.521646
then the two spars are to be set in position , one at his feet and another at his head ; and have an additional spar firmly fixed in the middle of the bench and wrapped in soft cloth so as not to injure the patient ; this spar is to be between his thighs so that he will not be dragged down during extension .	e aprop dos fustz sian pausatz , la un als pes de lu , e l’autre al cap ; e aprop sian pausatz fustz ajustatz al mieg del pueg ficat sobre·l qual draps humitz sian envolopatz , per so que·l malaute no sia dampnajat per que·l fust sia entre las coyssas de lu , per que deves la extencio a las partidas dejos no sia atirat .	0.733067
then each assistant is to pull in his own direction while the doctor sets the hip with his hands .	e aprop quascun ministre extenda a la sua part , e·l metge am la sua ma enguala la reduccio segon l’art .	0.995536
and if it goes back , good .	donc , si obezeys a revercio , sira bo grandament ; e sino , pausa sobre aquela diligentment e ayssi quo havem dit en gelbozitat per aquela engualment .	0.228788
but if not , place the board upon it and put pressure upon it just as we prescribed for curvature , except that the patient will have to lie upon his sound side .	mays cove que·l malaute jagua sobre les sieus latz sa quetament .	0.121678
when it is an anterior dislocation , extension will have to be applied forcefully to the patient's leg , on the bench , exactly as described ; the doctor should place the palm of his right hand upon the injured groin and then apply pressure with the other hand , directing the pressure so as to make extension downward toward the knee .	e quan la dislocacio es a las partidas denant , lahoras cove que la camba sia extenduda leugierament , e es segon aquesta meteyssa narracio sobre pueg ; e le metge pause la palma de la sua ma dreyta sobre·l langonar malaute , e aprop coarte aquel am l’autra ma , e am aquela coartacio pausa aquel extendut a las partidas dejos a la partida del denol .	0.851591
if it is a posterior dislocation the patient must not be raised above the ground and extended downward ; rather must he be placed upon something hard , in the manner that we prescribed for an external displacement of the hip : he is to lie prone on the bench with the bands tied as we said before .	e si la dislocacio es a las partidas detras , lahoras no cove que·l malaute sia extendut a las partidas dejos , e es elevat sobre la terra ; habantz cove que sia pausat sobre causa dura , ayssi cum cove le eyssament si l’ancha de lu es dislocada a las partidas defora , segon aquo que havem dit del jasement de lu sobre dos anchas ; e es sobre la sua cara e les liamentz sian extendutz , segon que havem dit , no ha guayre .	0.529253
it will also be necessary to apply pressure with the board to the site to which the joint has been displaced .	e cove que sia aministrada compressio am taula sobre le loc al qual yeys la junctura .	0.553052
when the proper reduction of the joint is completed—the signs of reduction will be plain to you ; namely , that you extend both the patient's legs , and when you see that both legs are of equal length and the patient can draw up and stretch out the leg without difficulty , then you may know that the limb has gone back as it should—then bring both thighs together , apply the plaster and bind with a sash so that the hip does not move in any direction ; and the patient is to keep perfectly quiet for three or four days .	donc cum la reducio es complida segon que cove — e·l senhal de la reduccio de lu no es amaguat a tu , e es que tu extendas del malaute doas cambas , e quan tu vezes aquelas enguals e le malaute extrenh la sieua camba e expandeys aquela ses excusacio , lahoras sapias que·l membre segon que cove es retornat — e lahoras tu ajusta doas coyssas e pausa empastre e extrenh am benda ayssi que la ancha no sia mauguda en alcuna de las partidas ; e adheresca le malaute a repaus per tres dias o per quatre .	0.756374
then loosen the bandage and the plaster , and compare the leg with the other .	e aprop deslia le liament e l’empastre , e compara la una camba am l’autra .	1.34915
if you see that they are both the same size you may know that the dislocation is cured and you can allow the patient to walk freely .	lahoras , si vezas aquelas enguals en vustament , lahoras sapias que la dislocacio ja es fermada , e adonc layssa le malaute anar .	0.527965
but if you see any slackening then repeat : replaster and rebandage as you did at first , and leave for another three days . ~~~ then unfasten .	e si vezas alcuna causa de mollificacio , lahoras tu retorna e emplastra aquel , e extrenh aquel segon la tua primiera strectura , e layssa aquel en tres dias .	0.38445
he should be cautious about walking on it for some days , until it is thoroughly strong , god willing .	e aprop deslia aquel , e fay aquel tardar en ambulacio sobre quascu per alcus dias , entro que sia confortat .	1.09675
		0.3
