chapter eighty-eight . ~~~ on the treatment of sinuses and the way to irrigate them .	de cura sinuum et qualitate clisterizationis cum medicinis .	0.146429
then you may unbandage it the next day or the third day , and when the wound is unbandaged make a change of dressing and ointment .	mays aquel que es sobre le orrifici del sinu , le qual remauguas en tota hora per so que yesca aquo que es ajust en lu del brac .	0.609664
but if , after a long while , the sinus discharges a thin ichor , do not despair of its closing up , for its healing is near .	e per que sapias si aquo que corr de lu del brac es mot o pauc , o es digest , o es no-digest .	0.649038
for there are some men whose wounds are slow in healing , and some are the opposite .	e am aysso tu considera le loc de aquel sinu , si en lu sent le pacient dolor o no , e si es en lu apostema .	1.0286
if , after many days , undigested pus is discharged you may know that the sinus has not closed .	e cum la tua medicacio es prolonguada en la tal manieyra , e vesas la matiera que es gitada sobre le orrifici del sinu ja adhereys , o se apropria adherencia , lahoras le mayti tu le deslia o le tertz dia , e quan deslias la plagua , lahoras muda le drap per autre e renova le enguent .	0.865934
if the closing of the sinus be delayed and it be a long affair , make the medicines dryer ; let them be medicines that have some humidity in their substance but dryness in their potency , such as palm ointment with the addition of excess of rock-alum .	mays si del sinu aprop lon spazi yeys virus subtil , lahoras no te desperes de la adherencia de li , quar la sanacio de lu se apropria , quar so alcus homes en les quals tarda generacio de carn en las lors plaguas , e de aquels so en les quals es fayt le contrari de lu .	0.526829
a most efficacious treatment is to take palm ointment and dissolve it in oil of roses and sprinkle over it old wine of even consistency .	e si del sinu aprop motz dias es yssit brac indigest , lahoras sapias que·l sinu no adhereys ; e si es tardada la adherencia del sinu e es la causa prolonguada , lahoras tu ajusta en exsiccacio de las medicinas , e si las medicinas so humidas en lor substancia e en la sua vertut , son seccas ayssi cum enguent dyafinicon , quan es en lu ajustada superfluitat de addicio de zegi .	0.451622
then knead together , and use that . ~~~ the same sort of thing may be done with honey if you have no	e le mays derier am le qual es curat , es que prenguas de enguent dyafinicon e sia dissout en oli rozat , e sia sobre lu vojat vi antic engual en la sua substancia , e aprop comfeys aquel am lu , e usa de aquel .	0.43481
palm ointment at hand ; if you heat the honey to a thick consistency and use that ; or take myrrh and aloes and incense of juniper and beat them all up together and sprinkle on the honey while it is heating on the fire , spread on lint and bind over the sinus ; or spread on it honey heated to a thickness , and over that sprinkle powdered aromatic roots , and over these place a dressing that you bandage on .	e ja fa semblant en aquela accio , quan no y a brac , enguent dyafinicon , mel quan es coyt entro que sia engrossat , e usa de lu ; o que prenguas mirra e aloen e enses , e trissa tot e polveriza sobre le mel quan es sus le foc , e aprop lineys aquo sobre drap e strenh aquel sobre le sinu ; e lineys aquel am le mel le qual has cuoyt entro que es engrossat , e polveriza sobre drap e strenh aquel .	0.883601
sometimes also in a case of this sort long birthwort and the root of the blue iris and vetch flour and centaury are usable , either separately or mixed , beaten up together , sifted and scattered into honey as i described ; use them thus .	e alcunas veguadas so administratz am lu aristologia longua e razitz de lili celesti ( e es lili celesti ) e farina de errs e centaurea , e usa de aquels simples o ajustatz , trissa aquels e cribela e polveriza sobre le mel le qual he recomtat ; e husa de lu .	1.02835
but if the sinus be chronic , and it does not heal with this treatment , then you may know that there is corruption at the bottom of it , which has affected the bones or motor nerves or ligaments ; the treatment then is that of fistula as already given .	e si es prolonguat le sinu , e no es sanat per aquesta curacio , lahoras sapias que la corrupcio es en le preon de lu , e ja fa enquisicio en les osses o en les autres membres durs o als liaments ; lahoras tu le cura am curacio fistular , ayssi cum desus es dit .	0.861626
		0.3
