on the treatment of defluxions and fistulae .	de curacio de zuchem e fistula .	0.541667
now you should know that there are a great number of cutting instruments and saws for cutting these bones , varying according to the different sites and arrangements of the bones ; their thickness or thinness ; their greatness or smallness ; their hardness or sponginess ; so you should have ready for every sort of operation an instrument suitable for that operation .	e sapias qual es inscididors e las serras a inscidir aquestz osses son motz segon le situament dels osses , e la preparacio de aquels , e la grosseza de aquels , e la subtilitat e la grandeza e la parvitat de aquels , e la duricia e la lor raritat ; per que cove que tu prepares a tota specia de operacio estrument convenient ad aquela opperacio .	1.2403
you should know too that when you have long experience and knowledge of the branches of this art the operations themselves may well indicate the kind of instrument needed ; for the man who is skilled in the art and has seen various kinds of disease may think out for himself which instrument is suitable for each disease .	e sapias que aquela operacio significa a tu sobre la specia del strument del qual indigeysses ; quan am tu es gran studi e lonc e conoyssensa de las manieyras de aquesta art , e testimoni de manieyras de malautias , quar lahoras ja tu las avias per tu meteys aquo que es convenient a lu dels sturmentz a tota malautia .	0.69305
at the end of this chapter i give you illustrations of a number of instruments as types for you to copy and as a pattern upon which you can base others , god willing :	e yeu so a tu formant en la fi de aquest capitol le nombre dels instrumentz les quals pausaras cum eyssimples am les quals proceziras a la tua prohibicio la qual experimentaras sobre las autras .	0.739552
saw .	forma de serra :	0.76
another saw .	forma de autra serra :	0.875
a small saw .	forma de autra serra :	0.681818
	forma de autra serra gran :	-0.3
a large saw .	forma de ray :	0.872727
scraper ; the head of this scraper should resemble the head of a nail , stellate , engraved like a file .	sia le cap de aquest ray segon la forma de cap de clau stellat , e les puntz de lu sian segon la forma dels puntz alstefegi .	0.902762
what it is suitable for is to scrape the diseased heads of joints , or big broad bones .	e no conveneys sino que am aquel sian confricadatz les caps de las juncturas quan so corrumpudas , o es la boca gran ampla .	0.923239
another scraper , small .	forma de razori major dels autres :	0.690909
broad scraper .	forma de razori menor :	0.921429
firm ( bow ) saw .	forma de razori lat :	0.714286
the upper bow and the blade are made of iron , the handle of box-wood , turned and firmly fixed .	forma de serra autra decentment fayta : sia fayt arc de lu pus sobira e la acuitat de lu de ferr , e le membre de lu de boys punhal descentment fayt .	0.687762
scraper with concavity .	forma de lu :	0.6
another scraper , fine .	forma de razori en la qual ha concavitat :	0.6
scraper .	forma de razori autra subtil :	0.733333
another scraper , with bent extremity .	forma de autra razori de curvada extremitat :	0.630882
small scraper resembling a probe .	forma de rasori petit semblant a tenta :	1.11714
osteotome . ~~~ another osteotome , small .	forma de incisori am le qual so inscidit les osses :	0.470833
another scraper .	forma de inscisori autra minor :	0.825
its extremity is like a probe , and it is handy in many places for scraping bone .	forma de un autra inscissori ; aquest semblant a ray , e la extremitat de lu es cum serra , e es exhibit en motz locs en la razio dels osses :	0.880383
a scraper suitable for perforated bone .	forma de ray lo qual conveneys a rasio de aquel que es perforat dels osses :	0.818571
its extremity is triangular , with sharp edges .	e la extremitat de lu es triangulada e de aguda extremitat .	0.534146
it is made of indian iron , as should be all the scrapers and cutting instruments we have mentioned .	e es fayt de ferr de india , e semblantment cove que totas las causas que havem ditas de rasoris e de inscissoris e de serras .	0.945611
		0.3
