on cupping and the manner of employing it .	de ventozacio e de las qualitatz de uzar de aquelas .	0.833333
but anyone suffering from coldness of the brain or catarrh should beware of using it , for this will cause serious harm .	e no es legut que use de lu aquel que es de frega complecio , o en le qual es catarr , quar dona ad aquel gran nocument .	0.905851
so it should not be employed on old men or on anyone suffering from a cold disease of the head . ~~~ if anyone becomes addicted to it it brings about oblivion .	e per aquo no cove que uso de aquela les vielhs , e en les caps dels quals so malautias frejas .	0.422
you should therefore bid the cupper bring the cupping-vessel a little lower down lest oblivion supervene .	mays ad aquel que sobre aquela es continuant sobre lu es fayta oblivio ; e per aquo cove que tu comandes al ventozador que depause la sua ma un petit am la ventosa a las partidas dejos , temen de la generacio de oblivio .	1.01319
now as to the application of cupping-vessels to the interscapular region : it is instead of venesection of the median and basilic veins ; so it is effective for asthma and dyspnoea and for rupture of the organ of respiration , and for cough and plethora .	mays ventozacio de alkehel es en loc de fleubotomia de la vena fusca e de la basilica : e per aquo confereys a asma , e a la constriccio de ale e a la scissura del sturment de ale , e a tos , e a replecio .	0.89375
the cupping of the interscapular region should be made a little high , for if it is too low it will bring about weakness of the heart and stomach .	e cove que sia enpellida la ventoza alkehel un petit , quar si es pausada dejos , engendra debilitat en le cors e en le stomac .	0.896255
cupping the sides of the neck helps in pains occurring in the head , ophthalmia , migraine , and in quinsy and in pain at the roots of the teeth ; it replaces venesection of the basilic vein .	e la ventozacio de alhagdahan confereys a las dolors accident en le cap e a obtalmia , e emigranea , e prefocacio , e a dolors en las razitz de las dentz ; e es en loc de fleubotomia de la basiliqua .	1.26726
and you should bid the cupper not to scarify very deeply lest he cut an artery and cause haemorrhage .	e cove que comandes al ventozador que no prema la sua ma am scarificacio per que no inscida la arteria e accida fluxs de sanc .	0.803571
the application of cupping under thé chin helps against ulcers in the mouth and corruption of the gums and similar diseases of the mouth ; and may replace venesection of the four labial vessels .	e ventozacio dejos le mento comfereys a alcola en la boca , e a corrupcio de la gingiva , e a semblantz a lor de las malautias que so en la boca , e stan en loc de fleubotomia de aliheric que so en las doas labias .	0.87037
the application of cupping to the shoulders helps in palpitation of the heart arising from plethora and heat .	mays la ventozacio que es fayta sobre las doas spatulas confereys a caphatan , le qual es fayt per replecio de caliditat .	0.574194
the application of cupping to the inside of the forearms helps in place of venesection of the three veins , namely the basilic , median , and cephalic ; for it draws blood from all the capillaries of the flesh . ~~~ these capillaries draw blood from other larger veins till the drawing reaches those three great veins .	e la ventosacio de las doas partidas dedintz dels focils confereys juvament de la fleubotomia de tres venas , so es de la basilica , fusca e cephalica , quar aquela atratz le sanc de totas aquelas venas pus manudas que so en la carn , e aquelas venas menudas de las autras venas pus grossas entro que pervengua la atraccio a las tres venas .	0.240805
you should bid the person who applies the vessels not to scarify deeply ; for the place is bare of flesh and there are tendons and arteries beneath .	e comanda al ventozador que trop no procezesca en scarificacio , quar le loc es denudat de carn , e dejos lu so nervis e arterias .	1.11186
the application of a single cupping-vessel to the coccyx is effective for haemorrhoids of the anus and ulcers of the lower abdomen .	e es una ventoza am la qual es ventozat sobre alshosses e confereys a las emorroydas del cul e a las ulceracios pus dejos .	0.892
you must tell the cupper that the cupping-vessel should be large and of bronze , for the place requires strong suction , and a glass cupping-vessel may break ; and he should scarify deeply .	e cove que comandes al ventozador que sia gran ventoza , e que sia de eram , quar le loc indigeys de fort seccio ; e fort leu so traucadas ventozas subtils e sia scarificat am scarificacio .	1.21082
cupping applied to both legs reduces plethora manifestly , because it draws off blood from the whole body , and so is beneficial for chronic pains in the kidneys and uterus and bladder ; and brings on the menses .	mays ventozas de las cambas minueysso per minuicio manifesta , quar atiran le sanc de tot le cors , e comfereysso a dolors antiquas dels ronhos e de la mayre , e de la vesica ; e provocan las mestruas , e comfereysso a bothor e ademil ; e stan en loc de fleubotomia de doas sophenas , e alahorcoben , e de doas cavilhas .	1.11065
it also serves for pustules and boils ; and takes the place of venesection of the saphenous veins and the heel-veins .	enpero mot debelitan tot le cors e fan accidir sincopi en motz homes .	0.493103
but it greatly exhausts the body and causes fainting in most people .	e de las ventozas alahorcoben le juvament es propda al juvament a las ventozas de doas cambas .	0.619951
the advantage of cupping of the heel-veins is much the same as that of the legs .	e la qualitat de la posicio de las ventozas es que pauses la ventoza al comensament vueda e sucguas per succio temprada , e no prolongues la posicio de las ventozas , mays pausa aquelas leugierament , e reman aquelas coytadament , e que las humors venguan al loc per adveniment engual .	0.698485
the way to apply the cupping-vessels : the vessel is first put in position empty ; then you suck moderately ; do not long hold the cupping-vessel in place , but apply it quickly and remove it quickly so that the humours gather evenly at the place ; and go on doing it time after time until the place is seen to redden and to swell , and the redness of blood is manifested .	e no cesses iterar aquo e continuar entro que veja le loc ja enrojezir e inflar e que appara la rogor del sanc .	0.56
then scarify , and repeat the suction very gently ; then consider the bodily condition .	e lahoras tu scarifiqua e itera la succio pauc a pauc , e aprop considera en la dispozicio dels cors .	1.14587
the person who is tender of flesh and porous of skin you should scarify once only , not more , lest the place ulcerate .	quar aquel home que es de tendra carn de rars pors , cove que tu le scarifiques una veguada e no pus , per que le loc no sia ulcerat .	1.08295
tell him who applies the cupping-vessels to scarify rather widely and deeply , and to control the suction with gentleness and a delicate motion .	e comanda al ventozador que amplifique la scarificacio e pronde un pauc , e atempre la succio am facilitat .	0.907619
if there be a thickness of the blood he should scarify twice ; the first time to make a way out for the thinner blood and serum ; and the second time to complete the extraction of the thick blood .	e si en le sanc es grossitut , lahoras cove que scarifiques doas veguadas , quar en la primieyra veguada es uberta la via de subtiliacio al sanc e a la aquositat de lu .	0.834804
if the blood be very turbid let him scarify a third time for completion .	mays en la segunda a la perscrutacio aquisida de la extraccio del sanc gros .	0.655
in general , one scarification is enough when we wish to draw a little thick blood ; but if we wish to draw much blood we make more scarifications .	e si le sanc es mot feculent , lahoras sia fayta scarificacio la tersa veguada per que consiegua le derier .	0.74096
if we judge that the blood is thick we should scarify deeply .	e derierament , quan volem extrayre le sanc pauc a pauc o un petit , abasta a nos una scarificacio .	0.980672
a fair depth for the scarification is the thickness of the skin , and no more .	e si volem extraccio de mot sanc , scarificam am mota scarificacio ; e si nos conoyssem que·l sanc es gros , lahoras cove que scarifiquem per scarificacio preonda .	0.629167
the oils and water to be used in applying cupping-vessels , and what he who is to be cupped should avoid .	e le terme de scarificacio en la qual es la profunditat de la codena tant solament .	0.55942
he whose skin is thick , solid , desiccated , and narrow of pore : the operator should anoint the place with opening and emollient and resolving oils ; if it be in the summer season , with , for example , oil of yellow gilliflower or of violets or of sweet almonds or of pumpkin-seeds .	e si aquel del qual la codena es grossa , dura , fusca , e les sieus pors so streytz , cove que les locs de las ventosas sian untatz lenitius , apertius resolutius ; si es en temps d’estiu , ayssi cum es oli de aloen o oli de violat , o oli de amellas dossas , o oli de cemensa de coja ; e si es en temps ivern , lahoras oli narci , o oli de liri , o oli de camamilla , o de sanc , e ad aquels semblantz .	0.867219
if it be in winter , with narcissus oil or oil of lilies or camomile oil , or of jasmine , or the like .	e si la superfluitat es grossa , freja , lahoras le oli sia amaranti , o oli de balsamita , o oli de aloen , o oli aneti , e a lor semblantz .	1.11567
and if the superfluity be thick and cold , then with oil of marjoram or oil of wild thyme or oil of ben or oil of dill . ~~~ if he who is to be cupped has wide-open pores and tender flesh , he should be forbidden oil . ~~~ after cupping , such people should wash the sites with rose-water or cold water or water of black nightshade or of gourds or of garden purslain , or the like .	mays si le ventozador es de amples pors de tendra carn , lahoras cove que sia prohibit de oli , e cove que ad aquest les locs de ventozas de lor aprop la ventozacio sian lavatz am ayguaros o am aygua freja de solatrum , o am aygua de coja , o am aygua de bordolaguas , e semblantz ad aquelas .	0.124988
but he whose blood is very humid should wash the sites of his cupping with vinegar or water of myrtle or sumac , and the like .	e aquel del qual le sanc es de mota humiditat , lava las suas ventozas am vi agre , o am aygua de mirt e sumac e semblant ad aquels .	1.15126
he that has thick superfluities should wash the sites of his cupping with old wine or water of purslain or decoction of dill or of camomile or the like .	e de aquel del qual las superfluitatz son grossas , lava las suas ventozas am vi antic , o am aygua de sansuc , que es majorana , o de decoccio de anet , o de camamilla , e a lor semblantz .	0.919819
one should beware of cupping in the bath or just after the bath , but should use the vessels one or two hours after leaving the bath . ~~~ and no one should sleep after cupping .	e cove que la ventozacio sia guardada denant de banh ; habantz cove que sia aministrada aprop issiment del banh per una hora o per doas , e cove que dorma aprop la ventozacio .	0.20584
the correct procedure to be observed before and after cupping by him who is to be cupped or venesected .	quid est quo oportet ut regatur ventosandus aus phlebotomatus ante ventosationem .	0.472436
it is necessary for you first to consider , and if he that is to be cupped or venesected be bilious , and bitterness and inflammation prevail in his blood , he should take cooling things such as pomegranates and endive with vinegar and lettuce and oxymel and julep , and the like .	cove que consideras al comensament : lahoras si le ventozador o aquel que·s deu fleubotomar es coleric e ventz sobre lu sanc agut e imflamacio , lahoras cove que prengua causas infrigidantz , ayssi cum milgranas acetosas , e endivia an vi agre e laytuguas , e secanabin , e julep , e a lor semblantz .	1.15046
his diet should be chicken and mutton made into stews with vinegar , and soups with verjuice , and the like .	e pausa a lor viandas ayssi cum poletz , e carns de auzels serbiges , e viandas conditas am agras , e a lu semblantz .	1.32662
the man of frigid constitution should drink syrup of honey or syrup of quince or spiced oxymel ; he should also take perfumed raisin wine , not too old and not too new ; he should be bidden to be moderate in eating and should make his diet young pullets and larks and sparrows and young pigeons in white stews .	e de aquel del qual la compleccio es freja , cove que prengua en beure eyssarop almiva , o eyssarop de alsecanabin de semensas , e sumac , e vi mot odorant migier entre viel et noel ; e que a lu sia comendat que use de paucitat de beure e de mangar , e pausa las viandas de lu poletz e canabir e pissers e petitz auzels e colombat .	0.915937
and on the day of cupping and venesection he should drink rather than eat .	e cove que en lo dia de ventozacio e de fleubotomia le beure sia major que la vianda .	1.01613
it may sometimes be necessary to have some people drink the great theriac or musk-medicine or shllitha before cupping and before or after venesection , to strengthen the chief parts and to render the blood thin ; but these draughts should not be given to the feverish .	e cove que sia donat en beure en alcunas horas ad alcus homes tyriaca alpharac , o medicamentz de musc , so es muscada , o alcelita denant la ventozacio o denant fleubotomia o aprop , per so que·ls membres principals sian confortatz e que·l sanc sia subtiliat ; e no cove que prenguan aquela scalfatz .	0.696284
cupping without scarification is the cupping practised on the liver , the spleen , the breasts , the belly , the umbilicus , the region of the kidneys and the acetabulum of the femur ; for these parts do not tolerate scarification .	mays las ventozas que so ses scarificacio sian ventozas que so pausadas sus le fetge , e sobre la melsa e podagra , e sobre le umbelic , en les locs dels jonolhs , e la pixida del ancha , quar aquestz membres no suffertan scarificacio sobre si .	0.970823
now the purpose of the vessels is either to draw blood from one part to another , as when we apply cups over the breasts in the case of nose-bleed ; or to loosen from the part a frigid vapour that has become fixed in it , as when we place cupping-vessels on the abdomen and umbilicus ; for they stimulate the part and warm it and remove the pain because they loosen the vapour .	e no es querit per aquelas sino atraccio de sanc de membre , ayssi cum pausam ventosa sobre mamilha en malautia de flux de sanc del sanc de las nars ; e usam de aquela per que sia dissolvuda ventositat freja inviscade del membre , ayssi cum pausam sobre le ventre e l’umbelic ; quar aquela rarifique le membre e scalfa lu e ramau la dolor quar resolveys ventositat .	0.927763
sometimes they are applied over the kidneys when there is an obstruction or stones in them ; for often , by virtue of their drawing , the obstruction is opened up or the stones are dislodged from their site .	e ja es pausada sobre les ronhos quan accideys en lor opilacio o poyra , quar per vertut de atraccio fort leu huobre opilacio e erradica le poyra de son loc .	0.747017
they act in the same way when they are applied over the liver and the spleen when flatus is permeating them .	e semblantment fa quan es pausada sobre le fetge e la melsa deves ventositat en aquels enclausa .	0.901949
these cupping-vessels may be used empty with suction only ; or they may be used with fire . ~~~ sometimes in pleuritic complaints they are applied filled with tepid water .	e aquestas ventozas so administradas vuedas amb succio tant solament ; e alcunas veguadas so administradas am foc .	0.388811
this is done by filling the vessel , which should be large , with plain hot water , or with hot water in which suitable herbs have been boiled .		-0.3
then it is applied to the place , full , and held there , then removed ; and the process repeated as often as is necessary .	e alcunas veguadas so administradas plenas de aygua tebeza en las malautias de la melsa .	0.909882
this is the figure of the cupping-vessel for use with fire .	e aquo es per que la ventoza sia umplida e sia pus gran , so es aygua cauda sola o aygua en la qual sian cuytas herbas ad aquo convenientz .	1.31862
its mouth should be the width of two opened fingers , as we have illustrated ; the depth should be half a span ; and in the side about halfway down there should be a small hole of a size to admit a needle . ~~~ it should be made of chinese bronze or of brass .	forma de ventoza aministrada am foc : sia la amplitud del orrifici de dos ditz , segon que nos la havem formada ; e la quantitat del preon sia la maytat de un palm ; e sia en lo latz de lu , en le loc que es en le circuit , la maytat de lu , le trauc sia petit segon la quantitat que intre en lu una agulha .	0.202526
the edge should be thick , smooth , even , and polished , so as not to injure the part to which it is applied .	sia fayta de eram rog o citri , de grosses marges , leon , enguals e terses per so que no leda le membre deves la sua posicio sobre lu .	1.11992
and in the middle there should be a transverse rod of bronze or iron to carry the lighted lamp .	e sia al mieg de lu vergua transversa de eram o de ferr , on es pausada candela am lo foc .	0.698994
you may make this kind of cupping-vessel in a large size , larger than we have described ; and in a small size too , to suit various ailments and the age of the user .	e ja sia aquesta ventoza gran major de aquela la qual havem recomtat ; e la pauca mendre de aquela segon las malautias e la etat de aquel que usa de aquela .	0.72451
for the cupping-vessels for boys and thin persons differ from those for men and stout persons .	e las ventosas dels efantz e extenuatz so autres que las ventozas dels joves e de grosses corssas .	1.12583
now this is the manner of applying this cupping-vessel with fire to a part of the body . ~~~ you set light to a strongly twisted wick of linen or a small wax candle , and you set it on the middle of the cross-piece in the middle of the vessel so that the flame be directed toward the lower part of the cupping vessel and not burn the patient's body .	e la qualitat de pausar aquesta ventoza am foc sobre le membre es que extenda la meca am foc de lenha decentment denant una pauca candela de cera , e pausa aquela sobre le mieg de la vergua transversa en le mieg loc de la ventoza , per que le foc sia accendut enviro la partida dejos per que no sia comburit le cors del malaute .	0.185922
then the vessel should be placed on the part with the finger kept over the above-mentioned hole ; then when we have held the vessel sufficiently long there the finger is taken away , the vapour will come out through the hole , and the vessel will become loosened at once .	e aprop sia pausada sobre le membre del malaute , e le dit sia sobre le trauc que havem dit , entro que quan tenem las ventozas e non indigem que osten le dit e que yesca la vapor sobre aquel trauc , lahoras la ventoza sira tantost dissolvuda .	1.08373
then light the wick as prescribed and repeat if necessary .	e prop igneys la meca segon la sua manieyra , e itera aquela si indigeyssas de aquela .	1.424
but the cupping-vessel that is used in pleurisy , with water , has no cross-piece nor hole ; it is used by simply filling with water and applying to the part .	mays en ventosa que es aministrada en la malautia de plauressi , am aygua , en la qual no ha vergua transversa ni trauc , e no es aministrada sino que sia umplida de aygua , e es pausada sobre le membre tant solament .	1.10211
this is the figure of it . ~~~ now the larger this cupping-vessel is , to hold much water , the better .	e aquesta es la forma de lu : e aquesta ventoza quant plus es gran , tant es milhor , per que puya recebre gran quantitat de aygua .	0.614177
		0.3
