chapter ninety-five .	de fleubotomia de las venas .	0.975
bleeding from both of these will give relief in cases of chronic catarrh , migraine and chronic foul pustules , and scabs of the head .	e sia la longitut de la inscizio la quantitat de dos ditz ajustatz o entorn de aquo ; e fay yssir del sanc atant quant voles .	0.714741
the method of venesecting these two is as i shall now describe : the patient's head should be shaved and the hinder part , in the region of the two veins , should be strongly chafed with a rough cloth ; then the patient should bind his neck with his turban until the two veins are visible ; their position is behind the ears in the two flattened places of the head ; feel for them with your finger and when you feel their pulsation beneath your finger then mark the place with ink .		-0.3
then take a knife-scalpel , known as a lancet , and insert it beneath the vessel into the skin until the scalpel reaches the bone ; then lifting with your hand both vessel and skin make an incision dividing both skin and vein ; the length of the incision should be about two fingers side by side ; then draw off the quantity of blood you wish .		-0.3
then bind them up with dressings and leave it until healed .	e aprop strenh am pulvils e layssa aquela entro que sia sanada .	1.20508
the incision and cauterization of these two vessels has been discussed earlier in the book .	e ja e precedit en le comensament del libre la inscizio de aquelas e de lor la cauterizacio .	0.997988
the section of the two arteries in the temples gives relief for chronic migraine and severe headache and constant ophthalmia and the flow of acrid superfluities into the eyes .	mays de las doas venas arterias que so als templars le juvament de la fleubotomia es a emigranea antiqua e sode malvada e obtalmia assidua e cors de superfluitatz acutas effusas als huels .	0.862402
now the manner of incising them is as i shall describe : the patient should bind his neck with a sash until the vessels stand out clearly to the eye and their pulsation is manifest under your finger ; then mark with ink .	e la qualitat de fleubotomar aquelas es segon que yeu recomti a tu : constrengua le malaute le sieu col mot entro que apparan las doas venas al sentiment per appericio manifesta e sia demonstrat le pols de lor dejos le tieu dit ; e lahoras tu senha am tenta .	1.24804
then with your forefinger raise the skin over the vessel and introduce a lancet beneath and lift up the vein and divide it as you did the other two ; and draw off as much blood as you need .	e aprop tu eleva la codena desobre la vena a las partidas desus am le tieu dit indic , e intromet le fleubotomi inscident dejos , e eleva la vena en sus ; e inscidey aquela ayssi cum has fayt en las doas venas autras ; e fay correr del sanc segon la quantitat de la tua necessitat .	1.10714
then loosen the band round the patient's neck and put your finger on the vein for a while ; then apply cotton wool and a pad , bandage securely , and leave until it heals .	e aprop deslia la coartacio del malaute , e pausa le tieu dit sobre la vena per una hora , e aprop pausa sobre aquela coto e pulvils e strenh aquela desus am fort constriccio , e layssa aquela entro que sia sanada .	1.68337
they and their incision and extraction have been mentioned earlier in the book .	e ja es precedida la rememoracio de lor , e de aquelas la inscizio , e la atraccio en le comensament del libre .	1.20294
venesection of the vein in the forehead is , after venesection of the cephalic , a relief to chronic diseases of the face such as pustules and scabs and erysipelas .	e donc le juvament de fleubotomia de la vena del front es aprop la fleubotomia de la cephalica a las malautias antiquas de la cara e a emigranea e rogor e ulceracios fetidas .	1.12831
now i shall relate to you the method of cutting : you bind the patient's neck until the vessel stands out ; then you take the instrument called the 'pickaxe' .	e la qualitat de la fleubotomia de lu es segon que yeu recomti a tu ; so es que·l malaute strenha le sieu col am una benda entro que apparesca la vena ; e aprop pren le insturment le qual es nompnat fossori del qual aquesta es la forma de lu :	1.18587
the spike in the head of the instrument you place on the vessel itself and then strike with a comb or some similar thing ; and let the blood flow to the extent you wish ; then loosen the band round the neck and bandage the vein until healed .	pausa la puncta eminent la qual es al cap del fossori sobre aquela vena e percuteys sobre lu am penche o am autre causa en la manieyra de lu , e layssa lo sanc correr segon la quantitat la qual voles ; e aprop deslia la perforacio del malaute e strenh aquela entro que sia sanada .	1.07404
sometimes it is opened with a broad scalpel ; the scalpel , however , should not have a sharp point like other scalpels but should be a little broader at the tip , and the vein is cut obliquely , because the bone is close and the scalpel , if it is too fine , may be broken on it .	e alcunas veguadas es uberta am fleubotomi lat , empero no cove que·l fleubotomi sia de acuta extremitat ayssi cum les autres fleubotomis , abantz sia de lada extremitat , e fleubotoma aquela segon le tranvers , quar le os es propda e fort leu trencaria en lu le fleubotomi quan es subtil .	0.932924
venesection of the two lachrymal veins gives relief in diseases of the eyes such as granular conjunctiva and inflammation and pannus , and in diseases of the face .	mays le juvament de las duas venas que so als lacrimals de dos huels per scabia del huels per rogor e sebol en les huels , e a las malautias de la cara .	0.760331
now this is the method of incising : the patient binds a sash round his throat , then you cut open both veins , standing in front of him .	e la qualitat de la fleubotomia es que·l malaute strenha le col sieu am una benda , e aprop fleubotoma aquelas , e tu sias stant sobre le cap de lu .	1.14642
the incision should be oblique , slightly longitudinal , with a small , rather broad scalpel , for in this place there is no flesh ; so if the knife have too narrow a point it may be broken on the bone .	e sia fayta la fleubotomia segon le transvers a longitut un pauc am fleubotomi pauc , quar en le loc no es carn ; e si le fleubotomi es subtil , fort leu la extremitat de lu es trencada .	1.22505
then let flow what blood you wish , put cotton wool on both , tie for one night , then loosen .	e aprop fay correr del sanc atant quant es a tu necessari , e pausa sobre aquelas coto , e strenh aquelas per una nueyt , e aprop deslia aquelas .	1.69722
venesection of the vein of the nose helps in acute fevers , in violent headache , and in diseases of the face such as the red pustules that arise on the nose , especially if they are chronic .	mays le fleubotomi de la vena del nas es conferent a febre acuta e a soda vehement , e a las malautias de la cara e emigranea e rogor que accideys en la cara , e majorment quan es antiqua .	1.115
this is how you make the incision : the patient binds his neck and then you hold his nose with your left hand and take a long fine scalpel and stick it in the middle of the very lobule of the nose , perpendicularly in the nasal septum ( for the vein is not obvious at that spot ) and blood will immediately flow out .	e la qualitat de la fleubotomia de lu es que·l malaute strenha le sieu col e aprop te le sieu nas am la tua ma sinistra , e pren le fleubotomi subtil lonc e fica aquela en le mieg loc del cap del nas segon rectitut , quar la vena no appar al sentiment aqui , e quar le sanc comensa a fluir tantost .	1.05112
you should advance the scalpel a little and cause the blood to flow as required ; then bandage for one night , for it will quickly heal .	cove que tu ultimes la tua ma am le fleubotomi petit a petit e fassas correr del sanc segon la tua necessitat ; e aprop lia aquela per una nuoyt , quar aquela es restaurada leugierament .	0.913327
venesection of the jugular veins helps tightness of breath and the early stage of elephantiasis , and the melancholic diseases arising on the surface of the skin , such as the black vitiligo and impetigo and malignant ulcers and cancrum oris .	mays le juvament de la fleubotomia de las doas guidegui a constriccio de ale e a comensament de lepra e a motas malautias e inpetige e malas ulceracios corrosivas ayssi cum herpotromeno .	0.827262
now the way to venesect them is for the patient to bind his neck below them both with a band ; let the operator stand behind the patient and let the patient be seated upon a chair .	e la qualitat de la fleubotomia de aquelas es que el malaute strenha dejos quascuna en le sieu col am liament ; e estia le artifexs sobre le cap del malaute , e le malaute sia sezent sobre una sezela .	1.26483
then incise the vein longitudinally with a rather wide opening ; then let a moderate amount of blood , or according to what you think necessary ; then do the same with the other vein .	e aprop fleubotoma la vena al lonc am fleubotomi ample petit a petit ; e aprop extratz de sanc segon temprada quantitat o segon aquo que vezes de necessitat que es ad aquo ; e aprop fay semblant del autra vena .	0.825568
then loosen the band and tie the veins with a moderate pressure lest the patient be suffocated ; leave him until the next day and the wound will be healed .	e aprop deslia le liament e strenh las doas venas am strictura migiera per so que·l malaute no sia prefocat , e laysa entro al mati quar la plagua es sanada .	1.23514
the four veins of the lips : venesection of them is effective , second to section of the cephalic vein , for pustules on the mouth and rotting of the gums and malignant ulcers and fissures of the lips and for malignant ulcer in the nose and round about .	e le juvament de la fleubotomia de las venas algerich , comfereys a petitas apostemas e pustulas de la boca e corrupcio de las gengivas e malas ulceracios e fissuras , e a malas ulceracios que so en le nas e en le circuit de lu .	0.88913
the way to venesect is to seat the patient in front of you and bind a sash round his neck , then roll back his lips and look for the two veins , one of which you will see to the left and the other to the right ; their dark colour will show them up against the lip and also the fact that round them are fine dark veins ; so cut down upon both , dividing them .	e la qualitat de la fleubotomia de aquelas es que fases cezer le malaute denant tu , e strenh le col de lu am una benda , e aprop revolveys las labias de lu e reguarda a doas venas de las quals la una es de la dextra de la labia e la segonda de la senestra ; e la demonstracio de quascuna es per la negror de quascuna de amdos , e aquo mays es quar en le circuit de aquelas so venas menudas negras ; e adonc inscideys cascuna per inscizio inscident .	1.10775
but if you are in doubt about the matter and are not sure what they are , set about incising the largest and most obvious .	mays si dubitacio es dejos tu , e no sabes qual es de aquelas , lahoras tu enten a inscisio de la major de aquelas , e de la pus manifesta de aquelas .	1.01717
do the same with the two veins in the upper lip .	e fay le semblant de las doas venas que so en las labias desus .	0.669231
the two veins under the tongue : their venesection is , after section of the cephalic , of good effect in the quinsy arising in the throat from disease of the uvula , and diseases of the mouth .	mays costuma corr mays a inscidir las doas venas que so en la labia dejos .	0.18081
the way to venesect them is to seat the patient before you in the sunlight and raise his tongue , and look , and you will see beneath the tongue one vein on each side , blackish in colour .	mays de doas venas que so dejos la lengua le juvament es aprop la fleubotomia de la cephalica a prefocacios que so en le guolayro , a la malautia de la uvula , e a malautias de la boca .	0.586602
cut them ; but be careful not to go too far in your incision , for beneath them lie arteries from which there may be haemorrhage .	e la qualitat de fleubotomar aquelas es que segue le malaute entre las tuas mas denant le solel , e eleva la lengua de lu , e reguarda dejos la lengua , de la un latz de lu vena e del autre latz vena , e la color de quascuna es declinant a negror .	1.43571
the three veins that are opened in the elbow are the veins which universal custom has used for bloodletting .	e adonc fleubotoma quascuna ; e guarda te que no ultimes la tua ma en fleubotoman aquelas , quar dejos aquelas so arterias .	0.835165
there are two ways of venesecting these : either by piercing with a broad myrtle-leaf scalpel or a rather fine olivary ; or by cutting with a knife-edged scalpel , the lancet whose figure follows . ~~~ the broad myrtle-leaf scalpel .	e las tuas venas que so fleubotomadas en le coyde so en las quals corr costuma en totz les homes , e la fleubotomia de lor es fayta segon dos manieyras , o pongen am le fleubotomi mirtilat o olivar a subtilitat declinant ; o secsar am fleubotomi cutellar , e apelha si alnessil , e aquesta es la forma de lu :	0.564358
as you see , it should be broad so as to serve for opening hollow , full , outstanding , obvious and thick veins , and those containing turbid blood . ~~~ the olivary scalpel .	e aquest alnessil es que conveneys a seccio e de aquels so specias latz e subtils segon la amplitut de las venas e segon la strictura de aquelas .	0.297479
this scalpel is less broad and finer-pointed .	forma de fleubotomi mirti :	0.6
it is suitable for venesecting fine veins that contain thin jaundiced blood .	sia le latz de lu ayssi cum vezes , e conveneys a obrir las venas concavas plenas procedentz apparentz grossas , e ad aquelas que conteno sanc gros torbat .	0.661039
the lancet .	e aquesta es la forma de fleubotomi olivar :	1.09091
this is the lancet for making a slit . ~~~ there are broad and narrow varieties of it according to the breadth or narrowness of the vein .	e aquest fleubotomi es de menor latitut e de pus subtil extremitat , e conveneys a fleubotomia de venas subtils que conteno sanc subtil citri .	0.474194
this one indicates what the others are like ; it is well known to surgeons .		-0.3
the basilic vein , which is one of these three vessels , helps , when cut , by extracting blood from disorders below the throat and neck , in the parts neighbouring the chest and abdomen .	mays le juvament de la fleubotomia de la vena basilica la qual es una de tres venas : quar extratz le sanc de las malautias que so dejos le guolayro e·l col , e de aquo que siec le pietz e·l ventre .	0.76388
when one venesects it one must be careful and wary of it , for beneath the vein is an artery , so that if one is inaccurate and sticks the scalpel in too far one will cut the artery and cause a haemorrhage ; therefore venesection of it should not be done with a transfixing scalpel but should be an incision with the lancet .	e conveneys al fleubotomador , quan fleubotomia aquela , que guarde be aquela e sia sobre-temor en aquela , quar dejos lu ha arteria , e si erra e ajusta en la punctura del fleubotomi , inscidira aquela arteria e accidira fluxs de sanc , per so que cove que no fleubotomes aquela am fleubotomi pungent , abantz sia sectant cum alnessil .	1.12772
if the basilic vein is not clearly discernible , leave it and turn to another , or look for a branch of it ; or venesect the brachial cord instead , for that is evident ; incise it with the lancet as we have said .	e si no appar la basilica per apparicio manifesta , lahoras cove que tu laysses aquela e que tu mudes a la autre , o que cerques alcun ram sieu ; o que fleubotomes en loc de lu finis del bras , quar aquela es manifesta ; e secsa aquela am fleubotomi alnessil ayssi cum havem dit .	0.906834
but if you wish to open the basilic vein itself you should , before you bandage the arm , palpate the place till the site of pulsation is found ; then mark it with ink ; then bind the arm and cut the vein obliquely with the lancet as we said , and take care that the stroke fall some way from the artery .	mays si tu voles la fleubotomia de lu meteyssa , lahoras cove denant la strictura del bras que toques le loc entro que conogues le loc dels pols , e aprop senha sobre lu am tencha ; e aprop lia le bras e secsa la vena am seccio concava am fleubotomi alnessil ayssi cum havem dit ; e guarda te que caja la percussio per alcu spazi del loc de la arteria .	1.0686
if , when tying the bandage , you see a swelling in the place that you have marked with ink , that swelling is the inflation of the artery , so avoid it .	e quan tu vezes , cum strenhes le liament , imflacio en le loc que has senhat am tencha , lahoras aquela inflacio es inflacio de la arteria , e donc squiva aquela .	0.87541
and if , on section , you see the blood spurt out like a child's urine , and it is clear and red , then you may know that it is arterial blood ; so then be quick and put your finger upon it for a long while ; then remove your finger and if the bleeding stops , as it often will , then bind up the arm and leave it .	e si vezes le sanc fluir en la fleubotomia ayssi cum aurina de enfant , e·l sanc es subtil rog , lahoras sapias que es del sanc de la arteria ; e lahoras tu coyta e pausa le tieu dit sobre aquel per lonc spazi ; e aprop osta le tieu dit , e si lo sanc es abscindit , quar motas veguadas es abscindit , lahoras tu strenh le bras e layssa aquel .	1.07761
caution the patient against neglecting it ; let him be careful and not move it for some days , until it heals .	e guardes le malaute de la moccio de lu , e sia sobre-temor de lu e no maugua aquel per alcus dias entro que sia sanat .	1.15833
but if the bleeding is not stayed but resists your treatment and you have no medicament there at the time , then cut the vessel through if you can see it ; for the two ends will contract and the haemorrhage will stop . ~~~ or else take a pistachio nut shell and split it and take one half and bind it over the site of the haemorrhage with a pad and bandage until next day .	mays si le sanc no es abscindit , e vezes que deves tu no es present medicina ad aquo , lahoras tu inscideys la arteria , si appar a tu ; quar la extremitat de lu es contrayta , e es abscindit le sanc ; o que prenguas scorsa de fistic , e fen aquela , e pren la una maytat e strenh aquela sobre le loc de la vena am strictura descent am liament e am pulvils entro al autra dia .	0.5
the bleeding may stop ; if not , then treat by those means mentioned previously , namely the application of styptic powders .	e lahoras si le sanc es abscindit , bo es ; e sino , lahoras cura aquel am aquo del qual es precedit a la rememoracio del loc de las polveras abscindentz flux de sanc .	0.838462
it is not difficult in most cases to stop the bleeding , because the wound is small and it is easy to bandage the arm . ~~~ so get to know it .	e la abscizio del sanc de lu es dificil en motas disposicios per le loc petit de la plagua e la possibilitat del liament del bras .	0.215147
venesection of the median vein results in drawing off blood from the upper part of the head and the lower part of the body ; this being due to the fact , as we said , that it is composed of a branch of the cephalic and a branch of the basilic veins .	mays de la vena fusca la fleubotomia es juvament que extratz lo sanc de la partida subirana del cap e a la partida dejos del cors ; per aquo quar es composta de ram de la basilica e de ram de cephalica , ayssi cum havem dit .	0.819177
the venesector should be very careful in opening it because there is a nerve beneath ; and if he takes the scalpel too deep and hits that nerve it will cause stupor , the healing of which will be difficult and perhaps even impossible . ~~~ generally this nerve can be felt , but if in some persons it lies hidden and is slender and not discernible , then you should make your venesection an incision with the lancet and diligently avoid the nerve .	e cove al fleubotomant aquela que sia sobre-temor en la fleubotomia de lu , quar dejos aquela es un nervi ; e adonc si ajusta en la punctura del fleubotomi e atroba le nervi , accidira a lu stupor , e es difficil la sanacio de lu , e fort leu no es sanat de tot , e aquest nervi motas veguadas apar al sentiment ; e si es ocultat ad alcus homes e es subtil e no es monstrat , lahoras cove que tu pauses le fleubotomi am le qual tu fleubotomas am seccio de alnessil , e evita le nervi am la tua fortalesa .	0.622665
if the vein lies between two nerves you should cut it longitudinally .	e si la vena es entre dos nervis , lahoras tu fen la vena en la longitut .	0.723399
the cephalic vein : section of it is effective in drawing blood from the head and in diseases of the eyes .	le juvament de la fleubotomia de la vena cephalica es que atratz le sanc del cap e comfereys a las malautias dels huels .	1.04123
particularly in this vein you ought , if you wish to incise it , to make your incision by puncturing with the olivary or the broad myrtle-leaf scalpel , for this is the safest of all veins as there is neither artery nor nerve beneath .	e cove en aquest propriament , si vols que la fleubotomes pungen am fleubotomi olivar o am fleubotomi mirti ; quar es la pus salva de totas las venas , quar no es dejos lu arteria ni nervi .	0.97549
when you are cutting it you have only to avoid with the scalpel the head of the muscle and to look for the soft place .	mays empero conveneys a tu deves la fleubotomia que guardes que am le fleubotomi no punguas le cap del lacert tant solament , e cerques le loc pus leugier , e no notz a lu , si no es atrobat am la percussio primieyra que sia sobre aquela am fleubotomia alcunas veguadas .	0.905263
it will not injure it , if at the first cut you miss the vein , to repeat the incision several times ; except that in some people it will sometimes swell up if the section is not made at the first stroke ; nevertheless that swelling will do him no harm .	mays empero fort leu es apostemat en alcus homes , quan no es fleubotomat en la primieyra percussio , mays no notz en re aquel apostema .	0.591964
the manner of venesection , the accidents that may supervene , and the necessary preliminaries for performing it properly .	mays la qualitat de la fleubotomia de aquela e les accidentz de lu so motz , en les quals te cove cogitar en lor rectificacio .	0.722746
first you should know that venesection may be employed either for the preservation of health or in cases of disease . ~~~ when used for the preservation and maintenance of health and for guarding against the occurrence of disease , the venesection should be in one of the three vessels at the elbow , cephalic , median , or basilic ; and it must be performed at the beginning of spring when the signs of repletion appear .	le primier de lu es del qual cove que sapias que fleubotomia no es aministrada sino en conservacio de sanetat e per speransa de lu e cautela de aveniment de malautias , e que sia fayta fleubotomia en la una de las venas que so en le coyde , so es : cephalica , fusca e basilica ; e que sia fayta fleubotomia al comensament de primaveyra , sobre dejun en primaviera e autunppne , e en invern aprop la comestio , quan apparo significacios de replecio .	0.412792
the venesection should be done on a sunday or tuesday , after three hours of the day have passed .	e sia fayta fleubotomia e le tertz dia o al primier pus que del jorn siran passadas tres horas .	0.863736
on the other hand , venesection administered for diseases has no fixed hour but when need and necessity arise , either by night or by day , at any hour , in any season .	mays fleubotomia que es aministrada , mays quan provoca convenencia e necessitat ad aquo , o de nuoyt o de dia , en tota hora e en tot temps .	1.0163
children should not be venesected until their fourteenth year , nor should you venesect old men of over sixty years .	e cove que efant no sia fleubotomat entro que aja xiiii ans , e femna que sia prenhs no sia fleubotomada sino del quart mes entro al sete , e les viels no sian fleubotomatz les quals ja han passatz . lx .	0.646475
when anyone has decided to be bled , for whatever reason , first of all his bowels must be purged with a gentle enema if they contain much excrement , lest at the venesection putrid superfluities be drawn from the bowels into the veins , that might harm the chief parts of the body .	ans . ~~~ e cum alcu vol esser fleubotomat per qualque manieyra sia , cove que mondifique les sieus budels denant la fleubotomia am clisteri leon , si en aquels ha mota fenda retenguda , per so que las venas no atiro las superfluitatz en la fleubotomia dels budels , que son puridas , e que no noguan als membres principals .	0.169239
no one suffering from indigestion or surfeit or drunkenness should be venesected until recovered from these ; nor a dropsical patient . ~~~ beware also of venesection after stomach-trouble or vomiting or diarrhoea or much intercourse or fatigue or exercise or sleeplessness or fasting and anything else that diminishes the strength both bodily and spiritual .	e no sian fleubotomatz les pascientz naucea sacertiva e crapula , ni evasent de malautia ni de ebretat entro que aquo sia remaugut aquo de lor , ni malaute de ydropici , e mays que fleubotomia sia temuda aprop colica passio e aprop vomit , e aprop cos de ventre , e aprop multiplicacio de coyt e de trebal e de exercici de dejunis o de vigilias e de tota causa que dissolveys la vertut , o sia corpore28 o animal .	0.426374
then , beforehand , see to the refining of the humours , if the blood be thick , by means of food and drink and medicines , if that is practicable for him .	e aprop considera en subtiliacio de humos denant aquo si le sanc es gros , am viandas e beures , e am medicinas si aquo es a lu possible ad aquo .	0.915674
then , if there is no contra-indication , let him enter the bath ; or let him take a little exercise to make the blood thin .	e aprop intre en banh si alcuna causa no prohibeys , o sia excersitat per alcun exercici per so que·l sanc sia subtiliat .	1.02
then perform the venesection in the early part of the day , as we have said .	e pausa la fleubotomia de lu en le pietz del dia , so es enviro la hora de tercia , ayssi cum havem dit .	0.703226
let him endeavour on that day to have his mind free from all such evil spiritual affections as anxiety , anger , or fear ; and from all bodily affections such as excessive fatigue and weariness and intercourse and the like .	e perforsa te que·l pietz de aquel sia guardat en aquel dia de totz mals accidentz animals , ayssi cum es angustia , ira , temor , e de totz accidentz corporals , ayssi cum es trebal e pena superflua e coyt e semblantz a lor .	1.13224
there should also be in the place where he is sitting such things as are customary for men to enjoy , such as various perfumes , aromatics , and music , and the like , as each one may .	e a la sua sezelha fassa esser presentz las causas en le us de la qual corr costuma dels homes am aromaticitat e odorament e am bals e semblantz ad aquels segon la cantitat de possibilitat .	0.915252
then the venesector should sit on a cushion raised above the cushion of him whose vein is to be opened .	e segua le fleubotomador sobre un coyssi que sia pus aut que·l coyssi de aquel que deu esser fleubotomat .	0.717983
then let him stretch out his arm , and let the venesector chafe it two or three times with his hand ; then he should bind a bandage round it by means of thongs twisted two or three times .	e aprop extragua le sieu bras , e fregue aquel am la sua ma le fleubotomador doas o tres veguadas ; e aprop strenha le liament am correia e involva aquel doas veguadas .	1.3001
the ligature should be moderately tight , for any other sort of ligature , be it too tight or too loose , will hinder the flow of blood .	e sia la strictura temprada , quar la strictura quant no es engual , o la strictura es am superfluitat , lahoras prohibeys de fluxs del sanc ; o es am mollificacio , e lahoras prohibeys le cors del sanc eyssament .	0.625455
after putting on the tourniquet the patient about to be venesected should chafe his own hands together until the veins swell up and become obvious .	e aprop la strictura , cove que aquel que deu esser fleubotomat fregue las suas mas ensemps entre lor entro que las venas sian imfladas , e sian declaradas al sentiment .	0.816846
then the venesector should wipe over his knife with a little olive-oil , preferably old . ~~~ then he should place the forefinger of his left hand on the vessel itself below the place where he wishes to cut , lightly , so that the vein does not slip away and elude the stroke ; for there are some veins that you may find like cords slipping away at venesection , while others are filled with flatus and when the knife is applied to them they contract under it and deceive the operator and the knife fails to open the vein or makes only a narrow opening .	e aprop le fleubotomador unte le sieu fleubotomi am un pauc de oli antic propriament ; e aprop pausa le sieu di indic de la ma senestra sobre aquela vena , dejos le loc del qual vol la fleubotomia , per que la vena fuja un pauc , e la percussio sia sessada quar de las venas es la qual atrobas ayssi cum corda fugent deves la fleubotomia , e de aquelas es que es plena de ventositat e quan pauses le fleubotomi sobre aquela es contrayta deves le fleubotomi , e es desceubut le fleubotomador ; e le fleubotomi no uobre la vena , e si uobre , aquela es streyta .	0.406938
wherefore it behoves the venesector to be firm and deliberate in all these cases .	e donc , per aquo cove que·l fleubotomador sia fermat e sia sollicit en totas aquestas causas .	0.819022
then he should apply the knife and if the vein is opened first time , good ; but if not , let him repeat a little lower down or a little above , quickly , if the place does not swell .	e aprop depause le fleubotomi , mays si la vena es huberta en una veguada , lahoras bo es ; e sino , tu itera aquo autra vaguada dejos aquel loc un pauc , o sobre lu am festinacio , si le loc no es apostemat .	1.23508
if it does swell or the patient be anxious , then leave him for a day or two and do not bandage , for that might perhaps provoke an abscess ; nor let him go to the bath .	et si le loc es apostemat , o le malaute se spauresca , lahoras tu le layssa per un dia o per dos , e no strenha le liament , quar fort leu atirara apostema caut , ni no intre en banh .	0.725188
then if he likes , let the venesection be repeated .	e aprop itera la fleubotomia si la ama .	0.809091
if the knife has made an opening but it is small and the flow of blood is feeble and you fear that the amount of blood you require will not come out , then gently insert the knife again straight into the same opening and widen it a little . ~~~ do this speedily before the place swells up ; for in many people the place swells up at once from a small opening .	e si la apercio es petita e corr sanc subtilment , e temes que non yesca sanc la cantitat que voles , lahoras tu itera le fleubotomi en aquel trauc segon rectitut e ajusta en la appercio un pauc , e fay aquo am festinacio denant que·l loc sia apostemat , quar le loc es apostemat en motz homes deves pauca apercio .	0.400323
but if you see it swell up , on no account make another incision for it will be ineffectual ; but apply to it a little lees of oil , for that will facilitate the flow of blood ; it is superior in this situation to the oil itself and to all other unguents .	mays si vezes aquel ja apostemat , lahoras no iteres sobre lu , quar no escusa a tu alcuna causa ; e pausa sobre aquel alcuna partida de la fenda de oli , quar alleuja le cors del sanc .	0.993392
therefore use lees of oil in all cases of venesection when the flow of blood is hindered .	e es milhor en aquest loc que oli e que les autres olis .	0.706667
the great theriac and shakhzanaya both have the same effect , for when the blood is thick it is rendered thin and running .	e semblantment aministra fenda de oli en tota fleubotomia am la qual fleubotomes las venas deves la prohibicio de cors de sanc , e fan aquo tyriaca alfadoc e sagzenea quan es pausat de la una de aquelas sobre le loc , quar le sanc es subtiliat e es revolvut quan es gros .	0.786535
if there occur a big tumour at the site of venesection , as often happens , especially with a man who has not previously undergone venesection or if the opening in the vein be small , then quickly apply to the place a sponge soaked in lukewarm salt and water and bandage it for a while , then it will go down .	e si en le loc de la fleubotomia es engendrat gran apostema , quar motas veguadas accideys , e majorment ad aquel que no es stat sangnat sino aquela veguada , o en la apercio de la vena pauca , e lahoras tu coyta , e pausa sobre le loc sponja infuza en aygua e sal , un pauc scalfada , e strenh aquela per una hora , quar es dissolvut .	1.17014
