chapter sixty-two .	capitol lxii .	0.934615
two pieces of cloth should be taken and sewn together and packed in between with carded wool to this pattern . ~~~ the ends by means of which it is attached should be made of cotton or soft wool and should be drawn tight at the waist of the breeches .	e aprop tu abstergiys le sanc , e entramet en las seccios lana submersa en oli o en oli rozat ; e pausa deforo autra lana la qual tu as submersa en vi e oli , e expandeys aquela sobre dos genetius e·l mirac del ventre ; e pausa desobre draps doblatz e pulvils , e lia aquels desobre am liament le qual es segon aquesta forma :	0.40597
one of the ends you take over the seat toward the back : the second end you take toward the pubes , the two ends round the thighs below , and the remaining two ends over the groin , and the whole is bound up tight with the belt of the breeches . ~~~ this rupture may also be treated by cautery instead of surgery . ~~~ this will mean taking a knife-edged cautery and cutting with it the skin of the testicles ; it should be hot , as we told you before , and used until the white membrane covering the hydrocele be exposed .	e aprop sian preses dos draps e sian humplitz de lana carmenada segon aquesta semblansa ; e sian faytas las extremitatz am les quals es premut de coto o de lana humida , e sian agreguatz am strectura en le braguier de las braguas , e la una de las extremitatz prengua del cul entro al dos , e la segonda prengua a la partida del pantenilh , e dos extramitatz sobre dos coyssas dejos e dos extramitatz autras sobre dos angonars , e tota extrictura sia ajustada en le braguier de las braguas .	0.204525
then take another cautery of this type , which resembles the greek letter tau ; and with it perforate that membrane .	e alcunas veguadas aquesta hernia es medicada artificialment am cauteri en loc de seccio am ferr ; e es que tu prenguas cauteri cutellar subtil e que inscidas am aquel la codena dels ginitius , e es ignit segon que havem recomtat entro que sia descubert le ciphac blanc contenent la aygua , e lahoras tu pren cauteri segon aquesta forma :	0.914119
it should be hot so as to draw out all the humidity .	e es asemblat a letra greca .	0.825
then stretch the membrane with hooks , dissect away the capsule with the cautery and cut it away as best you are able until you have completely removed it .	e aprop perfora am aquel ciphac , e es ignit entro que tota la humiditat sia fora-gitada .	0.71266
but be careful that the heat do not touch the testicle .	e aprop exten le ciphac am uncis , e excorja am uncis , e excorja am cauteri subtil ignit ; e inscideys aquel segon que es a tu possible entro que eradiques tot lu ; e guarda te del huou que·l foc no·l toque .	0.902007
you should know that this operation is safer , further removed from the danger of haemorrhage , and better , than operation by incision .	e sapias que aquesta operacio es pus salva e pus longinqua de flux de sanc , e milhor que operacio am seccio .	1.09073
if , while operating either with the knife or the cautery , you are hindered by an inflammatory swelling or haemorrhage or anything else , you should deal with all of them by suitable treatment in accordance with what has been said before .	mays si a tu fa contrarietat apostema caut en la hora de seccio o en hora de cauteri , o flux de sanc , lahoras cove que tu cures qual contrarietat fa a tu per aquo , am curacio la qual conveneys a lu segon que es dit .	0.787984
if the patient be timid and will not suffer this operation on account of its unpleasantness , then treat by perforation as i shall now describe .	mays si le malaute es pauruc , e no spera la segonda operacio per la sua horribilitat , lahoras administra perforacio segon que yeu recomti aquo ; e es quan es certificat deves tu , per aquo que havem dit de las significacios , que aquela hernia es ayguosa .	1.03929
when by the signs we have mentioned you are certain that the hernia is watery , you should seat the patient on a high chair and pierce the tumour in its lower part with a broad scalpel .	lahoras cove que tu fassas sezer le malaute sobre alcuna cezelha elevada , aprop perfora le apostema en la partida pus bassa de lu am spatum lat , e pausa la perforacio segon la longitut del cos .	0.972308
the perforation should run in the long axis of the body , and it should be an ample opening to let all the fluid run out .	e sia la apercio ampla entro que corro tota l‘aygua .	0.688636
then put cotton on the place and bind it on and leave it so as to soak up the rest of the fluid ; then dress the wound until it heals .	e aprop pausa sobre le loc coto e lia aquel e layssa aquel , per so que corro le romanent de l’aygua . ~~~ e aprop cura aquel entro que la plagua sia sanada .	0.330556
but if the fluid fail to flow out when the opening is made , which would be due to the tunica albuginea's obtruding into the opening and preventing the outlet of the fluid , you should then introduce into the wound a goose-quill or an instrument such as is used for ascites , already described ; or else the opening should be widened a little .	mays si contrarietat es a la egrecio de l’aygua en aquela hora tu perforas aquela : e aquo no es fayt sino per aquo quar le pannicol blanc en le orrifici de la plagua fa contrarietat e prohibeys le eyssiment de l’aygua , lahoras cove que tu metas en la plagua pena o instrument am la qual es extrayta l’aygua dels ydropitz , la forma del qual es precedida ; o ajusta en la opprecio de la plagua un petit .	0.832804
but you should know that after six months or so the fluid may come back and collect again ; when it does so , perforate him in exactly the same manner ; so will the patient prolong his life .	e sapias que l’aygua retorna , e es agueguada aprop vi meses o enaviro aquels ; e cum es agreguada , lahoras sia perforat segon aquela meteyssa manieyra , quar le malaute ayssi passara les sieus dias .	0.891855
		0.3
