Ayssi comensan las paraulas de Albucasim .	Thus we begin with the remedies of Albucazim.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	"Moreover, in the other complexities, it is not about your fear, and especially in the cold and humid gouts, because all doctors have agreed on those, and they do not disagree about the juvenation with cautery in those."
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	"And you know, sons, that the secret of cure by cautery is fire and its goodness, so on cautery I make comburent medicine, because the fire is simple, the action of which does not penetrate except to the member which is cauterized and does not touch another member unless it is a small nuisance."
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"Moreover, the action of comburent medicine penetrates to that in the members which are affected by it, and strongly makes them come into the difficult-to-heal gouty member and strongly assists."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	"Moreover, fire, by its sublime nobility and goodness of substance, does not do anything but overflow; and it is already known to us through experience and long service of studying the art about the truth of causes; and for that I have excused the length of the sermon; and if it were not that I did not read my own book in this pause to you, secretly hidden fire, and the quality of its operation in bodies and of the expulsion by which it expels gouts, a philosophical sermon demonstrated, which would be acute in your own footsteps."
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	"And you know, sons, that they disagree about the time when it is convenient to use cautery and pause at the best time of spring."
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	"And I say that cautery is convenient at all times, because the nuisance from the accidental time is submerged in the juvenation of that which I have with cautery, and especially if cautery is for pains or necessary pains, strong and fast, which do not suffer delay so that it is feared by those who bring malice, which is greater than small nuisance entering at the wrong time."
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	"And you do not see in your footsteps, or, sons, that which is not esteemed except by the common people and foolish doctors, so it is that at that gout which is healed by cautery, it does not return at all times, and they pause at that consequence."
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not so because the doctors do not understand that cautery is only in place of medicine, which alters the complexion and dries out the humors that are the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Perhaps emperor, I will place cauteries superficially on medicine to show the value and truth of its operation and greatness of your wise lordship.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease returns at some point in time, according to the complexion of the patient and the location of the disease, and its truth, and what has been prepared in their body through the addition of superfluous humors, and what has happened to them in acquiring habits and semblances of those causes; unless the disease in which cautery is administered is a subtle disease with few superfluous humors and moisture, thus as cautery for toothache and similar to that, it is possible that in them no pain returns, but rather it is made small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is a common saying that cautery is the last resort of medicine, and it is a desperate remedy, not because they understand it, for they believe that there is no cure that can be achieved through medicine or any other cause that would make them resort to cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cautery is the last resort of medicine is only when they administer the methods of cure in certain diseases, and those medicines do not concur, and thus at the end of the cause they administer cautery, and it is made suitable for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here onwards it is clear that cautery is not the last resort of medicine, but rather according to the intention which understands the simple and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that the ancients believed that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the limitation of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not make a scar, as if it is not absolutely true, because you have already probed and experienced that it does not do so except in certain bodies like the others, and cautery with gold is good and better than with iron, thus as they said; but emperor, when you perform cautery with golden focus, it is not for you to declare, because it depends on the quantity that you want for the rigor of the gold, and prepare to receive heat; and if you adjust over the ignited focus, the gold melts per the focus, and sometimes in the focus some layers are made so that the artisan can occupy themselves with that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is done with iron cautery, we do not push lightly and do not propose immediately the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cautery according to chapters, and I have ordered those of the head within the feet, so that I can clarify what is demanded from them.
De cauteri de dolor de cap per frigiditat e humiditat.	On cautery for headache caused by coldness and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers on the humidity and coldness above the servile accident of which there are two causes, thus it is the cause of swelling and multitude of flux rheumatic, called corrissa, from the head to the divisions of the veins and of the fluent auricles, and multitude of drowsiness, and of toothache and of gout, and universally of all diseases that come from coldness, thus as paralytically, swelling and apoplexy, and similarly in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is this, that primarily it commands the patient to evacuate the medicine in a laxative manner from the mundane head, for three or four nights, according to the truth of the patient and their age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then it commands him to shave his head with a razor, and then makes him sit between his thighs on a warmed-up bench and places his hands over his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then places the razor of his palm on the sole of the foot between the veins of his nose.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Perhaps emperor, as the doctor said in my place, it has happened, thus that place is tender, and then ignite the olive oil cautery, of which this is the form.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then places that on the sensitive spot that is tender, in a manner that descends, in which the doctor's hand is constricted little by little, and you turn it around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lifts his hand lightly and regards the spot, and if you see already from the bone being uncovered some quantity of hair, thus as the quantity of grain of errors, then lifts his hand, and if it does not turn to his hand in that iron, or another of that, if it is frozen, until it is seen from the bone what I have said to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then takes a little salt and dissolves it over the spot and leaves it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then places it on the bent edge of the box and leaves it on top until the crust of the focus is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cures the spot with four-part angelic water until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the Roman plague breaks out, so much better gets the scar, because it is better and more jovial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They should remove some of those that are to be cauterized from the code inward into the bone, and hold the cautery inward so that it is burned in some part of the bone's thickness.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then return to what has been adjusted on the bone, and then take care.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They should also push the cautery through to the back, until it penetrates into the bone strongly, so that the bone breaks, and this is the way to release small fractures:
E estiman de aquel loc expiran la vapors del cap.	They estimate at that place where the vapors of the head expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And hold the open wound for a long time, and then take care until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two special kinds of cauteries in everything, except in some homes according to the way of fear; and therefore, you must, my better health is there, when it is; because the head is developed by solution of continuity of the same as we have testified in other members, and mainly when the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the kind of cautery first mentioned is more salvaged and better for me; and from that house and in that work I am healthy.
Capitol segon.	Following chapter.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the entire head aches with chronic and long pain and it is in prolonged illness, and uses remedies of poultices and of bandages and of cupping glasses and of plasters and of ointments and of catheters and of similar things, and mainly if it has been cauterized by a cautery which recounts and does not alleviate any of those causes, then consider that the head of the patient is of strong creation in its nature; and it is not frail and troublesome with great cold, then that cautery is another cautery besides the one mentioned.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauteries that one on the horn of the dry head with a cautery inward so that the code is parted.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the code and discover the quantity of bone which we have recounted and cautery that one with a cautery in the back part of the head at the place which is called "vas" — and it is that place where the windy pause is made.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand in that way, and do not discover the bone, because the patient suffers so much great diverse pain from the pain of all the other cauteries of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will direct this cautery to its place, because it is necessary that the cautery which is being cauterized on the horns of the head and the occiput is more subtly cauterized than that which is cauterized in the middle of the head; and this is the way of it.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-ancient migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain dwells in the head's partition, or it is stagnant pain inward to the fontanel, then evacuate with medicines that moderate the head, and then administer another cure, which you have stated in the devotions of illnesses; and if not alleviated, then cautery is in two ways: either cautery with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	One cautery with acute burning medicine is that you take a handful of salt, and scrape it off and bind the extremities of the hand with both hands on the heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the place of pain in the temple with a sharp lancet inward so that it is in the same location behind the code, so that it is concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen over it with a stopped constriction, and leave that for three hours' space; and then remove the dressing and treat the wound, and leave the wound open for two or three days, and then pause on the submerged joint in a bandage until the place forms a crust.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that one with a poultice inward so that it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want, make those some burning medicines which I have written about in the twelve treatises of burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	One cautery with iron is according to this way: ignite for cautering which this is the form.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is thus formed like a nail in which there is some curvature, and in the middle place of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause on the place of pain, and hold your hand — so that the acidity which is beneath is not burned — and turn the small iron little by little with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it which is burned by the thickness of the code is thus as much as its greatness, and hold your hand so that the artery is not burned which is beneath, so that no flux of blood comes.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then embibe the joint in salt water and pause that on the place, and leave that for three days; and then pause the joint wrapped in a bandage, and then cure with a poultice inward so that it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you want, cautery the extremity of the cutaneous according to cautery, and beware of incision of artery in this non-ancient migraine specifically.
Capitol quart.	Fourth chapter.
De cauterizacio d’emigranea antiqua.	On the cauterization of old migrating humors.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migrating humors in the way that we have spoken of before, and as we have divided into types of illnesses, and do not hasten the treatment, and sometimes because of the illness that does not respond to what we have said about the first cauterization or fire in medicine, then it is necessary to ignite the cauterizing iron until it whitens, since it indicates on the line of the long axis of the part where the pain is, or thus; and pause your hand for a while and strengthen it before you pierce the artery and penetrate to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to take care of the continuity of the jawbone, which is weakened by chewing, and that the tendon is not injured and the nerves are not affected, so that no spasms occur.
