Ayssi comensan las paraulas de Albucasim .	The words of Albuquisim begin here.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But meanwhile corruption had already been confirmed in the member, so that it could not be restrained, and the corruption did not cease to spread through the member until the patient was in mortal danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And you saw another doctor who pierced a cancerous abscess and allowed it to ulcerate about three days later, until the great majesty of the disease overpowered his lordship.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which is because the melancholic humor is pure in the cancerous person, whereas it does not need to be brought forth by iron, but rather to be present in a member that suffers from being completely possessed.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation done by me be divided into two parts: one is in the operation which is associated with health, and the other is in the work where there is danger to the greater dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed in this place throughout this book where the operation is one of error and fear; therefore it is necessary for you to keep this in mind and avoid that, so that foolish people do not get in the way of speaking and dishonestly besmirching your reputation.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take up your own arms with solicitude and the protection of God, and your patients with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method through the grace of God to achieve salvation and glorious success, and overcome terrifying illnesses that are difficult to heal, and stand your ground with these arms that make you afraid, so that your position in your faith and in your name does not fail: for it is more remaining to your glory, and even more in this world and in the end to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galen has said so in some of his own monodies:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"'Do not heal bad illnesses, lest you be called a bad doctor'".
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and the first part of the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter, orderly arranged from head to foot, in the forms of instruments and iron tools for cauterization, and of what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on dryness and perforation, and on cupping glasses, wounds, and extraction of splinters and similar things, all chaptered and ordered in the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on curing of twists and similar things; chapter ordered from head to foot, and of the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and sharp medicine, and recalling of the operation.
Am aquel comensa le tractat de tot le libre.	In that begins the treatise of this entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	You must say what quality the joints of that cautery have, and what are its defects, and in what condition it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the joint of cautery and its defects is a long and prolix one, subtle in science, and hidden in secret; and many wise men have spoken about it, and they have disagreed among themselves, and to me it seems sufficient to present a small part of their sermons, fearing prolivity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery is suitable for all general conditions universally, which are in matter or of matter, except two conditions, which are hot humoral conditions.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the hot and dry condition with matter, it dries out; for some say that cautery is beneficial for this, while others say the opposite, that cautery is not suitable in a disease which is due to quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that a hot and dry disease, with water that is hot and dry, should be cured.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And say that which says the opposite of this, that through cautery, the joint is made in all hot and dry diseases that are found in the bodies of men, for when you compare the body of man and its humors to the condition of fire, you find the body of man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the sermon of that, that this experiment has already been discovered to me on several occasions.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But it is not necessary that this come to light again about what has already been experimented and exercised in the chapter of cautery, and to understand the diversity of human conditions and the disposition of diseases in their respective members, and the causes of those, and the accidents of theirs, and the space of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other conditions, there is no fear for you, and most especially in cold and humid diseases, for all doctors have agreed on those, and are not discordant about the joint of cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that from the secret of healing through cautery with fire and its goodness, it is clear that those who use cautery with medicine are in error, for fire is simple, and its action only reaches the member being cauterized, not affecting another member connected to it except with slight harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine combined reaches that member which is distant from it, and easily brings disease to a difficult-to-cure member, and easily causes harm.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, because of its subtlety and the goodness of its substance, does not do this except that it superfluously adds. And already we have known through experiment and long service in studying the art, on the truth of causes; and therefore I am excused from the length of the sermon. But if it were not for the fact that it is not read in a better book in this pause, to you, a secret hidden in fire, and the quality of the operation of it in bodies, and its expulsion by which it expels diseases, with a philosophical demonstration, which would be suitable for your souls.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they disagree on the time in which it is convenient to do cautery and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at any time, for the damage caused by the accidental time is submerged in the joint of this which is attracted to the cautery, and most especially if the cautery is for pains or necessary pains, strong and violent, which do not suffer delay because it is feared of those who come with malice, that is greater than a small harm entering through the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it is not considered in your souls, or, sons, that this is not esteemed by anyone but the common people and foolish doctors, so that to that disease which is cured by cautery, there is no reduction at any time, and they pause at the consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not thus as they say for that reason, because cautery is nothing but in a place of medicine which alters the condition and dries up the humors which are the cause why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But in any case, cautery is excessive over medicine because of the desire for its virtue and worthiness of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his disease will return at some hour of time, according to the condition of the patient and the location of his disease, and the virtue of it, and what is prepared in the body of him from the aggregation of superfluities in him, and what is obtained by him in his acquisition through foods and similar causes; except that the disease which is administered with cautery is a subtle disease in a few superfluities and humors, just like the cautery of the tooth for pain and similar to that, it is possible that in him the pain will not return, but rather it will be reduced in smallness.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And besides, the common saying is that cautery is the last resort of medicine, and it's a dreadful remedy, not to what they understand in it, because I believe that there is no cure that benefits by medicine or any other cause, approaching to cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and I understand that cautery is the last resort of medicine not at all when we administer the methods of healing in some diseases, and those medicines do not concur, and it approaches the end of the cause, then one administers cautery, and profits from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And hours ago I said that cautery is the last resort of medicine, not according to the understanding which I understand, and which the common people and foolish doctors also understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that cautery with gold is better than cautery with iron, and they did not say this except by the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not make a difference, just as it is not absolutely true, for I have already proven and demonstrated that it does not do this except in some bodies or others, and cautery with gold is good and better than with iron just as they say; but however, when you do cautery with fire on gold, it is not declared to you, because it depends on the quantity that you want by the hardness of the gold, and because it prepares to receive heat; and if you adjust it above it, ignition occurs, and case some layers form so that the craftsman can see through the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore, it is made to do cautery with iron in a way that is lighter and more proper for the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have arranged this chapter on cautery according to chapters, and I have arranged those from head to foot, so that the one seeking it may easily find what they want.
De cauteri de dolor de cap per frigiditat e humiditat.	On Caustics for Headaches caused by Coldness and Humidity.
Le capitol primier.	The First Chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization brings relief to the humidity and coldness on the service of the accident of which there are two causes: one cause is soda and multiplicity of fluxes, called corissa, from the head to the partitions of the eyes and ears that flow, and multiplicity of sleepiness, and toothache and gout, and universally all disease that comes through coldness, just as paralysis, stroke, and apoplexy, and similar diseases in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, I command the patient to be purged with laxative medicine in the head, for three or four nights, according to what the virtue of the patient and their age and habit requires.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then I command him to shave his head with a razor, and then make that section sit between his own hands on a covered bench, and have him rest his hands on the stones.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the razor's stroke at the tip of your thumb, right above the nostrils between his own eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But when the above said location is reached, mark that location with a tent, and then light the cautery olive of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then pause that [cautery] on the marked location with the tent, in such a way that it descends gradually, as your hand is constrained little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand slightly and look at the location, and if you see that some part of the skull has been uncovered, just like the amount of grain of errors, then lift your hand, and if it does not return to that iron [cautery], use another one, if it is chilled, until what I have told you is seen by the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the location and let it stay for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then pause over it, covered with a cloth in the border and let it stay until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the location with four-part medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the wound remains open, so much the better, it gets the balm, because it is more suitable and beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them said that the tongue should be cauterized inside the bone, and kept there until some part of the specificity of the bone is absorbed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then it should be removed from that which has been absorbed by the bone, and then it should be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cautery, it should be brought to the end, until it presses strongly on the bone, until the bone cracks, and this is the form of little alfalfa:
E estiman de aquel loc expiran la vapors del cap.	and they think that from that location, the vapors of the head will be released.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the open wound should be kept for a long time, and then it should be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But to me, it is not seen in these two species of cautery from all, except in some men according to the way of fear; and leaving that, I must say that it is better for health when it is so, because the head is revealed by the solution of continuity like we have testified in other members, and especially when the patient's head is of fierce nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cautery is more saved and better, it seems to me; and with that house and that work, there is health.
Capitol segon.	Second Chapter.
Del cauteri del cap.	On Caustics for the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and long-lasting pain occurs throughout the head in a patient who is prolonged in his malady, and uses of wars, warts, capillaries, poultices, emplasters, goutzes, cadels, and gualinas, and especially if it has already been cauterized with one cautery which relents and does not benefit the patient at all, then consider whether the head of the patient is of strong creation in his nature; and if it is not fierce and does not find great cold, then that other cauterizes another cauter, leaving a little bit.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize it on the crown of the patient's head with another cautery until the tongue is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tongue and uncover the quantity of bone which we have recounted, and cauterize it with one cautery in the back part of the head at the location called "vas", -- and that is the location where a ventose is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand away from there, and do not uncover the bone, because the patient by this will feel a great pain different from the pain of all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery is in its place, because it needs the cautery with which you cauterize the crown of the head and the occiput is more subtle than that with which the middle part of the head is cauterized; and this is its form.
Capitol ters.	Third Chapter.
De cauterisacio de emigranea no-antiqua.	On Caustics for Migraine Not of Ancient Origin.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the patient has a headache in the back of the head, or it spreads to the eye, first purify the head with laxative medicines, and then administer the other cure which I have said in the divisions of diseases; and if none of these helps, then cauterization is done in two ways: either cauterization with acute medicine combined, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But the cauterization with combined medicine is when you take a small amount of aloes, and extract it and cut off the extremities of both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then cut the location of the pain in the temple with a well-sharpened knife until a small opening is made, leaving the tongue to be hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen it with a stopper pressed down by gradual constriction, and leave it for the space of three hours; and then remove the bandage and treat the aloes, and let the wound stay for two or three days, and then pause over it covered with a cloth until the location makes an opening.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that with four-part medicine until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some combined medicines which I have written in the two treatises on combined medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cauterization with iron, according to this method: ignite for the purpose of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and is called "claw of nails", because the head of it is like a form of claw in which there is some curvature, and in the middle part of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause on the location of the pain, and hold your hand - so that the iron is not absorbed into the bone which remains - and slowly turn the small iron with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of bone that is absorbed by the specificity of the tongue is like the majority of bone, and raise your hand for this reason, so that the artery which remains is not absorbed, so that there may not be a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the cloth in saltwater and pause it on the location, and leave it for three days; and then remove the cloth with a border, and cure with four-part medicine until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize at the tip of the knife according to the caustic, and be careful not to cut into the artery in this non-ancient migrainous pain.
Capitol quart.	Fourth Chapter.
De cauterizacio d’emigranea antiqua.	On Caustics for Ancient Migraine.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure migraine with what we have said about the previous cure and what we have said in the divisions of diseases, and if the cure does not work and the disease is so severe that it does not reach the amount we have said for the first cauterization with medicine or the cauterization with fire, then it is necessary to ignite the knife cauter until it is whitened, since you signify on the location of the pain with a line of length which is the majority of the finger, or what is that; and pause your hand for a moment and strengthen that until you cut into the artery and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful about the continuity of the jawbone, which is damaged by mastication, and that the ligament not be absorbed and the nerves that are affected by it, so that there is no spasming.
