Ayssi comensan las paraulas de Albucasim .	Thus begin the remedies of Albucazim.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his illness returns at some hour of time, according to the complexion of the patient and the location of his illness, and his virtue, and what is prepared in his body from the aggregation of excesses in him, and what has happened to him in his acquisition of vices and semblances of those causes; but that the illness on which cautery is administered is a subtle illness in a member with few excesses and humors, thus as cautery of tooth for pain and semblance to that, it is possible that in him there does not return that pain, rather what happens in a small way.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common saying is that cautery is the last resort of medicine, and it is a desperate remedy, not because they understand it, for they believe that it is not a cure that profits from medicine or another cause that profits from cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cautery is the last resort of medicine is not but when they administer the manifold ways of cure in certain illnesses, and those medicines do not confer, and then at the end of the cause they administer thus cautery, and it profits from that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And henceforth I will say that cautery is not the last resort of medicine, not according to the intention which the common people and foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not make a scar, as if it were not absolutely virtuous, because you have already tried it and experienced that it does not do so except in certain bodies, and cautery with gold is good and better than with iron, thus as they said; but when you perform cautery with a focus of gold, it is not for you to declare, because it is ignited according to the quantity that you want for the rigor of the gold, and prepares to receive fire; and if you adjust it over the ignition, the gold melts from the focus, and sometimes in the focus certain layers are formed so that the artisan can occupy himself with that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, it is done to burn with iron instead of gold, we put it more lightly and more proximally to the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have now ordered this chapter on cautery according to chapters, and I have ordered those of the head within the feet, so that I may give to the demanding one what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On the cautery of headache due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers on the humidity and coldness above the servile accident of which there are two causes, so it is cause of swelling and multitude of flux rheumatic, called corrissa, from the head to the parts of the veins and arteries flowing, and multitude of drowsiness, and of toothache and of gout, and universally of all illness that comes from coldness, thus as paralytically, swelling and apoplexy, and semblance in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is this, that primarily it commands the patient to evacuate with medicine laxative the whole head, for three or four nights, according to the virtue of the patient and his age and his custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then it commands him to shave his head with a razor, and then to sit between his thighs on a curved bench and to place his hands on his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then he places the razor of his palm then he puts it on the razor of the nose between his eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Maybe emperor, as the finger said of my own place is happened, it signifies that place with a probe, and then ignites the olive wood cautery of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then he places it on the sensitive place with a probe, in a way that descends, at which the finger of the hand is constricted little by little, and you turn it around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then he lifts his hand lightly and regards the place, and if you see already of the bone being discovered some quantity of the head, thus as the quantity of grain of errors, then he lifts his hand, and if it does not turn his hand to that iron, another of that, if it is frozen, until it is seen by the bone what I have said to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the place and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then he places it on the burned area in a bandage and leaves it there until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then he cures the place with four-drug ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And I said that when the Roman plague spreads, it is better to take the arm, because it is more helpful and brings greater joy.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	I instructed that some of those who need to be cauterized on the back of the bone, and hold the cautery inside until it reaches a certain part of the vertebrae.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then return to the water that is adjusted to the bone, and then be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	I instructed others that I would apply the cautery to the back, until it penetrates into the bone with strong impression until the bone breaks, and this is the method of healing small fractures.
E estiman de aquel loc expiran la vapors del cap.	And I estimate that from that place, the vapors of the head are expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it has been held by the spreading plague for a long time, and then be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two species of cauteries at all, except in some homes according to the way of fear; and therefore, you must, better is my health, when it is; because the head is developed by solution of continuity of the aforementioned thus we have testified in the other members, and especially since the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cauteries is most safe and better for me; and from that house and I do that work, I am healthy.
Capitol segon.	It follows accordingly.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the entire head is afflicted with chronic and long pain and it is in prolonged illness, and uses remedies of poultices and bandages and head-wraps and plasters and ointments and catheters and girdles, and especially if already cauterized by a cautery that I recount and does not apply to any of those causes, then consider that the patient's head is of strong creation in its nature; and it is not fragile and atrophied with great fear, then that cauterying is another cautery beneath that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauteries are applied above the horn of the dry head with cauteries until the bone is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and discover the quantity of the os that we have recounted and cauteries, and apply it to a cautery in the back part of the head at the place called "vas" - and it is that place where the wind is paused.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand in that way, and do not discover the bone, because the patient feels great diverse pain from the pain of all the other cauteries of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I said that this cautery is in its place, because it is clear that the cautery is the one that cauteries the horns of the head and the occiput is a more subtle cautery than the one that is cauterized in the middle of the head; and this is the method of it.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-ancient migration.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain dwells in the head's partition, or it is extended to the vein, then evacuate with mondifying medicines, and administer another cure, which I have dictated in the devotions of illnesses; and all does not apply, then cautery is in two ways: either cautery with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Better cautery with burning medicine is that you take a handful of alum, and scrape it off and bind the extremities of it to both ends of the heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the place of pain in the temple with a sharp lancet until it is in the soft place beneath the bone, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen it above the place where it is stopped by constant constriction, and let it be there for three hours; and then remove it and pull out the alum, and let the plague pass for two or three days, and then pause on the submerged coto in a bandage until the place forms a crust.
E aprop cura aquel am enguent entro que sia sanat.	And then cure it with an ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want, I will give you some burning medicines which I have written about in the second treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Better cautery with iron is according to this manner: ignite for cautery of which this is the method.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is thus formed like a claw in which there is some curvature, and in the middle place of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause on the place of pain, and hold your hand — so that the artery which is beneath is not injured — and turn the small iron little by little with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is injured by the vertebrae of the bone thus as the magnitude of it, and elevate your hand so that the artery which is beneath is not injured, so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then imbibe the coto in salt water and pause it on the place, and let it be there for three days; and then pause the coto wrapped in a bandage, and then cure it with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see that the cautery is applied to the extremity of the gut according to the cautery, and beware of not making an incision in the artery in this non-ancient migration.
Capitol quart.	Fourth chapter.
De cauterizacio d’emigranea antiqua.	On the cautery of ancient migrations.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat a migration, as we have said about the previous treatment, and as we have said in the divisions of the illnesses, and do not hasten the treatment, and sometimes because of the illness that does not respond to what we have said about the first cautery in medicine or the cautery in focus, then it is necessary that you ignore the intestinal cautery until it is whitened, since it indicates above the line of longitude where the greatest pain is, or which one; and hold your hand for a while and strengthen it before incising the artery and penetrating to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It is necessary for you to beware of the continuity of the jawbone, which is weakened by lack of chewing, and that the ligament is not injured and the nerves are not damaged by that, and that there is no spasmodic convulsion.
