Ayssi comensan las paraulas de Albucasim .	Thus we begin to read the paragraphs of Albucasim.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then I followed according to the wishes of the sick ones, and then I relieved, and then I left it for some days and commanded that we disband the ligament; and it was thus until the thigh and the foot were apostematous, and I came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you have foolishly called it to him, and disband the ligament, and achieved tranquility and thus also alleviated some of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption was confirmed in the limb, so that it could not be restrained, and it did not cease to walk corruptly in the limb until the patient suffered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous aposteme, and it was ulcerated for several days, until the wickedness of it was magnified in the lord of it.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cancerous tumor was pure melancholic humor, then it did not cover that it would come to him in entirety, but rather it was a member that suffered from everything, as if it had been hostile.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for that, sons, it is necessary for you to know that the operation of my mother was divided into two devolutions: one is an operation associated with health, and another work in which there are major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed everywhere in this book where I found operation in which there is error and fear; because it is necessary for you to keep that and leave it, so that the foolish ones do not find a way to speak and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your arms in solicitude and protection of God, and your maladies are facilitated and are strengthened.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And you have used the better way by the grace of God to obtain health and laudable success, and you have left the terrible maladies of difficult healing, and you have kept your arms from that which makes you afraid, so that you may establish faith in your heart and in your name you are not evasive: because more remains in your glory, and thus it is established in the world and in the end among your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Sometimes I diagnose in certain clear signs:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not mistreat a sick patient, so that bad doctors are not named."
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have divided this book into three chapters."
Comensa la divisio del libre, e primier de la primieyra partida.	"Here begins the division of the book, and first of the first partition."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter deals with the head and feet, in the forms of instruments and in the furnishings of cauteries, and what is necessary for the operation."
La divisio de la segonda partida.	"The division of the second partition."
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter, on scission and perforation, and on cupping glasses, and on poultices, and on extraction of arrowheads and on similarities to those, all chaptered and ordered according to the forms of instruments."
Divisio de la tersa partida.	"The division of the third partition."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The third chapter, on restoration and dislocation, and on treatment of torsion and on similarities to those; chapter ordered from head to feet, and according to the forms of instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"On cautery I focus and I bring acute medicine and reminder of the operation."
Am aquel comensa le tractat de tot le libre.	"I begin the treatise on the entire book."
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	"I know the quality of the youthfulness of that cautery and of its instruments, and in what complex situation it is prohibited to use cautery."
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	"Therefore I say that the sermon on the quality of the youthfulness of cautery and of its instrument is long and prolix, subtle for science, and secretly hidden; and already many wise men have spoken about it, and they disagree among themselves, and to me it suffices a small part of their sermons, fearing prolongation."
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	"Therefore I say that cautery universally comprehends all complex situations, whether it is a matter or several matters, except for two complex situations, which are cold complex situations without matter."
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	"In the cold and dry complex situation with matter, they disagree; for some said that cautery is youthful in that, and others said the opposite of that, that cautery is not convenient in illness which is due to quality and dryness, since the nature of fire is quality and dryness, and it is inconvenient that cold and dry illness is healed by cautery."
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	"And they say that one who says the opposite of that, that by cautery youthfulness is made in all cold and dry illnesses that occur in men's bodies, because when you compare men's bodies with the humidity of them to the complex situation of fire, you find men's bodies are fragile."
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	"And I say through the sermon of that one, that I have experimented and already discovered many times at my own expense."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	"Moreover, I do not know who can come up with something about that which has already been experienced and exhausted in the chapter of cautery through previous exercise, and has known the diversity of complex situations of men's bodies and the disposition of illnesses in their measures, and the causes of those, and their accidents, and the space of time of those."
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	"Moreover, in the other complex situations, it is not about your fear, and especially in the fragile and humid illnesses, because all doctors have agreed on those, and do not disagree about the youthfulness with cautery in those."
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	"And you know, sons, that the secret of cure by cautery is fire and its goodness, so about cautery I bring combined medicine, because fire is simple, whose action does not penetrate except to the member which is cauterized and does not reach another member unless adjusted with a small benefit."
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"Moreover, the action of combined medicine penetrates to that one in the members where it is adjusted, and strongly makes it come into the diseased member with difficult healing and strongly helps."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	"Moreover, fire, by its sublime limit and goodness of its substance, does not make anything except to overflow. And it is already known to us through experiment and length of service in studying the art about the truth of causes; and for that I have excused the length of the sermon. And if it were not that it is not read in my own book in this passage to you secret hidden fire, and the quality of its operation in bodies and of the expulsion by which it expels illnesses, a demonstrative philosophical sermon, which would be acute in your writings."
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	"And you know, sons, that they disagree about the time when it is convenient to use cautery and pause at the best time of spring."
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	"And I say that cautery is convenient at all times, because the harm from the accidental time is submerged in the youthfulness of that which I have with cautery, and especially if cautery is for pains or necessary pains, strong and fixed, which do not suffer tardiness so that it is feared by those who come with evil, which is greater than small harm entering at that time."
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	"And it is not seen in your writings, or, sons, that which they do not esteem except the common people and foolish doctors, so it is that at that illness which is healed by cautery, there is no return to all time, and pause at that consequence."
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not so obvious as the one that alters the complexions and dries out the humidity, which is the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Perhaps emperor's cauteries are excessive in medicine, wanting to demonstrate the value and truth of his operation and greatness of his lordship.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his illness returns at some hour of time, according to the complexion of the patient and the location of his illness, and its truth, and what has been prepared in his body by the aggregation of excesses in him, and what has happened to him in his acquisition of vices and similarities to those causes; but that the illness in which cautery is administered is a subtle illness in some members with few excesses and humidity, thus as cautery for toothache and similar to that, it is possible that in him it does not return that pain, rather it becomes less.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common speech is that cautery is the last resort of medicine, and it is a desperate remedy, not because they understand it, since they believe it is not a cure that advances with medicine nor another cause that advances with cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cautery is the last resort of medicine is not so when we administer various methods of cure in certain illnesses, and those medicines do not confer, and then at the end of the cause we administer thus cautery, and advance thereby.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here on, I cancel the idea that cautery is the last resort of medicine, not according to the intention which the common people and foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that gold cautery is better than iron cautery, and they didn't say it except for the equality of gold and the limitation of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not make a break, as if it were not absolutely true, because you already have that probed and experienced that it does not make that except in some bodies with others, and cautery in that is good and better than iron, as they said; but when you do cautery with gold focus, it is not declared to you, since it depends on the quantity that you want for the rigor of the gold, and prepare to receive frost; and if you adjust over the igneous surface, the gold melts from the focus, and sometimes in the focus some layers are formed so that the artisan can occupy himself with that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is done to do iron cautery more lightly and more profoundly in relation to the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have now ordered this chapter on cautery according to chapters, and I have ordered those of the head within the feet, so that one can easily find what one wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On cautery for headache caused by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers on the humidity and coldness above the affected part of the body, which is the cause of swelling and multitude of rheumatic flux, called corissa, from the head to the divisions of the veins and arteries, and multitude of sleeplessness, and toothache, and gum pain, and universally all illnesses that come from coldness, as well as paralytic, apoplectic, and similar in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is this, that primarily it commands the patient to evacuate the medicine from the head, for three or four nights, according to the truth of the patient and his age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and then make him sit between his thighs on a heated bench and place his hands on the floor of his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the razor in the palm of your hand, then put your fingers on the razor between your thighs.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Perhaps, as the finger of my own place has arrived, it signifies that place is tender, and then ignite the olive oil cautery, of which this is the form.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the sensitive spot, in a way that descends, as if my finger is constricted little by little, and you revolve that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and regard the spot, and if you see that some quantity of the head has been discovered, thus as the quantity of grain of errors, then lift your hand, and if it doesn't return to your hand in that iron, another of that, if it is frozen, until it is seen by the eye what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it over the spot and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place it on the wrapped cloth in a bundle and leave it there until the crust of the focus is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the spot with four-part angel's hand until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the Roman plague bursts, so much better gets the arm, because it is better and more youthful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They should burn some of those that need to be cauterized on the outside of the bone, and hold the cautery inside so that it is burned in some part of the bone's structure.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then return to adjusting the bone, and then take care of the cure.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They should also make others who apply the cautery from behind, so that it penetrates deeply into the bone to strengthen it, and this is the way to alleviate small weaknesses.
E estiman de aquel loc expiran la vapors del cap.	They should estimate from that place where the vapors of the head expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	It should be held in the open wound for a long time, and then take care to consolidate it.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two special kinds of cauteries in total, but only in some homes according to the way of fear; and therefore, you should tell me, it is better for my health, when it is; because the head is developed by solution of continuity with the aforementioned, as we have testified in the other members, and especially when the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cautery is most safe and better for me; and from that house and that work, I am healthy.
Capitol segon.	Following chapter.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the entire head is affected by chronic and long pain, and it is in prolonged illness, and uses remedies and poultices and applications and implants and girdles and cadels and galenas and similants, and especially if it has been cauterized with a cautery that recounts and does not provide relief from any of those causes, then consider that the head of the patient is of strong creation in its nature; and it is not fragile and atrophied with much fear, then that cauterying should be done with another cautery below that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize above the crown of the dry head with a cautery so that the bone is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and discover the quantity of the os that we have recounted and cauterize it with a cautery at the back of the head in the place called "vas" — and it is that place where the wind is paused.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand in that way, and do not discover the bone, because the patient suffers greatly from various pains different from the pain of all the other cauteries of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will direct this cautery to its place, because it is known that the cautery is the one that cauterizes the horns of the head and the occiput is a more subtle cautery than the one that is cauterized in the middle of the head; and this is the way of it.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-ancient migration.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When you find pain in the head's part, or it is a standing pain within the vein, evacuate with mondifying medicines, and administer another cure, which you have stated in the deviations of the illnesses; and if not relieved, then cauterying is done in two ways: either cauterying with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	A cauterying medicine that burns is that you take a dollop of alum, and scrape it away and bind the extremities of it with both ends of the heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the place of pain in the temple with a sharp lancet into the bone so that it is in the very same place below the bone, so that it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen it above with a stopped constricting bandage, and leave it like that for three hours; and then remove the alum and extract the lancet, and leave the wound open for two or three days, and then pause on the submerged bone in a bath until the place forms a scab.
E aprop cura aquel am enguent entro que sia sanat.	And then cure it with an ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want, I will give you some burning medicines which I have written about in the two treatises on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	A cauterying with iron is done according to this method: ignite the iron for cauterying, of which this is the form.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is like a form of nail in which there is some curvature, and in the middle of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause on the place of pain, and hold your hand — so that the acidity which is beneath is not burned — and turn the small iron little by little with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is burned by the structure of the bone is as much as the marrow of it, and lift your hand so that the artery is not burned beneath, so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the bone in salt water and pause it on the place, and leave it like that for three days; and then pause the bone many times in a bath, and then cure it with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you want, cautery the extremity of the cutting instrument according to the cautery, and beware of incision of the artery in this non-ancient migration properly.
Capitol quart.	Fourth chapter.
De cauterizacio d’emigranea antiqua.	On the cauterization of old migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines in the way that we have said about previous treatments, and what we have said about the divisions of illnesses, and do not hasten the treatment, and sometimes for the illness that does not respond to what we have said about the first cauterization in medicine or of the cauterization with fire, then you should ignite the cautery tool until it is white hot, since it indicates on the line of the long duration of which is the greatest pain, or somewhere; and pause your hand for a while and strengthen that until you incise the artery and penetrate to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful with the continuity of the jawbone, which is weakened by chewing, and that the ligament is not injured and the nerves that give bad signals, so that there is no spasmodic contraction.
