Ayssi comensan las paraulas de Albucasim .	The words of Albuquisim begin thus.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he undid the binding according to his own desires, and then he re-wrapped it, and then he left it for some days and commanded us to undo the binding; and thus it was that the leg and foot became inflamed, and it led to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you were called to him, and I helped you to undo the binding, and thus we achieved quietness and he became relieved of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But nonetheless the corruption had already been confirmed in the member, so that it could not be restrained and did not cease to spread its corruption in the member until the patient was imperiled.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who had pierced a cancerous abscess and it became ulcerated about three days later, so that the evil of it was magnified with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is that the cancerous abscess is pure of melancholic humor, therefore it does not need to be treated with iron from head to toe, but rather should be treated as a member that has been entirely possessed by evil.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation of my craft be divided into two parts: one is in operation which is associated with health, and the other is a work where there is peril in the greater dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed in every place of this book where the operation is one that involves error and fear; therefore it is necessary for you to keep guard over this and leave behind those who do not understand, lest they should not know how to speak and to desecrate.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your own arms with zeal and protection of God, and your own patients with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way with the grace of God to achieve salvation and praiseworthy succession, and lay aside terrible diseases that are difficult to cure, and keep your own arms from this which makes you fear, so that the situation in your faith and in your name does not escape you: for it is more remaining to your glory, and more so in the world and in eternity to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galen already said in some of his own monodies:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not heal bad illnesses, lest bad doctors be named."
E yeu ja he devesit aquest libre segontz tres capitols.	And you have divided this book into three parts.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter, ordered from the head to the feet, in the forms of instruments and ironworks of cauteries, and what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on suction and puncture, and on cupping-glasses, and on wounds, and on extracting splinters and like things, all organized and ordered in the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on curing of hernias and like things; chapter organized from head to feet, and in the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauteries with fire and acute medicine, and on recalling the operation.
Am aquel comensa le tractat de tot le libre.	In that begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	You should know the quality of the joints in that cautery and the defects of it, and in what condition it is forbidden to use a cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the joints in the cautery and its defects is a long and prolix discourse, subtle by science, and secret and hidden; and many learned men have spoken about it, and they have disagreed among themselves, and I will only mention a small part of their sermons, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery conforms to all universal completeness, whether it is in material or non-material, except for two complete ones which are complete without material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complete and dry material with no material, it will be desiccated; for some would say that cautery is beneficial to it, and others would say the opposite of it, that cautery is not suitable in a disease which is due to quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that the caustic and dry material be cured.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who say the opposite of it would have you believe that by means of cautery, the joints are made healthy in all caustic and dry diseases that are found in the bodies of men; for when you compare the body of a man to its humors with the completion of fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the sermon of that, that this experiment is already known to me at times to have discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But it is not necessary for it to come forth on this matter that has already been experimented and exercised in the chapter of cautery, and that you have known the diversity of the completeness of men and the disposition of diseases in their members, and the causes of those, and the accidents that happen to them, and the space of time that passes through these.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other completenesses, there is no fear for you, and especially in cold and moist diseases, since all doctors have agreed on these, and are not discordant about the joints with cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that the secret of healing through cautery with fire and its goodness is that over cautery with medicine they are combined, for fire is simple, whose action does not reach beyond the member that is cauterized, nor does it harm another member connected to it except with a slight disadvantage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine combined reaches that member which is distant from it, and very easily brings difficult-to-cure disease into the sick member, and very easily causes harm.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, due to its sublimity and the goodness of its substance, does not do this except in a superfluous way. Already we have known through experience and the long duration of service in studying the art on the truth of causes; and therefore I am excused from the length of the sermon. And if it were not for the fact that it is hidden from your free book in this pause, I would reveal to you the secret hidden in fire, and the quality of the operation of it in bodies and its expulsion by which diseases are expelled, through a philosophical demonstration that would pierce your very soul.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that some do not agree on the time when it is best to perform a cautery and pause for the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that a cautery is convenient at any time, because the harm caused by the accidental timing is submerged in the joint of what is attracted to the cautery, and more so if the cautery is for pains or necessary pains, which are strong and fierce, and do not tolerate delay, for fear of those who come with malice, which is greater than a small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it is not considered in your souls, or sons, that this is not esteemed by the common people and foolish doctors, so it is that for that disease which is cured by a cautery, there is no reduction of time, and pause at the consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not like that which they say by this, for a cautery is only in place of medicine which alters the completeness and dries out the humors which are the cause why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But a cautery is superfluous over medicine due to the desire for its utility and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that its disease will return at some hour of time, according to the completeness of the patient and the location of their disease, and the virtue of it, and what is prepared in the body of it from the aggregation of superfluous things, and what has been brought to it through its acquisition of foods and similar causes; unless that disease in which a cautery is administered is a subtle disease in a member with few superfluities and humors, such as a dental cautery for pain and similar to that, it is possible that in that case the pain will not return, but rather it will be reduced in size.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And besides, the common saying is that a cautery is the last resort of medicine, and it is a desperate remedy, not according to what I understand in this case, for I believe that there is no cure that profits by medicine or any other nearby cause through a cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and I understand that a cautery is the last resort of medicine only when we administer the methods of healing in some diseases, and those medicines do not confer, and apropos at the end of the cause, one administers a cautery, and it profits accordingly.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And I see here that a cautery is the last resort of medicine, not according to my understanding which I understand from the common people and many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that a cautery with gold is better than one with iron, and they did not say this except for the equality of gold and the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of the cautery does not make a difference, as if it were absolutely true, for you have already proven and demonstrated that it does not do so except in some bodies, and the cautery with gold is good and better than one with iron, just as they say; but meanwhile, when you perform a cautery with fire on gold, it is not declared to you, because it is hidden according to the quantity you want for the roughness of the gold, and in order to prepare to receive cold; and if you add over it ignition, the gold melts by the fire, and case in the fire some plates so that the craftsman can see through the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, it is done to make a cautery with iron in such a way that we can approach the straightness of operation more lightly and more promptly.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cautery according to chapters, and I have ordered those from head to foot, so that the demanding one may take what they want from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On Caustics for Headaches due to Frigidity and Humidity.
Le capitol primier.	The First Chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This causticization confers upon the humidity and frigidity over the serving accident of which there are two causes, namely, the cause of soda and the multiplicity of raumatic fluxes, called corissa, from the head to the parts of the eyes and ears that flow, and multiplicity of sleep, and toothaches and the throat, and universally all disease that comes through frigidity, just as paralytically, soddy, and apoplecticly, and similar in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this causticization is this: first, I command the patient to be evacuated with laxative medicine in the morning, for three or four nights, according to what the virtue of the patient and their age and habits demand.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then I command him to shave his head with a razor, and next to make him sit between his thighs on a well-cushioned bench and let him rest his thighs on the floor.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And next, pause the razor on your palm, right above the nostrils between your eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But meanwhile, since the said place of the middle is reached, mark that place with a tent, and next ignite the olive cautery in which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And next, place that on the marked place with a tent, in a way that it descends, by which your hand is slightly constrained little by little, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And next, raise your hand slightly and look at the place, and if you see that some quantity of bone has been uncovered, just like the quantity of grain of errors, then lift your hand, and if it does not return to that iron, with another one, if it is refrigerated, until what I have said to you is visible.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And next, take a small amount of salt and dissolve it on the place, and let it be for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And next, apply to it a poultice wrapped in cloth and let it be on the place until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And next, cure the place with an ointment of four-fold medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that as long as the wound remains open, so much the better it gets, for it is more excellent and beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them said that the cord should be cauterized inside the bone and held until some part of the specificity of the bone is melted.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And next, remove what has been fused to the bone, and then cure it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cautery one should arrive at the last, until it presses strongly on the bone and the bone cracks, and this is the form of the small alfabet:
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, the vapors of the head will escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then it should be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But to me, these two types of cauterization are not visible in their entirety, except in some men according to the way of fear; and I leave that to you, for it is better for health when it is; because the head is revealed by the solution of continuity, just as we have testified in other members, and especially when the patient's head is of a fierce nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cauterization is more saved and better for me; and from that house and with that work, salvation comes.
Capitol segon.	Second Chapter.
Del cauteri del cap.	On Caustics for the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and long-lasting pain occurs throughout the head in a patient who is prolonged in their illness, and uses remedies such as wars, cochias, capipurgers, emplasters, poultices, cadels, and gualinas, and especially if the patient has already been cauterized with one cautery that does not benefit them at all, then consider whether the patient's head is of strong creation in their nature; and if it is not fierce and finds a great cold, then that same head is cauterized with another cautery, leaving a little gap.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And next, cauterize it on the crown of his head with a cautery until the cord is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and uncover the quantity of bone which we have recounted, and cauterize it with a cautery in the back part of the head at the location called "vas", -- and that is the place where the wind pipe is situated.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand away from there, and do not uncover the bone, because the patient by this will experience a great and different pain, unlike any other pains caused by all the other cauterizations of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will say this cautery in its place, because it is necessary to cauterize the crown of the head and the occiput with a more subtle cautery than that which is used for the middle part of the head; and this is the form of it.
Capitol ters.	Third Chapter.
De cauterisacio de emigranea no-antiqua.	On Caustics for Migraines not Ancient.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain is mild in the head or spread out to the eye, and it does not respond to laxative medicines or other treatments that I have mentioned in the chapters on diseases; and nothing helps, then cauterization should be done in two ways: either with a sharp medicinal compound combined with an acute treatment, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But the cautery with medicinal compound is when you take a sweet almond, scrape it out and cut off the extremities of both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And next, incise the location of the pain in the temple with a blunt knife until it is made into a small hole, leaving the cord behind, so that it may be hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And next, strengthen the spot with a poultice applied by gentle compression, and let it be for three hours; and then remove the poultice and treat the almond, and leave the wound for two or three days, and next apply a poultice wrapped in cloth to the spot until it becomes solid.
E aprop cura aquel am enguent entro que sia sanat.	And next, cure that with an ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some medicinal compounds which I have written about in the two treatises on medicinal compounds.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cautery with iron, according to this method: ignite by means of the cautery which has this form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	...and it is called "claus clavilhs", because the head of it is like a keyhole shape with some curvature, and in the middle part of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And next, place the iron on the location of the pain, and hold your hand - so that the wire which is left behind is not melted - and rotate the small iron gradually with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of what is melted by the specificity of the cord is like most of it, and lift your hand so that the artery which is left behind is not melted, so that no blood flow comes.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And next, soak the poultice in salt water and place it on the location, and let it be for three days; and then remove the poultice wrapped in cloth, and cure with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize at the extremity of the sword-like shape according to the cautery, and be careful not to cut into the artery in this non-ancient type of migraine.
Capitol quart.	Fourth Chapter.
De cauterizacio d’emigranea antiqua.	On Caustics for Ancient Migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure an ancient migraine with what we have said about the previous treatment and what we have said in the chapters on diseases, and the treatment does not help, and sometimes because of the disease it does not reach what we have said about the first cautery with medicine or the cautery with fire; then it is necessary that you ignite the cutaneous cautery until it is white, since you signify on the location of the pain with a line of length which is most of it, or if it is not so; and put down your hand for one moment and strengthen it until you incise the artery and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to beware of the continuity of the mandible, which is disturbed by mastication, and that the ligament is not melted and the nerves that are affected by this, and that there is no spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and caution of the flow of blood from the artery that is being cut, because in the cutting of it there is fear, and especially to one who does not know what they are doing and is not skilled; and leave the operation at the beginning.
