Ayssi comensan las paraulas de Albucasim .	The opening words of the treatise begin: "Thus begins the words of Albucaisem."
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And the doctor untied it according to his desires, and then he re-wound it, and then he left it for some days and ordered that we should not loosen the bandage; and so it was that the thigh and leg became gangrenous, and ultimately led to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you were called to him, and I prepared to loosen the bandage, and consequently he found relief and began to forget his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But meanwhile corruption was confirmed in the limb, so that I could not restrain it, and it did not cease to corrupt the limb until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous abscess and had it ulcerated about three days later, so that the magnitude of his evil was revealed to him by the lord of him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which is because the cancerous boil is pure of melancholic humor, whereas it is not necessary that it should spread to him entirely, but rather be in a member which suffers as if it were being hosted by it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, children, it is necessary for you that the operation with me be divided into two parts: one is the operation which is associated with health, and the other is the work in which there is peril in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed here in every place of this book where the operation is in which there is error and fear; therefore it is necessary for you to keep this in mind and avoid that, so that the foolish ones do not take away the way to speak and to disown you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms with solicitude and protection of God, and your patients with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way with the grace of God to obtain salvation and noble succession, and avoid the terrible diseases that are difficult to cure, and keep your arms at bay from this which makes you afraid, so that your situation in your faith and in your name does not escape you: for it is more remaining for your glory, and then again in the world and finally in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galen already said in some of his own sayings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not heal bad illnesses, lest you become a bad doctor."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and the first part is on...
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered from head to foot, in the forms of instruments and ironwork of cauterizers, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on incision and puncture, and on cupping, wounds, and extraction of splinters and similar matters, all organized and ordered according to the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and re-location, and on curing of torticollis and similar matters; a chapter organized from head to foot, and according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauterization with fire and sharp medicine, and on remembering the operation.
Am aquel comensa le tractat de tot le libre.	In this, begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	You should know the quality of the joints of that cauterizer and its inconveniences, and in what condition it is prohibited to cauterize.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the discourse on the quality of the joints of the cauterizer and its inconveniences is a long and prolix sermon, subtle by science, and secret and hidden; and already many wise men have spoken about it, and they are in disagreement among themselves, and I myself am afraid to prolong the sermons of theirs.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterization is contrary to the entire universal complexion which is in matter or its materials, except for two complexions which are caudal with respect to their materials.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the dry and scorching complexion with respect to material, it will desiccate; for some people say that cauterization is beneficial in this case, while others say the opposite, namely that cauterization is not suitable in a disease which is caused by quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that a scorching and dry disease with water that is hot and dry should be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says the opposite, that through cauterization the joints are made healthy in all scorching and dry diseases that occur in the bodies of men, for when you compare the body of man and its moistures to the complexion of fire, you find the body of man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the sermon of that, that experiment is this too already known to me several times to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I do not think that it is necessary to bring this forward again, as it has already been explained and exercised in the chapter on cauterization, and to understand the diversity of the complexions of men and the disposition of diseases in their respective bodies, and the causes of those, and their accidents, and the space of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexions, it is not for you to be afraid, and most especially in cold and humid diseases, for all doctors have agreed on these, and there is no disagreement among them about the joints being cauterized in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And understand, children, that from the secret of healing by cauterization with fire and its goodness, it is clear that those who burn with medicine are contrary to cauterization with fire, for the fire is simple, the action of which only reaches the member that is being cauterized and does not harm another member adjusted to it except with a small injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine that is contrary to cauterization reaches those members which are distant from it, and very easily brings disease into a member with difficult healing and very easily leads to pus.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, because of its sublimity and good substance, does nothing but superfluous things. And it is already known to us through experiment and long duration of service in studying the art on the truth of causes; and therefore I am excused from the length of this sermon. And if it were not that it is not read at a better free time in this pause to you, a secret hidden by fire, and the quality of the operation of it in bodies and its expulsion by which it drives out diseases, with a philosophical demonstration sermon, which would be keenly felt in your souls.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And understand, children, that the time of year is not harmonious for making a cauterization and the best time of early spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is suitable at any time, because the harm caused by the accidental timing is submerged in the joint of what is attracted to the cauterization, and most especially if it is for necessary pains or painful necessities, which do not tolerate delay because they are feared by those who come with malice, which is greater than small harm entering through the timing.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it is not considered in your souls, or, children, this is not esteemed except by the common people and foolish doctors, so that to that disease which is healed by cauterization, it is not reduced at all times, and pause is made after that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not thus as they say because of this, for cauterization is nothing but in a place of medicine which alters the complexion and dries out the humors that are the cause why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless, cauterization is superfluous over medicine due to the desire for its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that its disease will return at some hour of time, according to the complexion of the patient and the location of their disease, and the virtue of it, and what is prepared in the body of it by the accumulation of superfluities there, and what is brought forth in its acquisition through food and similar causes; but if the disease in which cauterization is administered is a subtle one in a member with few superfluities and humors, just as cauterization for toothache and similar pains, it is possible that in that case the pain will not return, but rather it will be reduced to smallness.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And in addition, the common saying is that cauterization is the last resort of medicine, and it is a despairing word, not because I understand what they mean by it, for I think it is not healing that profits through medicine or any other cause approaching cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to this; and I understand that cauterization is the last resort of medicine only when we administer the methods of healing in certain diseases, and those medicines do not conduce, and approaching the end of the cause, one administers cauterization, and it profits at that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here on I want to make it clear that cauterization is the last resort of medicine, not according to my understanding which is different from that of the common people and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that cauterization with gold is better than cauterization with iron, and they did not say this except for the equality of gold and the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauterization does not make a difference, as long as it is absolutely true, because you have already proved and experimented that it does not matter in some bodies except for others, and cauterization with gold is good and better than with iron just as they say; but on the other hand when you do cauterization with fire using gold, it is not to be declared, because it is hidden according to the quantity you want by the roughness of the gold, and how it prepares to receive heat; and if you adjust the ignition above it so that the gold melts in the fire, and case some plates are formed from which the artist can observe through the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is made necessary to do cauterization with iron, for us to proceed more lightly and more properly towards the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter on cauterization according to chapters, and I have arranged those from head to foot, so that the one demanding it may easily find what they want in it.
De cauteri de dolor de cap per frigiditat e humiditat.	On Cauterization of Headache due to Coldness and Humidity.
Le capitol primier.	The First Chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization brings relief to the humidity and coldness above the severest accident of which there are two causes, namely the cause of soda and the multitude of raumatic fluxes, called corissa, from the head to the partitions of the eyes and ears, fluent, and the multitude of sleepiness, and toothaches and the gout, and universally all disease that comes through coldness, just as paralysis, sodality, apoplexy, and similar diseases in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this: first, I command the patient to be purged with lactative medicine in the head, clarifying it, for three or four nights, according to what the virtue of the patient and their age and habit demands.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then I command him to shave his head with a razor, and after that, to make a circle between his temples on a well-crafted bench, and to place his hands on the pie-shaped pieces.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then I command him to pause the razor's stroke at the edge of his palm, right above the nose between his eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But when the said place is reached, mark that place with a tent, and then ignite the olive cauterization of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then pause that cauterization on the marked place with a tent, in a way that it descends, as your hand is gradually constrained, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then raise your hand slightly and look at the place, and if you see even a small amount of bone being uncovered, such as the size of a grain of error, immediately lift your hand, and if not, return your hand with that iron, or another like it, until what I have told you is seen by the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the place and let it sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then pause above that spot, surrounded by border and let it sit on top until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the place with gentle quadriform medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that as long as the wound remains open, so much the better it gets, because it is better and more healing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them said that the cuneiform should be cauterized into the bone, and the cauterization should be kept until some part of the specificity of the bone is consumed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then that which has been adjusted to the bone will be removed, and then it will be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cauterization, it will come to the end, and then it will press into the bone a strong impression until the bone cracks, and this is the form of little alpha.
E estiman de aquel loc expiran la vapors del cap.	And they think that from that place, the vapors of the head will evaporate.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the open wound should be kept for a long time, and then it should be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I do not see these two species of cauterization in general, but only in certain men according to the way of fear; and leaving that aside, as you should know, it is better for health when it is so; because the head is revealed by solution of continuity like we have testified in other members, and especially when the patient's head is of a frivolous nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cauterization is more saved and better for me; and from that house and with that work, I have health.
Capitol segon.	Second Chapter.
Del cauteri del cap.	On Cauterization of the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the entire head chronic and long-lasting pain occurs and this is prolonged in the patient's suffering, and they use remedies such as warships, comb-like things, poultices, plasters, wads, cauls, and gualinas, and especially if it has already been cauterized with one cauterization which relieves but does not benefit at all from those causes, then consider whether the patient's head is of strong creation in their nature; and if it is not frivolous and finds a great cold, then that cauterizes another cauterization, leaving it for a little while.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that on the crown of the patient's head with a cauterization until the cuneiform is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cuneiform and uncover the quantity of bone which we have recounted, and cauterize that with a cauterization in the posterior part of the head in the location called "vas" - and it is that location where the wind pipe is paused.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift up your hand in this way, and do not uncover the bone, because the patient by this will experience great and diverse pain unlike any other pains from all the other cauterizations of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will say this cauterization in its place, because it is necessary that the cauterization with which we cauterize the horns of the head and the occiput is more subtle than that with which the middle part of the head is cauterized; and this is the form of it.
Capitol ters.	Fourth Chapter.
De cauterisacio de emigranea no-antiqua.	On Cauterization of Migraine Non-Antique.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When it is necessary to evacuate the head clarifying medicine, and another cure is administered as I have said in the descriptions of diseases; and if none of these benefit, then cauterization takes place in two ways: either with acute medicine that is contrary, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But the cauterization with medicine that is contrary is when you take a lump of aloes, and scrape it off, and cut off the extremities of both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the location of the pain on the temple with a sharp lancet, until it makes a spot below the cuneiform, so that it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply pressure to it with a stopper, so that the constriction descends gradually, and leave it for the space of three hours; and then remove the alum and treat the wound for two or three days, and then pause above it surrounded by border until the spot becomes hard.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that with gentle quadriform medicine until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some contrary medicines which I have written in the two treatises on contrary medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cauterization with iron according to this manner: ignite by cauterization of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is like a form of claw in which there is some curvature, and in the middle part of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause above the spot of pain, and keep your hand - so that the archery which is left behind is not consumed - and rotate the small iron piece by piece with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is consumed by the specificity of the cuneiform is as much as half of it, and lift up your hand to prevent the artery from being consumed which is left behind, in order that no flow of blood may come.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then pour the spot with saltwater and pause it above the location, and leave it for three days; and then pause the spot with a border, and cure it with gentle quadriform medicine until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize with the edge of the cimeter according to the cauterization, and be careful not to cut into the artery in this non-antique migraine.
Capitol quart.	Fourth Chapter.
De cauterizacio d’emigranea antiqua.	On Cauterization of Ancient Migraine.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure migraine with what we have said about the previous cure, and what we have said in the divisions of diseases, and if the cure does not benefit, and sometimes by the disease it is not enough to apply what we have said about the first cauterization with medicine or with fire, then it is necessary that you ignite the cimeter cauterization until it is albified, since you indicate above the spot of pain with a line of length which is most of the digit or whatever; and place your hand for one moment and strengthen it so that the artery is incised and penetrates into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful not to damage the mandible's continuity, which is affected by mastication, and that the lacert is not consumed and the nerves which are related to it are not damaged, and that there is no spasmodic spasm.
