Ayssi comensan las paraulas de Albucasim .	Thus begin the paragraphs of Albucazim.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And you will be on the better way by the grace of God to obtain salvation and laudable success, and you will leave behind the terrible evils of difficult healing, and you will put away your arms from what makes you fear, so that you may establish faith in your heart and in your name you will not be evasive: because more remains of your glory, and thus also in the world and afterwards among your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Because the disease has been diagnosed in certain morning hours:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	There is no medical treatment for evil, since bad doctors are not named.
E yeu ja he devesit aquest libre segontz tres capitols.	And you have devoted this book to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Here begins the division of the book, and first of the primary partition.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the head and feet, in the forms of instruments and in the ferrules of the cauteries, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second partition.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on scarification and perforation, and of cupping glasses, and of plasters, and of extraction of arrows and of similarities to those, all capitulated and ordered according to the forms of instruments.
Divisio de la tersa partida.	Division of the third partition.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and of torso correction and of similarities to those; chapter ordered from head to feet, and according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery I make a focus and acute medicine and recollection of the operation.
Am aquel comensa le tractat de tot le libre.	At this point begins the treatise on the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I have described the quality of the youthful judgments of that cautery and of its instruments, and in what complexity it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the youthful judgment of cautery and its instrument is a long and prolix sermon, subtle for science, and secretly hidden; and already many wise men have spoken about it, and they disagree among themselves, and to me it is enough to take a little from their sermons, fearing prolivity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery corresponds universally to all complexity, whether it is matter or matters, except for two complexities, which are warm complexities of matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In warm and dry complexity of matter they disagree; for some said that cautery is suitable for that, and others said the opposite, that cautery is not convenient in evil matter which is by quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that evil matter warm and dry be healed by cautery and dryness.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And they said to him who says the opposite, that by cautery it is made youthful judgment in all warm and dry evil matter that is seen in the bodies of men, because when you compare the body of man and its humidity with the complexity of fire, you will find the body of man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say through the sermon of that, that experience has already revealed to me many times what I have discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Moreover I do not think that anyone will surpass what has already been experimented and exhausted in the chapter on cautery through previous exercise, and to know the diversity of the complexity of men's bodies and the disposition of their evil matters in their members, and the causes of those, and the accidents of those, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	Moreover in the other complexities, it is not about your fear, and especially in cold and humid evil matters, because already all doctors have agreed on those, and do not disagree on the youthful judgment with cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, sons, that the secret of cure by cautery is fire and its goodness, so on cautery I make medicine combining, because fire is simple, the action of which does not reach except to the member which is cauterized and does not harm another member unless it is a small nuisance.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	Moreover the action of combining medicine reaches to that in the members which are affected by it, and strengthens them to come into the difficult-to-heal member and strengthens them to listen.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Moreover fire, by its sublime nature and good substance, does not do anything except to overflow. And it is already known to us through experiment and lengthy service of studying the art about the truth of causes; and for that I have been excused from the length of this sermon. And if it were not that it is not read in my book on this passage to you secretly hidden fire, and the quality of its operation in bodies and of the evacuation by which it expels evil matters, a philosophical demonstrated sermon, which would be acutely inserted in your pages.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, sons, that they disagree about the time when it is convenient to do cautery and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, because the harm from the accidental time is submerged in the youthful judgment of that which I have done with cautery, and especially if the cautery is for pains or necessary pains, strong and fast, which do not suffer delay so that it is feared by those who come with evil, which is more than small harm entering at that time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus I do not catch in your pages, or, sons, that which is not esteemed except by the common people and foolish doctors, so it is that at that evil matter which is healed by cautery, there is no return to all time, and they pause at that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not thus because the doctors do not know that cautery is only in place of medicine, which alters the complexion and dries out the humors, which are the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Perhaps emperor, I will place a superior cautery above medicine to show the value and virtue of its operation and greatness of your noble lordship.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the patient's illness returns at some point in time, according to the complexion of the patient and the location of their illness, and its virtue, and that which is prepared in their body by the aggregation of superfluous humors, and that which they have acquired in their daily habits and semblance of those causes; but that the illness for which cautery is administered is a subtle illness in some members with few superfluous humors and humidity, thus as cautery of teeth for pain and semblance to that, it is possible that the pain does not return there, but rather is made small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is a common saying that cautery is the last resort of medicine, and it is a desperate remedy, not because they understand it, since they believe that it is not a cure that advances with medicine nor another cause that advances with cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cautery is the last resort of medicine is not because they administer the methods of cure in some illnesses, and those medicines do not confer, and then at the end of the cause they administer thus cautery, and it advances to that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here I will say that cautery is not the last resort of medicine, not according to the intention which common people and foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not make a break, as if it is not absolutely virtuous, because you have already proved and demonstrated that it does not make this except in certain bodies, and cautery with gold is good and better than with iron, as they said; but emperor, when you make cautery with gold fire, it is not declared to you, because it is ignited according to the quantity that you want for the rigor of the gold, and prepare to receive freshness; and if you adjust above the ignited gold, it will melt into a pool, and sometimes in the pool certain laminas are made so that the artisan can occupy himself with it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is done to make cautery with iron, we should not push lightly and not postpone the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And now I have ordered this chapter on cautery according to chapters, and I have ordered those of the head within the feet, so that it is clear to the demanding one what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On cautery for headache caused by coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers on the humidity and coldness above the servile accident of which there are two causes, so it is the cause of swelling and multitude of flux rheumatic, called corissa, from the head to the parts of the shoulders and ears, and multitude of drowsiness, and of toothache and of gout, and universally of all illness that comes from coldness, thus as paralytically, swelling and apoplexy, and semblance in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is this, that primarily it commands the patient to evacuate in medicine lacative the whole month, for three or four nights, according to the virtue of the patient and their age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then it commands him to shave his head with a razor, and then to sit between his thighs on a bent bench and place his hands on his own feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then he places the razor in the palm of his hand, placing the paws on the razor at the bridge of the nose between the eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Perhaps emperor, as the finger said from my middle place has arrived, it signs that place with a probe, and then lights the cautery iron of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then he places it on the marked place with a probe, in a manner that descends, in which the finger of the hand is constricted little by little, and you revolve it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then he lifts his hand lightly and regards the place, and if you see already from the bone being discovered some quantity of the head, thus as the quantity of grain of errors, then he lifts his hand, and if it does not turn to his hand in that iron, in another of that, if it is frozen, until it is seen by the bone what I have said to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the place and let it sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place it on the wrapped cotton in a bundle and let it sit until the crust of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the place with four-part remedy until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And I said that when the Roman plague breaks out, it is better to take the arm, because it is more beneficial and cures quickly.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	I said that some of them should be cauterized on the back of the bone, and hold the cautery until it reaches a certain part of the spine.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then it is necessary to adjust the bone, and then it should be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	I said that others should apply the cautery to the back, until it penetrates deeply into the bone and strengthens it so much that the bone breaks, and this is the method of healing a small fracture.
E estiman de aquel loc expiran la vapors del cap.	And I believe that from that place, the vapors of the head are expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it has been held in the open plague for a long time, and then it should be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have never seen these two special kinds of cauteries, except in some homes according to the way of fear; and thus, you see, it is better for my health, when it is; because the head is deviated from the solution of continuity of the aforementioned, as we have testified in other members, and especially when the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cautery is more safe and better for my health; and from that house and I do that work for my health.
Capitol segon.	It follows accordingly.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the whole head is affected by chronic and long pain, and it is in a prolonged patient, and uses remedies such as poultices and bandages and plasteres and injections and catheters and girdles, and especially if it has been cauterized with a cautery that recounts and does not profit from any of those causes, then consider that the head of the patient is of strong creation in its nature; and it is not frail and atrophied much fear, then that cautery is another cautery beneath that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that above the horn of the dry head with a cautery until the bone is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and discover the quantity of it that we have recounted and cauterize that with a cautery in the back part of the head at the place which is called "vas" — and it is that place where the wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand in this way, and do not uncover the bone, because the patient will feel much greater diverse pain than the pain of all the other cauteries of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery is in its place, because it is known that the cautery which cauterizes the horns of the head and the occiput is a more subtle cautery than the one that is cauterized in the middle of the head; and this is the form of it.
Capitol ters.	The third chapter.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-ancient migrating [or wandering] pains.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain dwells in the head and is stubborn, or it is a pain that penetrates deeply into the vein, then evacuate with medicines thatmondify the head, and administer another cure, which I have said in the divisions of the diseases; and if there is no profit, then cautery is done in two ways: either cautery with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	One cautery with acute burning medicine is that you take a handful of salt, and scrub it and bind the extremities of it to both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the place of pain in the temple with a sharp lancet until it reaches the deep location beneath the bone, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen it above with a stopped constriction, and let it be for the space of three hours; and then dissolve it and extract the salt, and let the plague be for two or three days, and then pause over the submerged joint in a bandage until the place makes a scar.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that with an ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want, make some burning medicines, which I have written about in the second treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	One cautery with iron is done according to this method: ignite for cauterizing which this is the form.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is thus in the form of a key in which there is some curvature, and in the middle place of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause over the place of pain, and hold your hand — so that the acidity which is beneath is not disturbed — and turn the small iron little by little with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it which is disturbed by the spine of the bone thus as much as its greatness, and hold your hand so that the artery is not disturbed beneath, so that there comes no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the joint in salt water and pause it over the place, and let it be for three days; and then hold the joint wrapped in a bandage, and then cure it with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, burn the extremity of the gut with a cautery according to the cautery, and beware not to make an incision in the artery during this emigration, lest it become non-ancient.
Capitol quart.	Fourth chapter.
De cauterizacio d’emigranea antiqua.	On the cautery of ancient emigration.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat emigration as we have said about previous treatment, and as we have said in the divisions of illnesses, and do not hasten the treatment, and sometimes for the illness that does not last with what we have said of the first cautery in medicine or of the cautery in focus, then it is necessary to ignite the cautery tool until it is whitened, because it indicates above the line of the long disease where the greatest pain is, or whatever; and pause your hand for a while and strengthen that before you incise the artery and penetrate into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It is necessary for you to beware of the continuity of the jawbone, which is weakened by the action of chewing, and that the tendon does not become inflamed and the nerves do not undergo evil, lest there be no spasmodic contraction.
