Ayssi comensan las paraulas de Albucasim .	The words of Albucazim begin thus.
Am aquel comensa le tractat de tot le libre.	In this begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	You should know the quality of the joints of that cautery and the imperfections of it, and in what condition it is prohibited to use a cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the joint of the cautery and its imperfections is a long and prolix sermon, subtle by science, and secret veiled; and many wise men have spoken about it, and they have disagreed among themselves, and I will not exceed a little from their sermons, fearing prolivity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery is contrary to the entire universal complexion, which is in matter or its material, except for two complexions which are caudal with respect to their material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the caudal and dry complexion with material it will desiccate; for some say that cautery is beneficial to it, and others say the opposite of it, that cautery is not suitable in a disease which is due to quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that a caudal and dry disease with water that is caustic and dry should be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say that the one who says the opposite of this, that through cautery is made a joint in all caudal and dry diseases that are found in the bodies of men, because when you compare the body of man and its humidities to the complexion of fire, you find the body of man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the sermon of that, that experience has already shown me on several occasions to uncover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I do not think it necessary to go further on this subject, for it has already been explained and exercised in the chapter on cautery by last exercise, and for understanding the diversity of the complexion of men and the disposition of diseases in their respective bodies, and the causes of those, and their accidents, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexions, there is no fear for you, and most of all in cold and humid diseases, for all doctors have agreed on those, and are not discordant on the joint with cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that from the secret of cure by cautery with fire and its goodness, so much is overdone in combining it with medicine, because fire is simple, the action of which only reaches the member that is cauterized and does not harm another member adjacent to it except for a small disturbance.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine combined with it reaches that member in which it is distant from, and very easily brings a disease of difficult healing to the sick member and very easily increases.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, due to its sublimity and goodness of substance, does not do this except that it is superfluous. And it has already been known to us through experience and the long service of studying art over the truth of causes; and therefore I am excused from the length of the sermon. And if it were not for the fact that it is read in a more subtle book in this pause to you, a secret veiled in fire, and the quality of its operation in bodies and its expulsion by which it expels diseases, with philosophical demonstrative speech, which would be useful in your souls.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that some disagree on the time when it is convenient to perform cautery and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, for the inconvenience caused by time accidents is submerged in the joint of that which is attracted to the cautery, and most of all if the cautery is for necessary pains or fistulous pains, strong and painful, which do not suffer tardiness because it is feared of those who bring evil, which is greater than a small inconvenience entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it is not known in your souls, or, sons, that this is not esteemed by anyone except the common people and foolish doctors, so that to that disease which is cured by cautery, there is no reduction at all times, and pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think by this, for cautery is nothing but a place in medicine that alters the complexion and dries up the humors which are the cause of why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But meanwhile, cautery is superfluous over medicine by the will of its virtue and value of its operation and greatness of its Lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that its disease may return at some hour of time, according to the complexion of the patient and the location of his disease, and the virtue of it, and that which is prepared in the body of him from the aggregation of superfluous humors, and that which has been acquired by him through food and similar causes; except that the disease for which cautery is administered is a subtle disease in a member with few superfluous humors and moistures, such as cauterization of the tooth for pain and similar cases, it is possible that it will not return there, but rather this will happen in small degrees.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is also the common saying that cautery is the last resort of medicine, and it is a speech deceiver, not according to what I understand in this, for I believe that there is no cure that profits by medicine or by another nearby cause.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to this; and I understand that cautery is the last resort of medicine only when we administer the methods of cure in certain diseases, and those medicines do not concur, and nearby at the end of the cause one administers cauterization, and it profits by that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here on, I say that cauterery is the last resort of medicine, not according to the understanding which I understand as common and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not make a difference, as it is not absolutely true, for I have already proved and demonstrated that it does not do so except in certain bodies, and cautery with gold is good and better than with iron, just as they say; but meanwhile when you perform cauterization with fire on gold, it is not declared to you, because it is according to the quantity that you want for the roughness of the gold, and since it prepares to receive cold; and if you adjust above it ignition, so that the gold melts in the fire, and case some thin sheets are formed, so that the craftsman can see through the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is necessary to perform cauterization with iron more gently and more precisely, in order to achieve the rightness of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter on cautery according to chapters, and have arranged those from head to feet, in order that the demanding one may be alleviated of what he wishes for.
De cauteri de dolor de cap per frigiditat e humiditat.	On Cauterization of Headache due to Coldness and Moisture.
Le capitol primier.	The First Chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers upon the humidity and coldness over the servile accident of which two causes are, that is, cause of soda and multitude of raumatic fluxes, called corissa, from the head to the partitions of the eyes and ears, and multitude of sleepiness, and toothaches and throataches, and universally all disease that comes through coldness, such as paralysis, sodality, apoplexy, and similar cases in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first, I command the patient to be purged with laxative medicine, clarifying the head, for three or four nights, according to what is required by the virtue of the patient and his age and habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then I command him to shave his head with a razor, and then make that place steady between his two eyebrows on a carved bench, and let his hands rest on his knees.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the razor's stroke at the tip of your thumb on the nose between your eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But meanwhile, as you said about the middle place has arrived, mark that place with a tent, and then ignite the olive cautery of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then pause that on the marked place with a tent, in a manner that it descends, by which my thumb is gradually constricted and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the place, and if you see that already some amount of bone is uncovered from the head, like the quantity of an egg yolk, then lift your hand, and if your hand does not return to the iron, but instead becomes cold, until it is seen by the bone what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the place, and let it remain for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then pause over the wound, covered with a bandage and cloth, and let it remain until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the place with four-leafed gentian medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the wound remains open, so much the better for getting rid of it, because it is more good and more helpful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that some of them should be cauterized with the cord into the bone, and the cautery should be kept until some part of the specificity of the bone is revealed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then it will be scraped away what is adjusted to the bone, and then it will be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cautery it will reach the last stage, until it presses strongly into the bone, until the bone cracks, and this is the form of little alpha-cattery:
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place the vapors of the head will evaporate.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then it should be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I do not see these two species of cautery in all men, except in some individuals according to the way of fear; and leave it alone, as I say, better is with salt when it is so, because the head has been revealed through the solution of continuity there, just as we have testified in other members, and most especially when the patient's head is of a cold nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cautery is more saved and better, as I say; and from that hole and with that work, there is salvation.
Capitol segon.	Second Chapter.
Del cauteri del cap.	On the Cauterization of the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the head a chronic and long-lasting pain occurs, and this is prolonged in the patient, and they use various remedies such as garters, cochias, capipures, emplausters, guats, cadels, and gualinas, and most especially if it has already been cauterized with one cautery which relapses and does not profit from any of those causes, then consider whether the patient's head is of strong creation in its nature; and if it is not cold and finds little warmth, then that cauterizes another cautery, leaving a little interval.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize it over the horn of one's head with a cautery until the cord is parted.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and let the bone be revealed with the quantity we have recounted, and then cauterize it with a cautery in the back part of the head, at the location called the "vas", which is where the windpipe is situated.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand away from there, and do not reveal the bone, because the patient by this will experience a great and diverse pain unlike all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery should be done in its place, because it is necessary to cauterize the horns of the head and the occiput with a more subtle cautery than the one used for the middle part of the head; and this is its form.
Capitol ters.	Fourth Chapter.
De cauterisacio de emigranea no-antiqua.	On the Cauterization of Nocturnal Migraine.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain is soft in the part of the head, or spreads to the eye, let the head be purged with medicines and let another cure be administered, which I have said in the sections on diseases; and if it does not profit, then cauterization in that place is done in two ways: either with acute medicine combined, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But cautery with combined medicine is when you take a handful of alum, and dissolve it, and cut off the extremities from both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then make an incision in the location of the pain on the temple with a well-sharpened lancet until it is made a small opening leaving the cord, so that it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then stretch over it with a stopper to prevent descent constriction, and leave that for the space of three hours; and then remove the plug and apply the alum, and let the wound be left for two or three days, and then pause over it submerged in cloth until the location makes an opening.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that with gentian medicine until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some combined medicines which I have written in the two treatises on combined medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cautery with iron, according to this manner: ignite the fire of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is like a form of a key in which there is some curvature, and in the middle part of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause over the location of the pain, and hold your hand - so that the arc may not be revealed which is left behind - and rotate the small iron piece by piece with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is revealed by the specificity of the cord is like the majority of it, and elevate your hand for this reason, that the artery may not be revealed which is left behind, lest a flow of blood should come.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the cloth in saltwater and pause that over the location, and leave it for three days; and then pause the cloth with a bandage, and then cure with gentian medicine until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize the extremity of the scalp according to the cautery, and take care not to cut into the artery in this nocturnal migraine properly non-antique.
Capitol quart.	Fourth Chapter.
De cauterizacio d’emigranea antiqua.	On the Cauterization of Nocturnal Migraine (Antique).
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure a nocturnal migraine with the method we have described for previous cures, and what we have said in the sections on diseases, and if the cure does not profit, and at times the disease is so great that it does not reach to the point of what we have said about the first cautery with medicine or with fire, then it is necessary to ignite the scalp cauterizer until it is well-alighted, since you signify on the location of the pain with a line of length equal to the majority of the digit, or whatever that may be; and pause your hand for a moment and stretch it out, so that the artery may not be cut into and reach to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to beware of the continuity of the jawbone, which is marred by the act of mastication, and that the ligament is not torn and the nerves which are affected by it, and that there is no spasmodic seizure.
