Ayssi comensan las paraulas de Albucasim .	Thus begin the rules of Albucasim.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he dislocated according to his own desires, and then he relieved, and then he left it for several days and commanded that we should not touch the limb; and it was thus until the thigh and the foot became apostematous, and he came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you have already called him a destroyer, and he was unable to dislocate the limb, and consequently it was tranquilized and thus he was free from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption was already confirmed in the limb, so that he could not restrain it, and he did not cease to walk with the corruption in the limb until the patient became worse.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous abscess, and he ulcerated it for several days, until the malice of it was magnified in his lord's sight.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the cancerous tumor was pure melancholic humor, then it did not cover that it would come to him with iron of all, but rather it was in a member which suffered from all, as if it had been held.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for that, sons, it is necessary for you to know that the operation with my hand is divided into two devotions: one is an operation associated with health, and another work in which there is danger in major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed in every place of this book where you found operation in which there is error and fear; because it is necessary for you to guard against that and leave it, so that the fools do not find a way to speak and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take up your arms in solicitude and protection of God, and your evils are abolished and confirmed.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And you will be on the best way for the grace of God, persevering in salvation and laudable success, and you will leave the terrible evils of difficult healing, and you will put away your arms from that which makes you fear, so that you may establish faith in your heart and in your name you may not be evasive: because more remains to your glory, and afterwards in the world and finally to your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Because there are many useless medicines:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	There is no medicine for evil, because bad doctors are not named.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Here begins the division of the book, and first of the first partition.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the head and feet, in the forms of instruments and in the preparations of cauteries, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second partition.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on suction and perforation, and on cupping glasses, and on poultices, and on the extraction of arrows and on similarities to those, all chaptered and ordered according to the forms of instruments.
Divisio de la tersa partida.	The division of the third partition.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of twisted limbs and similarities to those; a chapter ordered from head to feet, and according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and acute medicine and recollection of the operation.
Am aquel comensa le tractat de tot le libre.	Here begins the treatise on the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will discuss the quality of the juices of that cautery and of its instruments, and in which complexions it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the juice of cautery and its instrument is long and prolix, subtle for science, and secretly hidden; and already many wise men have spoken about it, and they are discordant, and I need a small part of their sermons, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery confers on the whole universal complexion, which is either material or non-material, except for two complexions, which are cold complexions without material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the cold and dry complexions there is discord; for some said that cautery is juice against that, and others said the contrary, that cautery is not convenient in evil complexions which are by quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that evil cold and dry complexions are healed by cautery which is hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say to him who says the contrary, that by cautery it is made juice in all evil cold and dry complexions that are found in men's bodies, because when you compare the body of man and its humidity to the complexion of fire, you find the body of man to be cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say through the sermon of that, that I have experimented and already discovered many times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Moreover, I do not know that someone has written about that which is already experienced and exercised in the chapter on cautery through previous exercise, and has known the diversity of complexions in men's bodies and the disposition of evils in their metesises, and the causes of those, and their accidents, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	Moreover, in the other complexions, it is not about your fear, and especially in cold and humid evils, because all doctors have agreed on those, and they do not disagree on the juice with cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that the secret of cure by cautery with fire and its goodness, so on cautery as combined medicine, is because fire is simple, whose action does not penetrate except to the member which is cauterized and does not harm another member unless it is a small nuisance.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	Moreover, the action of combined medicine penetrates to that in the members which are afflicted by it, and strongly makes them come into the difficult-to-heal member and strongly helps them.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Moreover, fire, by its sublimity and goodness of substance, does not make anything except that it overflows; and it is already known to us through experiment and long service of study in the art about the truth of causes; and for this I have excused the length of the sermon; and if it were not that I do not read my own book in this passage to you, secretly hidden with fire, and the quality of its operation in bodies and of the expulsion through which it expels evils, a philosophical demonstration sermon, which will be acute in your pious pages.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they disagree on the time when it is convenient to use cautery and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, because the nuisance from the accidental time is submerged in the juice of that which is attracted by cautery, and especially if cautery is for pains or necessary pains, strong and fast, which do not suffer delay so that it is feared for those that bring evil, which is greater than small nuisance entering for a short time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus I do not catch in your pages, or, sons, that which is not esteemed except by the common people and foolish doctors, so it is that for that evil which is healed by cautery, it does not return at all times, and pauses that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not so, because they do not understand that cautery is only in place of medicine which alters the complexion and dries the humidity which are causes for why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	More masters excel in superficial medicine for the will to validate their worth and virtue of their operation and greatness of their lord's sense.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the patient's illness returns at some point in time, according to the complexity of the patient and the location of their illness, and its virtue, and what has been prepared in their body by the aggregation of superfluous fluids, and what they have acquired through their habits and similarities with those causes; but that the illness for which cauterization is administered is a subtle illness in few superfluous and humid parts, thus as if cauterization is done for toothache and similar to that, it is possible that the pain does not return there, more so it happens in small children.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common speech is that cauterization is the last resort of medicine, and it is a desperate remedy, not to what they understand in it, because they believe that it is not a cure that profits from medicine nor another cause that profits from cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cauterization is the last resort of medicine is not but when we administer various methods of cure in certain illnesses, and those medicines do not confer, and then at the end of the cause we administer thus cauterization, and it profits from that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And henceforth I say that cauterization is not the last resort of medicine, but according to the intention which understands the common people and many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that gold cauteries are better than iron cauteries, and they did not say so except for the equality of gold and the limitation of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauterization does not make a scar, as if it is not absolutely virtuous, because you have already practiced and experienced that it does not do so except in certain bodies among others, and cauterization with gold is good and better than with iron, as they said; but more masters when you make cauterization with a focus of gold, it is not for you to declare, because it is according to the quantity that you want for the roughness of the gold, and prepare to receive freshness; and if you adjust on top of the ignition, the gold makes a focus for the fire, and in the fire some laminas are made so that the artisan can occupy himself with that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is done to make cauterization with iron, we do not push lightly and do not approach closely to the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cauterization according to chapters, and I have ordered those of the head within the feet, so that one can lift the demanding part that wants it from them.
De cauteri de dolor de cap per frigiditat e humiditat.	On cauterization of head pain due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers on the humidity and coldness above the servile accident of which there are two causes, so it is the cause of swelling and multitude of flux rheumatic, called corissa, from the head to the parts of the ears and eyebrows fluent, and multitude of drowsiness, and of toothache and of gout, and universally of all illness that comes from coldness, thus as paralytically, swelling and apoplexy, and similarly in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this, that primarily it commands the patient to evacuate in medicine laxative the whole mind, for three or four nights, according to the virtue of the patient and their age and their custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his whole head with a razor, and then do so that he sits between his thighs on a heated bench and places his hands over his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the razor of your palm then put your fingers on the razor at the bridge of the nose between the eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	More masters, since the finger said of my own place is arrived, signifying that place with a probe, and then ignite the olive oil cauterization of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the sensitive place with a probe, in a way that descends, at which the finger of the hand is constricted little by little, and you turn that around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and regard the place, and if you see that some quantity of the head is discovered, thus as the quantity of grains of errors, then lift your hand, and if it does not return to your hand in that iron, in another of that, if it is inflamed, until it is seen by the eye what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve that over the place and leave that for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place it on the sewn wound in a bandage and leave that on until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the place with four-part medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the Roman plague breaks out, so much better gets the scar, because it is better and more youthful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that some of them who are cauterized on the back of the eye, and hold the cautery until it is adhered to some part of the spectacle of the eye.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And it is necessary to adjust what adheres to the bone, and it is necessary to cure.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	There are others who apply the cautery to the rear, until it penetrates into the bone strongly, so that the bone is seized, and this is the method of small abscesses.
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place exudes the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it has been held in the open wound for a long time, and it is necessary to cure until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two special kinds of cauteries in total, unless in some homes according to the way of fear; and therefore, you should tell me, it is better for my health, when it is; because the head is developed by solution of continuity of the aforementioned, as we have testified in other members, and mainly when the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cautery is most safe and better for me; and from that house and I do that work for my health.
Capitol segon.	Following chapter.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the entire head is affected by chronic and long pain, and it is in prolonged illness, and uses remedies of gerras and cochias and capipurges and emplaustres and guatz and cadels and gualinas and semblantz, and mainly if it has been cauterized with a cautery that recounts and does not alleviate any of those causes, then consider that the head of the patient is of strong creation in its nature; and it is not frail and atrophied from great cold, then that cauterying is another kind of cautery beneath that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And it is necessary to cautery above the horn of the dry head with a cautery until the cord is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the cord and discover the bone with the quantity that we have recounted and cautery it with a cautery in the rear part of the head at the place called "vas" - and it is that place where the wind is paused.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand in that way, and do not discover the bone, because the patient suffers from great diverse pain, unlike the pain of all the other cauteries of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will direct this cautery to its place, because it is known that the cautery is the one that cauteries the horns of the head and the occiput is a more subtle cautery than the one that is cauterized in the middle of the head; and this is the method of it.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-ancient migrating [humors].
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the head, or it is extended to the vein, then evacuate with medicines that mundify the head, and another cure should be administered, which you have described in the divisions of illnesses; and if all does not alleviate, then cauterying is done in two ways: either cauterying with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	A cauterying with acute burning medicine is that you take a piece of alum, and scrape it and bind the extremities of it to both ends of the heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And it is necessary to incise the place of pain in the temple with a sharp lancet until it reaches the bone beneath the cord, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And it is necessary to apply pressure above it with a stopped descent constriction, and let it be for three hours; and then dislodge it and draw out the alum, and let the wound be for two or three days, and then pause on the covered area submerged in water until the place makes a scab.
E aprop cura aquel am enguent entro que sia sanat.	And it is necessary to cure that with an ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see, make those some burning medicines which I have written in the second treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	A cauterying with iron is done according to this method: ignite for cautering of which this is the form.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is like a form of key in which there is some curvature, and in the middle place of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And it is necessary to pause on the place of pain, and hold your hand — so that the acidity which is beneath does not hurt — and turn the small iron little by little with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is hurt by the specificity of the cord is as much as the size of it, and hold your hand so that the artery is not hurt beneath, so that there is no flux of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And it is necessary to soak the area in salt water and pause it on the place, and let it be for three days; and then pause the area wrapped in bandage, and cure it with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cautery the extremity of the cutaneous area according to cautery, and beware of incision of the artery in this non-ancient migrating [humors] properly.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	On the cautery of ancient migrating [humors].
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an acute case that we have spoken of in the previous treatment, and what we have said about the divisions of the illnesses, and do not hasten the treatment, and sometimes for the illness that does not respond to what we have said about the first cautery in medicine or the cautery in focus, then it is necessary that you ignore the cautery cut into the skin so that it becomes white, since it indicates on the line of the long bone where the greatest pain is; and place your hand for a while and strengthen it until you reach the artery and penetrate to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It is necessary for you to take care of the continuity of the jawbone, which is essential for chewing, and that the ligament is not injured and the nerves are not damaged in a way that would hinder its function.
