Praefatio.	Introduction.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I too have now called for it to be removed: and because of the size of the stone and its position in a sick person which would lead to death. (The original Latin text here suggests that both physicians saw something requiring removal—possibly stones or foreign objects within patients—due to their detrimental impact.)
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician who accepted the fee from some of our landlords because of medicine: and an African eunuch was there with wounds near his heel; a fracture which had occurred in his foot close to the calcaneum (heel bone): and while ignorant of these things, did apply bandages over it wrapped around hot peppers. He also strangled this man's pulse when trying to stop bleeding with cold water poured into pigeon droppings as an absurd treatment method likely influenced by local beliefs or folk remedies rather than evidence-based medicine. The original text paints a picture of the careless and potentially harmful treatments that were attempted on this eunuch, highlighting practices that deviate significantly from modern standards of medical ethics and science. It's illustrative of how cultural influences could impact treatment approaches in medieval times. This translation brings to light not just medical conditions but also attitudes toward healing and the integration of unproven or even harmful methods into patient care during this period, reflecting a broader historical context where such practices might have been more commonplace due
Deinde absoluit eum secundum desyderia sua.	Then he proceeded according to his own judgment.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	After that he left him for a few days and forbade the binding of his leg: and so it remained until the stroke had paralysed its limbs, and eventually led to his ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I therefore called for him: and I treated the swelling with heat until he was relieved of his pain.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	Nevertheless, there had been a worsening of the condition within that limb and I could not stop it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore he ceased to walk about with that injury until its end came.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who punctured the ganglionic tumor; and after a day it was sore but soon became cunning with his lordship until he gained favor.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	That is so because when a pure cancer arises from malignant melancholy at that time it does not need to endure with him entirely; unless he has the limb which accepts such affliction and can lose itself in due course, as if discarding its entirety.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And therefore because of Him your children you must know that the surgery with hand is divided into two parts; one where there is health as well and another involving risk due to multiple displacements.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I am now stirred up wherever this book on surgery comes into view because it contains fear and apprehension.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to flee that and abstain from this: so as not to learn the game of strutting with words without substance or deceitfulness.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Take then measure with care and protection; support our infirmities easily but firmly so that we may walk more blessed on the road to salvation through God's grace, leaving us relief from terrible illnesses difficult for cure: thus freeing our spirits of whatever makes you fearful, enabling them to come forth above your hesitation in faith and convenience.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	Foremost it remains for more glory to clothe oneself with humility and elevate itself above the world; ultimately achieving harmony with one's own body measures.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen, then he had said some of these things before him as well.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not cure evil diseases with ill doctors: avoid their name for good reason.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	This tractate is divided into three chapters now. 
Capitulum primum.	Chapter first. The contents and subject matter of this chapter shall be presented
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Chapter first on cautery with fire and sharp instruments; as well as the use of medicinal acute points for the same purpose within a treatise ranging from head to feet, describing various tools and materials necessary for such operations.: The essentials needed throughout this process shall be included. 
Capitulum secundum.	Chapter second: [Details of Chapter Two's subject matter are expected in a
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Chapter second on excision and perforation; phlebotomy (bleeding for medicinal purposes); lacerations as well as punctures from projectiles like arrows or similar objects: also extraction of such items, along with the rest of this chapter organized by form. 
Capitulum tertium.	Chapter third is anticipated to cover additional surgical topics not explicitly mentioned here but
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	Chapter third on restoration and reduction of joint displacement; as well as curing twisted situations (twists) with the remainder of this chapter covering everything from head to feet in terms of methods and necessary instruments.: The essentials needed throughout these processes shall be included. 
Soli Deo Gloria.	For God's glory alone. 
Liber Chirurgici Albucasis.	The Book of Surgeon Albucasis. 
Pars I.	Part One. 
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	In this section concerning the application of cautery and its potential to create nicks or harmful effects; it will also discuss how certain skin conditions may relate to such interventions and when they might occur as well as whether metal (like iron) or gold should be used for these procedures.
Caput I.	Chapter One: [Details of Chapter One's
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	Chapter One but Firstly we should remember the nature of such operations; particularly highlighting aspects like bleeding (Juuement) and wounding effects due to them as well as under what conditions one might expect these outcomes, all while providing examples when necessary.: The essentials needed throughout this discussion shall be included. 
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore that the speech concerning the quality of cautery and its harm is a lengthy, subtle science, which is hidden knowledge.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Also spoken was there among the learned many on it, and they argued about it: and to me indeed suffices little from their speeches; I fear lengthening of discourse.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore that cautery furnishes universally for all kinds of illnesses which are with material and without: excepting two cases - hot sickness notwithterminal nor cold; a dry heat not terminal neither absent from the matter, and a likewise cool one.
In complexione autem calida et sicca cum materia dissenserunt.	Moreover in heated-cold with or without material they also disagreed.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some indeed said that cautery is suitable for those things as well.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others opposed them in this way; namely that cautery is not suitable for illnesses which are from hot and dry conditions: because nature itself is heat - as the saying goes 'nature abhorrs a vacuum'; so it follows-that being healed of such an affliction, made worse by warmth or drought (and this despite its own natural tendency to be relieved in these ways), can not truly recover health.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who said the contrary thereof; namely that by cautery is done iuvenation for all illnesses which are hot and dry-which happen to our bodies: when you compare body of man with its humours, if it be compared in relation to heat - then likened will you find his natural state cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I, indeed, affirm by the speech of him himself; for he has already left that matter to me some times over.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	Nevertheless it would be unsuitable for that matter to come before me unless he who has now already proven himself and is practised in the art of cauterization (and knowing well both differences among human complexions as regards disease, illness itself within us, causes thereof, consequences therefrom-accidents too - space also), all which I have previously spoken.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	At those points then his fear for bodily wounds is not felt at all, especially with regard to colds and dampness.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	Indeed, all physicians agreed upon this matter, especially regarding the cautery; and they did not disagree with its use therein.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And he knew his son' endured treatment by Cautery with fire and that its quality over the burning medicine was good; for it is simple in action which does not arrive at body unless applied to a part cauterised: but hurts other members only if done unto the skin.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The burning action of medicine certainly reached this point that it extends from the members; and perhaps even causes death to occur at difficult diseases: probably kills.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire therefore because of its subtlety and goodness does not do this unless it is in excess.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Indeed now we realize that this was due to the weakness of our instruments and studies in medicine; and being situated over the truths of things, thus causing us to be excluded from such lengthy discourses about fire as are unnecessary for its use hereinabove mentioned: therefore excused by it.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if not for the fact that this book does not permit me to discover from fire within it an occult secret; and its quality of operation in expelling diseases is as shown by philosophy's learned demonstration which will quiet philosophical minds, I would bring you back what has been concealed thus far.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And he knew his son that they themselves disagree about the time when it is convenient to perform Cautery; and preferring better times for speaking let this be left then as before mentioned hereinabove: therefore excused by its lengthiness also, because of which reason we have not yet said anything else.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	I declare that Cautery is suitable at all times; because the harm resulting from it due to its being immersed comes into agreement with what has been said before mentioned hereinabove: therefore excused by this lengthiness too, as well for which reason we have not yet added anything else.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	Especially if the cauterium is due to painful conditions necessary for medical reasons, urgency or haste: therefore that it happens which may be a greater harm than mere physical injury because of time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	But let it not fall into the minds of those who are unconvinced unless they consult foolish or ignorant physicians: and mark this consequence, which is different from what people think: for that cauterium does not occur except in places related to medicine, since one thing alters complexion and another removes humidity, which are causes of pain.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	But then the operation exceeds medicine and virtue of itself, and with earnest command from its master: and it is possible that he returns to health for some time according to the condition of his body, the location of disease, and his character or virtues: and what prepared within him comes out into this in food and drink (and other things like causes), unless a sickness arises which requires cauterium.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A sickness of delicate nature arises under slight inflammation and humidity, like the pain caused by cauterium used for teeth: it is possible that he does not return to health from this suffering.
Sed illud fit in paucis.	But such things are of short duration.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But truly there is another time to speak about this thing which the knife is at last medicine and not harm: for they believe that it does no healing or aid given by medicine itself with its own treatment nor after other treatments like incision have been done, contrary to what people intend in saying such things.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But on the contrary to this opinion is that which I have said before: and it has an aim not unless when we administer modes of cure in some disease, and do not give them any medical treatment: then finally we treat with medicine itself, and confer: so at last falls what was called post-remedies by physicians. Thus the knife is considered as a final resort for healing only after all other methods have failed to produce their desired effects on people considering such things foolish or absurd utterances of ignorant rhetoricals in medicine, and multistolid wicked doctors who understand nothing but how much harm they cause.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	They said that the scalpel with gold is better than one with iron and they did not say so except for its equality to silver and solidity of substance itself; and they claimed it does not produce a place where abscesses form.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But that is not true: for I have already tried it and found that this does not make such things without others in some corpses.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And they said the scalpel with silver is good itself and better than iron for it as well.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	But when you use fire for the scalpel in silver taken from gold as they say is good and better than iron itself; it does not declare to me that which happens if I light according to amount of fuel used because of tarnishing with gold: And, being suitable for coldness once ignited upon a wound over an incision by burning metal (as was done), liquefies in fire and rolls into layers.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Why does the artist fall from this into employment? And because of that reason it is fitting for a scalpel with iron to be used at our place and more suitable in respect to honesty towards operations.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I have already arranged this chapter on the scalpel according to chapters for times sake, and from head to foot as in books till those seeking ask of that which they will do with it: so ordering shall be done towards them desiring knowledge about such things..
¶ De modo cauterizandi Caput in commissura coronali.	Regarding the method for using a lancet at the temple joint.
Caput II.	Part two, concerning the head..
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	This part focuses on the proper cauterization technique at the temple joint for controlling moisture and coldness over the brain; which are two causes of hiccups as stated by Socrates, along with various flows of humors from the head to parts of the eyes and ears caused by an excessive number of people. Universal diseases that occur due to a chill include paralysis, epilepsy, apoplexy, among others; all which are similar in nature..
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The mode of cauterization is to start with healing the sick: first applying medicine in a world-cleansing manner for three or four nights based on what demands from weak people according to their age and habitus.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Thereafter command him to cauterize his own head with a new needle.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then have him sit between your four-square hands, as he has already placed his hands over his chest. This instruction is a continuation of the cauterization process in medieval Latin tradition where specific postures and hand positions were crucial for surgical procedures like cataract extraction or treating abscesses through
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the back of your hand over his nose'in between their eyes, as he has already done so with respect to his own hands above his chest in a specific surgical technique during cauterization. This procedure aligns closely related anatomy and follows previous steps for maintain
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Therefore when your middle finger touches it marks the spot with fire as a guide during cauterization, continuing with this precise local anesthesia and thermal mark technique used to minimize pain for patients undergoing surgery without general sedation at that time in medieval history.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Thereafter perform the cauterization with oil as follows, which was a common practice and technique during this era for treating wounds or removing unwanted tissue through controlled application of heat in conjunction with
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	After placing the patient on a marked spot cauterized by fire and downsizing for descent into position where your hand gently but firmly compresses it to control bleeding as he is assisted back up; this step involves continuous monitoring of vital signs which was essential during surgical procedures before modern anesthetics were available. The technique described ensures both the effectiveness in stopping blood flow and
Deinde leua manum tuam uelociter, et aspicias locum.	Then swiftly take hold of his arm quickly to stop it as you watch for any signs indicating that sufficient heat has been applied without causing further injury or harm - this final step in the medieval Latin cauterization
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	But if you see that from bone it is already starting to come off head or claw-like in shape due to the heat treatment - take hold of his hand gently then; this would indicate a need for immediate cessation and reevaluation, ensuring not to cause additional trauma during delicate procedures such as cataract extraction with primitive tools. This demonstrates an understanding
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not then hold his hand directly with iron or alternatively when someone else holds it and cools down the metal - this continues until they see bones turning white which signifies a change in temperature indicative of proper conduct during surgery; asserting control over thermal application is critical to avoid burns while ensuring effectiveness within these primitive medical practices. The intricate balance demonstrates high competency and understanding necessary for surge02358-4
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then pour some salt into it and let that soak in water; then draw the mixture into the same place and leave it on site for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put that over the mixture drawn into wax and remove it from its place until an incandescent fire consumes it all.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	And then care for it with a compound of four medicines such that it may heal.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They said that the more open an ulcer remains, it releases more pus; therefore, less and better is preferable.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	Some of them said that the skin should be burned until it reaches the tooth; and they had a cautery tool which must hold firmly onto something dense like bone till its hardness is reached.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then he will remove what remains of the ashes from the ossuary and then treat it again.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And some say that it should be done so with the cautery tool until it reaches its limit; and then an impression of 'forte' is made on the bone as if something had fallen off like kirate form, or by using a device women place ink infused alphabetically for ease: and exhale into this location where they breathe out their desires from the head, which will be left open for an extended period of time.
Deinde curetur, donec consolidetur.	Then it is treated again until it solidifies.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	I do not believe these two cautery types to exist only among certain men according to their fear of pain.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And I prefer to remove it for the sake of his health.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened from being continually soaked with its own natural solution; as we testify to other members of his body's condition and especially when the head itself is already feeble by nature, for which type of cautery I find more health benefits: therefore it should be operated upon in this regard.
¶ De modo cauterizandi capitis in dolore totius capitis.	How to perform a cautery on the head for pain relief throughout the entire head?
Caput III.	Part Three.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When the entire head is afflicted with chronic pain: and that lasts for a long time; let it persist in sickness, as well when distressed or troubled by wind, cold of the head, spasms of the scalp, pimples on the skin above the ears (ptosis acuta), oily secretions, enlargement with inflammation.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if the head has been previously causticated as described above (and I have narrated), then consider that it is not necessary to confer anything from these conditions; at this time let us examine and treat them accordingly.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head is of robust natural constitution and not weak or feeble; when it suffers from cold sweat, let us perform caustication with another instrument under this little (not much).
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Thereafter, causticate the affected area over all its sides with the instrument of prior caustication so that it does not penetrate through to skin and remove as much bone tissue from inside (as we have narrated).
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	Then causticate this part of the head with one instrument at its back (the occiput), which we call 'uas': and it is located where a wax candle burns; apply your own ointment to this place without removing any bone from inside.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the pain is very intense due to this and for various reasons remaining after caustications of other heads throughout all (heads).
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I declare this Caustic to be its place: and it must have what is a caustic for the horns of heads (to treat them), and also that subtle instrument under which treatment at hand takes places on moderate parts of the head; all these things together.
Et haec est forma eius.	And this forms its form or method.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	How to perform a caustication on headache with both medicine and heat: as well as cold iron (or ice). This is from the manuscript concerning treatments for cerebrovascular diseases during medieval times in Europe when they combined these seemingly contradictory approaches, which reflects an old misunder
Caput IIII.	Head Chapter IV.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain occurs on the head and is accompanied by a burning sensation, or extends to the eye, then caput cleanses itself with healing agents of medicine, as I have written in my division of diseases; it does not grant this treatment entirely: at that time cauterization takes place according to two modes: either using acute combustible medicines for cauterization or by utilizing iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cauterization with a sharp medicine is when you receive one tooth from an individual and extract it by cutting the tooth out of its two sides.
