Praefatio.	Introduction (In Medieval Latin texts such as this one
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	1. I argue that cauterization provides a universal benefit to all kinds of wounds without considering the material composition: except for two types - one being heat-related injuries absent external application (calida) and another dry injury also independent of direct stimuli or materials involved (sicca). These exceptions showcase Albucasis' understanding that cauterization, while beneficial in most cases, requires specific considerations when dealing with unique wound types.
In complexione autem calida et sicca cum materia dissenserunt.	1. In the case of other injuries where heat and dryness are present together but also involve material (like foreign bodies or debris), differing opinions arose among Albuc
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	1. Some indeed said that cautery is suitable for those injuries as well. This implies a broader acceptance of the use of heat and iron or other conductive materials to manage wounds beyond just lacerations, suggesting alternative applications may have been recognized by
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	1. Others argued the opposite view that cautery is not suitable for such ailments as well; specifically citing heat and dryness (caliditate ac siccitate). Since fire inherently represents heat (ignis est caliditas), it would be inappropriate to use something hot or even cold, which can also cause further harm when the injury is already from warmth or arid conditions. This position indicates a nuanced understanding of wound treatment that considers not just external temperatures but their effects on healing processes and potential for additional damage before cauterization might be considered at all by Albucasis or his contemporaries.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who speaks against him said that by means of Cauterium it is performed incision or burning for every hot and dry illness that occurs within the human body; because when you compare a living man's body with its moisture, as if likened to fire, then inevitably you find his body cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And indeed I say by his words: because at some point now it has left me through experiment.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However it should not come to pass unless he has already been tried and exercised in the chapter of Cauterii operation itself; having known for a long time the diversity of human complexions, as well as the disposition towards diseases within themselves and their causes and accidents, along with the spaces they occupy temporally.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	However there is no fear of these remaining persons for the use [of Cauterium]: especially with regard to diseases that are cold and moist.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	Now all the physicians have nourished themselves with this [discourse on cauterization]: and they did not disagree therein.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And he knows that his son understands [the secret of curing through Cauterium with fire and its virtue over burning medicines]: for it is simple, whose action does not reach the body unless cauterized: nor does a member join in union with another except to nerve parasitic growth.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The action of medicine with burning has come to this [that it extends from the body's members]: and perhaps even happens within the member itself; making difficult healing possible, or causing death.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire because of its subtlety and goodness does not do that [cauterize] unless it is in excess.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Now indeed it becomes clear to us through the experience of trial and study with art [surgery], as well as being stationed over urging things along in reality; hencefors, because of this he has been released from that long narrative.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not so that this book of mine is closed to you, we would reveal to your secretly hidden mysteries in fire and the nature of such operations as they expel diseases through language philosophically demonstrated with intent to cure minds afflicted by ailments.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And the son knows that they disagree at the time when it was fitting to do a hot iron and choose better timing with words.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that the hot iron was meant for all time: therefore, because a harmful effect occurs due to being engulfed by water, it is drawn into injury along with the treatment itself.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	Particularly if the hot iron is due to acute pain from indispenerable needs such as wounds that do not endure delay: henceforth it happens because of fear born out of this, which concerns a greater harm than any minor injury caused by tardiness in time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And it will not fall to the mind of such a son who does not fear unless they are influenced by foolish or inept physicians: for these individuals believe that diseases treated with hot iron do not return forever; and so they endorse this misconception, which is incorrect because there would be no use of fire except within medicine's practice. Specifically to treat conditions like complexion alterations and loss of moisture due to causes such as fever or chills that result in pain: for these individuals wrongly conclude a cure by themselves without the aid of medical treatment which requires this hot application, because there would be no need for fire unless it served within medicine.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	Nevertheless, the hot iron is superfluous to medicine through excessive or unjustified surgery and operation efforts: as well as arrogance towards one's own domain; it is possible that healing will return a patient for some time period according to their condition regarding complexion and location of illness, provided they are not suffering from an ailment requiring the administration of hot iron. This happens because preparation occurs within them: which succeeds in returning directly back into themselves through food intake and similar provisions (not if there is disease), as part of its inherent curative action that does not necessitate external fire application, since it returns without this need for medicinal practices outside the body.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	The delicate pain under the excessively moist and swollen limb is due to humidity, like that of dental burning therapy, which makes it possible for him not to return with pain there.
Sed illud fit in paucis.	But this hurts little.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But really that speech is just talking nonsense again: because they say it's about the last medicine in surgery (cutorium), which does not lead to this thing intended therein by themselves, nor with any other aftercare associated therapy as well; since those who use such believe it provides a cure when it has been given no curative treatment and nothing else is done afterwards.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But on the contrary of this opinion is true, and intent in that medicine which they claim as last surgery: it's not so unless when we administered to any patient with disease for some curative means (medical methods), then gave those medical treatments; afterward apply our own cauterism proper methodology therapy. After applying this procedure, the reason of saying that such medicine is last in surgery no longer exists: because as it was originally intended by them themselves and multistolidorum physicians - whom they think to be ignorant fools with many opinions about health matters- does not refer to those actual practices which we have administered beforehand, but instead follows misguided words of the unlearned.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	But the ancients said that caustic with gold is better than caustic with iron; and did not say this except because of equality in metal (gold's value), sublimity of substance, and also it does not make a place where pus may arise.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But this is not absolutely true; for I have already tried that out and found it to be false: because itself does not make a cause without other things (without additional medical interventions) on some bodies only, but rather exacerbates the condition by introducing heat where dryness should suffice.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And indeed that is a good and better caustic than iron, as they said: because it does not burn like fire but rather cools the area with less discomfort to patient's flesh while still promoting healing of wounds through its cauterizing effect
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when you take an iron cauterium from fire into gold and do not declare it to be so before using it on the subject according to the amount of poison produced by its heat because of blackening with oil; and after proper treatment for coldness has been applied as well as placing a layer above this incision, when these treatments are complete, then melts in fire and is poured into layers.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore, because the instrument falls from that into its employment; and since our cautery with iron is more nearly to nature in this respect: it approaches nearer accordingly towards surgical operations.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I indeed have arranged this chapter on cautery according to the sections from head to foot, in order that one seeking it may find what is desired about such a matter herein mentioned.
¶ De modo cauterizandi Caput in commissura coronali.	Concerning the manner of treating the head at the crown-joints, namely: how to perform this operation effectively and safely using various methods detailed within these pages. This instructional segment is
Caput II.	In Caput I., Albucasis elucid
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	In this Chapter II., Albucasis conveys the art of treating by cautery to control moisture and cold over the brain: which are two causes of sausages; as well as abundant flowing from the head towards the parts of eyes and ears, an excess of sleepiness, pain in dental issues, discomforts in gastrointest0392_tummunity, etc.; all these afflictions resulting directly from coldness. This condition is universally applicable to every ailment that can arise due to chilling or frigidity, as are paralysis, sausages (epilepsy), apoplexies, and so forth with similarities among them. The treatments for these conditions also fall under the same category of cauterization methods used herein described in detail within this section.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The mode of cauterization is as follows: initially treat the weak head by applying one to three nightly cupping sessions using medicinal oil, adjusting for age and customary practices associated with such treatment among infirm individuals in their respective lifetimes and habits. This therapeutic method aims at restoring balance and health through physical manipulation of body fluids within the confines of traditional healing rituals delineated herein, without additional commentary on the subject's broader context or implications beyond Albucasis’ instructional scope in this specific work.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then command him to make his head with a new skull.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Therefore instruct him to sit on your squared table as he has already placed her hands over his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the leaf of your hand (surgical tools) on their nose between their eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	However, as soon as my middle finger comes into contact with it, set the place afire (apply a cauterizing substance). This instruction is particularly urgent given its implications for treatment and immediate action to prevent further harm or spread of disease during that era's understanding.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Therefore, apply cautery with oil as follows (this is the method): Firstly...(no further instruction provided to translate).
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it over the marked spot with fire underneinfluenced by gravity to ensure a deep burn; do this gradually as your hand is drawn inward and then retrieve it yourself (the practitioner or patient). This procedure's urgency reflects its purpose for creating an appropriate wound environment, characteristic of Albucasis' surgical techniques during the medieval era. Unfortunately, due to incomplete instructions
Deinde leua manum tuam uelociter, et aspicias locum.	Therefore loosen your hand and observe the spot (the area where treatment or action is required). This instruction indicates a need for careful examination before proceeding with any further steps in Albucasis' surgical
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	However, if you observe that the quantity of bone from either head or skull is insufficient for your needs (either due to disease like leprosy causing loss), then loosen your hand (as a precaution against unnecessary strain before alternative methods are considered). This sentence reveals Albucasis' understanding and adaptation when traditional sources of materials were compromised, possibly leading
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	But if not possible to loosen the hand or find more bone within a short time (due to limited supplies), then try again with iron itself; do this alone until you see signs of healing in your own bones as described earlier (evidence that treatment is working). This command underscores Albucasis' resilience and determination to achieve surgical success under challenging conditions, highlighting the crucial role self-experimentation played during his medical
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Therefore apply a little from the salt; dissolve it into water and then drink this saline solution inside your body (by placing an enema of course); lay over such spot until removed after three days, leaving behind nothing but healing as promised earlier in Albucasis' medical texts. This directive reflects early practices in wound care with a combination of external application via the skin and internal methods to promote recovery from disease or injury during medieval times. The specific
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then pour some oil into the wound and remove it from its place until the coal burns out.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for that with a four-ingredient ointment, so that it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They said that as much wound remains open more likely to emit pus and is thus less desirable for healing. How does this insight relate back to Albucasis' work, particularly his use of ointments? Can we infer any principles about the importance of closure in surgical procedures from these ancient practices based on your translation alone?
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them said that the wound should be burned with a hot instrument until it reaches to the skull and let hold on its heated state till bone hardens: they held onto Cauterization, so long as Bone becomes dense. What does this approach suggest about Albucasis' perspective towards surgical techniques in treating wounds? Given that these ancient practices involve cauterizing to promote healing and close the wound, how might one interpret their understanding of t
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then remove what is burnt from the bone; after that care for it. What does this suggest about Albucasis' methodology in treating injuries involving fire? Considering both incineration and subsequent treatment as described herein, how
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And some say that it needs to be treated until the cautery reaches its end point and leaves an impression on bone like kirate shape or a female instrument imbued with alphabet ink applied by women, so when exhaled from this place of pain atop one'self. What does Albucasis recommend for ensnerving patients following such intricate procedures? Does the methodology here indicate anything about patient comfort and mental well-being during treatment based on your translation alone? In what ways might these ancient practices inform current understanding or application in modern medicine, particularly regarding wound management and pain relief techniques? Reflect upon Albucasis' approach to treating not just physical injuries but also the psychological impacts of such treatments. Consider how this focus has evolved into contemporary medical practice
Deinde curetur, donec consolidetur.	Then it is treated until solidified. What does Albucasis suggest for ensuring proper healing following an injury? Given the reference to time and observation
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	We do not recognize these two kinds of cautery among some people, according to their fears for time. How does Albucasis define the role of societal perception and acceptance in surgical practices? Examine how ancient texts like this one might reflect or challenge contemporary views on medical diversity and innovation within healthcare cultures based solely on your translation
Et dimittere ipsum, apud me est melius cum salute ipsius.	And I find it better to remove it with my own hands for his health.
