Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucius.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he tied it up according to his desires, and bandaged it, and left it unventilated for several days and commanded that we keep it bound; and thus it became an abscess and led to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to it, and prepared to remove the bandage, and achieved calmness and relief from his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption had already set in the member, so that it could not be stopped, and the corruption spread through the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who opened an abscess cancerous and it became ulcerated near some days, until the malignancy of it grew in the lord of it.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this is because the cancer grows without humor melancholic, so it does not require any special care, but rather that it affects a member which is hostile to everything.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, sons, it is necessary for you that surgery be divided into two categories: one associated with health, and the other associated with danger in its greatest preparations.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already tested this in every place of this book where there is danger and fear; therefore it is necessary for you to guard against it and allow yourself to be misled by the foolish, so that they do not find a way to speak and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And thus take your weapons with caution and protection of God, and your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method for salvation and praiseworthy success by the grace of God, and leave the terrible diseases that are difficult to cure, and lay aside your fears for that deception in your faith and in your name will not mislead you: for it remains for your glory, and thus in the world and forever among your sanctifications.
Gualia ja diyssec en alcunas sieuas monicios:	Galenus already said in some of his teachings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat an evil illness, so that bad doctors do not call themselves doctors."
E yeu ja he devesit aquest libre segontz tres capitols.	And you shall have read this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Here begins the division of the book, and the first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the feet, their forms of instruments and the ironwork of cauteries, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter deals with abscesses and perforations, boils, sores, extraction of pus-filled sacs and similar conditions, all collected and arranged in the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with restoration and dislocation, and the cure of twists and similar conditions; a chapter arranged in forms of instruments for the feet.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauteries with fire and sharp medicine and the reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatment of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary for me to say the qualities of the juveniles of that cautery and its disadvantages, as well as in what situations the cautery should be forbidden.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discussion of the quality of the juveniles of cautery and its disadvantages is a long and detailed one, subtle due to knowledge, and hidden secrets; many wise men have spoken about it, and there is disagreement among them, and I will only touch upon a small part of their discussions, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that the use of cautery applies universally to any matter or materials, except for two situations, which are cases without material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of dry matter without material, there is disagreement; for some say that cautery is beneficial in this case, while others say the opposite, that cautery is not suitable for a disease characterized by quality and dryness, since the nature of fire is quality and dryness, and it is appropriate that diseases that are dry and hard should be treated with something that is wet.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says the opposite, that cautery is beneficial in all dry and hard diseases that occur in human bodies, when you compare the human body and its moisture with the nature of fire, you find that the human body burns.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say on the basis of this discussion, that I have experienced this myself on several occasions.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not necessary that I come back over what has already been expounded and practiced in the chapter on cautery by previous exercise, and to know the diversity of human cases and the disposition of diseases in their circumstances, as well as the causes of these, the accidents of them, and the time period for these.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However, in other situations, there is no need for fear, especially in the case of cold and moist diseases, because all doctors are already in agreement about these, and there is no disagreement over the use of cautery in these cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And sons, understand that the secret of healing by cautery with fire and the goodness of it is due to the cautery as burning medicine, because fire is simple, the action of which does not spread beyond the member being cauterized but only causes a slight harm to the adjacent member.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	However, the action of burning medicine reaches not only the member being cauterized but also the adjacent member and can bring difficult-to-heal disease and prolonged suffering to that member.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	However, fire, due to its sublimity and the goodness of its substance, does not do anything unnecessary; and it is already known through experiment and prolonged study in the art regarding the truth of causes; and for that reason, I am excused from the length of my discussion, and if it were not for the fact that it is not suitable for my book at this point to reveal secret hidden aspects about fire and the quality of the operation on bodies and its expulsion of diseases, I would demonstrate a philosophical argumentative explanation, which could help alleviate your suffering.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Sons, understand that they disagree about the time when it is appropriate to perform cautery and pause the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is appropriate in all times, because the disadvantage due to time is submerged in the benefit of what is achieved by cauterization, especially if cauterization is for pain or necessary pains, strong and fistulas, which do not tolerate delay because it is feared that evil will come sooner than a slight harm caused by the passage of time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Do not listen to your suffering, or sons, they do not consider this except the common people and foolish doctors, for that disease which is cured by cauterization is not always successful and they await a bad outcome.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they believe for that, because cauterization is not in a place of medicine which alters complexion and dries up the humidity that is the cause of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But the cauterization is unnecessary in medicine, because of its willfulness to fulfill the virtue and effectiveness of its operation and the greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the patient's illness may return at some time in the future, depending on the patient's complexion and the location of their illness, as well as its nature, and what has been prepared in their body from excesses, and what has been acquired by them in food and similar causes; otherwise, the illness that receives cauterization is a subtle illness in a few organs with few excesses and humidity, such as cauterization of teeth for pain and similar cases. It is possible that in this case, the pain will not return, but it will be small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	But it is common speech that cauterization is the last remedy of medicine, and it is right-thinking speech, not according to what I understand in this matter, because I believe it is not healing that benefits with medicine or any other reason for cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is contrary to this; the belief that cauterization is the last remedy of medicine is not when we administer the methods of healing in some illnesses and those medicines do not work, but rather at the end of the illness, they administer cauterization and it improves the situation.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Therefore, from here on, it is clear that cauterization is not the last remedy of medicine, not according to the belief which I understand in the common people and the phrases of foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They said that cauterization with gold is better than cauterization with iron, and they did not say this only because of the equality of gold and the nobility of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the location of cauterization does not harm, because this is not absolutely true, since I have already proven and observed that it does not do so in some bodies, and cauterization with gold is better than with iron as they said; however, when you cauterize with fire made from gold, it is not up to you, because it depends on the quantity you want for the color of gold, and it prepares to be used; if you adjust it above the fire, the gold melts due to the heat of the fire, and in the fire some layers are produced so that the artisan can carve it with the tool of the occasion.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Therefore, for this reason, caution must be taken when using iron for cauterization; we should do it gently and as accurately as possible in operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter on cauterization according to the chapters, and I have arranged those of the head within the feet, so that I lighten the question for those who seek it.
De cauteri de dolor de cap per frigiditat e humiditat.	On Cauterization of Head Pain Due to Coldness and Humidity.
Le capitol primier.	Chapter One.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization treats the coldness and humidity that cause the secondary symptom of which there are two causes, one is a sign of scrofula and many rheumatic fluxes, called corissa, from the head to the hairline and eyelashes flowing, and many sleeping, and toothache and gout, and generally of any illness caused by coldness, such as paralysis, sclerosis, apoplexy, and similar conditions in these illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: First, the patient must be evacuated with medicines for purging the head for three or four nights, according to the nature of the illness, the age and habits of the person.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then, command him to shave his head with a razor, and then have him sit on a stool and hold his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Approach the patient's thumb and place it against the root of the nose between their nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when the location you are referring to is reached, mark it with a probe, and approach the olive-shaped cautery iron.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Approach that location with your thumb in the manner it descends, and gradually tighten your grip until it is securely held, and then rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Lift your hand gently and look at the location. If you see some part of the bone protruding, such as the grains of sand, then raise your hand. If not, return your hand to that tool or another one if it is cooled down until you can see the bone I mentioned to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then take a small amount of salt and dissolve it on the location and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Approach the wound edge with your thumb and leave it there until the scar from the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Cure the location with a strong four-drug ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	They said that when the wound remains open, it is better to get a splint, because it is more beneficial and helpful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They said that the coccyx should be cauterized to the bone and the cautery kept in place until some portion of the spongy bone is charred.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Approach it so that it touches the bone, and heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They said that the cautery should reach the bone in the end, until it penetrates deeply into the bone so much that the bone collapses, and this is the form of the small mortar:
E estiman de aquel loc expiran la vapors del cap.	They believe that the vapors from that location will escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	The wound should remain open for a long time and be healed until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cauteries in all cases, only in some men out of fear; and leave that one, for it is better for your health, because the head is more exposed to the solution of continuity from the body as we have testified in other members, especially when the patient's head is of a cruel nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The primary type of cautery is safer and better for you; and that method and the work with it are for your health.
Capitol segon.	Chapter Second.
Del cauteri del cap.	Of the head's cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When a chronic and long-lasting pain in the head occurs in the patient, who has prolonged it with gears, cochias, capirpurges, emplaustres, guatzes, cades, gualinas and similar things, especially if it has already been cauterized with a cautery that did not help in any of those causes, then consider that if the patient's head is of strong nature; and it is not cruel and there is no great inflammation, then cauterize it with another cautery slightly later.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Approach the corn of his head with a cautery until the coccyx is separated.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the coccyx and expose the bone's portion that we have estimated and cauterize it with a cautery at the back of the head in the location called "was," which is the place where air pockets are found.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	Leave your hand in this position, and do not expose the bone, because the patient will have a great deal of pain different from the pain of all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will tell you the location of this cautery, because the cautery used for the corn of the head and the occiput is more subtle than the one used in the other locations on the head; and this is its form.
Capitol ters.	Chapter Third.
De cauterisacio de emigranea no-antiqua.	Of the non-ancient migraine cauterization.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is deep pain in the part of the head or it is a dull pain that extends to the ear, treat the head with medications that modify it and administer the other treatment I have mentioned for diseases; and if neither one helps, cauterize it in two ways: either by using acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Hot coals or medicine to burn are the ones you should take a pair of tongs made of iron, and pick up that one and sharpen its ends on both sides with the tips.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then make an incision in the place of pain on the temple with a thin blade that is only deep enough to expose the bone, hidden once it is done.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then apply strong pressure to the area with a compress, and leave it like that for three hours; then remove the herb and let the wound heal for two or three days, and place a plaster on the area submerged in oil until the pain subsides completely.
E aprop cura aquel am enguent entro que sia sanat.	And take care of it until it heals completely.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some burning medications that I have written in the second treatise on burning medications.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The cauterization is done in this manner by fire, and the form of the fire for cauterization is as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called a clawed iron, because its head resembles the shape of a nail with some curvature, and in the middle part there is a small projection.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Place your hand over the pain area and hold it there - so that the archer's arm does not shake - and slowly rotate the small iron back and forth.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of tissue burned by the scalpel is large and intense, lift your hand to avoid shaking the artery that is nearby - so as not to cause bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And immerse the wound in salt water and let it soak for three days; then apply ointment to the wound with oil, and take care of it until it heals completely.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, perform cauterization on the end of the cutlery in the manner of cauterization, and be careful to avoid cutting an artery during this modern procedure.
Capitol quart.	Chapter Four.
De cauterizacio d’emigranea antiqua.	On the ancient cauterization of hernia.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an emigranea as was said in the previous treatment and the division of diseases, and the treatment does not help, and sometimes because the disease is not addressed by what was said about the first cautery with medicine or the cautery with fire, then it is necessary that you ignite the cautery knife until it glows, because this means to draw a line on the place of pain, whose length is the maximum size of the finger, or whatever that is; and then pause your hand for a moment and strengthen it, and then make an incision with the arc-shaped blade and penetrate into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary that you watch over the jawbone, which is swollen, you should make it move again so the ligament is not adhered and the nerves that are affected by it, and to prevent convulsions.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and caution of a cut artery's bleeding, for in the cutting of it there is fear, especially to those who do not know what they are doing and are not trained or experienced; leave the operation at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will come to remember the regulation of bleeding from an accident in the artery according to its method, in that book of this treatise.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if this disease is not helped by this cautery and the body of the patient can tolerate it, cauterize it in a more suitable place on the head as we have said, and cure the wound until it heals.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if it is necessary to administer the cautery that was said in the chapter on constriction of the artery with a cautery having two knives, this is a better and more appropriate cauterization.
Capitol .v.	Chapter 5.
