Ayssi comensan las paraulas de Albucasim .	Thus, the text begins with the words of Albucasis.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he replies to the contrary, stating that cauterization is beneficial for all cases of dry and material-less cauda found in human bodies, as when you compare the body and its humidity with the nature of fire, you find that the human body is moist.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the discussion of this, that I have experienced this many times in practice.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not necessary for me to repeat what has already been proven and practiced in the chapter on cauterization after further experience, and to understand the diversity of human conditions and the placement of diseases within them, as well as their causes, symptoms, and the time span of those diseases.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However, in other cases there is no need for fear, especially with moist and cold diseases, since all doctors agree on those, and there is no disagreement about the use of cauterization for them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And understand, my children, that the secret of curing by cauterization with fire and its benefits is due to the simplicity of the fire, since its action does not extend beyond the member being cauterized but only causes minimal damage to other adjacent members.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	However, the action of burning medicine extends to members that are adjacent to it, and strong fire can bring disease difficult to cure and speedy decay.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	However, fire, due to its sublimity and the goodness of its substance, does not cause anything except excess, and it is already known by experience and long study in the art of truth about the causes; thus I am excused for the length of my discussion, and if it were not hidden in this book, I would reveal the secret about fire and the operation of it in bodies, as well as its expulsion of diseases, with a philosophical demonstrative speech that would aid you in your pains.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And understand, my children, that they disagree on the appropriate time for cauterization and delay the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cauterization is suitable in all times, since the adverse effects of time are submerged in the benefits provided by the cauterization, and especially if cauterization is for pain or necessary pain-relief, such as fistulas, which cannot tolerate delay because of the risk of malice, which is greater than minor harm due to the passage of time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus, do not let this discourage you, or my children, since those who are ignorant and foolish doctors only believe that the disease that is cured by cauterization does not recover at all times, and they delay its consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason is not as they think, for cauterization is simply a medicine that alters the condition and dries up the humidity that causes pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, excessive cauterization surpasses the medicine in terms of its power and the effectiveness of its operation and the greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the disease may return at some point in time, depending on the condition of the patient and the location of their disease, as well as its power, and what is prepared in their body due to an accumulation of superfluidity, and what is acquired by them through their diet and similar causes; otherwise, if the disease that receives cauterization is a subtle disease in a member with few superfluidities and humidity, such as cauterizing a tooth for pain or similar conditions, it is possible that the pain will not return, but rather it will be minor.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And more common speech is that cautery is the last remedy of medicine, and it is rightly said, not that I understand in it, for I believe it is not healing that improves with medicine or any other reason for caution.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and my intention that cautery is the last remedy of medicine is not to say when we administer methods of healing in some diseases, and those medicines do not help, but rather at the end of the disease, they administer caution, and it helps with that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here on, let's clarify that cautery is the last remedy of medicine, not according to the common interpretation or the superstitions of foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cauterization with gold is better than cauterization with iron, but they didn't say so because of the equality and nobility of gold's substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	The ancients also said that the place of cauterization does not burn, but this is not absolutely true, for I have already proved and observed that it does not do so in some bodies, and cauterizing with gold is better than iron as they said; however, when you perform cauterization with fire from gold, it is not recommended because the amount of gold used depends on the roughness of the gold itself and its ability to absorb, and if you adjust the flame to melt the gold in the fire, some layers may be formed due to the artisan's occupation of that material.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Therefore, cauterization should be performed with iron more delicately and properly in the execution of the procedure.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cauterization according to chapters, and I have ordered the ones related to feet within that section, for a clearer understanding of your request.
De cauteri de dolor de cap per frigiditat e humiditat.	Cauterization for pain in the head due to coldness and moistness.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization is used for coldness and moistness as the main cause of a number of symptoms, such as headaches, runny nose, ear discharge, excessive sleep, toothache, and hoarseness, as well as general illnesses caused by cold, including paralysis, convulsions, apoplexy, and similar conditions in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cauterization is as follows: first, the patient should be purged with a purgative medicine for three or four nights, depending on the severity and age of the patient and their habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then command the patient to shave his head with a razor and instruct them to sit on a slanted bench with their hands resting on it.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then place the palm of your hand on top of the patient's head, just above the bridge of their nose between their eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, as the correct position has been discussed, mark that location with a pen, and then perform the olive oil cauterization, which is the form of this procedure:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Then place that small marking tool (tenta) on the location marked earlier and slowly draw it downwards in a way that your hand remains perpendicular to the surface, keeping it slightly constricted while you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then lift your hand slightly and observe the location, and if you see any part of the bone being exposed, such as small grains of sand, then raise your hand, and if not, return your hand to that spot (or another nearby one) until the bone is visible as I have explained to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then take a small amount of salt and dissolve it on the area, let it stay there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then press on the affected area with a linen cloth and leave it there until the burn scar is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then treat the painful area with a four-drug ointment until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	They say that when the wound is open, it should be kept moist, as it heals better and faster.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They say that the coccyx should be cauterized to the bone, and the cautery should remain there until some part of the coccyx bone is burned away.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then shave that which is close to the bone, and let it heal.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They say that if the cautery reaches the vertebra, it should be pressed strongly against the bone until the bone cracks, and this is the way to perform a small operation.
E estiman de aquel loc expiran la vapors del cap.	They estimate that the steam from the head will pass through that area.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	The wound should be kept open for a long time, and it should be treated until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not recommend these two types of cautery for everyone, but only in certain cases due to fear; and you should leave it, because in my opinion, it is better for your health when it is. For the head is exposed by solution of continuity of this kind, as we have testified in other members, and especially when the patient's head is naturally frail.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is safer and better, in my opinion; and that method is the safest for your health.
Capitol segon.	Chapter Two.
Del cauteri del cap.	On the head cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	If chronic and long-lasting pain in the entire head occurs in the patient and it has been treated with hellebore, skullcap, caper bush, plasters, ointments, guaze, cudgels, bandages, and similar remedies, and if cauterization with one cautery has not helped or worsened the situation, then consider whether the patient's head is naturally strong in creation; and if it is not frail and does not suffer much harm, then cauterize it again with another cautery after a short time.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that spot on the patient's forehead with a cautery until the bone is broken through.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and expose the amount that we have estimated and cauterize it with a cautery in the back of the head at the location known as "was," where the pustule is located.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And be careful not to expose the bone in this case, because the patient suffers great pain different from the pain of all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	They will say that this cautery is in its place, because the cautery used to cauterize the forehead and occipital region is more subtle than the one used for other head cauterizations, and this is how it should be done.
Capitol ters.	Chapter Three.
De cauterisacio de emigranea no-antiqua.	On non-ancient migration cauterization.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	If pain persists in the area of the skull or extends to the ear, medications that modify the head should be administered, followed by other treatment, which I have described in the guidelines for diseases; and if this does not help, cauterization is performed in two ways: either with an acute-burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Cauterization with an acute-burning medicine requires you to take a pair of tweezers, remove the hawthorn leaves and sharpen their ends on both sides of the skull.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And make an incision in the area of pain on the temple with a sharp lance until it enters hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Press firmly on the area under compression for constant pressure and leave it for three hours; then remove the hawthorn leaves and let the wound heal for two or three days, and press on the affected area submerged in oil until the area heals.
E aprop cura aquel am enguent entro que sia sanat.	Treat that with honey until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, do this with some acute-burning medications that I have written about in the treatise on acute-burning medications.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Cauterization with iron in this way: fire method for cauterizing is as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called "clavih claus" because the head of it is shaped like a nail with some curvature, and in its middle part it has a small protuberance.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Press on the painful area, rest your hand - so that the archery string is not harmed - and rotate the small iron slowly with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of bone that is burned by the bone's edge is too large and the bone itself is destroyed, raise your hand to protect the artery that is nearby, so that blood does not flow out.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then immerse the affected area in saltwater and let it stay there for three days; then press the affected area with mustard oil and treat it with honey until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you wish, cauterize the end of the culetar with a pointed cautery, and beware of cutting an artery in this modern emigration procedure.
Capitol quart.	Title fourth.
De cauterizacio d’emigranea antiqua.	Title of ancient emigration cauterization.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat emigration as you have said in the previous cure and what you have said in the divisions of illnesses, and it does not help with the cure, and sometimes because of the illness that does not fit what you said about the first cauterization with medicine or cautery with fire, then you must ignite the cautery rod until it is white-hot, indicating that it is on the location of pain along a line of sufficient length, or whatever; and then withdraw your hand for a moment and strike the artery and pierce through to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be cautious of the movement of the mandible, which is essential for chewing, and that the ligament not be injured and the nerves associated with it, and that there be no spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and caution of bleeding from the artery that was cut open, since in the cutting of it there is fear, and especially to those who do not know what they are doing and are unskilled and inexperienced; let the operation be started with this.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will come with the reminder of the regulation for bleeding an accident of the artery according to its method, in its place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this illness is not treated by this cauterization and the body of the patient is tolerable, cauterize it in a more appropriate location on the head as we have said before, and cure the wound until it heals.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish, administer the cautery as we have said in the chapter on artery compression with cautery having two handles, and this is a better cauterization and more convenient.
Capitol .v.	Title fifth.
De cauterisacio de las dolors de aurelhas.	On the cauterization of ear pain.
