Ayssi comensan las paraulas de Albucasim .	Thus, the sentence begins with the words of Albucasis.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the illness may return at some hour of time, according to the complexion of the patient and the location of their illness, and the virtue of it, and what is prepared in the body of them due to the accumulation of superfluidities in them, and what is obtained for them through their diet and similar things; but that the illness in which cauterization is administered is a subtle illness in a member with few superfluidities and moisture, such as cauterization of teeth for pain, it is possible that the pain will not return there, but only something small may occur.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	But the common saying is that cauterization is the last resort of medicine, and this is not the right one, as I understand it, because I believe that it is not healing which benefits from medicine or any other reason for caution.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is in opposition to this; and I understand that the saying "cauterization is the last resort of medicine" is not because we administer the methods of healing for some illnesses, and those medicines do not confer improvement, but rather when the end of the illness has been reached, cauterization is administered and improves it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here onwards, understand that cauterization is not the last resort of medicine, not according to the meaning which I understand by the common people and the flocks of foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients said that cauterization with gold is better than cauterization with iron, and they did not say this only because of the equality of gold and its sublimity of substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the location of cauterization does not make any difference, because this is not absolutely true, as I already have proven and discovered that it does not do anything except in some bodies, and cauterization with gold is better than with iron as they said; but when you perform cauterization with fire and gold, it is not declared to you, because it depends on the amount of gold that you want according to its cost, and it prepares to receive friction; if you place it on fire some layers so that the artificer can work with it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, cauterization with iron must be done more gently and more carefully in the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have organized this chapter on cauterization according to the chapters, and I have ordered those of the head within the feet, so that I alleviate the demand for it.
De cauteri de dolor de cap per frigiditat e humiditat.	On cauterization for pain in the head due to coldness and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization is for the coldness and moisture in the head, which is the cause of the swelling and multiple abscesses called corissa, from the forehead to the hairline and flowing ears, and multiple sleeping, and toothache and headaches, and generally of all illness that comes from coldness, such as paralysis, sodium, apoplexy, and similar ones in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, you command the patient to be evacuated with a purgative medicine cleansing the head for three or four nights, according to the strength of the illness and the age and habits of them.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Approach and command him to shave his head with a razor, and then have him sit on a chair and place his hands on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then pause your hand at the base of your palm above the nose between your eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when the place you mentioned is reached, mark it with a probe, and then ignite the olive oil cautery which has this shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Then place it on the marked spot and press down gently so that it descends, while your hand should be gently tightened around it, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then lift your hand slightly and look at the spot, if you see any part of the bone exposed, as with grains of sand, raise your hand again, and if it does not turn back, use another tool, if it is frozen, until the bone that I told you about is visible.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then take some salt and dissolve it on the spot and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then place it over the burned area in bandages and leave it until the scar from the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then treat the location with a strong four-part medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	It has been said that when the wound remains open, the best thing to do is to apply honey, as it is better and more helpful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	Some have said that the vertebra should be cauterized to the bone, and the cautery should be held in place until a piece of the spinal cord is burnt off.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then scrape away the part that is touching the bone and treat it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	Some have said that when the cautery reaches the nerve, it should be pressed into the bone forcefully until the bone cracks, and this is the shape of the probe:
E estiman de aquel loc expiran la vapors del cap.	They believe that the vapors from the head will exit from that spot.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	The wound should be kept open for a long time and treated until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	However, in my opinion, these two types of cautery are not beneficial to everyone, but only to certain individuals out of fear; and you should discard it, because it is better for the patient's health when possible, as the head is more susceptible to damage from prolonged heat due to its constant exposure, especially if the patient has a frail constitution.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is safer and better in my opinion; and from that point on, avoid this procedure for the sake of the patient's health.
Capitol segon.	Chapter two.
Del cauteri del cap.	On head cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and prolonged pain occurs in the entire head of a patient, and it is treated with lancets, hooks, capirushers, ointments, plasters, guaze, needles, blisters, and similar remedies, especially if cauterization has already been attempted but did not improve the situation, then consider whether the patient's head is naturally strong or frail; if it is strong, do not hesitate to cauterize again with a different cautery tool.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Approach the cautery to that spot on his head and use it until the scalp is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Measure the amount that has been calculated and make an incision in the scalp to expose the bone at that location, which is called the "foramen" - this is the location where a ventous vein is usually found. Then use a cautery to burn and seal off the wound on the back of the head where the incision was made.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	Then release your hand from there, and do not expose the bone, as the patient will experience a great pain different from the pain caused by other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Tell the assistant to place this cautery in its location, as the cautery used for burning the corners and top of the head is more subtle than the one used for other locations on the head; this is the correct way to do it.
Capitol ters.	Title: Tightening
De cauterisacio de emigranea no-antiqua.	Treatise on Modern Migration Cauterization
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is persistent pain in the scalp or spreading pain into the neck, medications that modify the head should be administered along with other treatments as I have described in the treatment of diseases; if this does not help, then cauterization should be done in two ways: either cauterization with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Take a salve of alum, scour it and remove the edges of both sides with a knife.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Approach the location of the pain on the temple with a thin lancet and make an incision until it penetrates deeply enough to create a small cavity, but ensure that it remains hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Place a piece of damp cloth over the area with strong compression and leave it for three hours; then remove the alum, let the wound heal for two or three days, and place a plaster over the moistened area until the spot turns black.
E aprop cura aquel am enguent entro que sia sanat.	Cure that which is inflamed until it heals.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some burning medications that I have written about in the second treatise on burning medications.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Cauterization with iron can be done in this manner: fire for the cauterizing tool, and here is the method for that.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called claus clavilhs (key nails), as the tip of it is shaped like a clove with some curvature, and in its middle part there is a small elevation.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Place your hand over the location of the pain, and hold it there - to prevent the archery that is about to come from being disturbed - and rotate the small iron tool slowly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity that is pressed by the scalp in this manner is too large and causes bleeding, raise your hand to ensure that the artery, which is nearby, is not pressed, preventing blood flow.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Approach a wound with salt water and cover it over the area, leave it for three days; then approach with a linen cloth stitched, and treat it with oil until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you wish, cauterize the end of the swordsmith's finger according to the cautery, and be careful not to cut an artery during this modern procedure.
Capitol quart.	Fourth Chapter.
De cauterizacio d’emigranea antiqua.	Title: Ancient Cauterization of Hernia.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When treating a hernia with the remedy you have mentioned in the previous cure and in the section on diseases, and if that treatment does not help, and sometimes because of the illness that does not respond to the remedy you have mentioned for the first cautery or the cauterization with fire, then it is necessary that you heat the cauterizing iron until it becomes white-hot, because this signifies the spot of pain marked with a line of appropriate size, and if that cannot be done, hold it for a moment and then pierce the artery and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful about the continuation of the jaw, which must remain healthy for chewing, and that the ligament is not adhered and the nerves that are near it, and that no spasm occurs.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and caution of blood flow from the artery that is cut off, because in the cutting off of it there is fear, especially for those who do not know what they are doing and are not careful or experienced; leave the operation for a while at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will find the regulations for dealing with blood flow from an accident of the artery according to its method, in its place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you see this illness that does not respond to the cautery and if you find the body of the patient tolerable, cauterize it in the middle of the head as we have recorded, and heal the wound until it is healed.
