Ayssi comensan las paraulas de Albucasim .	And so begins the vocabulary of Albucasis.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then remove the dressing according to his wishes, and remove the bandage, and remove the lint for several days and command that we remove the bandage; and at this time, if the wound and the foot are infected, it will reach a critical point.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And then I was called to him, and I prepared to remove the bandage, and I achieved peace and eased his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was already confirmed in the limb, so it could not be restrained from that one, and it did not cease to spread the corruption in the limb until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced an abscess and it became ulcerated after several days, until the wound became infected with a great deal of pus.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this is that the wound is purged of melancholic humor, so it does not reach the bone at all, but rather the limb that suffers from it should be kept still.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for that, children, it is necessary for you to understand that the operation should be divided into two parts: one in the operation that is associated with immediate safety, and another in the work that is performed in the best positions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already experienced that in all places of this book where the operation is performed in which there is error and fear; therefore it is necessary for you to guard against that and lay down that, so that the fools do not approach to speak to you and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons in diligence and protection of God, and your patients in facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to lead them to salvation and praiseworthy succession, and lay aside the terrible diseases of difficult healing, and keep your weapons from that which makes you afraid, so that your position in your faith and in your name does not escape you: because more remains for your glory, and more after to the world and later to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	In some of his books, he discusses:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	He does not discuss the treatment of bad patients, because they do not remember what they have been told.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already devised this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	This is the beginning of the division of the book, and the first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered according to the entrance of the foot, in the forms of instruments and in the handles of cautery, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and puncturing, and on windbags, and on ulcers, and on the extraction of similar objects, all chapters and ordered according to the forms of instruments.
Divisio de la tersa partida.	The division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of twisting and similar objects; chapter ordered according to the entrance of the foot, and in the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of pointed cautery and sharp medicine and remembering of the operation.
Am aquel comensa le tractat de tot le libre.	In that, begins the treatise of all the free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you know the quality of those handles and of the tools of that cautery, and in what condition it is prohibited to use the cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, the speech about the quality of the handle and of the tool of that cautery is a long and prolix, and subtle for knowledge, and secretly hidden; and from there to speak much of secrets, and of them they have differed, and I will leave a little of their speeches, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore, it is said that cautery corresponds to all the universal composition, which is matter or its matter, except for two conditions, which are conditions of tail-like matters.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the condition of tail and dry matter, they disagree; because one said that cautery is suitable for that, and the others said the contrary of that, that cautery is not convenient in illness which is by quality and by dryness, because the nature of fire is quality and dryness, and it is inconvenient that sickness be tail-like and dry matter that is burned and dry is healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And tell that one who says the opposite of that, which is said to be very useful in all kinds of back and dry pain that is seen in the bodies of men, because when you compare the bodies of men with the moisture of them to the appearance of fire, it often harms the bodies of men.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that one, who has experimented with this in some cases discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But may not come over that one who has already been trained and practiced in the capital of cautery by later practice, and knows the diversity of the appearance of men and the disposition of their diseases, and the causes of those, and their accidents, and the span of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other appearances, do not fear you, and more in the diseases that are wet and humid, because all the doctors have agreed on those, and they do not disagree in the usefulness of cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my children, that the secret of healing by cautery with fire and its goodness, is above cautery in medicine, because fire is simple, the action of which only reaches the member that is cauterized and not the other member attached to it without a small harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the act of medicine has brought them to that in the members which is from there, and it often brings pain to the sick member and often causes difficulty in healing.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the fire, for its sublimity and the goodness of its substance, does not do that but rather exceeds it. And we know this through experimentation and the length of service in the study of the art over the truth of the causes; and because of this, you are excused from the length of the sermon. If not for the fact that it is not read aloud in this place to you secretly by fire, and the quality of the operation of it in the bodies and its expulsion by which it expels evils, the philosophical demonstration speech would be sharpened in your eyes.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they disregard the time in which it is appropriate to make a cauterization and pause at the best time of primeval.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And you say that cauterization is appropriate at all times, because the harm caused by time is submerged in the benefit of which the cauterization is thrown, and more so if the cauterization is for pain or necessary painful ones, quickly and forcefully, the ones that do not suffer delay because of the fear of those who come from evil, which is greater than small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not catheterize in your feet, oh sons, that is only estimated by the common people and foolish doctors, because that malady which is cured by cauterization is not always effective, and they stop that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not always as they think for that, because cauterization is only a remedy in a place of medicine which alters the appearance and dries out the moisture which is the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But rather use cauterization excessively over medicine for the sake of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his malady returns at some time of the day, according to the appearance of the patient and the location of his malady, and its virtue, and that which is prepared in the body of him from the aggregation of superfluities in him, and that which is obtained to him in his acquisition in foods and similar causes; but the malady in which cauterization is administered is a subtle malady in a member of few superfluities and moisture, such as a toothache for pain and similar causes, it is possible that in it does not return that pain, but that which is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And in common speech, it is believed that the pointed cautery is the best remedy in medicine, and in correct speech, I do not know what they mean by that, because they believe that there is no cure that can be achieved through medicine or any other cause that does not involve a pointed cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and they understand that the pointed cautery is the best remedy in medicine is only when administering methods of treatment in some diseases, and those medicines do not work, and at the end of the cause, they administer it, and it is effective for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here they believe that the pointed cautery is the best remedy in medicine, not as they understand it, which I understand from the common people and too many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold is better than iron for a pointed cautery, and they did not say so only because of the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the location of the pointed cautery does not matter, since it is not absolutely true, because I have already seen that there are some people who can do it in one way and others who cannot, and a pointed cautery made of gold is better and more effective than one made of iron, but however when you make a pointed cautery with fire and gold, it is not your responsibility, since it depends on the quantity that you want to use for the roughness of the gold, and because it prepares to receive the heat; and if you adjust it over the fire, the gold melts in the fire, and some layers are made by the craftsman for that purpose.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for that, a pointed cautery made of iron is used, slightly and more directly to the straightness of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter in the second chapter of the cautery, and I have ordered those between the feet, so that they ask for what they want from him.
De cauteri de dolor de cap per frigiditat e humiditat.	Of the cautery for pain in the head due to coldness and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery gives to the moisture and coldness over the main cause of which are the two causes that cause so much damage, called corissa, from the head to the parts of the hands and the temples fluent, and many sleep, and pain in the teeth and the gums, and generally of all evil that comes from coldness, such as paralysis, sudden and apoplexy, and similarities in those evils.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first command the patient to take a laxative medicine to clean the head, for three or four nights, according to the virtue of the patient and his age and his custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command the one who shaves his head to do so with a razor, and then make that person sit on a chair leaning over the bed and place their hands on their chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place your thumb on the blade of the razor near the humps of his nose.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, if the location you mentioned does not reach, then mark that location with a tent, and then apply the cautery made of olive oil of which this is the shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that over the location as best as possible with a tent, and then apply the cautery gently, making sure it does not touch the skin too much, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then slightly lift your hand and look at the location, and if you see that some part of the head is uncovered, like the amount of gra of errors, then lift your hand, and if it does not return, place your hand on that or another of those, if it is cold, enter that which I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on that spot and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand over the burned area and leave it there until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the wound with quadrifarmacon oil until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that when the plague is present, the more honey is applied, the better and more beneficial it is.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that it should be cauterized in the groove of the bone into the bone, and held there until some part of the bone is attached.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove that which has been attached to the bone, and then treat it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cauterizer should reach the back, until it becomes strong in the bone before the bone breaks, and this is the way to make a small alphaca:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that spot the vapors of the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And keep the wound open for a long time, and then cure it before it becomes solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cauteries in any other people, except for some who use them as a second method out of fear; and if you must do so, it is better to let the wound heal by solution of continuity, as we have demonstrated in other members, especially when the head of the patient is naturally free.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is safer and better for me; and from that, you should also choose the one that brings more benefit to health.
Capitol segon.	Chapter two.
Del cauteri del cap.	Of the head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the head there is chronic and long-lasting pain, and that is prolonged in the patient, and he uses garlic, onions, capipurges, ointments, balls, cadels, wax, and similar things, and especially if it has already been cauterized with a cautery that has not been removed or improved from those causes, then consider that if the head of the patient is naturally strong; and not free and often great damage, then that cauterizer should use another cautery instead of that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And if it is necessary to cauterize that on the surface of the head, use a pointed cautery through where the skin is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the skin and discover the bone as much as we have found, and cauterize that with a cautery in the part behind the head in the place called the carotid artery, — and that is the place where the bandage is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your hand be still, and do not discover the bone, because the patient will suffer great pain different from all other scalp cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will say that this cautery is in this place, because it covers the cautery that cauterizes the corners of the head and the back of the head is more subtle cauterization than that which is cauterized at the middle of the head; and this is the form of it.
Capitol ters.	Chapter Third.
De cauterisacio de emigranea no-antiqua.	Of the ancient non-antiphlogistic cauterization.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the part of the head that is sharp, or pain that extends into the ear, remove the medicines that make the head better, and administer another cure, which I have mentioned in the chapters on diseases; and if this does not help, then cauterization in that place is done in two ways: either cauterization with a sharp-burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May the pointed cautery be used as you take a lancet and prick that area and apply burning ointment to its extremities, and bind it with bandages.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then incise the location of the pain in the temple with a blade that is inserted into that location and hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then apply pressure to the stopped bleeding by constriction, and leave it for three hours; then remove the lancet and treat the wound for two or three days, and then place a poultice over the location where the bleeding occurs.
E aprop cura aquel am enguent entro que sia sanat.	Then heal that which is found when it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do that with some burning ointments which I have written about in the other treatise on burning ointments.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cauterization be done in this way: ignite a pointed cautery of the following form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a clover-shaped cautery, with the head of which is like a clover flower in which there is some curvature, and at the middle of it is a small point.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand over the location of the pain, and move your hand slowly to prevent the joint from becoming stiff - which is what has been left behind.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood that has been stuck due to the nature of the wound is such that it can cause death, then raise your hand to prevent the artery from becoming stuck - which is what has been left behind, so that there is no bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the wound in salted water and place it on the location, and leave it for three days; and then apply a poultice made of ground mustard, and then heal with an ointment as soon as it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the end of the knife according to the cautery, and avoid injury to the artery in this area - which is not uncommon.
Capitol quart.	Chapter fourth.
De cauterizacio d’emigranea antiqua.	Of cauterizing an ancient wound.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an old wound with the cure we have mentioned in the previous chapter, and with the cure we have mentioned in the divisions of illnesses, and if you do not apply the cure, and if the illness does not provide the medicine or the cauterizing iron, then you should ignite the knife within the location of the pain, along a long line that is the thickness of the one we have mentioned - or which one; and place your hand with a steady and strong motion as you incise the joint and reach into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuation of the mandible, which is marred by mastication, and that the jaw not be adhered and the nerve that causes it, and that it does not become spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the guard and care of the flow of sanctum from the artery that is abscised, which in the abscission of it is fear, and more so for those who do not know what it is and are not studious and do not spread; and leave the operation in its beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will come to remember the regimen of the flow of sanctum accident from the artery according to its own method, in its own place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this disease that does not abate with this cautery and bears the body of the patient tolerably, cauterize that in the middle loc of the head where we have reported, and cure the plague before it is healed.
