Ayssi comensan las paraulas de Albucasim .	And now we begin the words of Albucasis.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he removed the bandage according to his desires, and removed the splint, and let it rest for several days and commanded that they remove the bandage; and during this time the wound and the foot became infected, and it reached a point of no return.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to loosen the bandage, and then he felt relief from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was already confirmed in the limb, so it could not be restrained from that one, and it did not cease to spread the corruption in the limb until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced an abscess with cancer, and it became ulcerated around the days, until the fire magnified the malice of it against him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cranium is pure of melancholic humor, so it does not allow that it reach him from all sides, but rather that it be in the limb that suffers from all of it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for that reason, children, it is necessary for you to operate in two different ways: one in the operation that is associated with health, and the other in the work that is at risk in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in all places of this book in which the operation is performed in which there is error and fear; therefore it is necessary for you to guard that and lay aside that, so that the fools do not approach to speak to you and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take up your arms with solicitude and protection from God, and your patients with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Use the best way by God's grace to lead to salvation and praiseworthy succession, and relieve terrible illnesses of difficult healing, and keep your arms from that which causes you fear, so that your position in your faith and in your name will not be lost: because more remains for your glory, and further back in the world and beyond to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Sometimes it is said in certain passages:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad patient, because bad doctors will not be remembered.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already obeyed this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The beginning of the division of the book, and first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered by the foot entering, in the forms of instruments and in the handles of cauteries, and of that which is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and piercing, and on vents, and on plasters, and on the extraction of bones and similar things to those, all chapters and ordered according to the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of torticollis and similar things to those; chapter ordered from the head to the foot, and on the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of pointed cautery and sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	In that begins the treatise on all the free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you know the quality of those remedies and of the ointments of it, and in what condition it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech of the quality of the remedy and of the ointment of it is long and extended, and subtle for knowledge, and secretly hidden; and from there to speak much about wisdoms, and they are disagreed, and to me it suffices a little of their speeches, I fear prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so it is said that the cautery is brought to the entire complex universally, which is called matter or its matter, except for two complexes, which are called tail complexes of matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail complex, dry matter is disordered; for one said that the cautery was beneficial to that, and the others said the opposite of that, which is not convenient in an illness that is due to quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient for an illness to be cured by something that is hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who said the opposite of that, they said that by cautery is made beneficial in all illness tail complexes that are found in men's bodies, because when you compare the bodies of men and their humidity to the complex of fire, the bodies of men are cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that, that I have experimented with this sometime ago.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But may not come over that which has already been extracted and exercised in the chapter of cautery by previous exercise, and has known the difference of the complexes of men and the disposition of their illnesses in their bodies, and the causes of those, and their accidents, and the space of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other body parts, do not fear you, and especially in wet and humid diseases, since all doctors have agreed on those, and they do not disagree about the use of the pointed cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing by burning with fire and its goodness is that the fire is simple, the action of which only reaches the member that is cauterized and not the other member attached to it, except for a small harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of the burning medicine does not reach those in the members that are attached to each other, and often it causes the disease to come into the sick member and often it is difficult.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	The fire, because of its greatness and the goodness of its substance, does not do this but rather it is superfluous. And we know this from experience and from the long time of service in the study of the art over the truth of the causes; and for this reason you should be excused from the length of the speech. And if it were not that it is not read aloud in this pause, to you secretly about the fire, and the quality of the operation of which in the bodies and its expulsion by which it expels diseases, which would be philosophical demonstrative, which would be sharpened in your misfortunes.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you should know, sons, that they separate from the time in which it is appropriate to perform cauterization and wait for the best time of primevera.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cauterization is appropriate at all times, so that the harm caused by the time accident is submerged in the juice of that which is suitable for cauterization, and especially if it is for pain or necessary pain, quickly and forcefully, the ones who do not suffer delay because they fear the evil that may come from those who enter, which is greater than small harm.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not cautery in your feet, sons, or, I say, that which is only estimated by the common people and foolish doctors, because at that malady which is healed by cauterization is not ridiculed all the time, and they wait for that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as there is that they fear for it, because cauterization is not only in a place of medicine which alters the appearance and dries out the moistures which are the cause of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless, cauterization is performed excessively on the medicine for the sake of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the patient's illness will return in some hour of time, depending on the complexity of the patient and the location of their illness, and their condition, and what is prepared in their body from the accumulation of excess in them, and what they have acquired through their acquisition of foods and similar causes; but if the illness in which they are administered cauteri is a subtle illness in a member of few excess and moisture, as with a tooth cautery for pain and similar causes, it is possible that in them that pain will not return, but rather something else is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Furthermore, the common belief is that cauteri is the last resort of medicine, and the noble belief is not what I understand in them, because they believe that there is no cure that is more effective than medicine or another cause for appropriate cauteri.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the understanding that cauteri is the last resort of medicine is not only when they administer the methods of cure in some illnesses, and those medicines do not help, and at the end of the cause they administer honey cauteri, and it helps at that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And usually, after this point, the cautery of the last remedy of medicine is not understood by the common people and many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold cautery is better than iron cautery, and they did not say this except for the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place for cauterization does not cause harm, because it is not absolutely true, as you have already seen and heard of those who use gold in their bodies instead of others, and gold cautery is good and better than iron cautery, but however when you make cauterization with fire of gold, it is not your decision, because it is made according to the quantity that you want for the roughness of the gold, and because it prepares to receive the humor; and if you adjust over the fire, the gold melts in the fire, and some sheets are prepared by the craftsman for that purpose.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, iron cautery is made lighter and more directly to the direction of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter in the second chapter of the cautery, and I have ordered those between the feet, so that they ask him what he wants from there.
De cauteri de dolor de cap per frigiditat e humiditat.	Of the cautery for head pain caused by coldness and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery is caused by moisture and coldness over the body, which are the causes of many traumatic accidents, called coronary artery disease, from the head to the parts of the shoulders and ears, and many sleep disturbances, and pain in the teeth and jaw, and universally from all illnesses that occur due to coldness, such as paralysis, stroke, and similarities in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first, you command the patient to take laxative medicine to cleanse his head for three or four nights, according to the patient's age and habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and then do that shaving between your hands on a tilted chair, and place your hand over his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And place your thumb on top of the patient's nose between their eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when the location you mentioned is reached, mark that spot and then remove the pointed cautery or the olive-shaped one.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that one over the location that is best suited for the attempt, holding it with your hand as it descends, and gradually tighten it until it is firmly held. Then rotate that one.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then slightly raise your hand and look at the location, and if you see that some amount of bone has been exposed, such as the amount of grain, then raise your hand. If your hand does not return to its original position, then place it on that iron or another one, if it is cold, before it is visible from the bone that I have told you about.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on that location and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place a clean cloth over that location and leave it there until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then care for the wound with the four-herb ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the plague is opened, as much harm gets out of the arm, so it becomes better and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that a cautery should be applied to the sinew inside the bone, and it should be held with the cautery until some part of the bone is attached.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then wipe away that which is attached to the bone, and then care for it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that the cautery should reach the back, until it enters strongly into the bone before it breaks, and this is the way to make a small incision:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that wound the evil spirits escape from the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then cared for until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two kinds of cautery in all men, except for those who are second in fear; and let that one be better for your health when it is, because the head is revealed by the solution of continuity of which we have testified in the other members, and especially when the head of the patient is of a natural nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is safer and better for me, and from that house and that work saves life.
Capitol segon.	Second chapter.
Del cauteri del cap.	Of the cauteries of the chapter.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the entire chapter there are chronic and long-lasting pains, and that is prolonged in the patient, and uses garlic, charcoal, capipurges, ointments, guaiacum, cadels, gualinas, and similar things, and more so if it has already been cauterized with a certain cautery that they know and do not improve from any of those causes, then consider that if the chapter of the patient is of great creation in its nature; and not free and easily moved by a great fright, then that cauterizer should use another cauterization after that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize it on the top of its chapter with the cauterization before the codex is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the codex and expose the bone in the amount that we have found and cauterize it with a cautery in the part behind the chapter in the place called the bladder, — and that is the place where the pillow is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your hand remain in that position, and do not expose the bone, as the patient may experience great pain different from all other cautery pains of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I would say that this cautery is in that location, because it is the one that burns the corns of the head and the occipital region is a more subtle cautery than the one that burns the middle part of the head; and this is the form of it.
Capitol ters.	Third chapter.
De cauterisacio de emigranea no-antiqua.	Of the ancient non-antique cautery of the emerging.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the part of the head that is sharp and sudden, or when the pain extends to the stomach, let the medicines that relieve the head be evacuated, and let the other cure be administered, which I have mentioned in the books on illnesses; and all is not appropriate, then the cautery in this case is done in two ways: either with a sharp burning medicine or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The sharp burning medicine is that you take a thin piece of iron, and scrape it on that and apply the ends of it to the affected parts with some powder.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then approach the location of the pain with a small scalpel inserted into the skin where the pain is located, and hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply pressure to the area stopped by constriction, and leave it for three hours; then remove the bandage and treat the wound for two or three days, and then place a poultice over the affected area where the pain is located.
E aprop cura aquel am enguent entro que sia sanat.	And then care for it until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do so with some remedies that I have written about in the other treatise on remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The cauterization is done in this way: light the cautery of which this is the shape:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a claw hammer because its head is shaped like a carnation with some curvature, and in the middle of it there is a small projection.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand over the location of the pain, and remove your hand - so that the scab that is left does not stick to the wound - and rotate the small iron at speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of blood that is held back due to the tightness of the ligature is too much for the patient, and you lift your hand to prevent the artery from being held back, which is left, so that no bleeding occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then apply a bandage soaked in salt water over the area, and leave it there for three days; then apply a wet bandage, and then care for the wound until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the tip of the knife according to the cautery, and be careful not to cut the artery in this area.
Capitol quart.	Chapter Four.
De cauterizacio d’emigranea antiqua.	On the cauterization of ancient wounds.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you care for a wound that we have mentioned in the previous cure, and the cure that we have mentioned in the divisions of illnesses, and if you do not apply the cure, and if the wound does not allow the first cautery or the cautery of fire, then wait until the cautery is whitish, as it means above the location of the pain, along the long line that is the main one, or another; then place your hand for a short while and strongly in the area where you pierce the artery and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuity of the mandible, which is often damaged by chewing, and that the jaw not be stuck and the nerve that may be affected, and that it does not become spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and care of the flow of blood from the artery that is being cautery, where in the cauterization of which there is fear, and more especially for those who do not know what to do and are not studious; and leave the operation in its beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will find the remembrance of the regimen for the flow of blood from the artery according to its own method, in its own place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this disease that does not allow this cauterization and you see the patient's body tolerably well, cauterize that in the middle of the head as we have reported, and cure the wound before it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish, administer the cauterization that we have mentioned in the chapter of stretching of the artery as cauterization having two points, and this is the best cauterization and more conformable.
Capitol .v.	Chapter V
