Ayssi comensan las paraulas de Albucasim .	Here begin the words of Albucasis.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already existed in all places of this book where the operation is performed, and error and fear occur; therefore, it is necessary for you to guard against that and lay aside the one who causes these things, so that the people do not attribute them to you and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your weapons with solicitude and protection from God, and your patients with success and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way for the grace of God to lead to health and praiseworthy success, and lay aside the terrible illnesses of difficult healing, and keep your weapons from that which makes you fear, so that your position in your faith and in your name will not escape you: because more remains for your glory, and more later in the world and after your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	In some cases, it is necessary to perform dissection in certain areas:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad patient badly, so that bad doctors will not remember you.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already dedicated this book to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The beginning of the division of the book, and the first part of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered by the foot, in the forms of instruments and in the handles of cautery, and of that which is necessary in the operation.
La divisio de la segonda partida.	The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and puncturing, and on vents, and on plasters, and on the extraction of stones and similar things to those, all chapter and ordered by the forms of instruments.
Divisio de la tersa partida.	Division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of torticollis and similar things to those; chapter ordered by the foot, and by the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of a pointed cautery and of sharp medicine and the remembrance of the operation.
Am aquel comensa le tractat de tot le libre.	In that place begins the treatise on all the free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you should know the quality of those handles of that cautery and of its tips, and in what manner it is forbidden to use it.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech about the quality of the handle of the cautery and its tip is a long and prolix, and subtle for the wise, and secretly hidden; and from there one has spoken much about secrets, and they have disagreed, and to me it seems a little like their speeches, I fear a long discussion.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that the cautery corresponds to all the universal composition, which is matter or its matter, except for two compositions, which are compositions of the tail and its matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the composition of the tail and dry matter, they disagree; because some said that the cautery is useful for that, and the others said the opposite of that, which is not convenient in disease that is by quality and dryness, because the nature of fire is quality and dryness, and it is not convenient that the disease tail and dry matter has that is burned and dried is healthy.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And tell that one who says the opposite of that, which is said to be very helpful in all cases where the tail and dry sweat are seen in the bodies of men, because when you compare the bodies of men with the moisture of them to the appearance of fire, it is easy to see the bodies of men.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the words of that one, which has experimented this thing to me sometimes in the past.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But perhaps not everyone can come over to that which has been extracted and exercised in the capital of cauteries by previous practice, and who has known the diversity of the appearance of men and the disposition of their diseases, and the causes of those, and their accidents, and the time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other appearances, do not be afraid of you, and especially in diseases that are moist and humid, because all doctors have agreed on those, and they do not disagree in the helpfulness of cauteries in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing by cauterizing with fire and its goodness is that it is simple, because the action of which only reaches the member that is cauterized and not the other member that is adjusted to it, only does a small harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the action of medicine come to that in the members which is of the same kind, and it often brings pain to the affected member, and it often causes difficulty in healing.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the fire, by its greatness and goodness of substance, not do that, but rather be superfluous. And we know this from experience and long study of the art over the truth of the causes; and for this you may be excused from the length of the sermon. And if not, it is not read to me in this pause, and the quality of the operation of which in the bodies and its expulsion by which it expels evils, that is philosophical demonstration, which would be sharpened in your pains.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree about the time when it is appropriate to make cauteries and pause at the best time of primevera.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And you say that cauteries are appropriate at all times, because the harm from the time accident is submerged in the advantage of which is thrown, and more so if the cauteries are for pain or necessary pain, quickly and fiercely, which do not suffer delay because they fear those that come maliciously, which is greater than small harm coming from the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not catheterize in your feet, oh sons, that is only understood by the common people and foolish doctors, because that disease which is cured by cauterization is not always effective, and they stop that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not always present that they fear for that, because cauterization is only in a place of medicine which alters the appearance and dries out the moisture which is the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless, cauterization is used excessively over medicine for the sake of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his disease will return in some time of the day, according to the appearance of the patient and the location of his disease, and its virtue, and that which is prepared in the body of him from the aggregation of the excess in him, and that which is obtained to him in his acquisition in foods and similar causes; but the disease in which cauterization is administered is a subtle disease in a member of few excesses and moisture, such as a tooth cautery for pain and similar to that, it is possible that in him it will not return that pain, but that which is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And more commonly, the pointed cautery is the most effective method of medical treatment, and it is called correct treatment, not because I understand what they mean by that, but because they believe that there is no other cure that can be obtained through medicine or any other cause that would require a pointed cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and they understand that the pointed cautery is not always the most effective method of medical treatment, but only when administering methods of treatment in certain diseases, and those medicines do not work, and at the end of the cause, they administer a pointed cautery, and it is effective for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here, they understand that the pointed cautery is not always the most effective method of medical treatment, but they do not understand what I understand as common sense and too many of the foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold is better than iron for cauterization, and they did not say that except for the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place for cauterization does not matter, since it is not absolutely true, because I have already seen that there are those who say that it only works in certain people, and cauterization with gold is good and better than iron if you do it as they say; but however, when you make cauterization with fire made of gold, it is not up to you, since it is done according to the amount of gold you want for the hardness of the gold, and because it prepares to receive the heat; and if you adjust it over the fire, the gold melts in the fire, and some sheets are placed in the fire for the craftsman to use for that purpose.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for that, a pointed cautery is made with a lighter and more conveniently placed in the direction of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on the second chapter of the cautery, and have ordered those between the feet, so that the patient can ask what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for pain in the head due to cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization applies to the moisture and cold that cause this accident, which is the cause of many traumatic fluxes, called crisis, from the head to the parts of the hips and the arms, and many sleeplessness, and tooth pain and jaw pain, and generally all illnesses that occur due to cold, such as paralysis, drowsiness, and apoplexy, and similarities in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first commands the patient to take a laxative medicine to empty his head, for three or four nights, according to the patient's strength and age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command the one who is shaving his head to do so with a razor, and place that shaved hair between your hands on a chair and place your hands over his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the razor of your palm against the nose between his eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But remember, when you reach the location that you have indicated, mark that spot and then use the pointed cautery of olive oil, which is in this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the location that you have marked, with a movement that goes down, and make sure that it is not too tightly held at once, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then slightly raise your hand and look at the location, and if you see that some of the bone has been exposed, as much as the amount of grain, then raise your hand, and if it does not return, place your hand on that iron, or another of those, if it is cold, before it is seen from the bone what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve that on the location and leave that for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand on the side that is facing away from the fire and let that one be destroyed by the flame of the fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then apply the four-herb ointment to the area until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that as soon as the plague is removed, the more the arm is bent, the better and more beneficial it is.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They say that one should cauterize the tendon at the bone, and hold the cautery until some part of the bone is attached to it.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove that which has been attached to the bone, and then apply the ointment.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They say that one should apply the cautery to the back, until it reaches the bone strongly enough to break the bone, and this is the way to make a small incision:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that area, the vapors of the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And one should keep the wound open for a long time, and then apply the ointment until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cauteries in all men, except in those who are second in line for fear; and let that one, if possible, be better for their health when it is; because the head is revealed by the solution of continuity of which we have testified in other members, and more so when the head of the patient is naturally free.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is safer and better for me; and from that one, I advise you to do the work for their health.
Capitol segon.	Second chapter.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the head there is chronic and long pain, and that is prolonged in the patient, and it uses gargles, and beaks, and capipurges, and ointments, and drugs, and candles, and wax, and similar things, and especially if it has already been cauterized with a cauterizer that they have and do not know how to apply to it again from among those causes, then consider that if the head of the patient is of strong creation in its nature; and it is not free and often there is a great deal of bleeding, then that cauterizer uses another cauterizer.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that above the horn of his head with a pointed cautery where the bone is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and expose it from the skull in the amount that we have found and cauterize that with a pointed cautery on the back of his head in the place where the intestine is placed, — and that is the place where the cushion is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And place your hand in the wound, and do not expose the bone, because the patient will suffer great pain different from all other cauterizations of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery is in this place, because it covers the point where the pointed cautery is applied to the horns of the head and the occiput is a more subtle cauterization than that which is cauterized in the middle of the head; and this is the form of it.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	Of the ancient non-antiphlogistic cauterization.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain in the part of the head is very severe, or it extends to the back, then remove the medicines that make the head better, and administer the other cure, which I have said in the chapters on illnesses; and all this is not helpful, then cauterization in that place is done in two ways: either with a sharp-burning cautery, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May the pointed cautery be used as a medical instrument to hold an ointment jar, and apply it to that area and cover its extremities with bandages.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the area of pain in the temple with a sharp knife that is inserted into the correct location behind it, and hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply pressure over the stopped area due to downward constriction, and leave it for three hours; and then remove the jar, and leave the plague for two or three days, and then place a bandage over the location where the wound is healing.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that which has been inserted until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do that with some medical instruments which I have written about in the previous treatise on medical instruments.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery be made in this manner: ignite it with this form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a clover cautery, because its head has the form of a clover flower in which there is some curvature, and in the middle of it is a small point.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand on the location of the pain, and pull your hand back - so that the skin is not torn - and slowly move the small iron at speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood that is stuck due to the thickness of the needle is such that it covers the entire area, then lift your hand to prevent the artery from being torn, so that there is no bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then apply a salted cloth to that location and place it there for three days; and then apply a heated, moist cloth and cure it until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the tip of the lancet according to the cautery, and avoid injury to the artery in this procedure.
Capitol quart.	Chapter fourth.
De cauterizacio d’emigranea antiqua.	Of the cauterization of an ancient puncture.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure an ancient puncture with the remedy we have mentioned in the previous healing, and with the remedy we have mentioned in the divisions of diseases, and if you do not apply the healing, and see that the disease does not respond to the first cauterization with medicine or the cauterization with fire, then wait until the cauterization is white, because it means above the location of the pain a line of length equal to the thickness of the other; and place your hand firmly on that area and insert the needle until you reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuity of the mandible, which is often bruised from chewing, and that the jaw not be adhered and the nerve that causes pain in that area, and that it does not become spasmed.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and care of the flow of sanctum from the artery that is embolized, in which there is fear and more so for those who do not know what to do and are not studious or experienced; and leave the operation in the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will find the remembrance of the regimen for the flow of sanctum from the artery according to the same manner, in its own location in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this patient who does not benefit from this cautery and you see the body of the patient bearable, cauterize that in the middle location of the head as we have reported, and cure the wound before it is healed.
