Ayssi comensan las paraulas de Albucasim .	Here begin the words of Albucasis.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here it is understood that the pointed cautery is the last remedy of medicine, not what they understand among the common people and too many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold is better than iron for cauterizing, and they did not say this except for the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place for cauterizing does not hurt, because it is not absolutely true, since I have already seen that there are some people who do not feel pain from that which does not make them sick in other bodies, and cauterizing with gold is good and better than iron, but however when you make cauterizing with fire made of gold, it is not to your declaration, because it is determined according to the quantity that you want for the roughness of the gold, and because it prepares to receive the frost; and if you adjust over the fire, the gold melts by the heat, and in the fire some layers for which the craftsman cooks for the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for that, a pointed cautery of iron is made to us more lightly and more directly to the straightness of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on the second chapter of the cautery, and have ordered those who are in the head between the feet, so that they ask him what he wants from him.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cauteries for head pain due to cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization gives to the moisture and cold of the head, which are causes of many accidents, called corissa, from the head to the parts of the limbs and of the jaws fluent, and many of sleep, and of tooth pain and of gout, and universally of all illness that comes from cold, such as paralysis, sudden and apoplexy, and similar in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, commands the patient that he be evacuated by a laxative medicine to clean his head, for three or four nights, according to the patient's virtue and age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command the one who holds their head to shave it, and then make that person sit on a chair and place their hands on their chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the razor blade on the palm of your hand and hold it above the nose between their nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, since the location you mentioned is not reachable, mark that location and then use the pointed cautery of this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the location and apply pressure slowly, so that it is not too tight, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then slightly raise your hand and look at the location, and if you see that some of the bone has been exposed, in the same amount as the amount of hair, then raise your hand, and if it does not return to its place, then bring your hand back to that iron, or another one of those, if it is cold, before you can see that which I have told you about.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the location and leave that for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand on the flat part of their back and hold it over the area where the bone of the fire is to be destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then apply the four-ingredient ointment into the wound until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that when the plague is opened, as much milk as possible should be poured into it, so that it is better and more healing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that the spine should be cauterized into the bone, and it should be held with the cautery until some part of the bone is adhered to.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove that which has adhered to the bone, and then heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they said that others used the cautery to reach the back, until it strongly entered into the bone before it broke, and this is the way to make a small incision:
E estiman de aquel loc expiran la vapors del cap.	And they estimated that from that wound, the vapors of the head escaped.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then healed until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cauteries in all men, but only in those who have had the second stage of fear; and if you leave that one, it is better for your health when it is, because the head is revealed by the solution of continuity of it with what we have testified in other members, and more so when the head of the patient is of a fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is more safe and better for me; and from that one, you should choose the one that is more beneficial for your health.
Capitol segon.	Second chapter.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the entire head is affected by chronic and long-lasting pain, and that is prolonged in the patient, and uses of garlic, of charcoal, of capicum, of purges, of ointments, of galbanum, of wax, and of similar things, and especially if it has already been cauterized with a cautery that they have and not improved at all from those causes, then consider that if the head of the patient is of strong creation in its nature; and not fragile and easily broken, then that cautery should be applied again.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply a pointed cautery on the horn of his head inside where the bone is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and discover the amount of bone that we have found and cauterize that with a cautery on the part behind the head in the place where the pus is located - and that is the place where the pus is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your hand rest, and do not cut the bone, because the patient will suffer from that very great pain different from all other head cautery pains.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery is in this place, because it covers the horn of the head and the back of the head is a more subtle cautery than that which is cauterized at the middle of the head; and this is the shape of it.
Capitol ters.	Third chapter.
De cauterisacio de emigranea no-antiqua.	Of the ancient non-antiquated cautery of the eyebrow.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain occurs in the part of the head, or is felt inside the eye, remove the medicines that make the head clear, and administer the other cure, which I have mentioned in the treatises on diseases; and if it does not work, then cauterization is done in two ways: either with a sharp cautery or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May the pointed cautery be used as a medical tool to hold a painful object and scrape it with an open cap on its ends and cover its extremities with ointment.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then, incise the location of the pain in the temple with a blade that is inserted into its fitting place behind the ear, where it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then, strengthen it with a stopper due to constant compression, and leave it for three hours; then remove the alh, and let the wound rest for two or three days, and then place a bandage on the location where the pain occurs.
E aprop cura aquel am enguent entro que sia sanat.	Then, cure it with an ointment that is inserted into its fitting place when it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do that with some medical tools that I have written about in the other treatise on medical tools.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cauterization be done in this manner: light a cautery of this form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a clover-shaped cautery, where the head of it is shaped like a clover with some curvature, and in its middle part there is a small pinpoint.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand on the location of the pain, and remove your hand — so that the wound is not closed prematurely — and slowly turn the small iron at speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood that is stopped by the skill of the surgeon is such that it covers the entire body, and lift your hand to prevent the artery from being closed prematurely, so that no bleeding occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then apply a piece of saltwater cloth on that location, and leave it for three days; and then apply a warm compress, and then care for the wound until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the tip of the lancet according to the cautery, and avoid injury to the artery in this unskilled manner.
Capitol quart.	Fourth Chapter
De cauterizacio d’emigranea antiqua.	Of the ancient method of cauterization.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the wound with the method we mentioned in the previous cure, and with the method we mentioned in the division of diseases, and if the cure does not improve, and you see that the disease does not respond to the first cauterization with medicine or the cauterization with fire, then wait until the cauterization is healed, so that it does not cover the location of the pain with a long line that covers the entire body, or that it does not penetrate the flesh. Then place your hand firmly and quickly enter the incision and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuity of the mandible, which is often injured during chewing, and that the jaw does not become stuck and the nerves that are affected by it, and that it does not become spasmodic.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the guard and care of the flow of blood from the artery that is being blocked, where in its blockage there is fear and more so for those who do not know what to do and are not skilled; and leave the operation to begin.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you should remember the regimen of blood flow accidents of the artery according to its method, in its own location of this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this disease that does not allow this cautery and you feel the patient's pain tolerably, cauterize that in the middle of the head as we have reported, and cure the wound before it is healed.
