Ayssi comensan las paraulas de Albucasim .	Thus begins the language of Albucasis.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in this place where the operation is performed, which is an error and fear; therefore it is necessary for you to guard against that and lay hands on him, so that the people do not approach to speak to you and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And take up your weapons with solicitude and protection of God, and your patients with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God for the salvation and praiseworthy succession, and lay hands on those terrible patients of difficult healing, and hold your weapons against that which makes you fear, so that your patience in your faith and in your name does not escape you: because more remains to your glory, and less in the world and after in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	In some cases, it is necessary to dissect:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad patient, because evil doctors are not recognized.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already devised this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of the free, and first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered for the entry of the foot, in the forms of instruments and in the handles of the cautery, and of what is necessary for the operation.
La divisio de la segonda partida.	The second section division.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and perforation, and on vents, and on plasters, and on the extraction of sharp objects and similar ones, all chapter and ordered from the forms of the instruments.
Divisio de la tersa partida.	The third section division.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and on dislocation, and on the cure of torsion and similar ones; chapter ordered for the entry of the foot, and from the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of pointed cautery and of sharp medicine and remembrance of the operation.
Am aquel comensa le tractat de tot le libre.	In that begins the treatise on all the foot.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you say the quality of those tips of that cautery and of its handles, and in what condition it is prohibited to use the cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, it is said that the speech about the quality of the cauterizing needle and its handle is long and elaborate, subtle for those who know, and secretly hidden; and from there, many people have spoken about it, and they have disagreed, and I will give you a small part of their speeches, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore it is said that the cauterizing needle corresponds to the whole complexion universally, which is good material or its materials, except for two complexions, which are tail complexions of six materials.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail complexion and dry material, they disagree; because some said that the cauterizing needle is suitable for that, and the others said the opposite of that, which is not convenient in illness that is due to quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient for illness to have that which is caut and dry be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And they said that those who said the opposite of that, which is suitable for cauterizing in all illness of tail complexion and dry material that exists in the bodies of men, because when you compare the bodies of men and their humidity to the complexion of fire, you often find the bodies of men wet.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I hear by the word of that one, who has experimented this himself several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But may not come upon that one who has already been extracted and exercised in the capital of cauterization by previous exercise, and has known the diversity of the composition of men and the disposition of their maladies in their members, and the causes of those, and their accidents, and the space of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	May not come upon you in other compositions, and especially in moist and humid maladies, for all doctors have agreed on those, and they do not disagree in the use of cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of cure by cauterization with fire and its goodness is above cauterization with medicine, because fire is simple, the action of which does not reach beyond the member that is cauterized and does not affect the other member without a slight harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the action of medicine burn reach that in the members which has already been there, and often it brings in the member with the disease of difficult cure and often it causes harm.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	During the day, due to its sublimity and the goodness of its substance, it does not cause anything but excess. And we already know this from experience and the length of service in the study of the art over the truth of the causes; and for this reason I am excused from the length of the speech. And if it were not for the fact that it is not read aloud in this place, it would be hidden from you in secret, and the quality of its operation in the bodies and its expulsion by which it expels diseases, according to the philosophical demonstrative discourse, would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Know, children, that they should not forget the time when it is most appropriate to perform cauterization and place the best time in the morning.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is appropriate at all times, because the harm from the time accident is submerged in the joy of which the cauterization is thrown, and especially if the cauterization is for pain or necessary painful ones, forcefully and quickly, the ones that do not suffer delay because they fear the evil that comes from those who are malicious, which is greater than small harm entering through the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not catch in your feet, or, sons, that is not considered by the general public and foolish doctors, because that malady which is cured by cauterization is not always effective, and they stop that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as it is said above, because cauterization is not only in a place of medicine that alters the appearance and dries out the moisture which are the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, cauterization is used excessively in medicine for the sake of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his malady returns at some time in the future, according to the appearance of the patient and the location of his malady, and its virtue, and that which is prepared in his body from the aggregation of excess in him, and that which is obtained by him in his acquisition in foods and similar causes; but the malady in which cauterization is administered is a subtle malady in a member of few excesses and moisture, as with the cautery of teeth for pain and similar to that, it is possible that in it does not return that pain, but that which is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And according to common speech, cautery is the last remedy in medicine, and it is true that I do not understand what they mean by that, because they believe that there is no cure that can be achieved with medicine or any other cause before using cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is in contrast to that; and they understand that cautery is the last remedy in medicine only when administering methods of treatment in some diseases, and those medicines do not work, and at the end of the cause they administer such cautery, and it is effective for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here it is understood that cautery is the last remedy in medicine, not as they understand it, which I understand from common speech and from the opinions of many doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold cautery is better than iron cautery, and they did not say that only because of the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the location of cauterization does not matter, since it is not absolutely true, because I already have some that are good and some that are bad, and cauterization with that is better than iron cautery, but however when you do cauterization with fire of gold, it is not your decision, since it is made according to the quantity that you want for the roughness of the gold, and because it prepares to receive the heat; and if you place it over the fire, the gold melts in the fire, and some pieces are left for the artisan to use for that purpose.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for that reason, a pointed cautery of iron is made, which should be lighter and more directly in line with the operation's direction.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on the cautery in the second chapters, and I have ordered those who are between the feet, so that they may ask him what he wants for himself.
De cauteri de dolor de cap per frigiditat e humiditat.	Of the cautery for head pain caused by coldness and dampness.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization is caused by moisture and coldness, which are the main causes of various accidents, called corrosion, from the head to the parts of the limbs and the joints, and many sleep problems, and tooth and jaw pain, and generally all kinds of illnesses that come from coldness, such as paralysis, suddenness, and apoplexy, and similarities in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, command the patient to take a laxative medicine to cleanse his head for three or four nights, according to the patient's age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command the one who shaves his own head to do so between your hands on a chair and place your hands over his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the blade of your palm against the nose between his fingers.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, if the location you mentioned is reached, mark that spot and then use the pointed cautery made of olive oil in this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the spot you marked and apply it in a way that drips down, so that the one who is being treated does not feel it being applied gradually, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then slightly raise your hand and look at the spot, and if you see that some of the bone has been exposed, as much as a handful of grains, then raise your hand, and if it does not return, bring your hand back to that iron, or another of those, if it is cold, before it is seen from the bone what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small piece of salt and dissolve it on the spot and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand on the flat part of the shoulder and hold that one over the entrance where the shield of the fire is to be destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then apply the four-drug ointment into the location until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that as long as the plague is open, the more the arm is stretched out, the better and more beneficial it is.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that the tail should be cauterized inside the bone, and it should be held with the cauterizer until some part of the bone is attached.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then wipe away that which is attached to the bone, and then heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they say that others prefer the cauterizer to reach the back, until it reaches the strong part of the bone before it breaks, and this is the way to make a small puncture:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that location, the vapors of the head are released.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then healed before it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	It is not clear to me whether these two types of cautery are used in all men, but rather on the second type due to fear; and if that one is better for health when it is used, as the head is revealed by the solution of continuity of which there is evidence in other members, and more so when the head of the patient is naturally free.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is safer and better for me; and from that one, and the other work is also beneficial for health.
Capitol segon.	Chapter two.
Del cauteri del cap.	Of the head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the head, chronic and long-lasting pain occurs in the patient, and it is prolonged, and it uses herbs and worms and capipurges and plasters and ointments and galls and cadels and gualinas and similar things, and especially if it has already been cauterized with a cautery that they have and do not use again for any of those causes, then consider that the head of the patient is naturally very strong; and it is not free and often a great burden, then that cauterizer uses another cautery instead of that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then, approach with the pointed cautery on the surface of his head to cauterize where the vein is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the vein and expose it from the bone as much as we have found, and cauterize that with a cautery in the location behind the head where they place the pad - and that is the location where the pad is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your hand remain still, and do not expose the bone, because the patient will experience great pain different from all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will direct you to this location, because that cautery is the one that cauterizes the veins of the head and the occiput is a more subtle cauterization than that which cauterizes the middle location of the head; and this is the form of it.
Capitol ters.	Chapter Third.
De cauterisacio de emigranea no-antiqua.	Of the cauterization of the old non-antique.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain is felt in the part of the head or extends into the neck, remove medicines that relieve the headache, and administer the other cure, which I have mentioned in the rules for illnesses; and if all this does not help, then cauterization in that location is done in two ways: either with a sharp cautery or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May the pointed cautery be used as a medical instrument to remove a splinter from an arm, and then clean that area and apply ointment to its extremities with cotton.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then make an incision in the location of the pain on the temple with a blade that is thin enough to reach the correct location without being visible.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then apply a strong bandage to the wound to prevent further constriction, and leave it for three hours; then remove the bandage, and leave the wound open for two or three days, and then apply a poultice over the affected area where the wound is located.
E aprop cura aquel am enguent entro que sia sanat.	Then care for that area until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do that with some medical instruments that I have written about in the other treatise on medical instruments.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cauterization be done in this way: light the cautery with this method:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a "claw-like" cautery, where the head of it has the form of a clover with some curvature, and in the middle of it there is a small notch.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand on the location of the pain, and remove it – so that the wound is not stuck with the scab that has been left – and turn the small iron at speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of it that is stuck by the length of the needle is such that it covers the entire area, and lift your hand to prevent the artery from being stuck with the scab that has been left, so that no blood flow occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then apply a poultice of salt water on that location, and leave it for three days; and then apply a moist poultice around it, and then treat with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the tip of the lancet according to the cautery, and be careful not to cut the artery in this area properly.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	Of cauterization of the ancient emigration area.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the emigration area with the cure we have mentioned in the previous chapter, and with the cure we have mentioned in the divisions of diseases, and if you do not find the cure, and if you see that the disease does not respond to the first cauterization of medicine or the cauterization of fire, then be careful to ignite the lancet within it until it is completely burned, so that it covers the location of the pain with a long line that covers the entire area, or that one; and place your hand firmly inside it as you pierce the scab and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuity of the mandible, which is bruised from chewing, and that the jaw not be stuck and the nerves that cause it, and that it does not become spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and care of the flow of sand from the artery that is abscessed, which in the abscission of it there is fear, and more so for those who do not know what it is and are not studious or careful; and leave the operation in its beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will find the remembrance of the regimen for the flow of sand accidents from the artery according to its method, in its own place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this disease that does not abate with this cautery and the patient's condition becomes tolerable, cauterize that in the middle of the head where we have reported, and cure the wound before it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish, administer the cautery that we have mentioned in the chapter of stretching of the artery with two points, and this is the best cauterization and more conformable.
Capitol .v.	Chapter 5.
