Ayssi comensan las paraulas de Albucasim .	And now begins the words of Albucasis.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then remove the bandage according to his wishes, and then remove the restraints, and then remove the leeches for several days and command that they not be applied again; and this is when the dressing and the foot become infected, and reach a point of danger.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And then I was called to him, and I removed the bandage, and he regained peace and relief from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the decay was already confirmed in the limb, so it could not be stopped, and it continued to spread through the limb until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who drained an abscess and made an ulcer, which healed in several days, until the fire of his malice was consumed by the Lord of him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the brain is purged of melancholic humor, so it does not reach him with all iron, but rather the member that suffers from all should be held.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for that reason, children, it is necessary for you to have the operation done in two ways: one is an operation that is associated with salvation, and the other is a work that is performed in the best conditions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already extracted that in every place of this book where an operation is performed in which error and fear occur; therefore it is necessary for you to guard against that and lay aside that, so that the foolish do not attribute it to me and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And take up your weapons with diligence and protection of God, and your patients with ease and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way for the grace of God to lead to salvation and praiseworthy succession, and lay aside the terrible diseases of difficult healing, and hold your weapons against that which makes you fear, so that your stay in your faith and your name does not escape you: because more remains to your glory, and further in the world and after your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	In some cases, however, it is said that:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat evil disease, because evil doctors are not recognized.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three sections.
Comensa la divisio del libre, e primier de la primieyra partida.	The beginning of the division of the rib, and the first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered by the head of the foot, in the forms of instruments and in the irons of cautery, and of what is necessary for the operation.
La divisio de la segonda partida.	The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and puncturing, and on ventosas, and on plagues, and on the extraction of sagitas and similar things to those, all chapter and ordered by the forms of instruments.
Divisio de la tersa partida.	The division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of tortion and similar things to those; chapter ordered by the head of the foot, and by the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of the pointed cautery and of acute medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	In that begins the treatise on all the rib.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you know the quality of those points and of the remedies of it, and in what condition is prohibited cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, the speech about the quality of the cauterizing knife and its handle is a long and elaborate one, subtle for those who know it, and secretly hidden; and from there many people have spoken about it, and they have differed in their opinions, and I have taken a small part of their speeches, due to my ignorance.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore, the cauterizing knife corresponds to the entire complexion universally, which is good or bad material, except for two complexions, which are tail-like materials.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail-like complexion and dry material, they disagree; for some say that a cauterizing knife is suitable for that, and others say the opposite of that, that a cauterizing knife is not convenient in a bad condition, which is due to its quality and dryness, because nature of fire is quality and dryness, and it is inconvenient that bad condition tail-like and dry material be caut and dry be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And they say those who say the opposite of that, that for cauterizing it is done well in all bad condition tail-like and dry material that is in the bodies of men, because when you compare the body of a man and its humidity to the complexion of fire, the body of a man is damp.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	I hear by the word of that person, who has experienced this thing several times before.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But may not come upon that one who has already been examined and exercised in the capital of cautery by previous practice, and knows the diversity of men's constitutions and the positions of their illnesses, and the causes of those, and their accidents, and the span of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other constitutions, you should not fear, and especially in moist and humid illnesses, because all doctors have been agreed upon those, and they do not disagree about the use of cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing by cautery with fire and its goodness is that by cautery, medicine burns, because fire is simple, the action of which does not reach beyond the member that is cauterized and does not harm the other members unless it is adjusted with a small amount.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	And the action of medicine burning reaches those in the members who are already sick, and it often causes pain to come into the sick member and often causes harm.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	When the fire, due to its sublimity and the goodness of its substance, does not do anything but superfluously, we already know this through experience and the length of time spent studying the art over the truth of the causes; and for this reason, I am excused from the length of this speech. And if it were not for the fact that it is not read aloud in this place, and the quality of the operation of it in the bodies and its expulsion by which it expels evils, the philosophical demonstrative speech would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	You should know, children, that the time when it is appropriate to make a cautery and rest is at the best time of primeval.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is appropriate at all times, because the harm caused by time is submerged in the benefit of which the cautery thrown is made, and especially if it is for pain or necessary pain, quickly and firmly, the ones that do not suffer delay because of the fear of those who come with malice, which is greater than small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not catheterize in your feet, or, sons, that is only understood by the common people and foolish doctors, because that malady which is cured by cauterization is not always disagreeable, and they stop that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they say for that, because cauterization is not only in a place of medicine which alters the appearance and dries out the moistures which are the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But rather cauterization is used excessively in medicine for the sake of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that their malady returns in some time of the day, according to the appearance of the patient and the location of their malady, and its virtue, and that which is prepared in the body of the patient from the aggregation of the superfluities in it, and that which is obtained to it in the acquisition of foods and similar causes; but the malady in which cauterization is administered is a subtle malady of few superfluities and moistures, such as cautery for tooth pain and similar things, it is possible that in it does not return that pain, but rather it is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And more commonly, people call the pointed cautery the best remedy in medicine, and they say that it is not a cure that is appropriate for me to use in this case, as they believe that there is no cure that can be achieved through medicine or any other cause that would approach the use of a cauterizing needle.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and they understand that the pointed cautery is not the best remedy in medicine unless they administer the methods of treatment in certain illnesses, and those medicines do not work, and at the end of the cause, they administer some cauterizing needle, and it is appropriate for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here it is understood that the pointed cautery is not the best remedy in medicine, but they understand this as many people and some foolish doctors believe.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold is better than iron for cauterizing, and they did not say this except for the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the location of cauterizing does not matter, since it is not absolutely true, because I have already seen some people who are good and some who are bad, and cauterizing with gold is better than with iron if you do it in this way; however, when you make cauterizing with fire made of gold, it is not your declaration, because it is prepared according to the amount that you want by the heat of the gold, and because it receives the cold; and if you adjust it on the fire, the gold melts for the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for that, a pointed cautery of iron is made to us slightly and more closely to the direction of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter in the second chapter of the cautery, and I have ordered those who enter between the feet, so that the patient asks what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for head pain caused by cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery applies moisture and cold to the body part of which these causes are the main factors, causing corrosion, from the head to the parts of the hands and feet, and many sleep, and tooth pain and jaw, and generally all evil that comes from cold, such as paralysis, hardening and apoplexy, and similar in those evils.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first commands the patient to take a laxative medicine to cleanse his head, for three or four nights, according to the patient's ability and age and habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command the one who has the sharp razor to shave that part between your hands on a chair, and place your hands over their chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the palm of your hand on the razor blade between their fingers.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when you reach the desired location, mark that spot and then apply the pointed cautery made from olive oil of this shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the location well, gradually applying pressure until it is firmly attached, and you should rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then slightly lift your hand and look at the location, and if you see that some of the bone has been exposed, like the amount of gravel, then lift your hand, and if it does not return to its original position, then use the other tool mentioned earlier, if it is cold, before it becomes visible from the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the location and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand on the burned area and hold it over the flame to destroy the scar of the fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then apply the tetraformic ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that as soon as the plague is opened, the arm becomes more flexible and more useful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that the cord should be cauterized inside the bone, and it should be held with the cauterizer until a piece of the bone is stuck to it.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then scrape off that which is stuck to the bone, and then apply the ointment.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cauterizer should reach the back, until it penetrates strongly into the bone before it breaks, and this is the way to make small nails:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that place the fumes of the head come out.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then it should be healed until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cauteries used in all men, except in some who are secondarily afraid; and if you leave that one, it is better to avoid it when possible, because the head is often revealed by the solution of continuity of which we have testified in other members, and especially when the head of the patient is of a fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is safer and better for me, and from that one, you should avoid it to save the work and ensure safety.
Capitol segon.	Chapter two.
Del cauteri del cap.	Of the head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the head suffers from chronic and long-lasting pain, and this is prolonged in the patient, and uses garlic, toothpicks, capipurges, ointments, guatz, cadels, gualinas, and similar things, and especially if it has already been cauterized with a cauterizer that they have not used recently, then consider that if the head of the patient is of strong creation in its nature; and it is not fragile and easily broken, then that cauterizer should use another cauterizer.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that on the top of his head with a pointed cautery where the hair is separated.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the hair and expose the bone to the extent that we have found, and cauterize that with a pointed cautery on the back of his head in the place called the occipital fossa, — and that is the place where the pillow is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your hand remain still, and do not expose the bone, because the patient will suffer great pain different from all other scalp cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I would say that this cautery is in this place, because it is used to cauterize the horns of the head and the occiput is a more subtle cautery than that which is used to cauterize the middle part of the head; and this is the form of it.
Capitol ters.	Third chapter.
De cauterisacio de emigranea no-antiqua.	Of the ancient non-antiseptic cauterization of the eyebrow.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain in the part of the head is severe, or extends to the forehead, remove the medicines that make the head sweat, and administer the other cure, which I have mentioned in the treatment of diseases; and if none of this helps, then cauterization in that place is done in two ways: either with an acute cauterizing instrument or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May the pointed cautery be used as a medical tool to remove a splinter from the hand, and then apply ointment to the affected area and bandage it.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then make an incision in the area of pain on the temple with a sharp knife, deep enough to reach the affected area, but not so deep as to reveal it.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply a strong compression bandage to the affected area for three hours; and then remove the bandage and treat the wound for two or three days, and then apply a poultice over the area where the wound is located.
E aprop cura aquel am enguent entro que sia sanat.	And then cure it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, you can perform this with some medical tools that I have written about in the aforementioned treatise on medical instruments.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The pointed cautery is used in this manner: light the cautery with this method:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a claviule, because its head is shaped like a carnation, with some curvature, and in the middle of it is a small hollow.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand on the location of the pain, and hold it -- to prevent the laceration from being stuck together -- and turn the small iron at high speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of the wound that is stuck together by the nature of the cautery is such that it covers most of the body, and you lift your hand to prevent the artery from being stuck together, which is there, so that no blood flow occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then apply a bandage soaked in salt water to the location, and place it there for three days; and then apply a soft bandage, and then treat with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the end of the cutting instrument according to the cautery, and guard yourself from injury to the artery in this improperly antiquated manner.
Capitol quart.	Chapter Four
De cauterizacio d’emigranea antiqua.	Of the cauterization of improperly antiquated instruments.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the instrument that we have said about the previous treatment, and what we have said in the divisions of diseases, and if you do not improve the treatment, and sometimes by the disease that does not allow you to use the first cautery of medicine or the cautery of fire, then you should ignite the cutting instrument inside the body before it is fully burned, so that it is long enough to cover the location of the pain, or that one; and place your hand on a firm and strong position when you pierce the wound and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuity of the mandible, which is damaged by chewing, and that the jaw not be stuck and the nerves that are affected by it, and that it does not become spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and caution of blood flow from the artery that is abscessed, where in its abscission there is fear, and much more for those who do not know what it is and are not studious and do not spread it; and leave the operation in its beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will remember the regimen of blood flow from an accident to the artery according to the same method, in its place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this disease that does not allow this cautery and sees the body of the patient tolerable, cauterize that in the middle loc of the head as we have reported, and cure the wound before it is healed.
