Ayssi comensan las paraulas de Albucasim .	And now begin the words of Albucasis.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And you say that cauteries are convenient at all times, because the harm caused by time is submerged in the benefit of it which is thrown on the cautery, and especially if the cautery is for pain or necessary pain, quickly and forcefully, those that cannot bear delay because they fear the malice that comes from those who will enter, which is greater than small harm through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not catheterize in your feet, or, sons, that is only understood by the general people and foolish doctors, because that malady which is cured by cauterization does not require it all the time, and they stop that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not always present that they fear for that, because cauterization is not only in a place of medicine which alters the appearance and dries out the moisture which are the cause of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless, cauterization is used excessively over medicine for the sake of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his malady returns in some time of the day, according to the appearance of the patient and the location of his malady, and its virtue, and that which is prepared in the body of the patient from the aggregation of the superfluities in him, and that which is acquired by him in his acquisition of foods and similar causes; but the malady in which cauterization is administered is a subtle malady in a member of few superfluities and moisture, such as a tooth cautery for pain and similar to that, it is possible that in it does not return that pain, but that which is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	More commonly, the pointed cautery is considered the last resort of medicine, and this language is correct, because I do not understand what they mean by that, as they believe that there is no cure that can be achieved through medicine or any other cause that would require cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is opposite to that; and they understand that the pointed cautery is the last resort of medicine is only when administering methods of treatment in certain diseases, and those remedies do not work, and at the end of the cause, they administer the same cauterization, and it is effective for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here they understand that the pointed cautery is the last resort of medicine, not as they understand it, which I understand from the common people and many of the foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold cauterization is better than iron cauterization, and they did not say that except for the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place for cauterization does not matter, since it is not absolutely true, because I already have some that are good and others that are bad, and cauterization with that is good and better than with iron, but rather when you make cauterization with fire of gold, it is not to your declaration, because it is ignited according to the amount that you want by the roughness of the gold, and because it prepares to receive the cold; and if you adjust over the fire, the gold melts in the fire, and some sheets for that the craftsman can do for that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for that, a pointed cautery made of lighter and more conveniently placed iron is used to approach the direction of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on the cautery in the second chapters, and have ordered those between the feet, so that they can ask him what he wants for that.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cauteries for head pain caused by cold and dampness.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization gives relief from the dampness and cold that cause this accidental condition, which is caused by so many and various rheumatic fluxes, called corissas, from the head to the parts of the hands and feet, and many sleeplessness, and pain in the teeth and jaw, and generally from all evils that come from cold, such as paralysis, hardening, and apoplexy, and similarities in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first command the patient to take a laxative medicine to cleanse his head, for three or four nights, according to the virtue of the patient and his age and his custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command the one who is holding their head to shave it, and then do that shaving between your hands on a chair that is lowered and place your hands over their chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the razor from the palm of your hand on the nose between their nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when the place you mentioned is reached, mark that spot and then ignite the pointed cautery made of olive oil in this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the spot well and hold it steady, gradually increasing the pressure until it is strongly held, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand slightly and look at the spot, and if you see that some of the bone has been exposed, as much as the quantity of a grain of sand, then lift your hand, and if it does not return, put your hand back on that iron, or another of those, if it is cold, before it is seen from the bone what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the spot and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand on the side that is burned and let that one be the one that destroys the scar of the fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then heal the wound with the four-drug ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that as the plague is opened, so much more honey gets into it, so that it is better and more useful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that the tail should be cauterized into the bone, and it should be held with the cautery until some part of the bone is stuck to it.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove that which is stuck to the bone, and then heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cautery should reach the back, until it enters the bone strongly enough to cause the bone to break, and this is the way to make small drills:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that wound the fumes of the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then healed until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cauteries used in all people, but only in some men who are second in line for fear; and let that one, if possible, be better for health when it is done, because the head is revealed by the solution of continuity of which there is as we have testified in other members, and more so when the head of the patient is naturally free.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is more saving and better for me; and from that one, I advise you to do that work for health.
Capitol segon.	Second chapter.
Del cauteri del cap.	Of the head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When there is chronic and long pain in the whole head, and it continues in the patient for a long time, and it uses garlic, wormwood, capipurges, ointments, salt, leeches, guaiacum, and similar things, and especially if it has already been cauterized with a cautery that they have not been able to remove from it in any way, then consider that if the head of the patient is of strong creation in its nature; and it is not free and atrophic, but rather a great swelling, then use another cauterization after that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And if it is necessary to cauterize that on the surface of his head, do so with a pointed cautery where the hair is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the hair and discover the bone in the amount that we have found and cauterize that with a pointed cautery on the part behind the head in the place where the wound is located, which is called the mastoid process, — and that is the place where the bandage is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And place your hand in the back of his head, and do not expose the bone, because the patient will feel great pain different from all other cautery pains on his head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery in its place, where it is located, covers the part that is cauterized on the forehead and the back of the head is more subtle cauterization than that which is cauterized at the middle of the head; and this is the form of it.
Capitol ters.	Chapter third.
De cauterisacio de emigranea no-antiqua.	Of ancient non-anterior cauterization.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain in the part of the head is sharp, or the pain extends into the wound, remove the medicines that make the head swell, and administer the other cure, which I have said in the chapters on diseases; and all is not improved, then cauterization is done in two ways: cauterization with an acute medical instrument, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May the pointed cautery be used as a medical tool to grasp a splinter and remove it by scraping it and then applying ointment to its ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then make an incision in the location of the pain on the temple with a sharp knife that is inserted into the wound and hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then apply pressure to the stopped area with constant constriction, and leave it for three hours; then remove the splinter, and leave the wound for two or three days, and then apply a poultice over the affected area that makes the wound bleed slightly.
E aprop cura aquel am enguent entro que sia sanat.	Then heal it with that which cures it when it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do so with some medical tools that I have written about in the other treatise on medical tools.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cauterization be done in this manner: Ignite the cautery with this method:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a "claw-like" cautery, the head of which is shaped like a carnation in which there is some curvature, and at the middle of it is a slightly protruding point.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand on the location of the pain, and stretch your hand - to prevent the joint from being stuck - and move the small iron quickly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of the limb that is stuck due to the condition of the ligament is such that it covers the main part of the limb, and lift your hand to prevent the artery from being stuck - which is already there - so that no bleeding occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then apply a piece of cloth soaked in salted water on that location, and leave it there for three days; and then apply a warm compress around the border, and then care for it with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the end of the scalpel according to the cauteries, and be careful of the incision of the artery in this particular case.
Capitol quart.	Chapter Four.
De cauterizacio d’emigranea antiqua.	Of the cauterization of an ancient wound.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an ancient wound, as we have said in the previous cure and what we have said in the divisions of diseases, and if you do not improve the cure, and sometimes due to the disease that does not allow you to use the first cauteries with medicine or the cauteries with fire, then wait until the scalpel is completely albified, because it means that you should place your hand on the location of the pain along a line that is the longest part of the wound, or that part; and place your hand firmly inside the joint and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuity of the mandible, which is often damaged during chewing, and that the jaw not be held shut and the nerves that are affected by it, and that it does not become spasmed.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and care of the flow of blood from the artery that is abscessed, where in the abscission of which there is fear, and especially for those who do not know what to do and are not studious or skilled; and leave the operation until the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will find the memory of the regimen for the flow of blood from an accidental wound to the artery according to its own method, in its own place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this malady that does not allow this cautery and sees the body of the patient tolerable, cauterize that in the middle loc of the head where we have reported, and cure the wound before it is healed.
