Ayssi comensan las paraulas de Albucasim .	And now begins the words of Albucasis.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and perforation, and on ventouses, and on plasters, and on the extraction of sage and similar things to those, all chapter and ordered from the forms of instruments.
Divisio de la tersa partida.	Division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and on dislocation, and on the cure of twisting and similar things to those; chapter ordered within the book, and from the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of pointed cautery and sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	In that begins the treatise of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you know the quality of those points of that cautery and of its nozzles, and in what condition it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, the speech about the quality of the cauterizing needle and its handle is long and elaborate, and subtle for the knowledgeable, and secretly hidden; and from there they have spoken much about wisdoms, and they have been disagreed upon, and a little of their speeches remains with me, due to length.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore it is said that the cauterizing needle corresponds to the entire comprehensive material or its materials, except for two materials, which are tail materials.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail material, they disagree; for one said that the cauterizing needle is beneficial for it, and the others said the opposite of that, which is not convenient in illness because of its quality and dryness, for the nature of fire is quality and dryness, and it is not convenient that illness be cured with that which is cauterized and dried.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And they said that one who said the opposite of that, which is beneficial for cauterizing in all illness tail material that exists in the bodies of men, because when you compare the body of a man and its humidity to the comprehensive material of fire, the body of a man is pierced.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I heard from that person's mouth that he had experienced this some time ago.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But he may not know that this has been extracted and exercised in the capital of cautery by previous practice, and has recognized the diversity of the composition of men and the disposition of their diseases in their bodies, and the causes of those, and their accidents, and the time span of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other compositions, do not be afraid of you, and especially in wet diseases, since all doctors have been agreed on those, and they do not differ in the recommendation for cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing by cautery with fire and its goodness, since it is used in medicine as a burning agent, is because the fire is simple, the action of which only reaches the member that is cauterized and not to the other member attached to it unless by a small harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine as a burning agent does not reach to that in the members which are attached to it, and therefore it is difficult for the disease to come into the affected member and it is rarely used.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the fire, due to its sublimity and the goodness of its substance, not do anything but superfluously; and we already know this through experience and the length of service in the study of the art over the truth of the causes; and for this reason he is excused from the length of the speech. If not for that, it would not have been read to you in this pause secretly by the fire, and the quality of the operation of it in the bodies and its expulsion by which it expels evils, the philosophical demonstrative sermon, which would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Know, children, that they should not be separated from the time in which it is appropriate to perform cautery and pause at the best time of primaveyra.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And you say that cautery is appropriate at all times, because the harm caused by the time accident is submerged in the benefit of that which is thrown with the cautery, and especially if the cautery is for pain or necessary pain, quickly and forcefully, the ones that do not suffer delay because they fear those that come from evil, which is greater than small harm entering through the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not catheters in your feet, or sons, that is only estimated by the general people and foolish doctors, because that disease which is cured by cauterization is not always necessary, and they pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not always there that they fear for that, because cauterization is only in a place of medicine which alters the appearance and dries out the moisture which are the cause of why the pain comes.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But however, cauterization is used excessively in medicine for the sake of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his disease returns in some time of the day, according to the appearance of the patient and the location of his disease, and its virtue, and that which is prepared in his body from the accumulation of excess in him, and that which is obtained by him in his acquisition of foods and similar causes; but the disease in which cauterization is administered is a subtle disease in a member of few superfluities and moisture, such as cautery for tooth pain and similar to that, possible it does not return that pain, but that which is done in small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And more commonly spoken language is that cautery is the last resort of medicine, and rightly so, as they believe that there is no cure that can be achieved by means of medicine or any other cause that would require cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is in the opposite; and they understand that cautery is the last resort of medicine only when administering methods of treatment in some diseases, and those medicines do not work, and at the end of the cause, they administer homeopathic cautery, and it works for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here it is understood that cautery is the last resort of medicine, not as they believe the common people and too many doctors think.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold is better than iron for cautery, and they did not say so only because of the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place for cautery does not hurt, as it is not absolutely true, because I have already seen that there are those who say that it only works in some bodies and not in others, and gold cautery is good and better than iron cautery; but however when you do gold cautery with fire, it is not up to you, as it depends on the amount of gold that you want according to the roughness of the gold, and because it prepares to receive the heat; and if you place it over the fire, the gold melts in the fire, and some pieces are created for the craftsman to use for that purpose.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for that purpose, we should use a pointed cautery made of iron, lighter and more conveniently placed at the right angle for the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter in the second chapter of the cautery, and have ordered those in the foot, so that when he asks for what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for pain in the head caused by cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery applies to the cold and moisture that cause this accidental condition, which is the cause of many traumatic fluxes, called corissa, from the head to the parts of the arms and legs, and many sleep disturbances, and toothache and stomachache, and generally all illnesses that come from cold, such as paralysis, drowsiness, and apoplexy, and similar in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first, commands the patient to take a laxative medicine to empty his head, for three or four nights, according to the patient's ability and age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command the one who shaves his own head to hold the mirror between your hands and place your hands on his chest, holding them there.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the razor blade of your palm against the nose between his nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, as soon as you feel the location of the wound, mark that spot and then ignite the olive oil cautery of which this is the shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the location well-aimed, so that it slowly descends, and you gradually tighten the bandage, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then slightly lift your hand and look at the location, and if you see any quantity of bone exposed, as much as the quantity of grain, then lift your hand, and if it does not return, place your hand on that iron, or another of those, if it is cooled, before it is seen from the bone what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small pinch of salt and dissolve it on the location and leave that for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand on the flat side of the shovel and hold that over the entrance to prevent the embers from being destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then apply the four-ingredient ointment into the wound to make it heal.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that as soon as the plague is opened, the arm becomes more painful and less useful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that the armpit should be cauterized into the bone, and the cautery should be held there until some piece of the bone is attached.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove that which has been attached to the bone, and then heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cautery should reach the back, until it breaks through the bone strongly before the bone rots, and this is the way to make a small incision:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that wound, the fumes of the head come out.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then healed before it becomes solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cautery used in all men, except in those who are second in line for fear; and let that one, I advise you, be better for their salvation when it is, because the head is developed by the solution of continuity of it with which we have testified in other members, and especially when the head of the patient is naturally free.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is more saving and better for me; and from that one, you should choose the other work for salvation.
Capitol segon.	Second chapter.
Del cauteri del cap.	Of the head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head there is chronic and long-lasting pain, and that is prolonged in the patient, and uses of garlics and of cochias and of capipurges and of emplaustres and of guatz and of cadels and of gualinas and of semblantz, and especially if it has already been cauterized by a cautery that they have and not appropriated to it any of those causes, then consider that if the head of the patient is of strong creation in its nature; and not free and atroba mot gran freg, then that cauterizer should use another cautery instead of that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply the pointed cautery on the surface of the head, entering through where the bone is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and discover the amount of the bone that we have found, and cauterize that with a pointed cautery in the part behind the head in the place where the sponge is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand away, and do not expose the bone, because the patient will suffer great pain different from all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will direct you to this location, because the pointed cautery that is used to cauterize the bones of the head and the occiput is more subtle than the one that is used to cauterize the middle part of the head; and this is the shape of it.
Capitol ters.	Third chapter.
De cauterisacio de emigranea no-antiqua.	Of the ancient non-antique cauterization of the pineal gland.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain is felt in the part of the head, or pain spreads inside the skull, and other treatments have been administered and have not helped, then cauterization should be performed in two ways: either with a sharp cautery or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May a pointed cautery be used as a medical tool to remove a splinter from the hand, and then clean it with water and cover its extremities with ointment.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the wound area on the temple with a blade that is entered into the place where it was made, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply strength to the stopped wound by pressing constantly, and leave it for three hours; and then remove the bandage and leave the wound open for two or three days, and then place a poultice on the side submerged in boiled water until the wound is healed.
E aprop cura aquel am enguent entro que sia sanat.	And then care for it until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do so with some medical tools that I have written about in the other treatise on medical tools.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cauterization be done in this manner: light the cautery of which this is the shape:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a clawed cautery, because its head is shaped like a carnation in which there is some curvature, and in the middle of it there is a small pinpoint.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand over the painful area, and rotate the small iron at high speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of tissue that is stuck by the stick's sharpness is too much, lift your hand to prevent the artery from being stuck, so that no blood flows out.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And apply a salted water bandage to that area, and leave it for three days; then apply a soft bandage, and cure it with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the end of the knife with a pointed cautery, and be careful not to cut the artery in this way.
Capitol quart.	Chapter Four
De cauterizacio d’emigranea antiqua.	Of the cauterization of an old wound.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an old wound with the previous cure and the cure mentioned in the divisions of diseases, and if the cure does not improve it, and sometimes due to the disease that does not allow you to use the first pointed cautery or the fire cauterizer, then wait until the cauterizer becomes hot, as it means to place it over the painful area along a long line of the same length, or another; then place your hand firmly and strongly on that area where you are about to incise the skin and penetrate into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuity of the mandible, which is damaged by chewing, and that the jaw not be held tightly and the nerve that causes pain in that area, and that it does not become spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and care of blood flow from the artery that is abscessed, which is feared in its abscission, and more so for those who do not know what to do and are not skilled; and leave the operation in him at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And if you want to remember the regimen of blood flow from the artery after an accident, in its own place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this disease that does not allow this cautery and sees the patient's body tolerable, cauterize that in the middle of the head as we have reported, and cure the wound before it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish, administer the cautery that we have mentioned in the chapter of stretching of the artery with a two-pronged cautery, and this is the best cauterization and more conformable.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	On the cautery for treating gout pains.
