Ayssi comensan las paraulas de Albucasim .	And now begins the words of Albucasis.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he removed the splint according to his desires, and removed the bandage, and removed the dressing for several days and commanded that we remove the bandage; and at this point, the wound and the foot became infected, and it reached a dangerous point.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to remove the bandage, and then he felt relief from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was already confirmed in the limb, so I could not stop it, and I did not cease to walk with the patient until he recovered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced an abscess with cancer, and it became ulcerous in a few days, until the fire of his malice destroyed him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the cranium is purged of melancholic humor, so it does not come to him from all iron, but rather that the member which suffers from all should be held.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for that reason, children, it is necessary for you to perform the operation in two stages: one in which health is associated with it, and another in which it is performed in the most favorable positions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in all places where this book is found, in which the operation is performed in which there is error and fear; therefore it is necessary for you to guard that and lay aside that one, so that the people do not approach you to dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms in care and protection of God, and your patients in success and stability.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method by the grace of God for their salvation and praiseworthy succession, and lay aside the terrible diseases of difficult healing, and keep your arms in that which causes you to fear, so that your perseverance in your faith and in your name will not be abandoned: because more remains to your glory, and further in the world and after to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	It has been said in some of these situations:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad disease, because evil doctors will not be recognized.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already devised this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The beginning of the division of the book, and first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter arranged in the form of the foot, in the forms of instruments and in the materials of cautery, and of that which is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and puncturing, and on wounds, and on sores, and on the extraction of splinters and similar objects from them, all chapters and ordered by the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of twisting and similar injuries to them; chapter ordered by the head within the foot, and by the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of pointed cautery and acute medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	In that, the treatise begins on all the free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you know the quality of those points of that cautery and of its needles, and in what condition it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So say that the speech of the quality of the point of cautery and of its needle of it is long and prolix, and subtle for knowledge, and secretly hidden; and from there to speak many people of secrets, and of those they are disagreed, and to me a little of their speeches, I fear extension.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so it is said that the pointed cautery brings comfort to the entire universal composition, which is called matter or its matter, except for two compositions, which are tail compositions of matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail composition of matter, it is said that the pointed cautery is beneficial to it; others say the opposite, that the pointed cautery is not suitable for ailments that are caused by quality and dryness, because the nature of fire is quality and dryness, and it is unsuitable for tail compositions of matter to be healed with heat.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who say the opposite, that by using the pointed cautery, it is beneficial in all tail compositions of matter that are found in the bodies of men, because when you compare the body of a man and its moisture to the composition of fire, the body of a man is often injured.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that one who has experimented with this at some times past.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But may not come over that one who has already been proven and practiced in the chapter of cautery by previous practice, and has known the diversity of the composition of men and the disposition of their illnesses in their members, and the causes of those, and their accidents, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other body parts, do not fear for yourself, and especially in wet and humid diseases, where all doctors have agreed on those, and they do not disagree about the use of a pointed cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Know, children, that the secret of healing by pointed cautery and fire is because fire is simple, its action reaching only the member being cauterized and not the other members unless they are nearby and slightly harmed.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of the pointed cautery reaches those in the members who are nearby, and it often brings relief to the sick member and is often used.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	The fire, due to its greatness and goodness of substance, does not do more than what is necessary, and we know this from experience and long study of the art over the truth of causes; and for this reason you should be excused from the length of this sermon. If it were not for this, your secret would have been hidden in this pause about the fire, and the quality of the operation of it in the body and its expulsion of diseases, which is a philosophical demonstration, would have been revealed to you.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wisely, sons, know that they should be separated from the time in which it is most convenient to perform cauterization and pause at the best time of first daylight.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cauterization is convenient at all times, because the time that is submerged in the juice of which the cauterizing instrument is made, and especially if it is for painful or necessary pains, quickly and strongly, the ones that do not suffer delay because of the fear of those who come with malice, which is greater than small harm entering through the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not catheterize in your feet, or, sons, that is only estimated by the common people and foolish doctors, because that evil which is cured by cauterization is not reduced all at once, and they pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as it is said above, because cauterization is not only in a place of medicine that alters the complexion and dries out the moisture, which are the causes of pain coming.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, excessive cauterization above the medicine for the sake of its value and virtue of its operation and greatness of its lordship.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the patient's illness returns in some hours of time, according to the complexity of the patient and the location of their illness, and the virtue of it, and that which is prepared in the body of the patient from the accumulation of superfluities in it, and that which is obtained by him in his acquisition of foods and similar causes; but if the disease in which it is administered cauterization is a subtle illness in a member of few superfluities and humidity, as with the tooth cautery for pain and similar causes, it is possible that in it does not return that pain, but rather something else is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And furthermore, common speech is that cauterization is the last remedy of medicine, and correct speech is not to that which I understand in it, because they believe that there is no cure that profits from medicine or another cause that approaches cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and understanding that cauterization is the last remedy of medicine is not but when administering the methods of cure in some illnesses, and those medicines do not confer, and at the end of the cause they administer such cauterization, and it profits at that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here it is customarily understood that the pointed cautery is the second tool of medicine, not the understanding of which the common people and many foolish doctors are ignorant.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold cautery is better than iron cautery, and they did not say otherwise except for the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the location of cautery does not hurt, since it is not absolutely straight, because you already have some that heats and has some that does not heat at all, and gold cautery is good and better than iron cautery; however, when you make cautery with fire, do not say so, because it is prepared according to the quantity that you want by the roughness of the gold, and because it receives the cold; and if you adjust it on the fire, the gold melts for the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because it is made with iron cautery, you must make it slightly and more properly in the direction of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on the second chapter of the cautery, and have ordered those between the feet, so that they may ask him what he wants from there.
De cauteri de dolor de cap per frigiditat e humiditat.	Of the cautery for head pain caused by cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers the moisture and cold that are the main causes of this accident, which is called gout, from the head to the parts of the joints and fingers fluent, and many of sleep, and pain in the teeth and jaw, and universally of all evil that comes from cold, such as paralysis, suddenness, apoplexy, and similarities in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first command the patient to take laxative medicine to cleanse his head for three or four nights, according to the patient's condition and age.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and then do this action between your hands on a low stool, and place your hand over his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place your thumb on the surface of the nose, between his nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when the area you mentioned is reached, mark that spot and then remove the pointed cautery, which has the following shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the spot well and gently, so that it does not press too tightly at once, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then slightly lift your hand and look at the spot, and if you see that some of the bone has been exposed, as much as the amount of gravel, then lift your hand, and if it does not return to its place, bring your hand back to that iron, or another one of those, if it is cold, before it is seen from the bone what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve that on the spot and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place a soft cloth on that spot and leave it there until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the area with the quadruple medicine before it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that when the plague is opened, as much pain gets to the arm, so it is better and more useful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that one should cauterize the neck through the bone, and hold the cautery until some part of the bone is stuck together.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove that which is stuck to the bone, and then cure it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cautery should reach the back, before it penetrates the bone strongly enough to break the bone, and this is the way to make a small incision:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that place the fumes of the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it should be kept open for a long time, and then cured before it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two kinds of cautery in all people, only in those who are secondarily afraid; and if you leave that one, I advise you, it is better to save the head when it is possible, because the head is developed by the solution of continuity of which there is evidence in other members, and more so when the head of the patient is naturally free.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is safer and better for me, and from that one and the other work, it saves health.
Capitol segon.	Chapter two.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When there is constant and long pain in the whole head, and it is prolonged in the patient, and they use garlics, and hooks, and capipurges, and ointments, and guatz, and cadels, and gualinas, and similar things, and especially if it has already been cauterized with a certain cauterizer that does not help at all, then consider this: if the head of the patient is naturally very strong; and not easily broken, then use another cauterizer.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that on the top of their head with a certain cauterizer when the crown is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the crown and expose the bone as much as we have found and cauterize that with a certain cauterizer in the part behind the head in the place called the fontanelle, — and that is the place where the cushion is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your hand rest on the bone, and do not expose it, because the patient will suffer great pain different from the pain of all other cautery heads of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I would say that this cautery is in the place, because it covers the part of the head that is cauteryed with the toes of the foot and the occipital region is a more subtle cautery than the one that cauterizes the middle part of the head; and this is the form of it.
Capitol ters.	Chapter third.
De cauterisacio de emigranea no-antiqua.	Of the ancient cauterying of the eyebrow.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain in the part of the head is very intense, or if it extends to the temple, remove the medicines that are applied to the head and administer the other cure, which I have mentioned in the chapters on diseases; and in no case should this cauterization be done with an acute cautery or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But if you use a cautery that is burning, then take a hollow reed and scrape it and apply the ends of it to the parts where the other cautery heads are.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then approach the location of the pain with a curved blade inserted into the wound that is in its place behind the skin, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply pressure to the stopped area with a tight bandage, and leave it for three hours; and then remove the dressing and treat the wound for two or three days, and then apply a poultice over the affected area where the wound is located.
E aprop cura aquel am enguent entro que sia sanat.	And then care for that one until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do that with some burning medicines which I have written about in the other treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The cauterization is done in this way: ignite with the following method:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a clover-like cautery, where the head of it is like a crocus flower in which there is some curvature, and at the middle of it is a small hollow.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand over the location of the pain, and remove your hand — so that the skin is not stuck to the area which has been left — and rotate the small iron at speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood that is stuck due to the thickness of the cord is such that it covers the entire body, and lift your hand to prevent the artery from being stuck, so that no bleeding occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then apply a salted water dressing on that area and place it over the wound for three days; then apply a healing ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the end of the knife according to the cautery, and be careful not to cut the artery in this manner.
Capitol quart.	Chapter Four
De cauterizacio d’emigranea antiqua.	Of the cauterization of an ancient wound.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an ancient wound with the cure we mentioned in the previous chapter and the cure we mentioned in the divisions of illnesses, and if you do not improve the cure, and see that the illness does not respond to the first cauterization with medicine or the cauterization with fire, then wait until the cauterization is healed, because it means that there is a line of long bones underneath the pain area or where that is; and place your hand over it and push it until you reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuation of the jawbone, which is damaged by chewing, and that the muscle not be stuck and the nerve that causes it, and that it does not become spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the guard and care of the flow of blood from the artery that is being punctured, where in the puncture of it there is fear, and more so for those who do not know what it is and are not studied or skilled; and leave the operation in it at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will find the memory of the rule for the flow of blood from the artery according to its method, in its own location in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this disease that does not allow this cautery and you see the body of the patient tolerable, cauterize it at the middle location of the head as we have reported, and cure the wound before it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you apply the cautery that we have said in the chapter of stretching of the artery with a two-pronged cautery, and this cauterization is better and more suitable.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	Of the cauterization of gout pains.
