Ayssi comensan las paraulas de Albucasim .	Thus begins the vocabulary of Albucasis.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if corruption was already confirmed in the member, so that it could not be controlled, and did not cease to spread the corruption in the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And then another doctor who punctured an abscess and made it ulcerated after several days, until the fire magnified the malice of it to the Lord of it.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the cranium is pure of melancholic humor, so that it does not reach the patient with all the iron, but rather that the member which suffers be held from all.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	For this reason, sons, it is necessary for you that the operation should be divided into two parts: one in the operation that is associated with health, and the other in the work that is performed in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already existed in this place where the operation is performed, where there is error and fear; therefore it is necessary for you to guard that and lay down that one, so that the people do not approach to speak to you and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons with solicitude and protection of God, and your patients with success and stability.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way for the grace of God to lead to salvation and praiseworthy succession, and lay down those terrible diseases of difficult healing, and let your weapons be in that which makes you fear, so that your situation in your faith and in your name does not escape from you: because more remains to your glory, and more in the world and more behind your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	In some of its symptoms, it causes swelling in certain parts of the body.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not heal the patient incorrectly, because misguided doctors may not recognize it.
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already dedicated this book according to three titles.
Comensa la divisio del libre, e primier de la primieyra partida.	The beginning of the division of the book, and the first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered by the foot, in the forms of instruments and in the irons of cautery, and of what is necessary for the operation.
La divisio de la segonda partida.	The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on dryness and puncture, and on ventosas, and on plagues, and on the extraction of sage and similar things to those, all chapter ordered by the forms of instruments.
Divisio de la tersa partida.	The division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and on dislocation, and on the cure of tortion and similar things to those; chapter ordered by the foot, and by the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of sharp cautery and sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	In that chapter begins the treatise on all the free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you know the quality of those handles of that cautery and of its sheaths, and in what condition it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech about the quality of the handle of cautery and its sheath is a long and elaborate and subtle for knowledge, and secretly hidden; and from there they have spoken much about secrets, and because of it they have disagreed, and to me it has been a short part of their speeches, I am afraid of length.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery compares to the whole complete condition universally, which is matter or its matter, except for two conditions, which are conditions of the tail, which is matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the condition of the tail and dry matter, they disagree; because one said that cautery is suitable for that, and the others said the opposite of that, that cautery is not convenient in illness which is due to quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that illness tail and dry matter that is caut and dry be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And tell that person who says the opposite of that, that cauterization is greatly beneficial in all kinds of illness and dryness that is seen in the bodies of men, because when you compare the bodies of men to the humidity of fire, the bodies of men are wet.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that person, that I have experienced this myself several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I do not know that there is someone who has experienced this already and has been trained in the capital of cauterization through previous exercise, and has known the diversity of the appearance of men and the disposition of their illnesses, and the causes of those, and their accidents, and the span of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other appearances, you should not be afraid, and especially in illnesses that are wet and humid, because all doctors have agreed on those, and they do not disagree in the benefit of cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you should know, children, that the secret of healing by fire and the goodness of it, is that cauterization is simple, because the action of it only reaches the member that is cauterized and not to the other member that is adjusted with it, unless it causes a small harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the action of medicine burn through to that part of the body which is affected by it, and it often brings relief to the sick member and is often used for difficult healing and often causes pain.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the fire, due to its greatness and goodness of substance, not do this, but rather, it is known by us through experiment and long experience in the study of the art on the truth of causes; and for this reason you are excused from the length of the sermon. And if not, then it would not be understood at all in this pause to you secretly hidden away with the fire, and the quality of the operation of which in the bodies and its expulsion by which it expels evils, is a philosophical demonstrative speech, which would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, my sons, that they should not forget the time in which it is convenient to make a cautery and they should wait for the best time of primeval morning.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And you say that cautery is convenient at all times, because the damage caused by time is submerged in the jubilant joy of which is thrown with the cautery, and more so if the cautery is for pain or necessary painful ones, quickly and forcefully, the ones that do not suffer delay because it is feared of those that come malicious, which is greater than small damage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not catch in your feet, or, sons, that is only appreciated by the common people and foolish doctors, because that illness that is cured with cauterization is not always effective for a long time, and they stop that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not that they seek for that, because cauterization is only a matter of medicine which alters the appearance and dries out the moisture which is the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But it is often used for cauterization above medicine for the sake of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that its illness returns in some time of the time, according to the appearance of the patient and the location of its illness, and its virtue, and that which is prepared in the body of the patient from the aggregation of superfluities in it, and that which is obtained by it in the acquisition of foods and similar causes; but the illness in which cauterization is administered is a subtle illness of a few members of superfluities and moisture, like a tooth cautery for pain and similar to that, possible is that in it does not return that pain, but that which is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And more commonly, people believe that the pointed cautery is the last resort of medicine, and they think that there is no cure that can be achieved with medicine or any other cause before using the pointed cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is the opposite of that; and they understand that the pointed cautery is the last resort of medicine only when administering methods of treatment in some diseases, and those medicines do not work, and at the end of the cause, they administer homeopathy, and it works for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here, people believe that the pointed cautery is the last resort of medicine, but they understand it in a different way than what I understand as a common person and too many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold is better than iron for cauterizing, and they did not say this except for the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the location of cauterizing does not matter, because it is not absolutely true, for I have seen some people who are very good and others who are not, and cauterizing with gold is better than with iron, but rather when you do cauterizing with fire and gold, it is not up to your declaration, because it depends on the quantity that you want to use, and because it prepares to receive the heat of the gold, and if you adjust over the fire, the gold melts for the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for that, a pointed cautery of iron is made lighter and more conveniently and more directly to the direction of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter in the second chapter of the cautery, and have ordered those between the feet, so that the muleteer asks him what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of the cautery for head pain caused by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery is caused by moisture and cold on the most common accident of which these causes are the cause of many traumatic fluxes, called crisis, from the head to the parts of the arms and legs fluent, and many sleep, and of tooth pain and the gums, and universally of all evil that comes from cold, such as paralysis, hardness and apoplexy, and similarities in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first commands the patient to be evacuated with a laxative medicine for the head, for three or four nights, according to the virtue of the patient and his age and his custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command the one who is shaving his own head to do so between your hands on a chair that you have placed, and place your hands over his chest to prevent him from falling.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the back of your hand on the shaving razor near the nose between his fingers.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, since the place you mentioned on your body has been reached, sign that location and then apply the pointed cautery made of olive oil, which is in this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the location well and apply it gently, so that it does not hurt too much at once, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then raise your hand slightly and look at the location, and if you see that some amount of bone has been exposed, as much as the amount of grain, then raise your hand, and if it does not return, place your hand on that iron, or another one, if it is cooled, before it is seen from the bone what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small piece of salt and dissolve it on the location and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand on the wound that has been opened in the border and leave that over the entrance where the skin of the fire should be destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then apply the four-pharmacon ointment into the wound to make it heal.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that as long as the plague is open, the more it gets better and more useful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that the cord should be cauterized inside the bone, and it should be held with the cauterizer until some part of the bone is burned.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove that which has been stuck to the bone, and then heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they say that the cauterizer should reach the back, until it reaches the strong part of the bone where the bone breaks, and this is the way to puncture the little heel:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that wound the vapors of the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then healed until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cautery used in all men, except on those who are second in line due to fear; and if that one leaves, then it is better for the sake of his health when it is, because the head is revealed by the solution of continuity of which he has with the other members, and more so when the head of the patient is of naturally fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is more saving and better for me; and from that one, and from the other work, it is for the sake of his health.
Capitol segon.	Second chapter.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the whole head is affected by chronic and long-lasting pain, and this is prolonged in the patient, and uses of garlic and of charcoal and of capipurges and of ointments and of bandages and of sweats and of gallipots and of similars, and especially if it has already been cauterized with a cautery which they have and do not know how to apply to it again from those causes, then consider that if the head of the patient is of strong creation in its nature; and not fragile and atrophied, then that cautery applies another one after that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that on the surface of his head with a pointed cautery where the skin is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the skin and expose the bone to the extent that we have found it, and cauterize that with a pointed cautery in the part behind the head where it is called the mastoid process, — and that is the place where the pillow is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your hand rest there, and do not expose the bone, because the patient will suffer great pain from that, different from the pain of all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cauterization is in that place, because it is the cautery that is used to cauterize the tips of the head and the back of the head, which is a more subtle cauterization than the one that is used to cauterize the middle part of the head; and this is the form of it.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	Of the ancient non-anterior cauterization.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain is severe in the part of the head, or it penetrates to the eye, let the doctor administer the remedies that make the head better, and administer the other cure, which I have mentioned in the treatises on illnesses; and if none of these help, then the cauterization is done in two ways: either with a sharp cautery or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May the pointed cautery be used as you take a lancet and prick that area and apply a bandage to its extremities to stop the bleeding.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the location of the pain in the temple with a blade that is inserted into the place where it is located, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply pressure over the stopped bleeding with a bandage that is tightly compressed, and leave it for three hours; and then remove the lancet, and let the wound heal for two or three days, and then apply a poultice on the affected area until the place stops bleeding.
E aprop cura aquel am enguent entro que sia sanat.	And then care for that one until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do that with some burning remedies that I have written in the other treatise on burning remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cauterization be done in this way: light the cautery with the following method:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a "claw hammer" because its head has the form of a carnation in which there is some curvature, and at the middle part of it is a small projection.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand on the location of the pain, and retrieve your hand - so that the wound is not stuck with the bandage that has been left - and turn the small iron at high speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood that is stuck due to the type of cloth is such that it covers most of the patient, and lift your hand to prevent the artery from being stuck with the bandage that has been left, so that there is no bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then apply a salted water dressing on that location, and leave it for three days; and then apply a wet dressing, and then heal with an ointment as soon as it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the end of the knife according to the cautery, and be careful not to cut the artery in this situation properly.
Capitol quart.	Chapter Fourth.
De cauterizacio d’emigranea antiqua.	Of the ancient cautery of the emigration.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an emigration with the remedy we have mentioned in the previous cure, and the remedy we have mentioned in the divisions of diseases, and if you do not improve the cure, and see that the disease does not respond to the first cauterization with medicine or the cauterization with fire, then cover the cauterization of the knife before it becomes bright, so that it means over the location of the pain with a long line of the same length as the one you have used; and place your hand firmly between the incision and the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuity of the mandible, which is often damaged during mastication, and that the jaw not be held too tightly and the nerves that may be affected, and that nothing happens.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the guard and care of the flow of blood from an artery that is abscised, which in the abscission of which there is fear, and more so for those who do not know what to do and are not studious; and leave the operation until the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you should remember the rule of the flow of blood from an artery according to your method, in its own place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this evil that does not allow this cautery and sees the body of the patient tolerable, cauterize that in the middle location of the head as we have reported, and cure the wound before it is healed.
