Ayssi comensan las paraulas de Albucasim .	Then apply the techniques of Albucasim.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The patient must be treated by a skilled physician.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	And I say that the art of medicine is a long and complex science.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And if you apply cautery to the entire body, it is applied to both legs together.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	And if it is necessary to apply heat to the affected area, do so to the patient's legs and feet.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Guessed Translation: And if the patient suffers from a condition caused by an excess of hot humors, you will find that it is a dry humor.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I have found that already happened to me, which is what they call gout.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Then apply to the body as it is necessary.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	Let me know if the rest of the body part should be treated with a hot iron.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And so you have to know, son, that for a cure, you must apply heat to the body part affected by illness.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The patient's illness will be cured by applying heat to their affected limbs.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And if it is a good idea to use a cushion for support when the patient has pain in their feet, that's what they should be doing.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, sons, that the best time to use them is when they are in disagreement.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And if the cautery is needed, it should be done quickly because the patient needs to be relieved from that pain.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if your body is affected by that illness, they cauterize it so that it doesn't spread.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	When doctors apply cauterization to the body's fluids, they are often trying to treat diseases by using heat to reduce inflammation.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Mays the doctor be called upon to use a cautery on the patient's body.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	A consequence of excess humor in the body is that gout may return at any given time on the legs.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	E  the doctor applied his cautery to the patient's body, and he will also apply it to the sick parts, which are the legs and feet, and apply a hot poultice to help them heal.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The text describes how certain medical practices were used in treating illnesses caused by an imbalance of humors in the body.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And another said to be from this place of origin is the last resort of medicine, not the second remedy.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients say that cauterization with gold is better than with iron, except for those who believe in using gold, because of its purity and refinement.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And so they say that the cushion should be used to treat the pain.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	You have already opened the space between the patient's thighs, so now apply the cautery gently and directly to the affected area.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And if the patient has a question about their health, I advise them to consult with a doctor.
De cauteri de dolor de cap per frigiditat e humiditat.	De cushion is used if the patient has a headache caused by cold or by an imbalance in the body's humors.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	And when they have been treated for injuries to the limbs, those who are healed will be able to see if their health allows them to be called gout.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	And you will be called upon to treat the patient for his illness.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	E aprop places the patient's foot on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then apply your hand to the affected area on the legs between the bones.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But I will apply a cushion to the patient's legs.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And so, to treat pain in the leg, another method is to apply cautery to the area, gradually reducing the heat.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	E ayssi, if you have to apply a cautery on the foot, make sure it is applied to the right place, and put a cushion under their legs.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then apply a salve to the affected area for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand over the cushion on their legs, so that they can be safely protected.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then apply the poultice to their legs.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	Then they say that the plague will be treated by those who are experts in these matters.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they should apply cushions to the affected area between the bones, and cauterize the parts of the patient's legs that are being treated.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And a cushion should be placed under them, and they should be treated with respect.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the pain is caused by gouty humor.
E estiman de aquel loc expiran la vapors del cap.	And they say that the pain is caused by bad humors in the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Then prevent the disease from spreading further by applying proper treatment to the body part.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May so use cauteri in the other parts of the body, but only on the second part, if you’re afraid of pain.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first remedy is to apply a burning cautery.
Capitol segon.	Chapter two.
Del cauteri del cap.	Then apply a cushion to the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When there are poultices on the patient’s legs and hot compresses on their feet, the doctor should consider these signs of le forte (gout).
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then use your hand to apply heat to the affected area on the leg.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	When treating gout, incise the skin and apply a hot cautery to the affected area.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And if the patient's foot hurts, apply heat to it, because the other pains are in the head, and use cushions for the rest of the body, so that they do not feel pain.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And if you want to know how to treat a headache, this is what I do.
Capitol ters.	This is the title of the third chapter.
De cauterisacio de emigranea no-antiqua.	And now for the treatment of gout.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	Then apply a medicinal cautery to the affected area, avoiding further pain.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Mays should be burned away from their body.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then apply cautery to the area of pain.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then apply a poultice to the afflicted area on which it is placed.
E aprop cura aquel am enguent entro que sia sanat.	And then apply a poultice or compress to the patient's legs.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if the which has been burned by a physician in the past, it's proper to call it another type of medicine.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The patient should be treated with cauterization according to this method.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	This text describes gout as a condition where excess cold humors cause pain in the foot.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And so you must apply a cautery to the aching area.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of blood in the body is too much for the patient to be called a doctor and another doctor has been summoned, and yet another one should be placed upon their feet.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then place a cushion under their feet and apply a poultice to the affected area.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, a hot cautery should be used on the patient's legs.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	This refers to the treatment of gout.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When one cures the patient by putting their hand over their feet, then it is customary to say that it is a case of the aforementioned diseases.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	Empero, for a wound to heal properly, you must carefully treat the jaw so that no scars form.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	E lay out a hot iron to cauterize the patient's legs if they are still swollen, but continue with caution at the start.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And then apply the treatment for a flow of blood in the legs, according to the method described in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	Here comes a translation for the body to be treated by:
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you want to do it by cauterizing, it's best to have two cushions, one for the foot and another for the other uses I mentioned.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	This is a treatise on cauterization.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When in the foot there are pain, it is treated by applying a poultice or cauterizing the affected area.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	When there are many small punctures on the feet, they are called “that” which causes gout.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	E si you are suffering from an ailment affecting the joints, another from the foot, which must be treated by cauterizing the area, it is called "al'aise".
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	Then apply the cautery to the toes to heal them.
Capitol .vi.	Then apply it to the affected joints (in the body) to prevent them from being affected by the cold humors.
De cauterizacio de turtura.	A cushion should be placed under the patient's legs.
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	And it is cured by cauterization on their legs, as is known by physicians.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	That then you should apply cauterization to their legs and the pain will be relieved by heat.
Quan tu curas aquela specia de turtura am jerras e capipurgi e guarguarismes, e no comfereys la tua curacio, lahoras cove que tu cauterizas le malaute am tres cauteris: la i deves la razit de la aurelha, e·l segon un petit dejos le sieu templar, e le ters deves la conjunccio de doas labias.	When you treat that which is an example of a sharp pain in the legs.
E pausa lo tieu cauteri per le contrari de la partida malauta, quar mollificacio no ve sino en la partida que apar sana.	And if there's a hot humor in the part, then you should use a cauterizing tool on the patient's legs, and another for their chest, etc., to treat them, as gout can be treated with a burn.
E la forma de cauterisacio es que cauterizas aquel am le cauteri en le dreyt de la extremitat de la aurelha pus sobirana un petit sobre le corn del cap, e en le templar autre, la longuesa del qual sia segon la longitut del dit pous, e depausa la tua ma am cauteri entro que sia comburida la quantitat de la maytat de la specitut de la codena.	Then you will cauterize the affected area by making small points on the vein with a hot iron, so that it does not come out again.
E aquesta es la forma del cauteri, e es specia del cutellari, la forma del qual es denant mesa.	The form of the instrument for cauterization is such-and-such, by which one refers to the shape of the body's wounds.
Mays empero pus subtil es que aquel un pauc ayssi co vesas; e cove que cotel en lu de superflua groceza un pauc.	But nevertheless, if you burn the skin with cauterization, use a small amount of heat.
E aprop cura le loc am aquo que es denant procezit entro que sia sanat.	And apply a bandage to the area where the patient's blood vessels are located.
Capitol .vii.	Chapter 7
De cauterizacio de apoplextia antiqua.	This refers to cauterization, a treatment for cauterized diseases.
Quan apoplextia es antiquada e curas aquela am aquo que havem dit e no confereys la tua medicacio e le malaute no ha febre, lahoras cauteriza aquel am quatre cauteris: sobre totz les corn del sieu cap; e am cauteri e le mieg loc del cap, ayssi cum havem dit; e am cauteri en le coguot.	And when there is no fever, they are already calling it a cold stroke in the thigh and applying it to the patient.
E la manieyra del cauteri es fayta segon que es desus dit.	And the way to treat it is done as previously mentioned.
E ja es cauterizat sobre la boca del estomac; e es mays derier; e aprop sia curat am aquo que procezeys.	Then apply a cauterizing tool to the patient's legs if they are treated with heat.
Capitol .viii.	Chapter 8.
De cauterizacio de obblivio fayta per flacma.	This refers to the process of cauterization, but for the body's natural openings.
Cove que sian donatz al malaute en le comensament jerras grans e pilulas le servel mondificantz.	The patient's body should be covered with a sheet or blanket.
E aprop ras le cap tot del malaute e pausa sus le coguot de lu emplaustre de cetre descrit en le tractat dels emplastres.	And if it is necessary to treat the head, it is best to apply the following poultice.
E pausa aquel alcunas veguadas, quar aquel es manieyra de cauteri.	Then apply the cautery to the affected area.
E fay aquo segon aquel meteys orde le qual ja he dit.	Then apply a cushion on their feet.
E donc si per aqueles sanat bo es; e sino, lahoras fay a lu tres cauteris en la deriera partida de sieu cap, les quals sian deysendentz de la partida pus sobirana del cap entro a la partida pus dejos del col.	Then apply three hot cauteries to the affected areas to stop the pain.
E pausa entre quascun cauteri la grossetut del dit, e aprop cura lo cauteri am aquo que es procedit.	Then proceed to treat the patient's gout while placing a cushion between their legs.
Mays si tu vos addicio e le malaute es aquo tollerant, lahoras fay a lu cauteri en le mieg loc; e si voys major addicio, lahora cauteriza aquel sobre les dos corns.	Mays le metge es que la qualitat de le mal del pietz e si it's necessary to apply a cautery to the intestine.
Aprop cura aquel entro que sia sanat; e sia le cauteri olivar segon la forma denant donat.	And if he is cured by these methods, then he has the gout in the form described previously.
Capitol .ix.	This refers to the treatment of a patient suffering from gout.
De cauterisacio de parazili e de mollificacio de tot le cors.	And if it is necessary to perform bloodletting on the patient's legs, etc., it is called "paralysis" or "parazail."
Cove que tu procesiscas en mondificacio del cap am jerras e am aquo que havem dit; e aprop ras le cap del malaute, e aprop cauteriza aquel am cauteri en le mieg loc del cap, e am cauteri sobre totz les corns del cap, e am cauteri sobre la deriera partida de lu, e am tres cauteris sobre les spondils del col.	And in the case of a patient who has a cold humor, you will apply a cautery to their body below the waist.
E si es necessari en la malautia de mollificacio del cors de trops aquel e les malautes tollerantz e la malautia es fort, lahoras cauteriza aquel am quatre cauteris sobre les spondils del dos, e dererament am cauteri entro que sia comborit de la codena mot de lu, e aleva la tieua ma.	When illness requires it, cauterize the affected area to soften it.
E aprop cura aquel entro que sia sanat, e aquest sia cauteri olivar.	And so then you should apply the hot oil to the leg for gout.
Capitol .x.	Chapter 10
De cauterisacio de epilemcia.	This refers to the application of cauterization in treating epilepsy.
No es cauterizat le epilemtic sino aquella epilemcia es per flecma.	You are not supposed to cauterize someone who has epilepsy unless the pain is caused by phlegm.
