Ayssi comensan las paraulas de Albucasim .	The patient's body was opened.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	E apren le desies to the other parts of the body, but if the patient is sick, they are to be treated by another person's hand.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	E yeu, and if necessary another remedy will be applied to soothe the pain in their legs.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But if the humors were spreading throughout the body, causing pain in the feet, then the doctors say it's something else.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	and for his health he had him treated by another physician.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	And if the illness affects the bowels, then the patient should be treated by a doctor specializing in melancholic humor.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And so it is necessary for you, sons, to attend to the patient's health, and to use this knowledge for the benefit of two people: one who has a wound and another who has no need of such knowledge.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	Then you will have already opened the path to the cure, for it is customary to burn the affected area with a hot cautery.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so you should apply your tools to your patients' legs, with firmness and by the grace of God, they are called for that purpose.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And let the patient be blessed with the best possible healing, and may terrible diseases not remain in their body.
Gualia ja diyssec en alcunas sieuas monicios:	Another that applies to the leg or foot of the patient, and applies to the condition.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Let no physician be afraid to treat the condition known as gout.
E yeu ja he devesit aquest libre segontz tres capitols.	This book is divided into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	This is the beginning of the first chapter of the book.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	This first chapter is about the nature of illness in the body.
La divisio de la segonda partida.	This is the second part of the division.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter describes the use of cauterization as a treatment for ailments.
Divisio de la tersa partida.	E si tu, as a physician, are treating someone with a problem in their joints, apply a cauterization to the legs only if they are suffering from pain in the feet, otherwise, consider other remedies.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoring the dislocated; and if it's necessary to apply pressure to the bowel, use a tool to push it back in.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The surgeon will place their hand on the patient's legs to apply heat during surgery.
Am aquel comensa le tractat de tot le libre.	When the pain starts in the legs, and the patient is suffering, it is customary for doctors to call it gout.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The patient must be treated by a physician and the use of  "cauterization" should be avoided in modern medicine.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	And by doctors, it is considered a disease that can be treated with cautery, but I say that they call gout.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And if you use it to treat two patients at the same time, it's called "a fire" by doctors as "tota materia".
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	Then use heat to treat those ailments caused by dry heat.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Gesso that men have warm feet, but if they are too hot, apply cold water.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And that's why I think it is necessary to have some cushions ready for those who suffer from gout.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Then, however, the physician is the one who is known to burn away those diseases that are caused by the bowels or other such things.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	The text describes a medical procedure involving applying a cushion to prevent injury during surgery.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And so, the accoucheur placed his hand on the patient's foot to apply a cushion to their legs, which he had already done, and cauterized the affected area with a heated iron.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"And if it's necessary to treat the illness, use a cautery to apply heat to the affected area."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And if it is necessary to open the surface of the foot, it is customary to say that it is gout.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And if the patient is suffering from pain caused by the infiltration of humors, it is best to know which ailment they have.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And so if the pain lasts for a long time, and you are using a hot cautery to stop the pain in their legs, use the hot cautery to treat the patient's legs.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if you want to cauterize the intestines, it is done by applying heat from the cavity below.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	When the doctor places a cushion under their knees, you already know that the patient's body was not made for pain to be in the cavity of the lower part of the body where they put their hands on their knees.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Mays the doctor be consulted for treatment options if you have a gout flare-up.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	"In some cases, gout can return at any time, because the body's fluids are still there in the patient's body."
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	E, if you have pain in the bowels, it is best to use a hot cautery to burn out the bad humors and then apply a poultice to draw them out.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The text says that gout can be treated by applying a cushion to the affected area.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And when the patient is cured by the means of the physician, he/she will be cured by medicine.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that gold cautery is better than iron, and another applies a poultice to their feet.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And so that the patient's bowels may be kept warm according to your desire, and the other parts of the body which are affected by the inflammation may be treated as you see fit.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Then apply the cautery to the legs, but gently, so as not to burn them too severely.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And if it is necessary to open the body's humors, I have already ordered this chapter on the subject of the legs.
De cauteri de dolor de cap per frigiditat e humiditat.	De cushion the head with a cushion for cold and pain caused by dampness.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	And so the patient's limbs are to be treated with a cushion.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	And this is how you treat it with medicine, to put the intestine back into its place.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	E aprop you place their hands on the cushion.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place your hand on their legs to prevent the pain from occurring in the area.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But you must know that there are other ways to describe the location of the cushion.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And if one needs to apply cautery to a patient's leg, proceed slowly and carefully.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	E aprop reducu am tua, e letz le loc e ayssi cum la tua ma, si so.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then apply a poultice to the leg for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then you should place a cushion on the affected area for cushioning.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And apply the four-part remedy to the location.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	Then they say that when the plague comes to the arm, it's better for it to be healed by honey.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And then they apply a heated cauterizing tool to the bone within their legs.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then place your cushion on their bones to be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And other say that he suffers from gout, so they say.
E estiman de aquel loc expiran la vapors del cap.	And they say that the pain is caused by bad vapors rising from the body in the legs.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Then prevent the illness from spreading further, and stop the disease from setting in.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Mays he who has been called upon by the patient's body will be able to see the way his name is spoken for in the same manner as all doctors are called upon to treat the body.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And a cushion for the first sign of illness, you should use a more medicinal one.
Capitol segon.	Chapter two.
Del cauteri del cap.	Then apply the other part of the body, the one that you mentioned.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the patient's leg there are cushions that are placed on their legs, they are for the most part, if the body's humors are concerned, to prevent the blood from becoming thick with bad humor and to apply other remedies.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize the affected area above the patient's leg, where the pain is felt, and another one on their foot.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the intestine and apply cautery to the affected area of the foot, — that is, the bone in the foot which causes pain.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And if the patient's legs are in pain, they should be treated by a doctor who will know how to treat them properly.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And if there is a need to cauterize the head, the patient should be positioned so that the heat from the cautery does not reach their legs.
Capitol ters.	The third part of the text will be translated as "Then apply hot towels to the affected area and hold them there."
De cauterisacio de emigranea no-antiqua.	This refers to treatment of headaches.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain of gout spreads to the legs or feet, it is called by its proper name in these parts.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The patient's feet are covered in honey and the patient's legs are burned with cauterizing tools.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then use your hands to apply pressure on the area where the pain is located, keeping it hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then apply a poultice to the affected area, and leave it for two or three days.
E aprop cura aquel am enguent entro que sia sanat.	And then apply the ointment which will heal the patient's legs.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	Then you must know that this practice is generally considered to be what doctors call medicine.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	This sentence describes how a doctor would perform an operation using a hot iron to cauterize a wound.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And if the pain affects the joints, the doctors call it a small, pointed opening.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And so you must apply a hot iron to the affected area.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if they are affected by a disease in the legs or feet, which are treated with cauterization.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then apply cushion to their legs to prevent them from having another joint pain.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you use cauterization, place a cushion under them.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	Then apply another cushion on their legs, which are to be kept in this position.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	And then apply a cauterization to the affected area, using fire as the cure.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	Therefore, hold the jaw still when it is necessary to treat it.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	E lay the cushion at the beginning of the operation to prevent it from bleeding out.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And then apply the treatment for the flow of blood according to the method described in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	Here comes the translation: When you see that the patient has a fever, apply a poultice to their chest, and place a cushion on their legs.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you want to cure them, you should apply the cautery after first opening the area where the pain is located.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	This is about the use of cushions for cauterization of the body's humors.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When in the foot there is pain that needs to be treated by applying a hot cautery, this is the treatment for it.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	When the pain is in the foot, then the first step is to apply the treatment to the affected area.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	If you are sick, you should use cushions to make sure your cushion is not too full of pus, a hot poultice should be used on the legs.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	Then use the cautery to treat the intestine and other ailments in the legs, as well as any other ailments that need treatment.
Capitol .vi.	The text you provided appears to be a mix of different languages and doesn't make sense as-is.
De cauterizacio de turtura.	The use of a heated tool for cauterization is used on the foot.
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	And it is cured by cauterization on the legs, as we have said in the treatment of diseases.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	The patient's legs are swollen due to their illness.
Quan tu curas aquela specia de turtura am jerras e capipurgi e guarguarismes, e no comfereys la tua curacio, lahoras cove que tu cauterizas le malaute am tres cauteris: la i deves la razit de la aurelha, e·l segon un petit dejos le sieu templar, e le ters deves la conjunccio de doas labias.	Then you must cure it with three cauteries.
E pausa lo tieu cauteri per le contrari de la partida malauta, quar mollificacio no ve sino en la partida que apar sana.	And if the pain in the body is caused by cold humors, it should be treated by a doctor.
E la forma de cauterisacio es que cauterizas aquel am le cauteri en le dreyt de la extremitat de la aurelha pus sobirana un petit sobre le corn del cap, e en le templar autre, la longuesa del qual sia segon la longitut del dit pous, e depausa la tua ma am cauteri entro que sia comburida la quantitat de la maytat de la specitut de la codena.	Then you will find the appropriate location for the cautery on the patient's legs and apply another cushion to keep the intestine from protruding.
E aquesta es la forma del cauteri, e es specia del cutellari, la forma del qual es denant mesa.	The form of the physician's treatment is to cauterize the legs, which is how it is done by those who are skilled at it.
Mays empero pus subtil es que aquel un pauc ayssi co vesas; e cove que cotel en lu de superflua groceza un pauc.	However, it can be said that you are ill with gout; maybe a little thick-skinned.
E aprop cura le loc am aquo que es denant procezit entro que sia sanat.	And you, using a bandage, treat the area where the infection is located so that the swelling does not spread to other parts.
Capitol .vii.	Chapter 7
De cauterizacio de apoplextia antiqua.	This refers to the use of cauterization in treating old or chronic wounds.
Quan apoplextia es antiquada e curas aquela am aquo que havem dit e no confereys la tua medicacio e le malaute no ha febre, lahoras cauteriza aquel am quatre cauteris: sobre totz les corn del sieu cap; e am cauteri e le mieg loc del cap, ayssi cum havem dit; e am cauteri en le coguot.	And if apoplexy is present, use four small burns on the thighs to treat them.
E la manieyra del cauteri es fayta segon que es desus dit.	And that's how the method for using a cautery is done.
E ja es cauterizat sobre la boca del estomac; e es mays derier; e aprop sia curat am aquo que procezeys.	And it is customary to use a cushion on their chest; then it is necessary for the doctor to apply cautery to the affected area.
Capitol .viii.	Chapter 8.
De cauterizacio de obblivio fayta per flacma.	This refers to a gout treatment involving cauterization.
Cove que sian donatz al malaute en le comensament jerras grans e pilulas le servel mondificantz.	The patient's legs should be kept warm and they should be given cushions and pills for relief.
E aprop ras le cap tot del malaute e pausa sus le coguot de lu emplaustre de cetre descrit en le tractat dels emplastres.	And if you are using an emplaster to treat the pain described in this treatise on the application of plasters, it will be necessary to use a specific type of plaster for the condition.
E pausa aquel alcunas veguadas, quar aquel es manieyra de cauteri.	Then the patient's legs are to be held still by the cushions.
E fay aquo segon aquel meteys orde le qual ja he dit.	Then return the intestine or cushion to his legs, and apply it there as he was told.
E donc si per aqueles sanat bo es; e sino, lahoras fay a lu tres cauteris en la deriera partida de sieu cap, les quals sian deysendentz de la partida pus sobirana del cap entro a la partida pus dejos del col.	Then apply a cauterization to the affected area.
E pausa entre quascun cauteri la grossetut del dit, e aprop cura lo cauteri am aquo que es procedit.	Then, proceed to treat the patient by placing a cushion under their finger.
Mays si tu vos addicio e le malaute es aquo tollerant, lahoras fay a lu cauteri en le mieg loc; e si voys major addicio, lahora cauteriza aquel sobre les dos corns.	Mays le malaute es e.g., if the pain is in the legs, the person should be treated by a doctor who specializes in treating humors.
Aprop cura aquel entro que sia sanat; e sia le cauteri olivar segon la forma denant donat.	And if it is necessary to cure the patient, apply the poultice as described previously.
Capitol .ix.	This refers to the treatment of an ailment affecting the legs, likely describing gout.
De cauterisacio de parazili e de mollificacio de tot le cors.	And if it is necessary to perform surgery on the legs and feet, it is usually called for a burning sensation in the body.
Cove que tu procesiscas en mondificacio del cap am jerras e am aquo que havem dit; e aprop ras le cap del malaute, e aprop cauteriza aquel am cauteri en le mieg loc del cap, e am cauteri sobre totz les corns del cap, e am cauteri sobre la deriera partida de lu, e am tres cauteris sobre les spondils del col.	Apply a poultice to the patient's head. It should be placed on the patient's body as a remedy for the pain caused by cold humors.
