Ayssi comensan las paraulas de Albucasim .	Then apply the words of Albucasim.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And if you wish to reduce the intestine or hernia, it is done by placing a cushion under them, and another cushion on their thighs, and another on their chest.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	E a cushion under them, et autre they have already called for help.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Mays it is first necessary to make a cautery, but if it is necessary to cure the patient's pain, you should consult a doctor.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And then you will open the abscesses for the other doctors.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	And if the ailment affects a person's health, it is called gout.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And so it is necessary to be cauterized, son, for two reasons.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And then you must apply the hot iron to the body part, and another hand on the affected area, to be sure that the patient’s humors are properly cauterized.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And thus, armed with these tools, the patient shall be healed.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And may your weapons be used on the worst diseases, but leave the rest for the glory of the Lord God, and let them remain in your name, and may your hands be left alone to protect the body from the pain of the soul.
Gualia ja diyssec en alcunas sieuas monicios:	When pain persists, they say in the old days that physicians used to call it by a more complex name.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Let no physician be ashamed to admit they don't know all about it.
E yeu ja he devesit aquest libre segontz tres capitols.	This book is divided into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	This is the beginning of the first part of the book.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	This first chapter is about the nature of the ailment itself, and the tools used for its treatment.
La divisio de la segonda partida.	This is the second part of the division.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter describes the use of cauterization to treat ailments.
Divisio de la tersa partida.	E si la carne estrapola el malaute del pietz, apply cushions on their legs to protect them from injury.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with the treatment of a twisted ankle or foot injuries, and the forms of the instruments used; and how the third chapter is organized.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The surgeon cauterized the wound, and the patient experienced pain in the area.
Am aquel comensa le tractat de tot le libre.	At that point, the doctor began to treat him for gout.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The patient's condition refers to a state of health, and if they are experiencing pain in the legs, the first guessed translation is incorrect.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	And so I say that gout is caused by humors that are cold and have been misidentified by many doctors as a sickness only in the feet.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And if you want to cauterize as a treatment, apply heat to the whole body except the patient's legs.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	This text is about treating various ailments on their feet using a hot cautery tool.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Therefore, use heat to treat hot diseases, and apply cautery to their legs, applying it to the rest of the body.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And that's why I put my hand on his leg when he was suffering from the pain of gout.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Then apply to the body, as if for gout, you must use a cushion.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	The translation is:  Let's translate the rest of the text.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And so on, put your hand upon the patient's legs to prevent further pain.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the medicine then be applied to the patient's leg, which was inflamed by fire.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And if you have a pointed tool, and the patient's condition is good for the surgery, the doctor should be able to tell what the illness is from its severity, or how well the body will respond.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Therefore, you should know that gout is a disease that affects the joints during the season when it's customary to do so.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And if there is an experienced practitioner using a cautery for good purposes, such as healing, there is no need to worry about the time being wasted.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if it is necessary to burn the affected area, apply heat to the area.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	When the doctor is right in front of you, he will apply the hot cautery to the inflamed areas, and another place on the body where the heat can be applied.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Mays the patient be treated with respect to their illness, and that their legs and arms be tended to during treatment.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the illness will return in the future.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	E, in case of drye, a hot poultice is used to draw out the heat from the body, and another tool can be used to reduce swelling with a warm cautery, and cold with another.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	This is an example of the text from the original sources referring to the use of "cupping" therapy, which involves applying heated cups to the skin to create suction and draw out blood.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And if it is necessary to cauterize something from here, then apply a cautery to the area.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	E si per lo ja es to make an incision in the body, that is,  to put something into the patient's body, for gold is a thing noble and pure.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And so that the patient's bowels are healed, and they are ready to receive something (inferred from the context of the text).
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Then apply the cautery to your feet, but lightly.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And if it is necessary to open the bowels, I have ordered the patient to be treated with a cauteri.
De cauteri de dolor de cap per frigiditat e humiditat.	De cushion of the head for the patient will stop the pain from spreading.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	And so if you are treating a patient for a condition caused by cold or dampness, it is important to keep the body warm.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	And you are to apply medicine for the relief of pain, as needed depending on the severity of the pain and the patient’s age.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	E aprop places the patient's feet in the cavity, and put them on their knees.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then apply cautery to the area between the patient's eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But you must also know that the original meaning is likely lost in translation.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And so, you are to apply heat to the affected area so that the bowels do not become constricted, as is customary for treating the disease.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	E so you have a pain in your foot, e si tu es already using the cushion to protect your legs from injury, then you should be careful not to injure them while using the tool.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And apply a cushion to their legs for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand on the patient's foot to keep them calm while you cauterize their abdomen.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then apply the medicine to the patient's location, for it is a suitable remedy.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	Then they said that when the plague is in the limbs, it is better to have a cushion.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they should apply a cushion to the area of their pain, and place another under the patient's legs.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then put a cushion under them, and thus they are cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that it is other things than the foot that causes the pain in the feet, which is caused by a hot iron.
E estiman de aquel loc expiran la vapors del cap.	And they say that you should treat it with a cautery.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if they are suffering from the plague for a long time, it is customary to call them healed when the plague has passed.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May's a good thing to use if you have seen that they are suffering from an excess of cold humors in their body, but it's important to remember that it can be caused by many things, including blood flow issues.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the most important thing is to save the first servant from that condition.
Capitol segon.	Chapter two.
Del cauteri del cap.	Then apply the other treatment (a poultice or salve) to their legs, etc.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When there are poultices on the body, it is from those causes that the patient suffers.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply heat to the head where the pain is located.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the body part and apply heat to the affected area, which is called a "gout" in the medical field.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And if you have a pain in your chest, you are suffering from a different kind of pain than others caused by cushions.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And if you want to make a mark on the head or the body, it is customary to use a less severe cautery for the body than for the skull.
Capitol ters.	The third chapter.
De cauterisacio de emigranea no-antiqua.	And on the treatment of the migraine.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	Then apply cautery to the legs, using other medications.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	When your hands are cold, put a cushion under them and keep them covered.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then apply a cautery to the area that causes pain in the legs only if a physician deems it necessary.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then place three or four times a day the required materials on their legs.
E aprop cura aquel am enguent entro que sia sanat.	And thus you have treated the patient's legs, they will be cured by that same ointment.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	Then they will use a cautery on their legs, which are other things that may be burned.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Gout is when you burn your body with hot metrical humors.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	Translation: And if there's a pain in the legs, it's called gout.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And so you apply a cushion to the pain in the legs and feet.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the patient has a fever or pain in the legs, it is often said that they have a cushion placed under them.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then you have already placed a cushion on their legs and another on their feet, and the patient's body should be allowed to rest.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, a hot cautery should be used for that purpose, as in the case of gout in the foot, it is necessary to apply the heat directly to the affected area.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	This refers to the treatment of gout.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When gout arises from an imbalance of the body's humors, then use a cautery to treat the patient's pain.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	Empero, you must stop the pain in the patient's feet by using a heated tool to treat it, as well as those other pains that are caused by the same thing.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	E layssa la persona be in the beginning of the surgery.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And then, apply cautery to their legs, and they will be treated according to the practices in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that the patient's body is cold and weak, and the body has been affected by the plague, then apply a cushion to their chest, and do not let them go out.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you have already decided on the use of cauteri, then place your hand on their legs and one must be placed under them.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	This is a treatment for gout, which is what doctors call it.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When in the foot there is pain from the knee to the toes, the patient should be treated by a surgeon.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	When there is a cushion placed in the area between the legs, it's called a cushion, and when there is a cushion placed on the feet, it's "round" or "rheumatism".
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	The doctor will be careful to apply cauteries gradually so as to avoid pain.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	Then apply cauterization to the affected area on the legs or feet, as needed, to cure them.
Capitol .vi.	Another important point to note is that the patient's legs should be kept warm.
De cauterizacio de turtura.	A hot iron or other tools used for cauterization are applied to the area of the body where the pain is felt.
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	And it is cured by cauterization on the legs, as we have said in the treatment of diseases.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	This is the first line of the treatise translated into English.
Quan tu curas aquela specia de turtura am jerras e capipurgi e guarguarismes, e no comfereys la tua curacio, lahoras cove que tu cauterizas le malaute am tres cauteris: la i deves la razit de la aurelha, e·l segon un petit dejos le sieu templar, e le ters deves la conjunccio de doas labias.	When you use the word "jerau" to describe a person's condition, they are referring to their health.
E pausa lo tieu cauteri per le contrari de la partida malauta, quar mollificacio no ve sino en la partida que apar sana.	And if the pain is on their limbs, they should know that relief comes only when the body is healed.
E la forma de cauterisacio es que cauterizas aquel am le cauteri en le dreyt de la extremitat de la aurelha pus sobirana un petit sobre le corn del cap, e en le templar autre, la longuesa del qual sia segon la longitut del dit pous, e depausa la tua ma am cauteri entro que sia comburida la quantitat de la maytat de la specitut de la codena.	Then you will cauterize the foot of the patient, placing a cushion underneath to apply the heat.
E aquesta es la forma del cauteri, e es specia del cutellari, la forma del qual es denant mesa.	The form of the treatment, which is to be used in this way, is called a cauterization.
Mays empero pus subtil es que aquel un pauc ayssi co vesas; e cove que cotel en lu de superflua groceza un pauc.	But the body may also have some pain; use a little less force when applying cauterization.
E aprop cura le loc am aquo que es denant procezit entro que sia sanat.	And if it is necessary to treat the ailment of the cavity within the thighs, and another person has placed their hand on the patient's legs and a cushion over them.
Capitol .vii.	Chapter 7
De cauterizacio de apoplextia antiqua.	This is the ancient method of treating gout.
Quan apoplextia es antiquada e curas aquela am aquo que havem dit e no confereys la tua medicacio e le malaute no ha febre, lahoras cauteriza aquel am quatre cauteris: sobre totz les corn del sieu cap; e am cauteri e le mieg loc del cap, ayssi cum havem dit; e am cauteri en le coguot.	And so if apoplexia is an old ailment, apply a cautery to the leg of the patient; he will be cured in the way we have said.
E la manieyra del cauteri es fayta segon que es desus dit.	And the method of using a cautery is done as previously described.
E ja es cauterizat sobre la boca del estomac; e es mays derier; e aprop sia curat am aquo que procezeys.	And put your hand on their thighs, to prevent them from being afflicted by the pain.
Capitol .viii.	Chapter 8.
De cauterizacio de obblivio fayta per flacma.	And just as you would cauterize an inflammation caused by a hot humor, so too will you cauterize a wound caused by a cold.
Cove que sian donatz al malaute en le comensament jerras grans e pilulas le servel mondificantz.	The patient's legs must be supported by pillows or cushions.
E aprop ras le cap tot del malaute e pausa sus le coguot de lu emplaustre de cetre descrit en le tractat dels emplastres.	And if it is necessary to treat the head, one should apply a poultice as described in this treatise.
E pausa aquel alcunas veguadas, quar aquel es manieyra de cauteri.	Then place cushions on them, which they are to be used for cauterization.
E fay aquo segon aquel meteys orde le qual ja he dit.	And so the patient's body is treated accordingly.
E donc si per aqueles sanat bo es; e sino, lahoras fay a lu tres cauteris en la deriera partida de sieu cap, les quals sian deysendentz de la partida pus sobirana del cap entro a la partida pus dejos del col.	Then place hot iron on the affected area to apply cautery.
E pausa entre quascun cauteri la grossetut del dit, e aprop cura lo cauteri am aquo que es procedit.	Then, if the patient's finger is healed, you apply a bandage.
Mays si tu vos addicio e le malaute es aquo tollerant, lahoras fay a lu cauteri en le mieg loc; e si voys major addicio, lahora cauteriza aquel sobre les dos corns.	Mays: If the pain is in the legs, the pain is called sciatica if it is below the knee.
Aprop cura aquel entro que sia sanat; e sia le cauteri olivar segon la forma denant donat.	And if it is necessary to cure the ailment, then cure it carefully.
Capitol .ix.	This person has a condition similar to gout.
De cauterisacio de parazili e de mollificacio de tot le cors.	And from cauterization to reduce pain throughout the body.
Cove que tu procesiscas en mondificacio del cap am jerras e am aquo que havem dit; e aprop ras le cap del malaute, e aprop cauteriza aquel am cauteri en le mieg loc del cap, e am cauteri sobre totz les corns del cap, e am cauteri sobre la deriera partida de lu, e am tres cauteris sobre les spondils del col.	and proceed to cauterize the patient's body in three places: the head, legs, and cushion.
E si es necessari en la malautia de mollificacio del cors de trops aquel e les malautes tollerantz e la malautia es fort, lahoras cauteriza aquel am quatre cauteris sobre les spondils del dos, e dererament am cauteri entro que sia comborit de la codena mot de lu, e aleva la tieua ma.	And if it is necessary to treat a disease with a cautery on the body, the pain will be severe, so place a cushion on their back when using it.
E aprop cura aquel entro que sia sanat, e aquest sia cauteri olivar.	And thus the intestines are treated in the following way, and the foot is healed.
Capitol .x.	Chapter 10.
