Ayssi comensan las paraulas de Albucasim .	And that's when we see the beginning of Albucasim's teachings.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And if you wish to cure them, treat them according to their own desire.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	E a cushion under them, et autre in their legs, you have relieved them.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But when there is a need to burn the skin on the foot, they must be applied to the legs, and no other place.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And to the one who is afflicted by the doctors, he should be treated with care for his ailment.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	And if the ailment affects the stomach or intestines, it is called colic.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And so you should apply cautery to the legs only if necessary and never to the feet.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already opened the bowels of the body in this book where it is necessary to explain what is needed to be done.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so you should use all your might to fight for God's protection.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And let them use the way of God that they will be healed by a good outcome, so that your reputation may increase and be remembered.
Gualia ja diyssec en alcunas sieuas monicios:	Another doctor attends to the patient's body, especially their legs, and he puts cushions under their thighs, etc.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	When the illness is severe, don't be a doctor that makes the patient suffer more.
E yeu ja he devesit aquest libre segontz tres capitols.	This book has been divided into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	This is the beginning of the first part of the book.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	This first chapter will explain the use of different tools in the treatment of gout.
La divisio de la segonda partida.	This is the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The instruments for drawing out pus from wounds are used to treat various ailments such as another cushion for their foot.
Divisio de la tersa partida.	E si le membra dolorat a lo mal, apply another treatment to lo.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with the treatment of injuries to the foot and ankle.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Therefore, you have a sharp pain in the legs and another if they are burned.
Am aquel comensa le tractat de tot le libre.	When the disease begins, it is customary to call it gout.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The patient should be burned on their legs if they have an illness that affects them, but not if they have a condition related to the quality of the cushion (e.g., if it's too big, etc.).
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the pain of which other than the feet they speak of is already described by the knowledge of many doctors, but they don't know how to use it.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And if you apply cautery to the whole body, it is equally painful for everyone.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	This text seems to say that a condition called "cauterization" was used by doctors to treat certain illnesses.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	If you are dealing with a hot, dry humor, or one that affects the legs and feet, then treat them as follows.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I have found that the patient's body will be already opened by the surgeon and the patient will be treated accordingly.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	And so too you should put a cushion behind your legs if you are using the hot iron to treat them.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	When there is no mention of other factors, it is called gout by physicians.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And so you know, sons, that for a cure by fire, it's customary to place a cushion upon the legs of the patient, and to have the other men apply the heat.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	If the patient has pain in their limbs, it means that the medicine has reached those parts, which is why doctors call it something else.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And if it is necessary to cauterize the patient's body, place a cushion under the foot of the patient so that they can be treated for the disease of the legs, and have the patient's hands placed on them.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	You should know that the patient will be in pain when their feet are afflicted by gout, but the body can be treated for gout in the spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And so the surgeon's hand should be placed on the patient's legs to prevent them from burning themselves.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if it is necessary to make cuts on the body, the intestines are cauterized.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The intestines are also the subject of the cushion which is placed on the legs, but they are not the only cause of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Mays also be used to treat gout.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	A simple solution for the first few hours, but the treatment requires the use of a cushion on their legs to prevent them from coming out and no further application of a cautery in the future.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	E **another** that's right, the doctor will use a hot iron to treat illness by applying it directly to the affected area.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	If a person has gout but the pain is felt in their feet, then they should be treated with cauteries to prevent the spread to other parts of the body.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And if there are no more remedies for the illness, it is called medicine by the common people.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients said that cauterization with gold should be used for cauterizing the intestines, and not on the skin unless they are using gold for its medicinal properties.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And so you will apply a cushion to the affected area, controlling the amount of heat in the body, but only when there is an increase in humors.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Then apply the cautery with caution on the legs and feet.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And if it is necessary to make an incision on the foot.
De cauteri de dolor de cap per frigiditat e humiditat.	De cushion you use for pain in the head by cold humors, and then treat them with poultices and bandages.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	And if it be a swelling in the feet or other such ailments that afflict them.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	And you shall know that this medicine is used to treat the intestine and other ailments.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And place a cushion on their feet, and another on the patient's legs, and another one on the patient's body over the thighs to prevent them from being cut by the other.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place a cushion on the patient's palm.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But you have to use a cushion to treat the foot so that it does not become inflamed.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And so, to treat pain in the legs, apply a cushion for support.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And if you see that the pain in the feet has worsened due to cold weather, apply a cushion to the area.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then apply heat to the cushion's area.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then you should put a cushion on their side to be protected from fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then apply the medicine within its cavity, for it is called tetrafarmacy.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that when the plague strikes one's arm, it is then better to use the hot cautery.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And if they are heated by cold humors, and their legs or feet are affected by pain, then they are to be cauterized.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And a cushion should be placed under them so they don't get cold, as well as other things to help.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cause of the pain is a bad humor in the foot, which they treat with cushions.
E estiman de aquel loc expiran la vapors del cap.	And they say that the pain is caused by hot vapors rising from the head to the joint.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Then prevent the disease from spreading further in the body.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May’s a mi Mays a doctor, to do, but he should use it on the legs of the patient.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first treatment is to save and heal those who have a cushion called "primieyra".
Capitol segon.	Chapter two.
Del cauteri del cap.	Then apply the hot cautery to the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	And if there are pains in the whole body, it is also known as gout; and it is these pains which are chronic and long-lasting.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply a cautery to the patient's head, for the fire is hot and will burn them if the vein is not properly protected.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	The patient's leg pain has been treated by making them apply a cauteri to their legs, which are being held in place by the cushion.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And if the patient's legs are in pain, they should be treated as gout by the doctor.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	This text likely describes the placement of the patient during surgery.
Capitol ters.	The third chapter.
De cauterisacio de emigranea no-antiqua.	This is a reference to treating someone suffering from a headache with a cautery.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	Then apply cauterization to the area of the foot.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The patient will be healed by another medicine.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then apply a cauterization to the area of pain on the body.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then apply a poultice to the affected area for three days.
E aprop cura aquel am enguent entro que sia sanat.	And apply an ointment to them, to that which needs it.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you are skilled in medicine, then you will know which medicines to prescribe.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The patient must be treated by applying heat to the affected area.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And if the pain arises in the legs, treat them with the same care as the rest of the body.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And if there are pains in the body, apply your hand to the area of pain.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the patient's condition allows for it, the physician would then cauterize the area of the first.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then apply the other to the knee.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish to treat them, use an old cauterizer for the incision, as per the established practice.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	This refers to the treatment of gout using a cautery device.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When there is pain in the joints near the cushion, use the hot iron to cauterize the area.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	Therefore, you must carefully guard against the jawbone being affected by the pain of gout, as it is customary to treat gout in the legs.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	E layssa la, which is in its beginning stage.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And then apply the treatment for the flow of blood, as described in the book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	This text means: If you are able to find a hot needle on the surface of the foot, then the needle is too close to the patient.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you have already determined that the patient has a different kind of pain, use cauteri to treat them.
Capitol .v.	This text describes the process of applying a hot cautery to treat an ailment similar to gout.
De cauterisacio de las dolors de aurelhas.	And when there are many other things that are customary to do, such as putting a cushion under the patient's legs, another on their chest, and so on.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When in the foot there is pain, it is called "gout" in other words, the gout, which is not yet healed, requires a cushion for relief.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	When there is pain in the foot, apply a cushion to the area of pain and use cauterization elsewhere.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	E si le cushion is not used to draw out the poison from the wound on their leg, you must use a poultice.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	Then use the cautery to cauterize the patient's legs, and then cauterize the area where the pain resides.
Capitol .vi.	This text is in a language similar to French, Spanish, and Italian.
De cauterizacio de turtura.	A cushion should be placed under the patient's thighs.
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	And the treatment for the ailment which is called gout is to be done by another person.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	This translates to a description of how doctors treat gout.
Quan tu curas aquela specia de turtura am jerras e capipurgi e guarguarismes, e no comfereys la tua curacio, lahoras cove que tu cauterizas le malaute am tres cauteris: la i deves la razit de la aurelha, e·l segon un petit dejos le sieu templar, e le ters deves la conjunccio de doas labias.	When you are treating someone who has gout, you must use a hot iron to apply a second treatment to their legs.
E pausa lo tieu cauteri per le contrari de la partida malauta, quar mollificacio no ve sino en la partida que apar sana.	And if the pain is caused by a cushion under their legs, then they have no other pain than that which is in the area where the cushion is placed.
E la forma de cauterisacio es que cauterizas aquel am le cauteri en le dreyt de la extremitat de la aurelha pus sobirana un petit sobre le corn del cap, e en le templar autre, la longuesa del qual sia segon la longitut del dit pous, e depausa la tua ma am cauteri entro que sia comburida la quantitat de la maytat de la specitut de la codena.	And if the patient has a pain in the leg, place it on their head, so that the inflammation of the knee or joint can be reduced.
E aquesta es la forma del cauteri, e es specia del cutellari, la forma del qual es denant mesa.	The form of the patient's illness is known as a cauterization.
Mays empero pus subtil es que aquel un pauc ayssi co vesas; e cove que cotel en lu de superflua groceza un pauc.	But the pain in the legs and feet, which is what it means, is called gout.
E aprop cura le loc am aquo que es denant procezit entro que sia sanat.	And place your hands on the location to heal the illness that you have called gout, and use other means as needed.
Capitol .vii.	Chapter 7
De cauterizacio de apoplextia antiqua.	This refers to cauterization, a treatment for old or chronic illnesses.
Quan apoplextia es antiquada e curas aquela am aquo que havem dit e no confereys la tua medicacio e le malaute no ha febre, lahoras cauteriza aquel am quatre cauteris: sobre totz les corn del sieu cap; e am cauteri e le mieg loc del cap, ayssi cum havem dit; e am cauteri en le coguot.	And if apoplexy is in the body, use a cauterization technique on those who are afflicted with it.
E la manieyra del cauteri es fayta segon que es desus dit.	And the way to treat it is done as has been previously mentioned.
E ja es cauterizat sobre la boca del estomac; e es mays derier; e aprop sia curat am aquo que procezeys.	Then treat them with a hot iron while they are being treated.
Capitol .viii.	Chapter 8.
De cauterizacio de obblivio fayta per flacma.	This refers to a type of cauterization, which I assume means:
Cove que sian donatz al malaute en le comensament jerras grans e pilulas le servel mondificantz.	The patient's legs are swollen and in pain.
E aprop ras le cap tot del malaute e pausa sus le coguot de lu emplaustre de cetre descrit en le tractat dels emplastres.	And if it's necessary to apply cautery to the feet, the patient will be put on their back.
E pausa aquel alcunas veguadas, quar aquel es manieyra de cauteri.	Then place cushions on them for a few times to prevent such injury.
E fay aquo segon aquel meteys orde le qual ja he dit.	And so I have said that the intestine is already being treated.
E donc si per aqueles sanat bo es; e sino, lahoras fay a lu tres cauteris en la deriera partida de sieu cap, les quals sian deysendentz de la partida pus sobirana del cap entro a la partida pus dejos del col.	And if the cushion is for their legs, apply three cushions on their feet to ensure that they are properly supported, as well as placing a cushion on the part of the body below the knee.
E pausa entre quascun cauteri la grossetut del dit, e aprop cura lo cauteri am aquo que es procedit.	Then apply the cauterization to the affected finger.
Mays si tu vos addicio e le malaute es aquo tollerant, lahoras fay a lu cauteri en le mieg loc; e si voys major addicio, lahora cauteriza aquel sobre les dos corns.	Mays is a cushion used in the treatment of an illness called gout, which causes pain in the limbs, but especially in the legs and feet.
Aprop cura aquel entro que sia sanat; e sia le cauteri olivar segon la forma denant donat.	Then apply it to the body part according to the method previously described.
Capitol .ix.	This is a recipe for making a diagnosis of gout.
De cauterisacio de parazili e de mollificacio de tot le cors.	And then apply the cautery to their body.
Cove que tu procesiscas en mondificacio del cap am jerras e am aquo que havem dit; e aprop ras le cap del malaute, e aprop cauteriza aquel am cauteri en le mieg loc del cap, e am cauteri sobre totz les corns del cap, e am cauteri sobre la deriera partida de lu, e am tres cauteris sobre les spondils del col.	Apply heat to the affected area, and use a cushion to protect the patient's legs from swelling.
E si es necessari en la malautia de mollificacio del cors de trops aquel e les malautes tollerantz e la malautia es fort, lahoras cauteriza aquel am quatre cauteris sobre les spondils del dos, e dererament am cauteri entro que sia comborit de la codena mot de lu, e aleva la tieua ma.	When your illness requires it, then apply a cautery to the affected areas of the body.
E aprop cura aquel entro que sia sanat, e aquest sia cauteri olivar.	And so then, the patient's condition is such that they need a hot oil treatment.
Capitol .x.	Chapter 10
De cauterisacio de epilemcia.	This refers to the treatment of a condition using a cautery tool.
