Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuccassis.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Use the best method for the grace of God to gain salvation and praiseworthy success, and leave the terrible illnesses with difficult cure, and lay down your weapons from what causes you fear, so that examination in your faith and in your name does not deceive you: for more remains to your glory, and thus it remains in the world and in posterity to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia herself has already said in some of her admonitions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat bad diseases, so that bad doctors are not called good."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Here begins the division of the book, and it starts with the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is organized in the head concerning feet, in the shapes of instruments and the ironwork of cauteries, and what is necessary for surgery.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on fistulas and perforations, abscesses and wounds, extraction of foreign bodies and similar things related to them, all catalogued and organized according to the shapes of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and the cure of twisting and similar things related to them; the chapter is organized in the head concerning feet, and the shapes of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and acute medicine and reminder of surgery.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise on everything in the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary for me to say the quality of the instruments used in that cautery and their side effects, and in which circumstances cautery should be prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I will say that the discourse on the quality of the instrument of cautery and its side effects is a long and detailed one, subtle in science, and concealed; and many wise men have spoken about it, and they disagree with each other, and it concerns only a small part of their discourse, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I will say that cautery is generally useful in all cases universally, except for two circumstances, which are circumstances without a material basis.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of a dry and hard matter accumulation in the tail, some say that cautery is helpful for this, while others say the opposite, that cautery is not suitable for the illness which is due to its quality and dryness, since nature of fire is both quality and dryness, it is inappropriate for dry and hard illnesses to be treated with what is hot and dry water.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	It is said that the opposite is true for dry and hard matter accumulation in the tail, that cautery is helpful in all dry and hard illnesses of the human body, since when you compare the human body and its humidity to the heat of fire, you find that the human body is colder.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And it can be said by the argument of the above, that I have experienced this several times myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not enough that one comes upon this who has already been exposed and exercised in the chapter of cautery through previous experience, and come to know the diversity of human complexion and the disposition of illnesses in their causes, effects, and the time of those illnesses.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexions, there is no need to be afraid, and especially in cold and moist illnesses, since all doctors agree on this, and do not disagree on the usefulness of cautery in those illnesses.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my sons, that the secret of healing with cautery by fire and its goodness is that cautery is a burning medicine, since fire is simple and its action does not affect any other member but only the one being cauterized, and it causes minimal damage to adjacent areas.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of burning medicine affects the members that are adjacent to it and makes difficult healing and recovery in sick members.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, due to its sublimity and the goodness of its substance, does not do this; rather it overflows. It is already known through experiment and a long period of study in the art about the truth of causes; therefore I am excused for the length of the speech. And if it were not that it is not permitted in my free will to reveal the secret of fire hidden within it, and the quality of its operation on bodies and the expulsion of illness through philosophical demonstration, which would sharpen your pains.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, my sons, that they disagree on the time in which it is appropriate to perform cautery and pause the best time during springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is appropriate at all times, since the damage caused by time is submerged in the benefit of the cauterization, and especially if the cauterization is due to pain or necessary for pain relief, such as fistulas, which cannot tolerate delay because the danger from the illness exceeds the minor harm caused by the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not doubt this, my sons, or it is only believed by the common people and foolish doctors, since the healing of that illness which is cured by cauterization does not occur at all times, and there are consequences for it.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think, because cauterization is only in a place where medicine acts to change the complexion and dry out the humidity which causes pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But cauterization is excessive over medicine due to its value, virtue of its operation and greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the illness may return at some point in time depending on the complexion of the patient and the location of the illness, its properties, what is prepared in the body due to the aggregation of excess humors in it, and what is ingested by the patient due to causes similar to those. However, if the illness for which cauterization is administered is a subtle one with few superfluidities and humidity, such as cautery of teeth for pain, it is possible that the pain will not return, but only minor damage may occur.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is a common saying that cauterization is the last resort of medicine, and this is an incorrect statement, not according to what I understand in it, since I believe that it is not curing with medicine or any other cause that leads to cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the reason is the opposite; and my opinion that cauterization is the last resort of medicine is not because we administer the methods of healing in some illnesses, but when those treatments are not effective, we then administer cauterization at the end of the cause, and it helps with that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And therefore, from here on I say that cauterization is the last resort of medicine, not according to the opinion which the common people and ignorant doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cauterization with gold was better than cauterization with iron, and they did not say this only because of the equality of gold and the loftiness of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not heal quickly, for it is not absolutely true, because I have already proved and observed that it does not do so in all bodies, and cauterizing with fire is better than with iron as they say; however, when you cauterize with fire from gold, it is not revealed to you, because it depends on the quantity of gold used for the size of the wound, and it prepares to receive cold; and if you adjust it over the fire, gold melts due to heat, and in the fire, some layers may come off which the artisan must be careful of.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because it is cauterized with iron, we should do it gently and then more precisely in the correct procedure.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have already arranged this chapter on cautery according to the chapters, and have ordered those from the head down to the feet, so that it becomes easier for you to ask what you want from him.
De cauteri de dolor de cap per frigiditat e humiditat.	On cauterizing head pain due to cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization counteracts cold and moisture in the underlying cause of which there are two, causing scrofula and many rheumatic flues, called corissa, from the head to the heels and earfluxes, and many sleep disorders, and tooth pain and gout, and generally all illness that comes due to coldness, such as paralysis, sclerosis and apoplexy, and similar diseases in these illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cauterization is as follows: First, you command the patient to be evacuated with a medicinal enema for three or four nights, according to the severity of the illness, the age of the patient and his habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then you command him to shave his head with a razor, and then seat him between your hands on a raised bench and place your hands on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then you place the edge of your palm close to the patient's nose between his eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But if the place you indicated is not reached, mark that place with a probe, and then ignite the olive oil cautery, which has this shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Then you press it down on the marked place, in such a way that it descends, and your hand should be held tight, little by little, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then you lift your hand slightly and observe the place, and if you see any amount of bone being exposed, such as the size of an error grain, then you lift your hand, and if it does not retreat from that iron, another one of that kind, if it is cold, into view until the bone I mentioned to you is seen.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then take a little salt and dissolve it on the place and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then press on the burnt spot in the border and leave it until the scar from the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And you heal the place with a strong four-part remedy until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the wound remains open, it gets better more quickly, because it is better and more helpful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them said that the coccyx should be cauterized to the bone, and the cautery must be kept there until a portion of the bone is burnt off.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And it should be shaved down so that it fits the bone, and then healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that the cautery should reach the bone, until strong pressure is exerted on it until the bone breaks, and this is the form of alphecati:
E estiman de aquel loc expiran la vapors del cap.	They believe that the vapors from the head will expire from that location.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Keep the wound open for a long time, and apply healing until it is solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not see these two types of cauterization in every case, but only in some men out of fear; and leave that one, you should, for my better health, when possible; because the head is uncovered by the solution of continuity in this way as we have testified in other members, and especially when the patient's head is of a fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cauterization is safer and better for me; and from that herb and with that work for my health.
Capitol segon.	Chapter second.
Del cauteri del cap.	On the cauterization of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and long-lasting pain occurs in the entire head of a patient, and they use gears and rakes and combs and bandages and poultices and cords and gauzes and similar things, and especially if it has already been cauterized with one cautery that does not improve any of those causes, then consider whether the patient's head is of strong creation in its nature; and if it is not fragile and the damage is not great, cauterize it again with another cautery after a short time.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize it on the patient's forehead with cauterization until the scab is separated.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the scab and expose the bone quantity that we have cauterized with one cautery in the back of the head in the place called "hole" - and this is the place where pus collects.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And loosen your hand in this, and do not expose the bone, for the patient suffers great pain different from the pain of all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And say that this cauterization is in its place, for the cauterization at the top of the head and occiput is more subtle than the one used for the middle of the head; and this is its form.
Capitol ters.	Chapter third.
De cauterisacio de emigranea no-antiqua.	On non-ancient migraine cauterization.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain occurs in the back of the head or is extended to the neck, use medications that are specific for the head, and administer the other cure, which I have said in the provisions for diseases; if this does not improve, then cauterization in this case is done in two ways: either cauterization with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Cauterization with burning medicine is what you should take a mortar made of alum and grind it, and sharpen the edges of both ends of the mortar.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And apply incision in the place of pain in the temple with a sharp lance until it makes a hole below the scab, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And apply pressure on the area stopped by constriction, and leave it for three hours; and loosen the alum, and leave the wound for two or three days, and place a cushion over the immersed area until the area becomes sore.
E aprop cura aquel am enguent entro que sia sanat.	And heal that one with mouthwash until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some burning medications which I have written in the second treatise of burning medications.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Cauterization with iron in this way: fire for the cauterization, and this is its form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called a nail clamp, because the head of it resembles the shape of a nail with some curvature, and in its middle part there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Place your hand over the place of pain, and hold it - to prevent the archery from being touched - and rotate the small iron slowly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of what is touched by the tip of the scab is large enough, lift your hand to prevent the artery from being touched which is nearby, so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And immerse the area in salt water and place it on that spot, and leave it for three days; and cover the area with a bandage, and heal it with mouthwash until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you wish, perform cauterization with the tip of the scalpel as in cauterization, and be careful to avoid cutting an artery during this non-ancient migraine cauterization.
Capitol quart.	Chapter fourth.
De cauterizacio d’emigranea antiqua.	On ancient migraine cauterization.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraine with what I have said about the previous cure, and what I have said in the provisions for diseases, and the cure does not improve, and sometimes because the disease that cannot be treated with what I have said of the first cauterization with medicine or with fire cauterization, then you must heat the scalpel cauterization until it is white hot, indicating over the place of pain with a long line of which the thickness is the same as the finger, or whatever; and after waiting for a while, lift your hand and incise the artery and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It is necessary for you to ensure the continuation of the mandible, which is moved during chewing, that the jaw does not be dislocated and the nerves associated with it do not be harmed, and that there is no spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the care and caution of the flow of blood from an artery that is being excised, for in the excision there is fear, especially for those who do not know what they are doing and are not skilled; leave the operation to begin with them.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will find a reminder of the regulation of blood flow in the event of an accident from an artery according to its method, in its place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this illness that does not require this cautery and the body of the patient is tolerable, cauterize it in the middle of the head as we have mentioned before, and heal the wound until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	If you find (it), administer the cautery which we have mentioned in the chapter on constriction of an artery with cautionary having two knives, and this cauterization is better and more advisable.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	On the cauterization of ear pains.
