Ayssi comensan las paraulas de Albucasim .	Thus commence the words of Albucasis.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he tied it according to his desires, sutured and bandaged it, and kept it closed for several days as instructed; however, the thigh and leg became abscessed, resulting in harm.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and upon removing the bandages, calmness and relief were achieved, and his pain diminished.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, corruption was already confirmed in the limb, so that it could not be stopped, and the corruption continued to spread throughout the limb until the patient's life was endangered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another doctor who opened an abscess called cancer, and it was ulcerated in just a few days, amplifying the wickedness of it with its master.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is that cancer is free of melancholy humor, therefore it must be treated with caution and not completely removed from the body, but rather an affected member should be left behind as much as possible.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my son, it is necessary that the work of the hand be divided into two categories: one is the operation associated with health, and the other is the work that poses a greater risk in its execution.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already emphasized this throughout the book in operations where there is error and fear; therefore, it is necessary for you to take note of this and be careful not to fall into such errors and dishonor.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so, take up your arms with humility and with God's protection, and your patients with kindness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Use the best way for God's grace to save and bless, and leave behind terrible diseases difficult to heal, and withdraw your weapons from that which makes you fear, so that the examination of faith and in your name does not escape you: for it remains for your glory, and moreover in this world and after in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Furthermore, I say to some monks:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat bad illnesses, so that evil doctors do not take credit for it."
E yeu ja he devesit aquest libre segontz tres capitols.	And you have now completed this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Here begins the division of the book, and the first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered regarding feet, in the shapes of instruments and the ironwork of cauteries, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on abscesses and perforations, blisters, sores, and extraction of stones and similar cases, all categorized by the shapes of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The fourth chapter, on restoration and dislocation, and the treatment of twists and similar cases, categorized by the shapes of instruments regarding feet.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauterization with fire and acute medicine and recall of the operation.
Am aquel comensa le tractat de tot le libre.	With that, begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary for me to discuss the quality of the materials used in that cautery and its disadvantages, as well as when cauterization should be prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discussion of the quality of the material for cautery and its disadvantages is a long, complex, and subtle topic, requiring knowledge, and it has already been discussed by many wise men, with disagreement among them; as for me, I will only touch on one of their discussions, fearing tediousness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cauterization generally pertains to all universal aspects concerning the material or materials, except for two cases, which are those with the absence of material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of dry and hard matter, there is disagreement; for some say that cauterization is beneficial in this case, while others say the opposite, that cauterization is not suitable for an illness characterized by quality and dryness, as the nature of fire is heat and dryness, and it is appropriate for a dry and hard illness to be treated with something wet.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he says the opposite, that cauterization is beneficial in all dry and hard illnesses that occur in the bodies of men, for when you compare the body of man and its moisture with the nature of fire, it cools the body of man.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say from my own experience that this has been verified for me on several occasions.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Nevertheless, it is not necessary for me to come back to what has already been proven and exercised in the chapter on cauterization in previous work, and to know the diversity of human cases and the locations of their diseases, as well as the causes of those diseases, the characteristics of them, and the space of time of those diseases.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However, in other cases, there is no cause for concern, and more so in wet and cold illnesses, as all doctors have already agreed on these, and there is no disagreement about the treatment of those diseases with cauterization.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that the secret of healing by cauterization with fire and the goodness of it are due to cauterization with burning medicine, because fire is simple; its action does not reach beyond the member being cauterized, but only causes minor damage to the adjacent members.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	However, the action of burning medicine reaches to those adjacent members, and it quickly brings pain in the member with difficult healing and quick healing.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	However, fire, due to its sublimity and inherent goodness, does not produce such results; this has been known through experience and long years of study on the nature of causes; therefore, I am excused for the length of my speech, except that it is not suitable for this book in this pause to reveal secret knowledge about fire, and the quality of the operation of it in bodies and its expulsion of diseases, with a philosophical demonstrative argument, which would sharpen your thoughts.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Understand, my sons, that they disagree on the time when it is appropriate to do cauterization and pause the best time of early spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	It is said that cauterization is appropriate at all times, so the disadvantage due to the accidental time is submerged in the advantage of those who do cauterization being ready, and even more so if the cauterization is for pain or necessary pain, strong or fistulas, which cannot tolerate delay, since it is feared that the evil that comes with delay may be greater than a small disadvantage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not doubt in your hearts, or my sons, that they do not believe this except for the vulgar people and foolish doctors, since that sickness which is cured by cauterization is not a remedy at all times and it is best to pause its consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think for that reason, because cauterization is not a medicine that alters the complexion and dries out the moisture that causes pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Nevertheless, cauterization is superior to medicine because of the greatness of its effect and the value and virtue of its operation.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the patient's sickness returns at some point in time, depending on the patient's complexion and the location of their sickness, as well as the virtue of the medication prepared for them, and what has been achieved through their diet and similar factors, unless the sickness to which cauterization is administered is a subtle one in a few parts with little excess moisture (such as cauterization of a tooth for pain, etc.), it is possible that the pain will not return there, but rather it will be minor.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	But it is a common belief that cauterization is the last resort in medicine, and this opinion is incorrect, not because I do not understand it, but because they believe that it is not a cure that benefits from medication or any other reason for using cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is actually the opposite; and my understanding is that the belief that cauterization is the last resort in medicine only occurs when certain healing methods have been attempted for some illnesses, and those medications do not work, and at the end of the cause, cauterization is administered, which proves effective.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Therefore, from here on, it is clear that cauterization is not the last resort in medicine, contrary to the belief held by the common people and many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients said that cauterization with gold is better than cauterization with iron, and they did not say this because of the equality between gold and its nobility.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	The ancients said that the place of cauterization does not hurt, but this is not absolutely true, as I have already proven and observed that it only causes harm in some bodies, and cauterization with gold is better than iron as they said, but if you perform cauterization with fire and gold, it is not declared to you, since it depends on the quantity of gold you want for its heat, and it is prepared to be cooled; and if you adjust it over the fire and some layers are created due to the occupation of that material.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Therefore, cauterization with iron should be performed lightly and carefully to ensure proper operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have already organized this chapter on cauterization according to chapters, and I have ordered those related to the feet within that section, so as to lighten the inquiry for those who are seeking it.
De cauteri de dolor de cap per frigiditat e humiditat.	On cauterization of headache due to coldness and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization treats the excess coldness and moisture in the affected area, which are two causes of headache, so it is used to treat scrofula, runny nose, and fluid discharge from the ears and eyes, as well as insomnia, toothache, and gout, and generally any illness that arises due to coldness, such as paralysis, sclerosis, and similar conditions in those maladies.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: First, command the patient to be evacuated with a purgative medicine for three or four nights, according to the severity of the disease, the age of the person and their habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then command him to shave his head with the razor, and have him sit on a bench with his legs apart and hold his hands.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then place the back of your hand on the bridge of his nose between his eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when the indicated location is reached, mark it with a probe, and then ignite the olive oil cautery of the following shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Then hold that probe on the marked location as it descends and turn it gently, so that your hand remains constrained slightly.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then lift your hand slightly and look at the location, and if you see any amount of bone being exposed, for example, the size of a grain of sand, then raise your hand, and if not, return your hand with that tool, or another cold one, until the bone that I told you about is visible.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then take a pinch of salt and dissolve it on the location and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then hold the probe on the edge of the burn and leave it until the scar from the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then treat the location with a strong tetrapotion until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	It has been said that when the wound remains open, it gets better by itself, because it is better and more helpful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	It has been said that the coccyx should be cauterized to the bone, and the cautery should remain there until some part of the coccyx is destroyed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then scrape away what is attached to the bone, and let it heal.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	It has been said that the cautery should reach the bone, until it strongly penetrates the bone until the bone breaks, and this is the form of a small splinter:
E estiman de aquel loc expiran la vapors del cap.	It is estimated that the vapors from the head will escape from that location.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	The wound should be kept open for a long time and treated until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	However, I do not see both types of cauterization in all cases, only in some men out of fear; and leave that one, because it is better for health when it is. The head is revealed by the solution of continuity of these things, as we have testified in other members, and especially if the patient's head is of fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cauterization is safer and better in my opinion, and therefore choose that one for safety.
Capitol segon.	Chapter second.
Del cauteri del cap.	Of the head's cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and prolonged pain occurs throughout the head of the patient, and he uses swords, daggers, knives, plasters, ointments, cudgels, bandages, slings, and similar things, and if it has already been cauterized with one cautery which does not improve his condition, then consider whether the patient's head is of strong constitution in nature; and if it is not frail and weak, then cauterize him again with another cautery.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize the patient's head at the crown with a new cautery where the skin is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the skin and expose the quantity of bone that has been cauterized previously and cauterize it again in the area at the back of the head, called "vessels", - and this is the place where a blister was formed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And be careful not to expose the bone, for the patient experiences great pain different from the pain of all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Call this cautery by its name, because the cautery used for the corn of the head and the occiput is more subtle than the one used at other parts of the head; and this is its form.
Capitol ters.	Title: The Head
De cauterisacio de emigranea no-antiqua.	On the Cauterization of Modern Migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When dull or spreading pain occurs in the back of the head, or sharp pain enters the skull, evacuate with medications that alleviate headaches, and administer other treatment as I have described in the section on diseases; if none of this works, then cauterize it in two ways: either with a burning medicine or with an iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Burning the cautery with a mustard plaster is when you take a mustard-filled bag and squeeze out its contents, making sure to remove both the ends of the bag from each side of the head.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then make an incision in the temple area where the pain is, with a sharp lance to create a small hole beneath the skin.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	You should tighten it with a binding that restricts it slightly and leave it for three hours; then remove the bandage and massage the alum and leave the plaster for two or three days, and place a pad over the submerged area until the wound heals.
E aprop cura aquel am enguent entro que sia sanat.	You should care for it with a mouthwash until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, do it with some burning medications as I have written in the second treatise on burning medications.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The iron cauterization method is as follows: fire for cauterizing it with this shape:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called "closed fracture of the clavicle," because its shape resembles a thorn with some curvature, and in a certain place it has a slight prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then press on the painful spot and hold your hand there - to prevent the bowstring from being injured that follows - and gently rotate the small blade slowly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of tissue injured by the operation is considerable and the vein is not affected, raise your hand to prevent the vein from being injured that follows, so that blood does not flow out.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then immerse the wound in saltwater and place it on that spot, and leave it for three days; then immerse the wound in vinegar with bandage, and care for it until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize the end of the ulcer with a lancet according to the method of cauterization, and be careful not to cut the artery in this new type of surgery that is not ancient.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	On ancient cauterization of ulcers.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat ulcers with what I have mentioned in the previous cure and in the divisions of diseases, and if it does not improve and sometimes because of the disease that does not respond to what was said about the first cautery with medicine or cauterization with fire, then it is necessary for you to ignite the lancet until it becomes white. This means placing a line on the painful spot with the length of which is the size of the finger, or whatever its size; and after waiting a while and strengthening it, you will cut the vein and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful of the continuation of the jawbone, which is harmful because of chewing, and that the nerve that controls it is not injured, and that the spasm does not occur.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and caution of blood flow from the artery that has been cut, since in cutting it there is fear, especially for those who do not know what to do and are not trained and experienced; leave the operation at first.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will come with the reminder of the regulation of blood flow accidents of the vein according to its manner, in its place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this disease does not respond to this cautery and you see the body of the patient to be tolerable, cauterize it in the right place on the head as I have described, and take care of the wound until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish, administer the cautery that I mentioned in the chapter on the compression of the vein with cautery having two blades, and this cauterization is better and more beneficial.
Capitol .v.	Chapter five.
De cauterisacio de las dolors de aurelhas.	On cauterizing ear pain.
