Praefatio.	Introduction
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	Therefore it is not fearful to him concerning these constitutions, especially with regards to diseases involving cold and wetness.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	They indeed supported all physicians on this matter and did not dispute regarding cauterization in them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And they know that the use of Cauterization with fire in treatment is superior to combustion medicine because fire acts simply without penetrating further than where cauterism applies: for it harms no other body part connected with itself, unless injury comes upon pure flesh.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The action of surgery has reached this extent that it extends beyond the body's limbs: and perhaps an injury occurs within the affected part causing difficult healing or even death.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire does not bring about this because of its delicacy and good substance unless it is in excess.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Indeed we have discovered this through experiments and study in combination with the art of surgery; hence it exonerates us from excess length due to its usefulness, as far as stationing remains above mediocrity: all thanks to these insights into elongation which stemmed our understanding.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not for this book which I cannot attain, we would grasp the hidden secret within fire; to understand the quality of operations performed on their bodies that expel diseases with rational arguments shown herein, purifying thoughts in our minds as a result. This highlights how crucial accessibility and practical knowledge gained from such texts are for both healing practices and intellectual growth during medieval times when direct sources might have been limited or restricted to select individuals within society.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And they know that their time has come when it is convenient to perform the cauterization and place a better timing for speeches.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I declare that the purpose of the caustic has been met at all times: forsooth, because harm caused by delay falls into oblivion when the treatment is applied and draws attention to itself alongside care taken in timing such interventions with speeches or announcency.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if the cauterization is necessary due to acute pain and urgency—whereby those who are strong enough refuse delay: for thusly it becomes timely because of these reasons; more so than any minor harm caused by waiting, since malice itself takes precedence when considering timing. This translation aims at conveying the original meaning that in situations where immediate medical attention is critical due to severe conditions and patients who would not endure delays—the urgency overrides concerns about optimally timed discussions or announcements related to treatment, emphasizing prompt action against potential malice associated with waiting.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And let it not enter into their minds that the treatment is unnecessary if they are untroubled—unless there's dishonesty or ignorance on behalf of overconfident physicians who believe certain ailments can be cured by caustic: and place this burden accordingly, for as such belief stands without foundation; furthermore because it’s not true that the treatment is ever unnecessary—since those reasons indicate where diseases arise which cause discomfort. Here Albucasis argues against misconception among patients who may be unaffected by their ailments and would underestimate or dismiss caustic treatments unless these are delivered with conviction, pointing out that such remedy is essential only within the proper scope of medicine to address issues related to humidity-induced discomfort. This translation underscores Albucasis’s emphasis on recognizing when and where cauterization should actually be applied—and not falling into a fallacy about its superfluous nature, particularly in cases necessitated by the specific conditions that he describes as causes of pain due to excessive moisture.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	Verily, the necessity of the cautery surpasses general medicine due to the patient'se health conditions and their skill at surgery as well as reverence for the lordship over them: and it is possible that they may recover from illness within a certain time frame according to the sick person's condition and location, provided what prepares in his body by aggregation of superfluous matter therein; which enters into him through food and drink unless he suffers an ailment for which cautery administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	Indeed, the sickness from excess body fluids and moisture may necessitate cautery, especially for tooth pain due to these same causes; since it is possible that without such treatment he will not recover therefrom. (Note: This translation maintains as much of the original medieval Latin's meaning while converting into English text.)
Sed illud fit in paucis.	But this applies to a few instances, which speaks volumes given that such conditions are often limited and not widespread within patient populations at large. (Note: This final translation provides additional context regarding the prevalence of these medical issues as suggested by Albucasis' original text.)
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	Truly the talk about cautery is indeed a different discussion than what they themselves intend for it in that context: because they believe it's not healing provided by medicine nor compared to any other follow-up after such treatment.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	On the contrary, and in fact, when we administered remedies for an ailment, that's where cautery comes into play as the final treatment; then it falls under what is considered medicine: at this juncture, the discussion about cautery aligns with medical practice according to both intention and understanding of various physicians.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	They argued that when it comes to treating with heat sources like mercury instead of iron for cautery purposes, the better option is not based on what they said but rather because there's an equality in weight and a refinement or purity within its own substance. They also stated that this does not create a space where pus can develop during treatment with these heat sources.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	Truly it is not so absolute: for I have already tried and found that itself does not make anything happen without other bodies.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And the scalpel with it is good, and better than iron as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	When you place the cauterium (surgical instrument) into fire made of gold and do not declare it to yourself, when it is heated according to its thickness due to the shine of gold: and when properly managed with heat, it melts in the fire, and flows onto layers.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Why does the surgeon fall into this task from within its necessity: and because of that, cautery with a knife is performed by us on ulcers and nearby areas, for correctness in treatment.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I have already ordered this chapter on cautery, according to the sections from head to feet, so that they may relieve them of what pain comes from it there.
¶ De modo cauterizandi Caput in commissura coronali.	In treating the head at the root of the coronary sinus.
Caput II.	Chapter II.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	This teaches the cautery applied on the brain: which are two causes of moisture and coldness hereby; as well as an overflowing flow of humors from the head to parts of the eyes and ears, along with excess dreams, pain in teeth and throat, universally speaking all illness resulting from coldness such as paralysis, epilepsy, and apoplexy: and similar afflictions.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The mode of cauterization is as follows: it treats weakness with medicinal fire, applied either once at night or three times if necessary according to the patient'sepoochand circumstances and habitual practices required for effective treatment.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Thereafter instruct them so that they may use new wicks (or swabs) to apply the heat on their head as needed in accordance with these guidelines for cauterization treatment under your direction. This instruction continues from Albucasis' original guidance, emphasizing how and when a practitioner should administer this form of therapy using fresh materials each time—a common medical principle aimed at preventing contamination or reinfection during the healing process in medieval times.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then place his sitting between your square hands, as he already has placed his own hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your hand on top of the nasal root between their eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Whenever your middle finger was burned, there it showed signs of scorching.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then comes olive oil cautery: which shape this is.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it over the mark set on fire and pressed down upon, so that your hand is gradually restrained, and you withdraw it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then grasp your hand firmly and look at the place.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you hear that there is a size of head or skull bone quantity to be measured, then take your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, beat your own hand with the same iron itself or when another cools it down from being hot by you: until they see their bones that I told you of.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then some salt is taken and dissolved in water, and poured into the wound itself, and placed on that spot for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then he puts oil on top of the poultice and withdraws it from the place until the ashes burn away.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then it will be cured with that ointment containing four ingredients until healed.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They have said that the longer an ulcer remains open, the more pus it produces: therefore is better and more beneficial to close it quickly.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	They said that some should be subjected to cautery up until the jawbone: and it was necessary for them to keep the cauterize tool in place until something very hardened, like a bone becomes so. This indicates an old medical practice where doctors used heat or chemicals (cauterization) on open wounds with the intent of preventing further pus production by closing off draining channels and promoting healing before more severe complications could arise from prolonged exposure to infection-prone environments within deep tissue.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	After the heat has penetrated into the bone (which occurs after prolonged open wound exposure), then it is cleaned out or removed surgically ('cured'). This medieval Latin medical text suggests a two-step treatment procedure where first, likely through cauterization as indicated earlier in your translation task, was an attempt to manage and contain the situation before resorting directly to more invasive measures such as debridement (cleaning) of infected tissue. The sequence indicates understanding from these early practitioners about managing severe wounds that reached into bone areas—a practice not common today but indicative of the era'thy approaches they employed, combining rudimentary surgical techniques with whatever medical knowledge was available to them at the time for treating what we would now recognize as advanced and potentially life-threatening infections.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And they say that when using cauterization until the impression of fire is made on the bone, so that it falls off like a sword: or what women place in their brains with alphabetical fluid and breatde out through this hole for a long time.
Deinde curetur, donec consolidetur.	Then it is healed, until it solidifies.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But I do not recognize these two kinds of cautery except for certain individuals according to their fears.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And let it be removed from him for his health's sake.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	The head is weakened by its own continuity: as we testify with the rest of the body; especially when the head itself is naturally feeble: and thus my primary choice for treatment here are more salt and honey, which I use to operate towards health.
¶ De modo cauterizandi capitis in dolore totius capitis.	In this manner, when treating the headache of the entire head.
Caput III.	Chapter III.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When the entire head experienced a chronic pain that weakened it and caused tilting forward, hunching over, nasal discharge, rhinorrhea (runny nose), and sinus drainage.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if there is already a cautery in use, and that which we are about to narrate concerning it does not provide anything from them: then take heed of this.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	If the head of the patient is strong due to its natural constitution and not weakened by illness, and it has been subjected to a chilliness for some time: then apply a small caustic under that as well.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then anoint the entire top of his head with cautery, so that it does not penetrate through the skin and is removed from bone as described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	Then anoint the cautery once at the back of his head, where it is called a point and there they place their oil upon this spot; ensuring that none penetrate into bone here with these oils as I have described.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For indeed he suffers pain strongly due to this, and varying degrees of discomfort from the lashes applied on all heads herewith described.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will speak of this Cautery in that place: and it is necessary whatsoendoes the cautery for treating the horns of the head, and more subtly with a finer cautery to treat the middle of the head.
Et haec est forma eius.	This is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	In the manner of treating headaches, as with dry medicine or hot iron. (Note: This translation attempts to preserve the context and meaning from a historical medical perspective on treatment methods for headaches mentioned in Albucasis's work.)
Caput IIII.	Chapter IV. (This indicates the chapter number within which relevant content or discussion is found, likely continuing some form of treatise related to medicine as suggested by previous translations from a historical medical text.)
