Praefatio.	 Praise
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	 The one who said the opposite of this mentioned that cautery can be useful for cutting into all cold substances which are both hot and dry; because when you compare a human body to its moisture, and you look at the complexion of fire on it, then the body becomes (cold).
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	 I will say this through his words because from my experience that has already happened to me a certain number of times.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	 Nevertheless do not let him enter here until he is already tried and practiced (in the art of cautery), has exercised himself thoroughly at that point, and knows about the variety in complexion among people, their disposition towards heat, causes them to occur, accidents they cause, and time periods during which they happen.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	 Other veins have no fear of you: especially those of cold and moist
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	 All the physicians have used them, but did not fail when Cautery was applied to them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	 And it is known by the sons that from Cautery secret treatment with fire and kindness to him when accompanied with medicine burns well because fire alone action not succeeded unless the part burned: and does not hurt another member with it, except painer.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	 The action of physicians was done to that which grows from the members: and sometimes it causes to strike in the difficult recovery member, and sometimes it weakens.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	 Fire because of his subtlety and substance goodness does not do that, unless excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	 We did not discover that by experience, for the length of services and study with art and position over integrity people's: and because of this excuse out of the sermon in length.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	 And if not for this book of mine, we would reveal to you the secret hidden by fire and the quality of its operations in removing its own body, which expelled the fears through a philosophical demonstration speech that agreed with your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	 And it is known by the sons that these dissent at a time when Cautery was agreed to be done, and they consider it as better than any other time of yours.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	 And I say that Cautery is agreed at all times: therefore the pain caused by time is overcome when brought with Cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	 And especially if Cautery is for the pains from necessary pain, strong, winter, who does not tolerate delay: therefore because of it, it is feared by those, that caused malice greater than what was previously called as a result of time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	 And it does not remain in the minds of your sons except the ignorant and foolish physicians who consider that by Cautery healed is not a remedy always: and they consider it as a result, but are not like them; therefore because Cautery is not, unless on medicine's place which changes complexion, and dries the moisture that causes pain.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	 However, it is necessary to apply cautery over medicine for the benefit of its own application and effectiveness, as well as that of his master. It is possible that he may find a shortage at some time due to the lack of one or another ingredient from which he prepares the operation; therefore, we must provide him with this lack in order to be able to administer cautery.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	 Subtile deficiency of the member (or limb) from which there is a lack of excess moisture and humidity, such as with dental cautery for pain relief, it is possible that he will not experience any pain in this area.
Sed illud fit in paucis.	 However, this would only happen over time.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	 The correct sequence of the utterance is as follows: "After the application of medicine comes a speech which should be made once (immediately after) - this one refers to the treatment itself and what was intended in that person; because they believe that the treatment does not confer benefits with medicines or post-cautery.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	 However, this is contrary to the correct sequence of events - when we apply the cures in a specific ingredient, they do not confer the benefits of medicine; after that, we administer the treatment at the end and provide it: then, from that point on, the application of cautery after medicine no longer follows the intended order as understood by most people.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	 They have said that cautery with gold is better than cautery using iron; they did not say this however, unless the reason for their preference was equal in quality and value of gold; they have stated that it does not make a bad place for cautery.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	 This is not absolutely true because I have already tried this and tested it; however, what that thing does to some bodies but not others cannot be determined.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	 Cautery with him is a benefit, better than using iron as they say.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	 However when you apply cautery to fire within fire without declaring it as such and the amount of heat is unknown because of the burn on the skin; and if added fire above that point ignites and causes great pain, and results in burns.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	 Because of this injury to the craftsman in his craft; and because of that there should be Cautery (a surgical technique) performed using fire near us as soon as possible and close by for performing an operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	 And I too have ordered this chapter on Cautery according to the chapters; and ordered it from the head down to the feet so that those seeking what is done by him may find it.
¶ De modo cauterizandi Caput in commissura coronali.	 How to perform Cautery (a surgical technique) on the head at the hairline
Caput II.	 The head, part 2
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	 This Cautery causes the control of moisture and cold on the brain: which two are caused by; and abundance of flux from the head to the parts of the eyes and ears, and abundance of sleep, and pain in teeth, and pain in the throat: and universally all injuries caused by cold as paralyze, epilepsy, apoplexy, and similar ones.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	 The Cautery method is to perform it quickly; so that the remedy with a solution of fire may first be applied three times during the night or four if needed by virtue and his age, and by custom
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	 Then tell him to wash it off immediately.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	 After that have him sit between your hands flat so that his hand has already been placed on top of the chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	 Then place the base of your palm on the base of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	 Whenever your middle finger reaches that point, mark it with ink.
Deinde igni Cauterium Oliuare: cuius haec est forma.	 Then Cautery of Oliver should be applied whose shape is this one.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	 After that place it on the marked spot slowly with ink so that your hand can be drawn back gently and you remove it.
Deinde leua manum tuam uelociter, et aspicias locum.	 "Firstly, take your knife and put it aside.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	 "After that, if you have already cut off a head or the back of your hand, then take away your knife.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	 "If not, put the knife back and wait for them to show you your bones which I have given you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	 "Then pour something from the sale and place it into water, drink it yourself, put on your head and leave after three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	 "Then pour something from the sale onto your head and remove it after three days until the charcoal is burned away.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	 "After that, take care of yourself with the ointment and apply it often enough to heal.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	 "They said this is better because more pus comes out when the wound is opened and emitted by it.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	 "They said some people do this to the skin up to the mouth and hold a cautery until the bones of the spit are gone.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	 "After that is applied to the wound then it is cured.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	 "Others say that it is necessary to cauterize with a cautery until the end so that there will be no impression of blood in your mouth and the mouth will die as if cut off by a knife or an instrument made for women which are dipped into alpha-betic parum: they also say, when you exhale from this place, you lose hair on the head and it must heal after opening for a long time.
Deinde curetur, donec consolidetur.	 "After that, then it is cured until it becomes solid.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	 "But I do not see two kinds of cauteries universally except among some people based on fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	 "I remove it and it is better with the health of them.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	 "This weakness of the head from a natural solution is continuous and consistent with our experience on other parts of the body especially when it is weak by nature and the species cautery are best and better among us to use them.
¶ De modo cauterizandi capitis in dolore totius capitis.	 To cauterize one's head for the benefit of the entire head
Caput III.	 The third book
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	 Chronic pain affects the entire head when an injury occurs to it; and prolonged this in weakness, is used by the elderly, the disabled, the young, and the middle-aged.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	 And particularly if one has already been cauterized with a cautery, we do not apply anything to him from these; but then consider this.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	 If the head is naturally strong and not weak, but rather has a good constitution; then we cauterize it with another cautery beneath that one.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	 Then we cauterize his head with all the veins of his own head with another cautery, so that no wound shall pass over the skin and an estimate is made of the quantity from the bone which we mentioned earlier.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	 And we cauterize him with a single cautery at the place where that one is mentioned; and it is the site to which he was bound up before, and take your oath on this, and do not disclose his mouth.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	 Weak then was affected by that chronic pain of the head because its cautery is not as strong as those of all heads.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	 And I tell this Cautery at its place; and it must be the Cautery which is used to cauterize the veins of the head, and done gently with a Cautery beneath that one for the middle aged.
Et haec est forma eius.	 This is how he was made
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	 To cauterize the migraine as with the medical procedure or using fire
Caput IIII.	 The fourth book
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	 When pain occurs to part of the head and also extends it to the eye; or when prolonged until it reaches an exhausted state, and is treated with medical substances on the head, and additional care is given to it for its treatment, which I mentioned earlier in the division into stages of exhaustion: then cauterization in him takes place according to two ways.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	 Cauterization with a hot implement is necessary if there's an acute infection, to remove one tooth at the same time and cut off its roots, also amputate both of his limbs from two sides
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	 Once the location of pain is found while holding a needle, let them make that spot underneath where you can catch hold of it
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	 After that, hold him down underneath the oil with a sponge and cure it from there
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	 And if you want to do that using some of the medicines I wrote about in the 12th book on remedies for hemorrhoids.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	 Cauterization with iron is necessary, as well as any other hot implement.
Igni Cauterium, cuius forma haec est.	 The shape of the cautery tool used for this purpose is a cone
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	 The shape of it's called the Claw because its form is like a claw with an eminence in the middle.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	 After that, hold him down on the spot and keep your hand steady: also heat iron gently with a wick and make its quantity as you would give out skin fat, just like his endurance.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	 And take hold of your hand to prevent the artery from being damaged and to stop the bleeding.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	 After that, put him under water with salt and hold down on the spot: later on cure it using oil; after that, cure it gently using an ointment.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	 And if you want to do this for a stroke with the help of a second cautery tool.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	 And when doing so on an artery during a stroke, it's not just an ordinary task.
¶ De modo cauteriezandi in hemicrania antiqua.	 Cauterization for this purpose is different from the one used before.
Caput V.	 The top of V.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	 When you cure a stroke, as for the treatment of that ailment before and regarding the divisions of blood vessels, except in cures; do not forget to cure it: and if you find out from pain lines that are above the spot with the length of your fingers or like this: also hold his hand down until you hit an artery and pull it right up to his mouth.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	 However, it is necessary for you to cut off the continuation of the jaw that moves forward during chewing so as not to obstruct its passage or get stuck in its way and cause a spasm.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	 And this is with caution and care for the flow of blood in arteries that has been cut off.
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	 For the cutting of it (the artery) is frightening for him who did not know what he was doing or was not diligent and experienced enough, so that the surgical procedure with him should be performed first.
Et ego ueniam cum rememoratione regiminis fluxus sanguinis accidentis ex arteria secundum modum suum, et in loco suo huius libri.	 And I am remembering the regulation of blood flow from an artery according to its own way and at its place in this book.
