Praefatio.	 Praiseworthy introduction
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	 And having spoken of this matter many times before with the knowledge and understanding that is needed to do so, people have disagreed among themselves; however for me, I am content with only a few things from their words because of my fear of going on too long.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	 Therefore I will speak about the universal type of dressing that is used for all wounds, regardless of whether there is a wound or no wound; excepting only two types: one where the dressings are cold and without any materials to use them with, and another one where they are dry and without any materials.
In complexione autem calida et sicca cum materia dissenserunt.	 However for the dressing in a hot or dry complexion that disagreed among themselves.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	 Some people said that this type of dressing is appropriate in such cases.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	 Others said the opposite of this and that this dressing is not suitable for burns which are a result of heat or dryness; because the nature of fire is to be hot, therefore when one's body is burned by both heat and dryness he cannot recover with cold dressings as well as dry ones but only with heated and dried.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	 And he who said the opposite of this said that by using this dressing for all cases where it was caused by heat and dryness which affect people's bodies; because when you compare a person's body to its humidity and look at its complexion as if it were fire, the result would be cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	 And I say through his words because of my own experiences in this matter.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	 "However, it is not advisable to enter into this matter unless you have already been trained and practiced the final course of surgery mentioned above, and have acquired knowledge about men's complexions, disposition towards wealth, causes of their accidents, and intervals of time.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	 "There is no fear on the part of other complexions except those with regard to coldness and humidity.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	 "All physicians have come together regarding these matters, but they did not agree on the subject of Cautery being applied to them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	 "The son of a physician understands from the secret care using Cautery with fire and its application over Cautery while burning medicine. Because fire is simple in action, whose effect only occurs to cauterize the part you want: but it does not hurt another member when it's applied together unless there's more pain.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	 "The action of physicians towards cauterizing is directed at this part which extends from the body and perhaps makes it difficult to heal wounds within that member and perhaps cuts off.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	 "Fire due to its subtlety and excellence of substance does not do this unless it's excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	 "We did not understand this through experimentation due to the length of utility and study with art, and post at the top position above the virtue of things; and for that reason, he was excused from giving a long speech.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	 "But if it were not for this book of mine, I would reveal to you the secret and hidden things about fire, which could remove the disposition towards coldness through speech by demonstrating with philosophy.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	 "The son of a physician understands that they disagree on the time when Cautery should be performed and suggest better times for you.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	 "And I tell you that Cautery should be performed at all times; because the injury which occurred due to time being submerged is washed away when applied with Cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	 "When cautery is used to relieve pain caused by necessary pains, with strength and in the presence of festivity; avoiding tardiness because one fears greater harm than that which comes from a delay.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	 "Do not let it enter your mind o sons of men; for unless you understand and remember that a cautery is only given by physicians and their apprentices when the pain being treated has been caused through heat: because once cautery has been used to heal, it cannot be undone always. And after having given it they should proceed and see if indeed it works as expected, otherwise do not expect too much from it.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	 "However, it is also necessary for the cautery to be used together with medicine and its strength, and that of its application; as well as the authority of the master himself: so that there may come a time when its power will be restored after some period according to the condition of the apprentice, or his location, and his own strength. And it is also possible for what has been prepared in him from excess of fluids, which have come into being within him; as well as for what came to him through them, and others like them from their cause - unless its power comes from it.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	 "The small pain of the many fluids and humors is like the cautery on teeth for relieving pain; it's possible then that he does not suffer from this same pain.
Sed illud fit in paucis.	 "However, this happens only rarely.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	 "Another speech is to be made after a cautery has been applied for the last time; this one should follow and clarify that which they intended in him: because they believe it was not a treatment that accompanied medicine nor another done afterwards by a cautery.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	 "However it is contrary to that which they intended and the idea of a cautery being after last medicine: unless when we administer in the ways of treatment some of its own healing power; then later on, after the cautery has been given for all, there comes an end with it.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	 "The ancients said that cautery with gold is better than cautery with iron; they did not say this because of the equality in price or the splendor of their material; but they said it was a better place for cautery.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	 However, this is not absolutely true because I have tried it and found that it does not work on certain bodies without working on others.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	 Cautery with him was better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	 However, when you apply the cauterization with fire to gold, it is not attributed to you, when applying according to quantity than iron because of the brilliance of gold; and when applied on him frostbite, if added above ignition, it will be extinguished by fire, and burned in a mat.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	 Therefore the practitioner was occupied with this for work; and because of it fit cautery with iron near to us or closer place due to rectitude towards the operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	 I myself had ordered this chapter on cautery according to the chapters; and ordered them from the head up to the feet so that those who want it could get what they want out of it.
¶ De modo cauterizandi Caput in commissura coronali.	 How to cauterize the head at the coronal suture
Caput II.	 The second chapter is about cauterizing the head from the coronal suture downward.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	 This cautery affects the control of moisture and coldness above the brain; which two are the causes, and the flow of humor from head to parts of eyes and ears, and sleep, and pain in teeth, and in throat: and universally all kinds of weakness caused by coldness, such as paralysis, sodae, epilepsy, apoplexy, and others similar.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	 The mode of cauterization is such that you should first apply it with an effective solution to the head for three nights or four depending on how much strength and youthfulness and his custom requires.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	 "Then apply a bandage around his head with a turban.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	 Then place him on your lap while you support his body between your hands in the same manner as before when he placed his hand over his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	 "Then place his head on top of one arm with its elbow supported by the other.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	 "As a result of this he will be able to use both hands for signing gestures.
Deinde igni Cauterium Oliuare: cuius haec est forma.	 Then apply the olive oil cautery which has that shape.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	 "Then place him on a marked spot with his right hand free to descend and be gently pulled up by your hand.
Deinde leua manum tuam uelociter, et aspicias locum.	 "Then lift or lower the body according to need while grasping the spot.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	 "If you now wish him to remove his head from the elbow or to lower it onto your forearm.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	 "Otherwise use a stick for support or another implement as needed until the bones are loosened.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	 "Then apply something from a vessel and wash him with water; after that drink his own vomit to avoid the risk of poisoning or death.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	 "Then place a bandage soaked in olive oil over him and remove it from above when the charcoal is consumed.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	 "In that case use unguent with four philters to heal him.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	 They say it is better and more effective for the pus to escape if there's a larger opening because pus needs space.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	 "Some said that cautery should be applied to the skin up to the nose and it held in place with a cautery until the flesh was seared.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	 "After this application you will treat him as before.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	 "Others say that it is necessary to cauterize with a caustic substance until the impression of the wound is made in his nose and then he falls or dies as if by a knife: or use an instrument shaped like an alphabet that women carry, which they apply to the affected part, so that the blood escapes from this place in great quantities.
Deinde curetur, donec consolidetur.	 In order for it to be cured, until it is consolidated
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	 I do not recognize the two species of Cautery except among certain people according to their fear
Et dimittere ipsum, apud me est melius cum salute ipsius.	 It is better for me with this [Cautery] when they are healthy.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	 The head becomes weak due to the continuous solution of its natural state. Similarly, we have tested it on other members and especially when the head is naturally weak; therefore, Cautery species are more effective for healing and better than others, and they should be used with caution in order to operate with them in a healthy condition.
¶ De modo cauterizandi capitis in dolore totius capitis.	 Cautery of the head is done for pain throughout the whole head
Caput III.	 Head IV.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	 When a chronic pain throughout the entire head occurs and it is prolonged by an illness, and you use remedies with care for them [the sick], as well as for your wife or other relatives [who are ill].
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	 And especially if Cautery has already been done with one Cautery species that we have mentioned and nothing else is applied to it at this time, consider
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	 If the head is naturally strong and not weak, but it has become cold due to external factors; then Cautery with another Cautery species should be done for it.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	 After Cautery has been done on every hair of the head's Cautery species, it should not penetrate through the skin and expose the quantity as we have mentioned
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	 Cautery should be done on one Cautery species at the place that is called "yours" and it is a location where you put your hand in this case; keep your mouth closed (not to expose it).
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	 The sick person became ill due to this chronic pain and different from the Cautery of all heads' pains.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	 And I say that Cautery should be done at this place and it is a Cautery species that should Cautery the hair of the head's Cautery and Cautery lightly its location on the middle of the head.
Et haec est forma eius.	 This is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	 Cautery may be used for headaches both with or without medication.
Caput IIII.	 Section 2
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	 When the head hurts on one side, or extends to the eye and is relieved with medicines moistening it, and further care is administered, as I described in the divisions of medicine, without adding that which was done completely: then cautery is applied according to two ways: either with an acute burning medicine, or with a hot iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	 Cautery with an acute burning medicine is as follows: apply one tooth to each side of it, and ignite both sides by fire, and remove the extremities from its two ends.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	 Then bind the place where the pain is with a ligature on one side only until it makes into that place under the knife, so that the nose may be cut there.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	 Therefore bind him there under the knife until it is hidden: then tie a knot on top of him with a good cord and let go after twelve hours or three days depending on how much he needs, and take out that which was left over from two or three days. Afterwards, put on top of him a piece submerged in butter until the place becomes pus-like: afterwards care for it with unguent to heal completely.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	 And if you want this done using some burning medicines as I described them in the twelfth book about medicine for doctors.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	 Cautery on him with an iron is according to that method.
Igni Cauterium, cuius forma haec est.	 The cautery, whose shape this is
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	 It is called Claudian because its form of the head is like that of a claw, where there is some quality and importance.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	 Then put him over the place and hold your hand tightly: quickly take iron from one side with haste until you have removed as much as is in the skin according to its thickness as I described earlier.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	 "Take your hand and place it gently upon the artery below which is lower; if there is any flow of blood.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	 Afterwards, apply the same hand to salt water and place it on the spot where you have applied it before; let it remain there for three days. Then apply your hand with butter again; after that, treat it with unguent until it is completely healed.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	 And if the eye, burn this artery gently and carefully using the second fire of Cautery.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	 If an incision is made into that artery within this eye, do not use a different kind of cautery.
¶ De modo cauteriezandi in hemicrania antiqua.	 By the use of Cautery on the other side
Caput V.	 The head V.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	 When you are treating the eye and have done what we described in the preceding care (and that which we mentioned regarding incisions), and not performed healing: And see if there is no relief due to it; because as a result of Cautery with medicine, or with fire, then let him use Cautery's cautery until all pain signs over the place are gone, whose length is equal to the middle finger, or rather that one. Then remove your hand gently, and keep it until you cut the artery close to the mouth.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	 However, it is necessary for you to place the hand on the side of the jaw which moves towards chewing so that its length does not extend too far away and may not cause a spasm; or if both move equally, then it must be as before.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	 This is on the safety and caution regarding the artery that was cut.
