Praefatio.	 Preface
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	 Therefore, with care and protection, and with the help of the sick, you will make a better path towards salvation and a worthy succession; and dismiss the great terrors of healing, for it may make your minds tremble at what it does to you, so that there is hope from above in faith and comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	 However, this will be more advantageous for your glory, and higher in the world itself, and ultimately towards the number of you all.
Galenus enim iam dixit in quibusdam suis admonitionibus.	 Galen has already spoken in some of his teachings.
Non medicetis aegritudinem malam: ne nominemini medici mali.	 Do not practice fear during the night, for you are physicians by profession.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	 I am divided into three parts of this Treatise according to three chapters.
Capitulum primum.	 The first chapter
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	 The first chapter is about caution with fire and caution with acute medicine; it covers the head to feet of the body, its instruments, and all that is necessary for surgery.
Capitulum secundum.	 The second chapter
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	 The second chapter is about section and perforation; it covers phlebotomy and suction; and wounds; extraction of arrows; and the like; all chapters ordered by the forms of instruments.
Capitulum tertium.	 The third chapter
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	 The third chapter is about restoration; it covers dislocations and twists; and the like; chapters ordered by body parts from head to feet with forms of instruments.
Soli Deo Gloria.	 To God be glory alone.
Liber Chirurgici Albucasis.	 "Book of Surgery
Pars I.	 Part One
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	 About the Opening of Flesh and Closing of Skin; To Which It Is Applied And When, Whether With Iron or Gold
Caput I.	 First Part
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	 Before We Begin the Operation with Him, It Is Necessary That You Say The Qualities of His Skin and Those Of The Scalp: And In What Form He Appears
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	 I therefore declare that the speech about the qualities of the skin for cautery and his wounds is a long one, subtle, wise, and hidden secrets are kept there.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	 I have already spoken of the many wise men and their dissenting opinions there; And to me it seems sufficient only from their speeches, fearing length.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	 I therefore declare that cautery is universally applied to all types of skin which are with or without material; excepting the two types which are hot and dry respectively.
In complexione autem calida et sicca cum materia dissenserunt.	 In contrast, in the hot and dry skins the dissenting opinions occurred together.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	 Some have declared that cautery is appropriate for it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	 Others have declared the opposite, that cautery is not applicable to those with burns, whether hot or dry; because nature's heat lies in warmth, and therefore it cannot be treated by burning warm and dry things together if they are both hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	 He then declared the opposite, that cautery can be applied to all burns which are cold and dry, because when you compare a human body with its moisture, it appears as if there is frost on him.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	 And I say by way of an experiment that the opposite of what he said has already been proven to me several times.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	 Nevertheless do not think it right that anyone should attempt to apply this without having already tried and practiced the last chapter on cautery, and knowing the diversity of skin types among men, their disposition towards burns themselves, and the causes of them all, as well as accidents which have occurred by them and time lapses.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	 "The other skin types have no fear of you.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	 "All doctors were present for them, and did not disagree with Cautious when he was among them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	 "The sons of Cautious know that from secret curations through Cautious with fire and good fortune to him is over Cautious when a medical treatment is combined. Because the action of fire is simple, whose action did not succeed unless cauterized on the part: and it does not hurt another member connected to her by connecting with caution.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	 "The action of the medical instruments was applied to that which extends from parts; and perhaps it does make the cutting difficult on the member healing, or perhaps fails.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	 "Fire because of its subtlety and substance goodness does not do that unless there is too much.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	 "We were unaware of that through an experiment because of the length of servitude and study with art, and position over the rights of things.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	 "And if it were not, because of this book I do not allow you to secret hidden in fire and quality of its operation in the expulsion bodies themselves, by which he expelled the fear of speech through philosophical demonstration, agreed upon your mind.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	 "The sons of Cautious know that at the time when it was to be done Cautious and better times for you.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	 "I tell that Cautious was done at all times; therefore, the accident because of the time falls down into injury when it is pulled by Cautious.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	 "Especially if Cautious is for the pain from necessary suffering forces, festivals that do not tolerate tardiness. Therefore, he fears with them, what did harm to malice is greater than the usual injury because of the time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	 "And not in the minds of your sons that it did not think unless only a fool and a doctor's foolishness know that it is not returned for ever: And place it as a consequence of it, things are not like they thought; because Cautious was not, unless there is a place to change the complexion, and spread the humidities which are caused, where the pains do occur.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	 However the cautery is necessary for medicine when its heat (or warmth) is applied to a patient's body and the doctor has confidence in his own skill as an operator, and if it causes no harm or injury to the master of the house; but if there is any risk that it might cause harm, then this should be avoided.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	 The subtility of the cautery applied to the extremities (or limbs) with excessive moisture and humidity, like a dentist's probe for pain relief, may be used when it does not cause harm or distress to that person.
Sed illud fit in paucis.	 However, this should only happen if there are few of them.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	 The second sentence is incomplete and seems to be missing a part of the phrase. Can you provide the complete sentence or help me fill in the gap?
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	 The second sentence should be corrected to say "the intent when we administer methods of curing with a cautery and don't confer them on the medicine; then we apply the cautery in the end of the matter, and grant it. Then from that moment, the cautery applied by the doctor is no longer needed according to the intention as understood by the public or doctors.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	 In the past, it was said that cautery with gold is better than cautery with iron; and they did not say this except due to the equality of the value (or worth) of the substance itself, or its sublimity/excellence. And they also said that the place for cautery should never be made.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	 However, this is not absolutely true because I have already tried it and found that cautery does not do the same thing to all bodies or none of them.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	 And when combined with gold, it is beneficial and better than iron as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	 However, if you use iron for cautery in fire compared to gold, it is not given to you when the heat of the fire is equal due to its brightness or warmth; and also when it is brought near frost, ice, or added onto the fire above it, it makes water, quenches the fire, and extinguishes itself on wood.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	 "The artist is lost from that occupation; and because of this there arises a cautery with iron nearby us, at the place where we are located, for treatment.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	 "I have already ordered this Cautery's book according to the rules; and I ordered that from head to feet it be used, so that one seeking for what is missing may find it in him.
¶ De modo cauterizandi Caput in commissura coronali.	 "The Cautery of the head in its crown.
Caput II.	 The Cautery of the second part of the head (i.e., the ear).
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	 "Here is the Cautery which extends over head and brain: these two causes are dryness and coldness; from the ear to eye sockets and auricle, and sleep, and tooth and throat pains; and universally all agitations caused by coldness, such as paralysis, and dryness, epilepsy, apoplexy.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	 "The Cautery's method is as follows: firstly to remove the pain by using a soothing remedy at once with the first application of water and vinegar three times in one night or four, according to the strength of the patient and his age and custom.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	 "Then order him to rub it [the Cautery] on his head with a towel.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	 "After that, put your hands together in such a way as to place them both over the top of his head where they have been placed.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	 "Then put your thumb on the middle of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	 "So that when you have pressed it [the Cautery] with all your force to this point, show him the other signs now.
Deinde igni Cauterium Oliuare: cuius haec est forma.	 "Then ignite the Cautery oil, which is its form.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	 "Then place it on that spot with all your force; first, descending and pressing downward, until you are ready to release it.
Deinde leua manum tuam uelociter, et aspicias locum.	 "Afterwards, loosen the hand of yours or quickly let go from there.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	 "If you now find out from the bone count of heads or hands separately, then take your own hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	 "If not, take the iron from you yourself or if someone else strikes your bones, until they show you which ones I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	 "Then put something from the sale or that in water and drink it yourself and leave it at your place, and throw away what I told you three times.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	 "Then put on the drink yourself with butter and leave it at your place until the charcoal is burned away.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	 "And then cure that with unguent tetra-pharmacy, as long as you want.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	 They said, because the more wounds are opened up and exposed to the air, it emits pus; that is why it's better and more beneficial.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	 And some of them said that the skin should be cautorized up to the nose; and they would hold on until something was burned in their nostrils.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	 "Then it was burned after what had been removed from a bone, then it was cured.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	 "And others said that it should be cautorized up to the end until an impression was made in their nose like a letter of the alphabet so they could die, as if by formic acid; or with something infused with alpha-beta, and they would spit out their wounds from this place after long time.
Deinde curetur, donec consolidetur.	 "And then it was cured until consolidated.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	 "But to me, there are no two types of cautery except those given by some people according to the way I fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	 "And leave it at that is better for my health with his blessings.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	 "The head became weak due to the natural continuous solution of his body; just as we were tested on other parts and especially when the head was frail by nature; and indeed the Cautery was first among all cures is more helpful for me, so it is used: thus I use it in order that its application may be beneficial.
¶ De modo cauterizandi capitis in dolore totius capitis.	 "Healing a person's head with cautery brings about pain for the entire head.
Caput III.	 The third part of the body, i.e., the head
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	 When a person's head is afflicted with pain that lasts for all the head and becomes constant, so that they are weakened (i.e., suffering from the illness), they use ointments, oils, and vinegar
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	 If someone has already been healed with cautery on one of their body parts, we should not apply anything from that part to them at this point
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	 If a person's head is strong by nature and not weak or infirm, do not cauterize it with another cautery at that time
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	 Then cauterize the entire head of the person with that cautery and apply a bandage (discooperiatur) made from skin to cover up any cuts that may have occurred
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	 And cauterize the head with that cautery on a place where they say it is located and this is considered to be the entranceway of the body (uas): and you should not cover your mouth in that place.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	 The person becomes weak because of this pain for the head of all of them.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	 And I tell you this Cautery here (uas): it should be the cautery with which they cauterize their ears and eyebrows lightly, so that they may cauterize in the middle of the head.
Et haec est forma eius.	 This is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	 Healing with cautery for a migraine or headache, just as much when using medicine to treat it.
Caput IIII.	 The fourth part of the body, i.e., the ears and eyebrows
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	 When the pain occurs on one of the parts of the head and continues down to the eye or when a headache extends that far, they apply a treatment with medicines along with it (mundificantibus caput), and administer another cure as I mentioned in the division about illness, so do not cover them both: then cauterization is done according to two methods.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	 Cautery with a hot metal is used to burn away the tooth of one patient and remove scales from him, as well as cut off his limbs at two points
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	 Then, after he has removed the scab on that spot with a lancet and sucked out blood from it, let him put a piece of lint there to soak up any remaining blood.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	 Next, take him to that spot and bind it up with a bandage, until the wound is healed; then treat him with ointment as much as for twelve hours. Afterwards, lay him on his back in butter, so that the wound may be covered: afterwards, heal him with unguent and oil until he is cured.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	 And if you happen to have some medicines that are hot or burning, as I mentioned in the twelfth book of mine, for treating wounds by the Arabs
Cauterizatio uero eius cum ferro, est secundum hunc modum.	 The cautery is used with a metal tool.
Igni Cauterium, cuius forma haec est.	 The cautery looks like this.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	 And it is called Claw's because its shape resembles the claw of a falcon; there are certain cuts on it and at its center lies an outstanding prominence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	 Afterwards put it on the spot and bind your hand; and with a little bit of iron, as much as is needed to cut through the skin, let him perform his task.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	 Afterwards take away your hand so that no artery remains below it and there is free flow of blood.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	 Afterwards pour the bandage on to water and put it there; afterwards lay him on his back with butter until he is healed; then treat him with unguent and oil until he is cured.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	 And if you have a second sharp tool called the second claw of Cautery for cutting off limbs.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	 And cauterize from making an incision into this wound without touching any nearby parts.
¶ De modo cauteriezandi in hemicrania antiqua.	 In the old way of cauterization for wounds.
Caput V.	 The Fifth Book
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	 When you are treating a hemiplegia (stroke), as we discussed in the preceding care and division of blood vessels, do not restore the treatment; instead look for a cautery to apply fire until the signs of pain over the place with the length of your fingers or like this: hold your hand by one side and strike it gently up to the artery, stopping when you feel burning.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	 However, it is necessary for you to also cauterize the continuation of the jaw, which may be affected during chewing and prevent its opening or movement in order not to fall into spasm.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	 And this is also important for ensuring safety regarding the arteries' blood flow which were cut off
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	 For it is from the cutting of them that there is fear and especially to him who did not know what was done or was not diligent nor an expert; therefore, he should remove the operation with him first.
Et ego ueniam cum rememoratione regiminis fluxus sanguinis accidentis ex arteria secundum modum suum, et in loco suo huius libri.	 And I am using this reminder of procedures and their management of blood flow accidents from the second artery as it is described in its own place within this book.
