Praefatio.	Prefatory.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And another physician saw that a certain Duke of our land had taken a medicine: and it happened to the black eunuch who was with him that he fractured his leg near the ankle: and the physician, with his ignorance, bound the fracture with nails and pins, and did not allow the wound to drain.
Deinde absoluit eum secundum desyderia sua.	And he died according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then he dismissed him after a few days and commanded him not to move the ligament: and he stood thus until the swelling of his leg was gone, and his foot and leg together, and he came to his end
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was called to him again: and I set about resolving the ligament: and there was peace, and he was freed from his pains
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	But indeed the corruption was confirmed in the limb: and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore the corruption ceased to advance in the limb until it died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And another physician saw that he perforated a cancerous swelling: and it ulcerated after a few days, until the malignancy of the disease increased with the master himself
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	When the cancer is pure and arises from melancholic humour, it must not be held together with iron throughout, except in the member which can tolerate it, in order that the whole of it may be excised.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And for this reason, my son, you must know that an operation is divided into two parts: namely, the operation which is associated with health, and the operation which carries the risk in various conditions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	I am excited about all the places in this book where the operation is mentioned which carries terror and fear.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore you must be careful about this, and fear it: so that they do not find pride in speaking falsely, and be dishonest
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Receive therefore measure with humility and protection, and the sick with ease and firmness, and use the better way that brings glory to God for the healing and praiseworthy succession: and send away the terrifying diseases that are difficult to cure: and take away the spirits of those who make you fear, so that there should appear no hesitation in your faith and comfort for you
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For in this way remains the measure of your glory, and the sublimation in this world, and afterwards to the quantity of your souls
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has said in some of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	You do not heal a bad disease: do not call a bad doctor by name
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	I have however divided this treatise into three chapters.
Capitulum primum.	First chapter.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Of cautery with fire, and cautery with acute medicine, a chapter, and arranged from the head to the feet, and forms of instruments, and materials for cautery: and everything that is necessary for the operation.
Capitulum secundum.	Second Chapter.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	On section and perforation, phlebotomy and packing, wounds: and the extraction of arrows, and things of that sort: and the whole chapter, arranged in the form of instruments.
Capitulum tertium.	Third Chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration, and dislocation, and the treatment of twisting, and things of that sort: the whole chapter, arranged from the head to the feet, and the form of instruments.
Soli Deo Gloria.	Glory be to God.
Liber Chirurgici Albucasis.	The Book of Surgery by Albucasis.
Pars I.	Part I.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	On the application of a dressing, and the use of the cautery: and on what complexion it is suitable, and when: and whether with iron or gold.
Caput I.	Chapter I
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before anything else that we remember of an operation, it is necessary to say what is the quality of the dressings and instruments: and in what complexion it should be shown
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore, that the discourse concerning the quality of the cautery dressing and instrument is a profound, subtle, scientific, and occult discourse.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	And it has been spoken by many learned men in this matter, and they have disagreed among themselves: and indeed little is sufficient from their discourses, fearing the prolongation of the discourse.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore, that the cautery is universal in all complexion, which is with matter and without matter: except for two complexions, which are the hot complexion without matter, and the dry complexion without matter
In complexione autem calida et sicca cum materia dissenserunt.	In the hot and dry complexion with matter they disagree among themselves.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some indeed say that the cautery is useful in these.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	Others have also said that Cauterium is not suitable for an ailment caused by heat and dryness, because the nature of fire is heat: and it is inappropriate to cure a heat and dry ailment with heat and dryness.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	Others have also said that Cauterium causes injury in all heat and dry ailments which occur in the bodies of men: for when you compare the body of a man with fire, and moisten it, you find the body of a man to be cold
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	I too have heard from experience that this is the case.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	It is true that one must not proceed without first having learned, practiced in the last exercise of the Cauterium chapter, recognized the diversity of human complexions, and become acquainted with the causes and effects of ailments, and their times
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	The rest, however, of complexions is not dangerous: especially in cold and wet ailments.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	I myself have seen all physicians agree about this: and they do not refrain from using Cauterium in these ailments.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And behold, the sons have said: The secret of treatment by Cauterium with fire is better than the secret of treatment with burning medicine: for fire is simple, whose action does not remain except on the member which is cauterized: and it does not harm any other connected member except for a slight burn.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	Burning medicine, however, has an action that extends beyond the member which is being cauterized: and perhaps causes difficulty in the healing of the ailment in the member itself, and perhaps brings about death.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire, however, on account of its subtlety and the goodness of its substance, does not do this, except in excess.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	I am now convinced by experience, through the length of my service and study with art, and the position over truth of things: and because of this, I am excused from the length of the oration.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if this is not sufficient, since it is not permitted for this book of mine, I will declare a secret hidden in fire, and the quality of its operation in the bodies expelled by it, which expels diseases with philosophical demonstration, agreeable to the thoughts of the wise.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know ye, my sons, that they themselves dissent in the time when it becomes necessary to make the cautery, and they advise me to make a better time of your work.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	I say that the cautery is suitable for all times: for indeed the document grows dull through the passage of time, which is attracted by the cautery.</start_of_turn>
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And above all, if the cautery is for necessary and severe pains, which are urgent, which do not tolerate delay: for indeed they fear from the fire that arises from the evil which increases more than the slight dullness which the document suffers through the passage of time.</start_of_turn>
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And let it not be thought by anyone, my sons, or any doctor, that because of this I do not esteem the learned and skilled physicians, for indeed the sickness which is cured by the cautery is not always the same: and they put this in consequence, and it is not so as they think: for the cautery is not, except in the place of medicine, which alters the complexion and dries up humours which are the causes of the disease.</start_of_turn
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	But indeed the cautery surpasses medicine by the swiftness of its action, the excellence of its operation, and the extent of its mastery: and it is possible that the disease will vanish at some later time according to the complexion of the patient, the location of the disease, and the excellence of the treatment: and that which is prepared in his body from the collection of superfluous humours in him: and that which proceeds from the disease itself in its acquisition from foods and like things, except in the case of those diseases in which the cautery is administered.</start_of_turn
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	Acute pain in a limb with few superficial wounds, and moisture, like a tooth cautery due to pain, is possible, lest it return in that place with pain.
Sed illud fit in paucis.	But this is done in few cases.</start_of_turn>
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	Indeed, the word often returns, for the cautery is the most recent of medicine. It is the right word: not for what they wish for it, for they believe that there is no cure that can be compared with medicine, neither with anything after the cautery.</start_of_turn>
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	The thing, however, is contrary to that. For the intention of the cautery being the most recent of medicine is not, except when we employ other modes of treatment in some ailment, and these do not confer that healing: we then apply the cautery at the end of everything, and that does confer. From that time forward, because the cautery is the most recent of medicine, not according to the intention which the vulgar people and many learned physicians understand.</start_of_turn>
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	The ancients said that the cautery with gold is better than with iron: and they did not say that except because of the equality of the gold and the fineness of its substance. And they said that it does not form pus at the place of the cautery.</start_of_turn>
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But this is not absolutely true. For I have seen that it does not cause this in some bodies without other things.</start_of_turn>
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And the cautery with the instrument itself is good, and better than with iron, as they said.</start_of_turn
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	But when you apply the cautery with fire from gold, you must not declare that it has been kindled according to the quantity you wish, because of the redness of the gold: and when it approaches the cold and you add to it the fire from below, it liquefies in the fire, and turns into plates.</start_of_turn
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Why does the artificer depart from this work in pursuit of his business? And because of this, Cauterium is made with iron among us more rapid and proximate to the operation, from rectitude to the work.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	I also command this chapter on Cauterium to be read, following the chapters: and I command these things from the head to the feet: so that they may satisfy anyone who seeks anything from this.
¶ De modo cauterizandi Caput in commissura coronali.	In the manner of cauterizing the head in the coronal suture
Caput II.	Chapter 2: On the cauterization of the head in the coronal suture
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Here is cauterization is made to the lord of humidity and cold over the brain: which are two causes of sweat, and the multitude of flow of humors from the head to the parts of the eyes and ears, and the multitude of sleep, and toothache, and throat pain: and in general all ailments which arise from cold, such as paralysis, and sweat, and seizures, and apoplexy, and things similar to these from ailments.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is as follows: when the patient is most feverish: when he is evacuated at first with a physician who gives a medicinal salve to the head for three nights, or four, according to the nature of the patient, his age, and his habits.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then command him to make a mark on his head with a needle.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands square, so that you can put your hands on his chest
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm on the root of his nose between his eyes
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever your middle finger reaches, that is the place to make the burn with the cautery
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then ignite Cauterium with olive oil: thus is its form
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it upon the marked place with an incision, and let it descend gradually, so that your hand may withdraw it slowly.
Deinde leua manum tuam uelociter, et aspicias locum.	Then draw out your hand quickly and look at the place
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see any amount of bone or herb remaining, then draw out your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat drawing out your hand with the instrument, or with another one if it is cold: until you see the bones, as I have said to you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water, and drink from it, and put it upon the place: and leave it for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put upon it butter soaked in oil, and leave the bandage above the place until the eschar is consumed by fire.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for it with unguents of four herbs, until it is healed
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	I have said that the more the wound remains open, the more pus it emits: which is better and more advantageous
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some people say that the skin should be cauterized until the bone is reached: and hold the Cauterium until something of the thickness of an os is burnt.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then withdraw after that which has been burned from the bone, and then care for it
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And some say that it is necessary that the Cauterium should remain until the very end, until it has left an imprint in the bone like a mark of the alphabet, so that the bone is fractured: or that a woman should put an instrument infused with a small letter into the wound: and they say that it should be withdrawn when the vapor of the head escapes from this place for a long time
Deinde curetur, donec consolidetur.	Then he cares until consolidated.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	Neither of two kinds of cautery is used in all men, except in some in whom it is feared according to their temperaments.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And dismiss it; it is better with me for the health of the patient
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	The head weakens from the continuity of its natural solution: as we have witnessed in the rest of the limbs: and especially when the head of the patient is weak by nature: for the first kind of cautery is more safe and better with me, and this is what is useful: to work with it for the health of the patient.
¶ De modo cauterizandi capitis in dolore totius capitis.	In the manner of cauterizing the head in the pain of the whole head.
Caput III.	Head Chapter III.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When in the whole head there occurs a chronic pain that lasts in the patient, and it is accompanied by fever, and swelling, and blisters, and oils, and other things are used for it
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized once with the cautery which we mentioned, and nothing more is added to it: then consider it
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of the patient is strong in creation by nature, and is not weak, and if there is inflammation: then cauterize with another cautery under that little bit
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize it over all the hairs of the head with the cautery, so that it does not penetrate the skin, and uncover only the quantity of bone that we have mentioned
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize it once with the cautery in the nape of the neck of the head, in the place which is called the uas: and this is the place where the marrow is placed: and raise the mat of hair in this, and do not uncover the bone
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	The sick man finds it on account of that pain which he suffers, and diverse from the rest of the pains of the head.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I say that this Cauterium is in its place: and it is necessary that it be Cauterium, with which the horns of the head and its occiput are cauterized, and the middle part of the head is cauterized more finely
Et haec est forma eius.	This is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	As for the method of cauterization in hemicrania, both with drugs and with the instrument.
Caput IIII.	Chapter III
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When it happens in the part of the head that there is pain and heat, or that the pain extends to the eye, and it is evacuated with medicines that soothe the head, and the rest of the treatment is administered as I have said in the discussion of diseases, and it does not suffice for it: then cauterization is done in two ways: either with acute burning medicine or with an iron.</start_of_turn>
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	But as for cauterization with acute burning medicine, that is, that you take a tooth of the other side and burn the surface of the cauterization, and cut off its extremities from both sides.</start_of_turn
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then cut off the place of pain in time with a wide vein cut, until there is in that place under the skin, where the tooth is caught.</start_of_turn
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Introduce it into that place under the skin, until it is hidden: then bind up above it with a bandage of constriction, and leave it for fifteen hours, then take it out, and wash away the pus. Afterwards put over it a soaked cushion in butter, until the place has healed. Then care for it with ointment until it is healed.</start_of_turn>
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if anyone wishes to do this with some of the physicians who burn [medicines], as I wrote in the twelfth tractate, on Physicians who endure.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	Burning with iron is indeed done in this way.</start_of_turn>
Igni Cauterium, cuius forma haec est.	The iron is ignited in this fashion.</start_of_turn>
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called Clavius: because its shape is like the head of a key, in which there is some curvature, and in the middle of it there is a small protrusion.</start_of_turn
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it over the place and hold your hand: and gradually withdraw the iron with speed: and let the quantity which endures from the thickness of the skin be as much as half of it.</start_of_turn
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And lift your hand, so that the artery beneath does not burn, and blood flow does not occur.</start_of_turn
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak the wound in salt water, and place over the place, and leave it for three days: then place the wound with butter: afterwards care with ointment until it has healed.</start_of_turn>
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if necessary, burn this hemibranium with the second extremity of the knife of Cautery.</start_of_turn
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	Burn from the incision of the artery in this half-brain, not in the old way.</start_of_turn
¶ De modo cauteriezandi in hemicrania antiqua.	In the old way of cautery in the half-brain.</start_of_turn
Caput V.	The head of V.</start_of_turn
