Praefatio.	Prefatory Note.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And behold, another physician who has opened up a cancerous tumor: and it has ulcerated after days, until its malice has been increased with its master himself
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	For when a cancer is pure of melancholic humor, then it does not suffice to contend with it with all one’s might, except in the limb where it can be excised entirely
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And therefore, my son, you must know that an operation is divided into two parts: namely, the operation which is associated with health: and the operation which has peril in many situations
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have been instructed in all the places of this book concerning the operation in which there is fear and trembling
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore, you must be cautious with this, and be humble: so that they do not find fault with you for speaking too boldly, and for being dishonest.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Accept therefore measure with humility and protection, and the sick with facility and firmness, and use better methods which bring greater glory to God for the healing of souls and the praise of God: and banish from you terrible anxieties which bring fear to your soul, so that your faith and your comfort may be strengthened in you
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For truly, there remains in this world a greater glory to God, and a sublimity, and a great reward in the future for your souls.
Galenus enim iam dixit in quibusdam suis admonitionibus.	Indeed, Galen has said in some of his instructions: "Medicus qui non operatur, operatur.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not be a physician of sickness: do not be called a physician of evil.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	I am therefore divided this treatise into three Chapters.
Capitulum primum.	Chapter One.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Of Cautery with fire, and Cautery with acute medicine, Chapter, and arranged from the head to the feet, and concerning the forms of instruments, and materials for Cautery: and all that is necessary for an operation. ¶
Capitulum secundum.	Chapter Two
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Of incision and perforation, phlebotomy and injections, and wounds: and the extraction of arrows, and things of the like: and the whole Chapter, arranged concerning the forms of instruments. ¶
Capitulum tertium.	Chapter Three.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration, and dislocation, and treatment of torsion, and like these: the head of the capital is ordered from the head to the feet, and the form of instruments.
Soli Deo Gloria.	Glory be to God.
Liber Chirurgici Albucasis.	Book of Surgery by Albucasis.
Pars I.	Part I
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	On the Application of the Cautery, and the Dressing of Wounds: and in what complexions it is suitable, and when: and whether with iron or gold.
Caput I.	Chapter I
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before we speak of any operation, we must mention the quality of the instruments and dressings which are to be used: and in what complexions they should be used
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say, that the discourse concerning the quality of the Cautery, and its dressing, is a lengthy, subtle, scientific, and secret discourse.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	And many wise men have spoken of this, and they have differed in their opinions: and indeed little will suffice of their discourses, fearing the length of the speech
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say, that the Cautery is useful in every complexion, whether with material or without material: except for two complexions, which are the hot complexion without material, and the dry complexion without material
In complexione autem calida et sicca cum materia dissenserunt.	In the hot and dry complexion with material they disagree.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some indeed say that the Cautery is harmful in these
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others say the opposite, that is, that the Cautery is not suitable for scaldings, which are caused by heat and dryness: for the nature of fire is heat: and it is inappropriate to heal a burning with heat and dryness, with heat and dryness
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he said he who says the contrary: that with the Cauterium, the [substance] is an application in every hot and dry ailment which occurs in the bodies of men: for when you compare the body of a man and moisten it, to the nature of fire, you find the body of a man cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I myself have observed in experience that this is true.</start_of_turn>
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	It is not necessary to come before this, unless one has been trained in the last exercise of the Cauterium and has learned the diversity of the temperaments of men, and the causes and accidents of ailments, and the time of their occurrence.</start_of_turn>
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	From the rest, however, there is no fear: especially in cold and wet ailments.</start_of_turn
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For I have heard that all physicians agree concerning this: and they do not dissent from the use of the Cauterium in these.</start_of_turn>
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know this, sons, that from the secret of the treatment with Cauterium with fire, and the benefit of the Cauterium with burning medicine, is that fire is simple, whose action does not persist, except on the part which is cauterized: and it does no harm to any other part connected to it, except for a slight wound.</start_of_turn
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	Burning medicine, however, has an action that extends beyond the part that is cauterized: and perhaps it causes an aggravation of the pain in the member that is sick, and perhaps even death.</start_of_turn
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire, however, because of its subtlety and the excellence of its substance, does not cause this, except in excess.</start_of_turn
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	I myself have learned this through experience, by the length of my service and my study with the art, and by the position of truth in things: and for this reason I make excuse for the length of this discourse.</start_of_turn
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it is not [permitted], because it is not lawful for this book of mine, I shall disclose to you a hidden secret in fire, and the quality of its operation in the bodies of its expulsion, which expels ailments by philosophical demonstration, agreeable to the minds of the wise.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	Know that even you dissenters of this age agree in the time when it is proper to make a cauterization, and that you prefer a better time for the patient.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	I say also that a cauterization is expedient at all times: for in every case the document becomes submerged in moisture as time passes, which is attracted by the cauterization
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	Above all, if the cauterization is for painful and necessary evils, strong, urgent, which do not tolerate delay: for they fear the evil which arises from the delay, which is greater than the slight damage done by the document in the course of time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	Do not let it be thought by the minds of the wise or you, my son, that because a cauterization does not always produce immediate results, it is therefore useless: for it alters the complexion and expels humors which are the cause of ailments.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	Truly, a cauterization surpasses medicine in speed of action, in the excellence of its operation, and in its sovereignty: and it is possible that a disease will vanish at some later time according to the complexion of the patient, and the location of the disease, and the excellence of the operation: and that which is prepared in the body from the collection of superfluous humors in that place, and from the like which are exhaled from the cautery itself, except in the case of an ailment in which the cauterization is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A slight ailment in a limb with little excess of humors, and moisture, like the cauterization of a tooth for pain, and the like of it, is possible that it will not return in this way after the pain has vanished.
Sed illud fit in paucis.	But that is done in few.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	However, the matter is in few.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But that is done in few.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	But that is done in few
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But that is done in few
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	But that is done in few
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	But that is done in few
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	But that is done in few
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	But that is done in few
¶ De modo cauterizandi Caput in commissura coronali.	But that is done in few
Caput II.	But that is done in few
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	But that is done in few
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is as follows: the diseased part is evacuated initially with the physician using a solution which softens the head for three nights, or four as required by the nature of the disease, its age, and its habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then command him to make a mark on the head with a needle.</start_of_turn>
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands, so that you can place your hands over his head.</start_of_turn
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm over the root of his nose between his eyes.</start_of_turn
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever the middle finger of your hand rests, that is the place to make the burn.</start_of_turn>
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then apply the Cauterium Olive: thus it is formed.</start_of_turn
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it over the marked place with the burn, with a gradual downward movement, until your hand is relaxed, and then withdraw it.</start_of_turn
Deinde leua manum tuam uelociter, et aspicias locum.	Then lift your hand quickly and look at the place.</start_of_turn
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see that the burn has reached the quantity of the head's hair or the quantity of herbs, then lift your hand.</start_of_turn>
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat the process with the iron alone, or with something else if it is cold: until you see the bone, as I have told you.</start_of_turn
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take something from salt, dissolve it in water, and drink it in this way: and apply it over the place: and leave it for three days.</start_of_turn
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put on it a buttered bandage and remove the burn from the place, until the eschar is consumed by fire.</start_of_turn
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for it with four unguents until it is healed.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	The more the wound remains open, the more pus it emits. It is better and more beneficial to drain it
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	Some people say that the skin should be cauterized until the bone is exposed: and let the Cauterium be retained until some degree of thickness of the bone is scorched
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then the wound is drained after that which has been dusted from the bone, and then it is cared for.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	Others say that the cautery should be continued until it leaves an imprint in the bone, so that the bone breaks, which is like the shape of a chisel: or the instrument which the women put inside the small letter A: and they say that from this place there escapes vapor of the head, and the wound is closed for a long time.
Deinde curetur, donec consolidetur.	Then it is cared for until it is consolidated
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	I do not know of two kinds of Cautery that are absolutely harmless in all people, except for some who are timid in this matter.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And let me say that it is better for me to give up on this, for the safety of my own health
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	The head is weakened from the cessation of its natural motion: as we have testified in the rest of the limbs: and especially when the head is weak by nature: and the first kind of Cautery is more harmless and better for me in health, and more effective. Work therefore with this for the sake of health
¶ De modo cauterizandi capitis in dolore totius capitis.	In the case of cautering the head for the whole head.
Caput III.	Head section III.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When there is chronic pain in the whole head: and it persists in the sick person, and when it is accompanied by fever, boils, carbuncles, oil and application of plaster
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	If, therefore, it has been cauterized with one cautery, as we have mentioned, and nothing else is applied to it: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	If the head of the patient is strong in natural formation and is not feeble, and if it suffers from intense cold: then cauterize with another cautery under the first.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize the very surface of the whole head with another cautery, without piercing the skin, and uncover the quantity of bone which we have mentioned
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize the head with one cautery at the back of the head, in the place which is called the uas: and this is the place where the marrow is placed. Lift up the head slightly in this place, and do not uncover the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the patient suffers from this intense cold because of this. And different from the pain of the other cauteries of the head is this.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I say concerning this: this is the cautery in its place. And it is necessary that it should be a cautery with which the horns of the head and the back of the head are cauterized, while the middle of the head is cauterized with a finer cautery.
Et haec est forma eius.	This is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	In a hemibrachial headache, whether with drugs or with iron, cauterize in this way.
Caput IIII.	Head section III.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When it happens that there is pain and swelling in a part of the head, or that the pain extends to the eye, and it is evacuated with physicians who apply cooling compresses to the head, and other treatment is administered as I have mentioned in the treatises on diseases, and nothing else is applied to it: then cauterization in this case is done in two ways: either with acute burning medicine or with iron
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cautery, however, with acute medicine that burns, is, that you take a tooth one of another, and excoriate it, and sever its extremities from two sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then split the place of pain in time with a wide incision, until there is under the skin in that place where the tooth is caught.</start_of_turn>
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Introduce it into that under the skin until it is hidden: then tighten above it with a thread of constriction of a moderate size, and leave it for fifteen hours. Then remove it, and discharge the wound for two days, or three: afterwards put over it a soaked bandage in butter, until the place has healed. Then care for it with unguent until it is healed.</start_of_turn
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to do this with some of the burning medicines which I have written about in the twelfth tractate, of Burning Medicines.</start_of_turn>
Cauterizatio uero eius cum ferro, est secundum hunc modum.	The cautery of it with iron is in this manner.</start_of_turn
Igni Cauterium, cuius forma haec est.	The cautery fire which has this shape.</start_of_turn
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called Clauilis: because its shape is like the shape of a key, in which there is some curvature, and in the middle of it there is a small protrusion.</start_of_turn
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then put it over the place, and hold your hand: and draw the iron gradually with velocity: and let the amount be such as is sufficient to burn from the thickness of the skin, like half of it.</start_of_turn
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And lift your hand, so that it is not burned by the artery below, which brings the blood flow.</start_of_turn
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak the bandage in salt water, and put it over the place, and leave it for three days: then put the bandage with butter: afterwards care for it with unguent until it is healed.</start_of_turn
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if necessary, cauterize this hemimanis with the second extremity of the Cauteris knife.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And cauterize from the artery incision in this hemimanis, not backwards as usual
¶ De modo cauteriezandi in hemicrania antiqua.	Like cautering in the old hemimanis.
Caput V.	See section V
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When you treat a hemimanis, when you have done what we said about treating the ailments beforehand, and what we said in the instructions for ailments, and the ailment has not vanished: if there is excessive pain, that which the first cauterization with medicine did not suffice, nor the cauterization with fire, then you must burn the Cauteris knife until it turns white when you apply it to the place of pain, where there is a line whose length is half of a finger, or almost like that: and put your hand away with the thumb and index finger together, and tighten it until you have pierced the artery, and hold it until you reach the bone.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	But it is necessary to be careful not to burn the jawbone, which moves during chewing, lest you burn the cheek, or the nerve which moves itself, from which a spasm results
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	And be cautious, and take care of the flow of blood from the artery that has been severed
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	For in the severance of this there is fear, and especially for him who is ignorant of this and is not studious or experienced: and he dismisses the operation immediately
Et ego ueniam cum rememoratione regiminis fluxus sanguinis accidentis ex arteria secundum modum suum, et in loco suo huius libri.	And I come with the reminder of the management of the flow of blood in the event of an accident from the artery, according to my method, and in this place in this book
