Praefatio.	Prefatory.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	But indeed the corruption was confirmed in the limb: and I could not restrain it
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So the corruption ceased to spread in the limb, until it died
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And the physician went to another, who had perforated the cancerous abscess: and it was ulcerated after days, until its malice was increased with the lord himself.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	For when a cancer is pure from melancholic humour, it must not be treated with iron in every case, except in a limb which can tolerate it, that it be entirely excised
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And therefore, my son, you must know that an operation is divided into two parts: that which is associated with health, and that which carries risk in various situations
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	I am grieved in every place of this book where an operation is mentioned, where fear and terror are present.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore you must be cautious of this, and be restrained: lest they find fault with you, and speak dishonestly
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Receive therefore with humility and protection, and the sick with facility and firmness, and use the better way that leads to greater glory to God concerning the preservation of life and the obtaining of praise: and banish the terrifying diseases which are difficult to cure: and take away from your soul that which makes you fear, so that there may be no obstacle to your faith and your comfort
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For there remains for you a greater glory in your faith, and a sublimity in this world, and finally in the number of your souls.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has said in some of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	You do not heal a bad disease: do not speak of a bad physician.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	I have indeed divided this treatise into three chapters
Capitulum primum.	Chapter One.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Of cautery with fire, and of cautery with acute medicine, a chapter, and ordered from the head down to the feet, concerning the forms of instruments, and of materials for cautery: and everything which is necessary for the operation
Capitulum secundum.	Second Chapter.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Concerning incision and perforation, phlebotomy and packing, wounds: and the extraction of arrows, and things of that kind: and the whole of this chapter, arranged in order of the instruments.
Capitulum tertium.	Third Chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	Concerning restoration, and dislocation, and the treatment of twisting, and things of that kind: this chapter is arranged from the head to the feet, and concerning the forms of instruments.
Soli Deo Gloria.	Glory be to God.
Liber Chirurgici Albucasis.	The Book of Surgery by Albucasis.
Pars I.	Part I.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	Concerning the application of bandages, and the use of cautery: and in what complexions it is suitable, and when: and if with iron, or gold.
Caput I.	Chapter I
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before any operation is performed, it is necessary to state the qualities of the bandages and instruments to be used: and in what complexion they should be displayed
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore, that the discourse concerning the quality of the cautery instrument, and its name, is a lengthy, subtle, scientific, and occult discourse.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	And it is said by many wise men in this matter, and they disagree among themselves: and indeed little is sufficient from their discourses, fearing the prolongation of the discussion
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore, that the cautery instrument is useful in all complexions, which is with material, and without material: except for two complexions, which are the hot complexion without material, and the dry complexion without material
In complexione autem calida et sicca cum materia dissenserunt.	In the hot and dry complexion with material they disagree
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some indeed say that the cautery instrument is useful in these.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	Others argue that Cauterium is not suitable for carbuncles, which arise from heat and dryness, because fire itself is hot: and it is unsuitable to cure a hot and dry ailment with heat and dryness.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	Others maintain that Cauterium is not suitable for any hot and dry carbuncles that occur in the bodies of men, because when you compare the body of a man with fire and moisten it, you find the body of a man to be cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	I too have heard from experience that this is true.</start_of_turn>
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	It is true that it does not suffice simply to say that Cauterium is not suitable for carbuncles; for one must have studied Cauterium in its final exercise and become acquainted with the diversity of human complexions, the nature of ailments, their causes and their course.</start_of_turn>
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	With the other complexions there is no fear; and especially with cold and moist ailments.</start_of_turn>
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	I know that all physicians agree about this: and they do not deny the use of Cauterium in these matters.</start_of_turn>
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And indeed, the sons know that the secret of Cauterium with fire and its advantage over Cauterium with burning medicine lies in the fact that fire is simple, and its action does not extend beyond the part which is cauterized: and it does not harm any other connected part, except for a slight bruising.</start_of_turn
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	Burning medicine, however, extends its action to the parts surrounding the cauterized area: and sometimes it makes the healing of the ailment more difficult, and sometimes it even brings about death.</start_of_turn>
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire, however, because of its subtlety and the excellence of its substance, does not make this [surgery] ill, unless it be excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Fire, however, by reason of its subtlety and the excellence of its substance, does not make this [surgery] bad, unless it be excessive.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	Fire, however, by reason of its subtlety and the excellence of its substance, does not make this [surgery] bad, unless it be excessive. And although this is not mentioned in this book, I shall tell you a secret concerning fire which is useful for this operation and which is demonstrated by philosophers with reference to the expulsion of ailments from the body.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And behold, children, that even they [philosophers] disagree concerning the time when fire becomes a cautery, and they say that it is better to delay the time of the operation.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	I say also that cautery is useful at all times: for in every case the document becomes submerged in urine, which is attracted by the cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	Above all, if the cautery is to be used for severe and sudden pains, which do not tolerate delay, for these are subject to the danger of an increase in evil which is greater than the slight damage done by the operation at a later time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	Do not be deceived by the minds of the vulgar or stupid physicians, who say that surgery is never necessary for ailments which are cured by cautery: for in this they are mistaken. Indeed, cautery alters the complexion and dries up humors which are the causes of these ailments.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	Indeed, cautery surpasses medicine in speed of action, in the excellence of its operation, and in its gentleness: and it is possible that the ailment will be cured at some later hour according to the complexion of the patient, the location of the ailment, and the excellence of the operation itself. And this is effected in the body by the collection of superfluous humors which are evacuated by the cautery. And this is the reason why it brings about the healing of ailments which medicine cannot cure.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	Acute pain in a few superabundant and humid parts, as in a burnt tooth, because of pain, and similar to it, is possible that it will not depart from there without pain.
Sed illud fit in paucis.	But this is in few cases.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	Indeed, it is right that the cauterism is the most recent of the medical arts, and that is why they do not believe that there is any healing that can be obtained by medicine, nor by anything else after the cauterism has been made.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But the thing is contrary to that. The intention is not that the cauterism is the most recent of the medical arts, but when we administer methods of treatment in some ailment, and they do not confer that treatment: then we administer in the end the cauterism, and it confers: thus it is that the cauterism is the last thing, not according to the intention which the vulgar people and the multitude of the physicians understand
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	The ancients say that the cauterism with gold is better than the cauterism with iron: and they do not say this except because of the equality of the gold and the fineness of its substance: and they say that it does not form pus at the place of the cauterism
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But it is not absolutely so. For I myself have seen this to be the case, and I have found that it does not do this in some bodies without other things
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And the cauterism with the very thing is good, and better than with iron, as they say.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	But when you ignite the cauterism with fire from gold, you are not to declare that it is ignited according to its quantity, because of the redness of the gold: and when it approaches the cold and if you add to it more fire, it liquefies in the fire, and turns into plates.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Why does the artificer depart from that to engage in this business? And because of this, the Cauterium with the iron is brought near and is more rapid and proximate to the operation from its upright position.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	I have also ordered this Chapter in Cauterium, according to the Chapters: and I have ordered them from the head down to the feet: so that they may perform whatever they wish from it.
¶ De modo cauterizandi Caput in commissura coronali.	As to the manner of cauterizing the Head in the coronal suture.
Caput II.	Chapter 2: Of the Head.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Here the cauterization is done according to the lord of humidity and cold over the brain: because these two are the causes of swelling, and of the flow of humors from the head to the eyes and ears, and of the swelling of sleep, and of toothache, and of throat pain: and in general of all diseases which arise from cold, such as palsy, and swelling, and epilepsy, and apoplexy, and things like these from diseases.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is as follows: when the patient is in good health, he should be evacuated at first with a purgative medicine which softens the head for three or four nights, according to the nature of the disease, and the age of the patient, and his habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then command him to make a circular burn on his head with the lancet
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands square, so that you can place your hands on his chest
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm on the root of his nose between his eyes
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever your middle finger touches, that is the place where you must cauterize with the burn
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then take the Cauterium Olive: which has this shape
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it upon the marked place with the cautery, descending gradually, so that your hand may be gradually constricted, and you shall withdraw it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then draw your hand quickly, and grasp the place.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see any quantity of bone or cartilage or herbs, then draw your hand quickly.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat your hand with the iron itself, or with something else that is heated: until you see the bone which I told you of.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water, and drink it down with this sponge, and place it upon the place: and keep it there for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then place upon it a sponge soaked in butter, and keep the flame over the place, until the eschar is consumed by fire.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for it with unguents of four herbs, until it is healed
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	It has been said that the greater the wound remains open, the more pus will be emitted: which is better and more useful.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some people say that the skin should be cauterized up to the bone: and let the Cautery remain in contact until something of the thickness of bone is charred
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then it will be withdrawn after that which was scorched from the bone, and it will be cured
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it is necessary that the Cautery should remain until the very end, until it has left an imprint in the bone like a footprint, so that the bone will fall out, as it is like a woman's stylus made of a small letter: and they say that from this place vapor escapes from the head, and the wound will be healed in a long time
Deinde curetur, donec consolidetur.	Then he cares until they are solidified.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	Neither of two species of cautery is useless in all people except in some in whom there is fear of excessive bleeding.
Et dimittere ipsum, apud me est melius cum salute ipsius.	Leave it [the cautery] and attend to the health of the patient. It is better for me like that.</start_of_turn>
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	The head grows weak from the continuity of its natural discharge: as we have seen in the rest of the limbs: and especially when the head of the patient is weak by nature: the first kind of cautery is most safe and better for me in this case, and I will work with it for the health of the patient.</start_of_turn
¶ De modo cauterizandi capitis in dolore totius capitis.	In the case of cauterizing the head in the pain of the whole head.</start_of_turn>
Caput III.	Head section III.</start_of_turn
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When in the whole head there occurs chronic pain: and it persists in the patient, and there is pus, and boils, and head-purgings, and oil, and application of these things.</start_of_turn
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if one kind of cautery has already been applied, as we have mentioned, and no other of these things has been added to it: then consider carefully.</start_of_turn
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of the patient is strong by nature and not weak, and there is cold sweat: then cauterize with another kind of cautery under that little bit.</start_of_turn
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize over the whole horn of the head with that cautery, but do not pass through the skin, and uncover an amount of bone as we have mentioned.</start_of_turn
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize with one kind of cautery in the nape of the neck of the head, in the place which is called the uas: and this is the place where the marrow is placed: and elevate your hand in this and do not uncover the bone.</start_of_turn
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	The infirm one finds because of that pain which arises, and diverse from the pain of the other cauterizations of the head altogether.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	I say concerning this Cauterization: it must be that which cauterizes the horns of the head and the back of the head more finely, and which cauterizes the middle of the head more broadly.
Et haec est forma eius.	This is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	Concerning the method of cauterization in hemianche, both with the medicinal unguents and with the iron
Caput IIII.	Chapter III.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When it happens in the part of the head that there is pain and swelling, or that the pain extends up to the eye, and it is evacuated with the physicians who moderate the head, and the rest of the treatment is administered as I have said in the discourse on the diseases of the head, and it does not suffice for that: then the cauterization in that case is done in two ways: either with an acute burning medicine or with the iron
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cauterization with the acute burning medicine is that, you take a tooth from another person and burn it, and you remove the bark from it, and you split its extremities from both sides
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then split the place of the pain in time with a wide phlebotomy, until there is under the skin in that place where the tooth is taken
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Introduce it there under the skin until it is hidden: then bind over it with a bandage of constriction of low tension, and leave it for fifteen hours. Then take out the dressing and leave it for two or three days. Finally put on a wet bandage over it which is immersed in butter, until the place heals. Then care for it with an unguent until it is healed
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to do this with some burning medicines which I have written about in the twelfth tractate, on the Burning Medicines.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	Burning the inside of the belly with iron is in this way.
Igni Cauterium, cuius forma haec est.	Burning with iron is like this
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	It is called Clausais: for its head has the shape of a key, in which there is some curvature, and in the middle there is a small prominence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then put it on the place and hold your hand: and move the iron slowly while applying pressure: and let the quantity which is enough to burn through the thickness of the skin be as much as half of its size
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	Lift your hand so that the artery below is not burned and the blood flow does not increase
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak the area in salt water, and put it on the place, and leave it for three days: then put the area with butter: afterwards care with unguents until it is healed.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	If necessary, burn the haemorrhoids with the second extremity of the knife according to the Cauterization technique.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	Burn from the incision of the artery in this haemorrhoid, not from the old way directly.
¶ De modo cauteriezandi in hemicrania antiqua.	In the old way, the haemorrhoids were cauterized like this.</start_of_turn>
Caput V.	End of document.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When treating haemorrhoids, with all that has been said about the treatment of ailments, and when the cure has not taken hold: and when the pain persists, and the ailment has not been overcome by the cautery with medicine or with fire, then it is necessary to burn the haemorrhoids with the knife until they become white when there are signs of pain along a line whose length is half the digit, or almost like that: then take your hand away from the area with one hand, and hold the area firmly until the artery is cut through, and keep it that way until bone is reached.
