Praefatio.	Prefatory Note.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I myself was called to extract it: and I saw from the size of the stone and the condition of the patient that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who took charge of a certain Duke of our land because of a disease: and it happened to a black slave who was with him, a fracture in his leg near the heel: and the doctor, with his ignorance, bound the fracture with nails and pins, and did not allow the wound to drain.
Deinde absoluit eum secundum desyderia sua.	Then he died according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he dismissed him for a few days, and commanded him not to loosen the ligament: and he remained like that until the bone of his leg and his foot were completely decayed, and he came to his end
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was called to him again: and I advised him to loosen the ligament: and there was peace, and he was freed from his pains
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	But indeed corruption was confirmed in the limb: and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore the corruption ceased to walk in the limb until it perished
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who perforated a cancerous tumor: and it ulcerated after days, until the malice of the disease increased with the master himself.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	When the cancer is pure and exudes from melancholic humour, it is not permissible to leave it with iron altogether, except in the case where it is in a member that can tolerate it, in which case it should be entirely excised.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And thus, my son, you must know that an operation which is associated with safety is divided into two parts: that which is associated with health, and that which carries the peril in various positions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	I am excited about all the places in this book where the operation is mentioned, which is fraught with terror and fear
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore, you must be cautious about this, and be humble: so that you do not speak arrogantly, and become dishonest
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Accept now measure with humility and protection, and the sick with facility and firmness, and utilize the gentler method which carries greater benefit, giving thanks to God for the success and praiseworthy outcome: and dismiss the terrifying diseases which are difficult to heal: and take away the spirits of those who fear them, so that there should arise in you trust in your work and comfort in your soul
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For in this world there remains a lasting memorial to your glory, and a fragrance in this world, and finally in your numbers.
Galenus enim iam dixit in quibusdam suis admonitionibus.	Galen thus said in some of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	You do not cure a bad disease: do not give a bad name to the doctor
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	I have, however, divided this treatise into three chapters.
Capitulum primum.	First Chapter.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Of cautery with fire, and cautery with acute medicine, a chapter, and arranged from the head to the feet, and the forms of instruments and materials for cautery: and everything that is necessary for the operation
Capitulum secundum.	Second Chapter.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Concerning incision and perforation, bleeding, and packing, and wounds: and the extraction of arrows, and matters of a like nature: and the whole of this chapter is arranged according to the forms of instruments.
Capitulum tertium.	Third Chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	Concerning restoration, and dislocation, and the treatment of torsion, and matters of a like nature: this chapter is arranged from the head to the feet, and concerning the forms of instruments.
Soli Deo Gloria.	Glory be to God.
Liber Chirurgici Albucasis.	The Book of Surgery by Albucasis.
Pars I.	Part I.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	Concerning the application of a dressing, and the use of the cautery: and in what complexion it is suitable, and when: and if with iron or gold.
Caput I.	Chapter I
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before any operation is undertaken, it is necessary to state the quality of the dressing and instruments to be used: and in what complexion it should be displayed
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say, therefore, that the discourse concerning the quality of the cautery dressing and its instrument is a lengthy, subtle, scientific, and secret discourse.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	And it has been said by many learned men, and they have differed in their opinion: and indeed little is sufficient from their discourses, fearing the length of the matter
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say, therefore, that the cautery is applicable to all complexions, that is, with matter and without matter: except for two complexions, which are the hot complexion without matter, and the dry complexion without matter
In complexione autem calida et sicca cum materia dissenserunt.	In the hot and dry complexion with matter they disagree
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some have said that the Cauterium is used for incisions.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	Others have said the opposite, namely that the Cauterium is unsuitable for wounds due to their heat and dryness: for fire is by its nature hot, and it is unsuitable to heal wounds by heat and dryness when they require warmth and moisture.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And some have said the opposite of that: that the Cauterium makes incisions in all wounds which arise in the bodies of men: for when you compare the body of a man to the heat of the fire, you find the body of a man to be cold to the touch
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	I myself have observed in practice that it is often useful
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	It is true that in some cases the Cauterium is useful. However, it should not be used without prior experience and a thorough understanding of the various types of wounds, their causes and symptoms, and the time required for their healing.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	Except in the case of very severe wounds, there is no reason to fear the Cauterium: and especially in wounds that are cold and wet.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	I have observed that all doctors concur in their use of the Cauterium in such cases.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	Note that the Cauterium is safe when used with fire and promotes healing along with medicinal herbs: for fire is simple, and its action does not extend beyond the part which is cauterized; and it does not harm any other connected member, except for a slight burning sensation.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The medicinal properties of the burn do not extend beyond the part which is cauterized: and it may even cause difficulty in the healing of the wound, and even death.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire, however, because of its subtlety and the excellence of its matter, does not do this unless it is excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Fire, however, because of its subtlety and the excellence of its matter, does not do this unless it is excessive.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	Fire, however, because of its subtlety and the excellence of its matter, does not do this unless it is excessive.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	Fire, however, because of its subtlety and the excellence of its matter, does not do this unless it is excessive
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	Fire, however, because of its subtlety and the excellence of its matter, does not do this unless it is excessive.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	Fire, however, because of its subtlety and the excellence of its matter, does not do this unless it is excessive
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	Fire, however, because of its subtlety and the excellence of its matter, does not do this unless it is excessive
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	Fire, however, because of its subtlety and the excellence of its matter, does not do this unless it is excessive.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	Fire, however, because of its subtlety and the excellence of its matter, does not do this unless it is excessive
Sed illud fit in paucis.	But that is done in few.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But that is done in few.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But that is done in few.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	But that is done in few
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But that is done in few
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	But that is done in few
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	But that is done in few
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	But that is done in few
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	But that is done in few
¶ De modo cauterizandi Caput in commissura coronali.	But that is done in few
Caput II.	But that is done in few
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	But that is done in few
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is as follows: first of all, the physician should evacuate the patient with a solution of urine that will alter the head for three nights, or four, as the nature of the patient's ailment, age, and habits demand.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then command him to make a circular burn on the head with a needle
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands, so that his hands are placed over his belly
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then put the root of your thumb on the root of his nose between his eyes
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever his middle finger reaches, that is the place to make the burn.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then ignite the Cauterium Oil: thus is its shape.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it on the designated place with the burn, with a gradual descending movement, until your hand is grasped, and then withdraw it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly lift your hand and look at the place
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see that there is already a quantity of hair equal to the head or the nails, then lift your hand immediately
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat the process with the iron alone, or with something else if it becomes cold: until you see the bones, as I have told you
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water, and drink it, and put it on the place: and keep it there for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put on it a buttered dressing, and remove the burn from the place until the eschar is destroyed by fire.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for it with unguents until it is healed.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They have said that the more a wound remains open, the more pus it emits: which is better and more advantageous.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	Some have said that the skin should be cauterized until the bone is reached: and the cautery should be retained until the substance of the bone has hardened
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then it is withdrawn after that which has been cast off from the bone, and it is cured.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	Others say that the cautery should be continued until it makes an imprint in the bone, so that the bone breaks, like the form of a chisel, or like the instrument which women put into the bath with a small letter: and they say that from this place arise vapors of the head, and the wound remains open for a long time.
Deinde curetur, donec consolidetur.	Then it is cured, until the fracture is consolidated
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	I, however, do not approve of two kinds of cautery in general, except in some people according to their fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And I send it away, for with me it is better for the health of the patient.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	The head grows weak from the continuity of its natural solution: as we have witnessed in the rest of the limbs: and especially when the head of the patient is weak by nature: and the first kind of cautery is more safe and better for me than the other, and it is useful: to work with it for the health of the patient
¶ De modo cauterizandi capitis in dolore totius capitis.	In the case of cauterizing the head in the case of general pain of the head.
Caput III.	Chapter 3.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When there is chronic pain in the whole head: and it persists in the patient, and boils, and abscesses, and headaches, and ointments, and applications are used
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	If, therefore, the burn has been cauterized with one cautery, as we have said, and nothing further adheres to it: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	If the patient's head is strong in nature and not weak, and he experiences a feeling of heat: then reburn with another cautery under that.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then burn the entire circumference of the head with the cautery, but do not pass through the skin, and uncover the quantity of bone as we have said.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	Burn the cautery once on the back of the head in the place which is called the uas: for that is the place where the bone is placed. Raise the burn upwards in this way, and do not uncover the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	The patient feels pain because of this heat, and different from the pain of the other cauteries of the head in general.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	I say this: The cautery is to be applied in this place: the horns of the head are to be cauterized with one cautery, while the back of the head is to be cauterized with a finer cautery.
Et haec est forma eius.	This is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	In the treatment of hemophilia, both with medicinal herbs and with iron.
Caput IIII.	Chapter III.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and swelling occur in any part of the head, or if the pain extends as far as the eye, and it evacuates with physicians who apply soothing remedies to the head, and the rest of the treatment is administered as I have said in the treatise on diseases, and nothing more: then the burning in this case is done in two ways: either with acute burning medicine or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The burning with acute burning medicine is as follows: take a tooth of another, and burn the area with it, and remove the extremities from both sides
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then sever the place of pain at the time with a wide lancet, until it be made in that place under the skin, where the teeth capture.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Then insert it thus into the very under-skin, until it is hidden: then tighten above it with a thread of constriction of a fair measure, and keep it bound for fifteen hours. Then take it away, and evacuate the wound for two or three days. Afterwards place above it the lower part of the limb submerged in butter, until the place has yielded pus: then care for it with ointment until it is healed.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you do this with some physicians who are learned in burn injuries, whom I have written about in the twelfth tractate on physicians who are learned in burns.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	The cauterization of it is like this with iron.</start_of_turn>
Igni Cauterium, cuius forma haec est.	The iron for the cautery, which is like this in shape.</start_of_turn>
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called Claudius: because the shape of its head is like the shape of a key, in which there is some curvature, and in the middle of it there is a small prominence.</start_of_turn
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it above the place, and hold your hand: and withdraw the iron gradually with speed: and let the quantity which is to be cauterized from the thickness of the skin be like half of it.</start_of_turn
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And raise your hand, so that it does not burn the artery which is beneath, and that the flow of blood does not increase.</start_of_turn
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak the limb in salt-water, and place it above the place, and leave it for three days: then place the limb in butter: afterwards care for it with ointment until it is healed.</start_of_turn
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this half-circle with the second extremity of the cautery.</start_of_turn
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And indeed from the incision of the artery in this hemisphere, not in the former manner.
¶ De modo cauteriezandi in hemicrania antiqua.	And indeed from the incision of the artery in this hemisphere, not in the former manner.
Caput V.	And indeed from the incision of the artery in this hemisphere, not in the former manner.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When you are treating a hemiplegia, when you have done what we said concerning the treatment of preceding diseases, and when you have said concerning the methods of treatment, and it does not suffice: then you must cauterize the tissue with a needle until it turns white when you touch it at the place of the pain with a line whose length is half of a digit, or as much as that: and lay your hand aside and grasp the needle until you have cut through the artery, and hold it until you reach the bone.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	It is true that you must take care that you do not cause the continuation of the mandible to move during mastication, neither to become hardened, or the nerve which moves it, from which the spasm arises.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	And be careful of the safety of the flow of blood in the artery that has been cut
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	For in the cutting of it there is fear, and especially for him who is ignorant of this and is not studious, or not an expert: and he departs from the operation at once.</start_of_turn>
Et ego ueniam cum rememoratione regiminis fluxus sanguinis accidentis ex arteria secundum modum suum, et in loco suo huius libri.	And I come with the reminder of the regimen of the flow of blood that has occurred from the artery according to its custom, and in its place here in this book.</start_of_turn>
Quod si uides ex aegritudine, quod non sufficit ei hoc Cauterium, et uides corpus infirmi tolerans cauterium in medio capitis, sicut narrauimus, cura uulnus, donec sanetur.	If you are aware of the disease that does not suffice with this Cauterium, and if you are aware that the body of the patient tolerates Cauterium in the middle of the head, as we have said, then take care of the wound, until it is healed.</start_of_turn
Et si uis, administra Cauterium, quod diximus in capitulo extractionis arteriae cum Cauterio habente duos cultellos.	And if necessary, administer Cauterium, as we have said in the chapter on the extraction of an artery with Cauterium having two blades.
Est enim cauterizatio melior hac et magis conferens.	It is better to cauterize than to leave it open.
¶ De modo cauterizandi in dolore Aurium.	As to the cauterization of the ear in pain.
Caput VI.	Chapter VI
Quando accidit in Aure dolor a frigore, et curatur cum solutiuis, et reliqua curatione quam diximus in diuisione, et non remouetur dolor, tunc igni Cauterium: et est illud quod nominatur Punctum, cuius forma est haec.	When it happens in the ear pain from cold, and it is cured with solutions, and the rest of the treatment as we have said in the previous discourse, and the pain is not relieved, then ignite Cauterium: and that is what is called the Punctum, which has this shape
Deinde puncta cum eo post eius ignitionem in circumitu auris totius, sicut reuoluitur: aut in circumitu utriusque, si simul dolor est in utrisque.	Then burn the Punctum with this after its ignition around the entire ear, as it is rotated: or around both sides, if the pain is in both.
