Praefatio.	Praefatio.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I too had been called to extract it; and I saw from a great stone, and from the arrangement of the nurses, that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician, who was taking a fee from our King for medicine: and it happened that a black eunuch, who was with him, broke his thigh near the heel; and the doctor persued with his ignorance, and bound the fracture together with thin splints and strong bindings, and did not stop the course of the wound's inflammation.
Deinde absoluit eum secundum desyderia sua.	Then he let him go according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then after a few days he sent him away and commanded him not to loosen the bindings; and so he remained until his leg and foot had healed properly, but then he came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	So I was called to loosen the bindings; and what followed was peace, and he was freed from his pain.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	But the corruption had already taken hold in the limb; and I could not prevent it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Then the corruption ceased to spread in the limb until he died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician who opened a cancerous boil; and it became ulcery after a few days, until the malignancy spread to his lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	That is, for when it is cancerous from the melancholic humor, then one should not approach it with iron at all unless it is present in a member that can bear it, so that it may be cut off entirely.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And for that reason, O sons, you must know that the art of surgery is divided into two parts: that which is associated with health, and that which is associated with danger in many arrangements.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I too have already set forth in every part of this book wherever surgery has come up, where there is terror and fear.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Why do you need to tell him that, and to decrease it? So that the dumb fool doesn't offend me with his words and dishonors me.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore, receive with care and protection, and bring our sick with ease and strength, and use a better path, led by the grace of God to salvation and worthy succession: and remove from us that which makes us fear, so that it may enter upon us hesitation in our faith and our comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it remains more to remain in our glory, and higher in the world, and at last to the quantities of us.
Galenus enim iam dixit in quibusdam suis admonitionibus.	Because Galen has already said in some of his adages.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not cure disease with medicine: do not name a doctor to disease.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	But I have already divided this treatise into three chapters.
Capitulum primum.	Chapter one.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Chapter on cauterization with fire and medication, on acute medication, on medicine that is hot or cold, on the shape of instruments and tools for cauterization, and on everything else needed in the operation.
Capitulum secundum.	Chapter two.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	On cutting and piercing, phlebotomy and wound-cleaning, and extracts of arrows, and similar things: and the whole chapter on the shape of instruments.
Capitulum tertium.	Chapter three.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration, dislocation, and cure for torsion, and similar things: the whole chapter, ordered from head to foot, and with the shapes of instruments.
Soli Deo Gloria.	To God alone be glory.
Liber Chirurgici Albucasis.	The Book of Surgery of Al-Bhaks
Pars I.	Part I.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	On cauterization and non-cauterization: with which colors the surgeon should be dressed, and at what time; and if with iron or gold.
Caput I.	Chapter I.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before I remember the operation with him, it is necessary that I should tell you the quality of his cauterization and non-cauterization: and in which complexion he shows it.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I therefore say that the speech on the quality of cauterization and its harm is long, subtle, scientific, and secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Also spoken was a great number of wise men, and they disagreed with each other; but for me, little of their words is sufficient, fearing the lengthiness of their speech.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I therefore say that cauterization is universal to all complexions, whether with or without substance; excepting two complexions, which are a hot, substance-less complexity and a dry, substance-less complexity.
In complexione autem calida et sicca cum materia dissenserunt.	In complexity, however, hot and dry with substance, they disagreed.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some, indeed, have said that cauterization is useful in that.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite of that, namely that cauterization is not suitable for an illness which is hot and dry: for fire's nature is hot; and it is unsuitable, as it heals a hot and dry illness with hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who says the opposite of that said: That by cauterization healing is done in any hot and dry illness which occurs in human bodies; for when you compare a human body, and its moisture, to the complexity of fire, the body's coldness disappears.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I myself say by that speech: for by experiment I have discovered that at times.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However, it is not necessary that you make that point, except those who have already been tested and exercised in the last exercise of the chapter on cauterization, and have recognized the diversity of human complexions, and the nature of illnesses within them, and their causes, and their accidents, and the time period of their existence.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	From the other complexities there is no fear for you; and especially in cold and moist illnesses.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For all doctors have already agreed upon them; and they did not disagree on cauterization in them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know ye sons, that the secret of cure by cauterization with fire, and the goodness thereof, is when the medicine is burned with the fire upon the cautery: for fire is simple, whose action does not reach, unless to the member which is cauterized; and does not hurt the other member joined therewith, unless with a little injury.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	But the action of medicine when it is burned and increased by fire reaches that which extends from the members: and perhaps makes it happen to a member that it has difficulty in being cured, and perhaps destroys it.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	But fire because of its subtlety and goodness of its substance does not do that, unless it overflows.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Now this has already become known to us by trial, because of the length of practice and study with art and standing on the veracity of things: and because of this excuse from the length of speech.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not, because it is not allowed to this my book, I would give you the secret hidden in fire, and the quality of its action on the bodies by means of its expulsion: which expels diseases with a philosophical demonstration-phrase, which was added by the minds of your ancestors.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know ye sons, that yourselves differ in the time when it is to be made to happen cautery, and put a better time of medicine:
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that cautery is suitable at all times: for the injury which happens because of time is hidden in a good will, which is attracted with the cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if the cautery is for pains from necessary pains, firming, banquets which do not tolerate delay: for they are afraid of them, that a bad will happen which is greater than a little injury is to blame for the lack of time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And do not fall into the minds of your sons that they should not judge, except for common and stupid doctors, namely that he who is cured of a disease by cautery does not always recover: and they put its consequence, and it is not like what they think: for cautery is not, unless in place of medicine, which changes the complexion, and dries up humidities which are the causes, wherefore pains happen.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	Indeed, the cautery is superfluous on top of the medicine due to its velocity, vigor, and power, and because it belongs to the Lord: and it is possible that the sickness be restored at some time during the course of nursing, and location of sickness, and strength; and that it is prepared in his body from an excess that has accumulated in him: and that it comes to him in its acquisition from food, and similar things from causes, unless there is sickness, in which cauterization is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	Indeed, a slight sickness in a small member is superfluous due to excess dryness and humidity, like the pain of a tooth, for its own pleasure, and other similar things; because it is possible that this pain does not return to him.
Sed illud fit in paucis.	But that is true only in a few cases.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But the word of the cure is again true; that the cautery is last of all medicine, it is a straight word: not to that which they intend in him; for they believe that there is no healing with medication, nor with anything else after the occasion of the cautery.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But the case is just the opposite, and the intention, that the cautery is last of all medicine, is not true; unless when we administer methods of cure in some diseases, and do not give them medicine: then we administer at the end of the matter a cautery, and it comes to pass. Then it falls, that the cautery is last of all medicine, not according to the intention which the common people and many medical doctors understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	But the ancient ones have said that a gold cautery is better than an iron one: and they did not say that, except for the equality of gold, and the limitation of its substance; and they have said that it does not make a wound in the cauterizing place.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But that is not absolutely so; for I have tested that, and found that it does not make those wounds in certain bodies without others.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	It is good to use the cautery with it, and better than using iron, as they say.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	Indeed, when you use the fire cautery on gold, it does not show you, when lit according to the quantity you use, due to the redness of the gold: and when it is proper for it to be cold, and if you add ignition on top of it, it melts in the fire and turns into leaves.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Why does the craftsman fall from that [practice]: and for that reason we prefer the cautery with iron among us, and more quickly and closer to the work, from truth to operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I have already arranged this chapter on the cautery, according to the chapters: and I have arranged it from the head until the feet: so that you may find what you want from it.
¶ De modo cauterizandi Caput in commissura coronali.	About the way of cauterizing the top of the nose.
Caput II.	Chapter II.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Confirm here the cauterization to the domain of humidity and coldness on the brain: which are two causes of salt, and a multitude of flow of humors from the head to the parts of the eyes and ears, and a multitude of sleep, and pain of teeth, and pain of throat: and generally all sickness that happens from coldness, such as paralysis, and salting, and epilepsies, and apoplexies, and similar things from those illnesses.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The way of cauterization is, so that you prescribe to the sick: that it be drained in the first place with a solute and purifying medicine, washing the head three nights, or four, according to what the power of the sickness, and its age, and custom, demand.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then prescribe to him that he should wash his head with a soft cloth.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands, so that he has already placed his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm on the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	So whenever your middle finger has come up to that point with uneasiness, mark that spot with an unclean mark.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then fire cautery: this is its shape.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then put the flesh on the marked spot with your fingers, and squeeze it gently, and then remove it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly wipe your hand, and examine the spot.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see now a little quantity of salt on the bone, or a little quantity of licorice, then quickly wipe your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat the motion with the iron, or with another one when it is chilled: until you see the bones, which I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water, and immerse the cloth in it, and put it on the spot: and leave it for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put on the spot the cloth immersed in butter, and leave it until the fire is completely extinguished.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then take care of that with the four-fold ointment until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They have already said that since the wound remains open for so long, pus is emitted: why is it better and more helpful?
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them said, to cauterize the skin all the way down to the bone: and hold the cautery until a certain hardness is achieved.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then clean after that what has been burned, then cauterize it.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it is necessary to do with the cautery what I have just described, so that an impression of a knot is made on the bone: or the instrument which women put in their hair with a little letter: and they cut off, that vapours of the head's essence may be emitted from this place, and the wound may heal after a long time.
Deinde curetur, donec consolidetur.	Then cauterize it until it hardens.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But these two species of cautery do not seem to exist among all men, except for certain people from second-hand knowledge out of fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And leave it: as far as I am concerned, it is better with the health of that person.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the resolution of its natural continuity; as we have testified in the other members; and above all when the head is weak, by nature: and the species of cautery is more sound and better with me, and I use it; so let us operate on it while it is healthy.
¶ De modo cauterizandi capitis in dolore totius capitis.	For the mode of cauterizing the head when it has pain throughout the whole head.
Caput III.	Chapter III: On the Mode of Causing a Head W
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When in the whole head there is a chronic pain; and when it is prolonged in an invalid, and if he uses hypos, hot baths, head rinsings, oils, and applications: then operate.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if already cauterized with one kind of cautery which we have described, and gives it no benefit: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head is weak by nature's creation, and is not weak, and cold is keen: then cauterize with another kind of cautery a little below it.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize itself on all the horns of its head with its own cautery, and do not let the skin be burned, and uncover a quantity from the bone, which we have described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize itself with one kind of cautery at the back of its head, in the place which is called the vein; and this is a place where there is a flowing wind: and moisten your palm well in this, and do not uncover the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For an invalid will have keen pain because of this, and is far removed from the pain of the other parts of the head's cauterization.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will call this cautery in its place; and it should be that by which the horns of the head are cauterized, and the back of the head by a finer cautery, by which the middle of the head is cauterized.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	On the mode of cauterizing when it has a headache, just as if it were a medicine adjusted, as if with an iron.
Caput IIII.	Chapter IV: On Causing a Head to Bleed When it has
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and swelling occurs in part of the head, or when the pain extends to the eye, and if the head is washed with medicinal solutions, and the remaining treatment is given, as I have described in the divisions of diseases, and this does not benefit him entirely: then cauterization must be done in two ways: either cauterization with a sharp medicine that burns; or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	But if cauterization is to be done with a sharp medicine that burns, i.e., take one of the teeth of another, and cut it out, and cut off its ends from the two sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then cut the place of pain at the time with a phlebotome on the side, until it is made into a place under the skin, in which a lump is captured.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Then introduce it into him under the skin, until it is hidden: then tie it over it with a knot of constrictive yarn, and leave it for fifteen hours, and then dissolve it, and pull out one, and leave it for two days, or three: then put a cloth over the spot immersed in butter, until a pus place forms: then care for the wound with ointment until it heals.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you want to make it with some sharp medicines that burn, which I have written about in the second book, On Burning Medications.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	But cauterization with iron is according to this method.
Igni Cauterium, cuius forma haec est.	Fire Cauterization, whose form is this:
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called a Clavicle: because the form of the head is like the form of a clavicle, in which there is some curvature, and in the middle of it is a small eminence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place the iron on the spot, and hold your hand: and you will turn the iron gradually with speed: and let the amount that burns be of the thickness of the skin, such as half of it.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And raise your hand so that the artery below does not burn, and an outflow of blood does not occur.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then dip the wound in saline water and put it on the place and leave it for three days; then put the wound with butter: later care with ointment until healed.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you see, cauterize this headache with an edge of scalpel second cautery.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And do not cut the artery in this half-headache, but old one his own.
¶ De modo cauteriezandi in hemicrania antiqua.	The mode of cauterizing in an old headache.
Caput V.	Head
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When you treat a headache, with what we have said before in the preceding cure, and that which we have said in the divisions of diseases, and there is no cure: and you see from the disease that it does not suffice to him what we have said from the first cauterization with medicine, or with cauterization with fire, then it must be that you bring the fires of Cauterie, until it becomes white after the signs on the place of pain with a line, whose length is half a finger, or almost like it: and put your hand out one way, and squeeze it until you touch the artery, and reach as far as the mouth.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	However, it is necessary for you, so that you cauterize the continuation of the jaw, which moves when chewing, does not burn on the side, or nerve that moves it, from which happens a spasm.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	And be on guard, and beware of the flow of blood of the artery, which is cut off.
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	For there is a fear in the cutting off of it, and especially to him who does not know what he does, and is not learned, nor expert: and dismisses the operation with it at first.
