Praefatio.	Preamble.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I was called upon to extract it too; and I saw from the great size of the stone and the care of the nurse that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who took a staff from our king for medicine; and there happened to be a black eunuch by him, who was wounded in his thigh near the heel; and the doctor tightened the wound with sharp pins, and bound it strongly with strong bandages, and did not cease from his foolishness, and he tightened the wound around the bone with strong sutures, and did not leave off wounding.
Deinde absoluit eum secundum desyderia sua.	Then he finished him according to his wishes.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Later on he left him for a few days and commanded that the bandages be not loosened; and so he remained until his leg was withered away, and came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	So I was called upon to loosen the bandages; and so it was accomplished that he had peace, and was free from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However the corruption had now become confirmed in the member; and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So the corruption ceased to walk around in the member until it died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who pierced an ulcerous pustule; and it was ulcerated for a few days until the malignancy of it spread to his lord with a plague.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	Which is because when the cancer is pure from the melancholy humor, then one should not approach it at all with iron unless it be in a member that can bear it, so that it may be cut off entirely from it.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And for that reason, my sons, you need to know that surgery is divided into two sections: namely, the operation which is associated with health; and the operation, where there is danger in many arrangements.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already excited in every place of this book, where came the operation, where there is fear and terror.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Why you need to be careful of that, and to decrease it: so that they do not find a stupid person to speak and dishonor.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore, you accept a measure with care and protection, and bring the sick among you with ease and strength, and use a better way, leading to the grace of God for salvation and worthy succession: and remove the fearful sickness from you that makes you afraid, so that it may come on you a hesitation in our faith and comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For there remains more for the glory of our faith, and more excellent in the world, and finally for the quantities of you.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galenus has already said in some of his advice.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not treat disease with medicine: do not name yourself a doctor of ill.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	I have already divided this treatise into two chapters.
Capitulum primum.	First chapter.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Chapter one.
Capitulum secundum.	Second chapter.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Chapter two.
Capitulum tertium.	Third chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	Chapter three.
Soli Deo Gloria.	To God alone be glory.
Liber Chirurgici Albucasis.	The Surgical Book of Al-Zahrawi.
Pars I.	Part I.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	Chapter one.
Caput I.	Chapter one.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before I remember the operation with it, it is necessary that I should say the quality of its tools and the injury to itself, and where it displays it.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I therefore say that the speech on the quality of cauterization and its harm is long and subtle, knowledge and a hidden secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Also spoken in it by many wise men, and they differ in their opinions; and to me a little of their words is enough, fearing lengthening.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I therefore say that cauterization is universal to all constitution, which is with matter and without matter; excepting two constitutions, which are hot and dry without matter, and dry and cold without matter.
In complexione autem calida et sicca cum materia dissenserunt.	But in the constitution hot and dry with matter they differ.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some therefore say that cauterization is beneficial in it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	But others have said the opposite of it, namely that cauterization is not appropriate in a sickness which is of heat and dryness; for fire's nature is hot: and it is inappropriate, as it heals the sickness of hot and dry, with hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who says the opposite of it said: That by means of cauterization is a healing in all sickness of heat and dryness which happens in human bodies; for when you compare the human body, and its humours, to the constitution of fire, the human body becomes wet.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I too say by means of his speech; for from experimentation I have found that it is sometimes.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	But it is not necessary that you go into detail about that, unless who has already been tested, and exercised in the exercise of the last chapter of cauterization, and knows the diversity of human constitutions, and the disposition of sicknesses in them, and their causes, and accidents, and the space of time.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	Of the rest of the constitutions there is no fear for you; and above all in sicknesses of cold and wet.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For all doctors have already met on them; and they do not differ in the healing with cauterization.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know you sons, that the cure of secret diseases by means of fire, and its goodness, is superimposed on the fire with medicine burning: because fire is simple, whose action does not reach, unless to the limb which is cauterized; and it does not hurt another member connected with it, unless there is a small injury.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	But the action of medicine burning is extended to that which lengthens out of limbs: and perhaps it causes to happen to a limb illness difficult to heal, and perhaps it destroys life.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	But because of the subtlety and goodness of its substance, fire does not do this, unless it flows over.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Now that has become clear to us by experience, because of the length of use and study with art, and its position on verity of things: and also excused from the length of speech.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not, because it is not permitted to my book, I would bring you the secret and mystery of fire, and the quality of its operation in bodies by its expulsion, which expulses diseases with philosophical demonstration, which was acquired from the minds of your own,
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know you sons, that they differ at times when it is to be done, and put forward the time of medicine.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that the fire is to be made at all times: for, because the accident happens through time, it is buried in ease, which is drawn with the fire.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And above all if the fire is for pains of necessity, strong, feasts which do not suffer delay: because they are afraid of these, that evil might happen, which is greater than little injury, when there is no transgression through time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And do not say to your sons that they do not understand, unless the general and dull doctors: namely, that their sicknesses which are healed by the fire are not always: and they put forward this consequence, and it is not like what they say: because the fire is not, except in place of medicine, which alters color, and dries out moisture, which are causes of diseases, so that accidents happen.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	Indeed, the use of cautery is superfluous above medicine due to its velocity, excellence, and power, and it may be that the disease will depart at some time after the application of the nurse, and the removal of the disease, and its power: and because it is prepared in his body from an excess of collection within him: and because it arrives at him in the acquisition of its own from food, and similar things from causes, unless the disease, in which cautery is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	Indeed, a slight disease in some member is superfluous due to the excess of heat and moisture, such as a toothache, because of pain, and similar things: for it is possible that this pain will not depart from him.
Sed illud fit in paucis.	But that is right in a few.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But the speech of the healing is again, which cautery is last medicine, it is right speech: not to that which they intend in him: for they believe that is no cure that confers with medicine, nor with any other after the occasion of cautery.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But the thing is opposite to his speech, and the intent, that cautery is last medicine, it is not, unless when we administer ways of cure in some diseases, and they do not confer such medicines: then we administer at the end of this matter cautery, and it confers: then from here it falls, that cautery is last medicine, not according to the intent which the common people and many solid doctors understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	But the ancients said, that cautery with gold is better than cautery with iron: and they did not say this, unless for the equality of gold, and its limitation in substance: and they said, that it does not make place for cauter
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But this is not absolutely true: for I have already tested this, and I found that it does not do so in some bodies without others.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And cautery with itself is good, and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	Indeed, when you heat the cautery of gold in fire, it is not revealed to you when heated according to the quantity that you want, because of the redness of gold: and when it is suitable for itself to cool down, and if you add ignition on it, it melts in the fire, and turns into leaves.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Why does the artisan fall from that in work: and for that reason is the cautery with iron with us quicker and closer, from the right to the work.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I too have already arranged this chapter on the cautery, according to chapters: and I have arranged them from the head to the feet: so that they may please him who seeks it out from it.
¶ De modo cauterizandi Caput in commissura coronali.	De mode cauterizandi caput in commissura coronali
Caput II.	Chapter II.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Confirm here cauterization to the lord of humidity and coldness on the head: which two are causes of salt, and multitude of flow of humors from the head to the eyes and ears, and multitude of sleep, and pain of teeth, and pain of throat: and universally all sicknesses that happen because of coldness, such as paralysis, and salting, epilepsy, and apoplexy, and similar to them of illnesses.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The mode of cauterization is that you command the sick person: so that he is discharged in the first place with a solutiory medicinal solution cleansing the head three times, or four, according to what requires the strength of the sick, and his age, and his custom.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then command him that he should shine on his head with a soft-flecked cloth.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands square, so that he has already put his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your hand on the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	And whatever way your middle finger passes, mark that spot with a brand.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then set fire to the cautery of oil: which has this form.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then put the piece on the marked place with the forceps, pull down slowly, and you will turn it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly open your hand, and see the site.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	That if you see now a quantity of hair from the skull has been detected or a quantity of sage, then quickly open your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat your hand with the iron or if it is cold with another: until you see the bones that I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water, and dip the cloth in it, and put it on the place: and leave it for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put over the cloth dipped in butter and leave it on the place until the fire is extinguished.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for that with the ointment of the four-fold remedy until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	I have said, that as long as a wound remains open, it will discharge pus: why is it better and more beneficial to leave it uncovered.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them said, that the skin should be cauterized down to the bone: and the cauterization should be held until a certain hardness of bone is reached.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then it should be rubbed after that which is burnt from the bone, then it should be cauterized.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it should be made to reach the last by cauterization, until it leaves an impression on the bone like a letter: or with an instrument that women put in a small vessel of water: and they calculate that vapours from this place are exhaled after a long time, and the wound remains open for a long period.
Deinde curetur, donec consolidetur.	Then cauterize it until it hardens.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But I do not see these two kinds of cauterization being used by any humans at all unless it is out of fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	Then leave it alone, for me it is better with the health of that one.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the solution of its own natural continuance; as we have witnessed in other members, and especially when the head is weak and nature infirm: and the species of Cautery, first, is more salutary and better with me, which I use; therefore let us operate upon it when it is sound.
¶ De modo cauterizandi capitis in dolore totius capitis.	The way to cauterize the head in pain of the whole head.
Caput III.	Chapter III: On the Treatment of Head Pain.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When chronic pain occurs in the whole head, and it is prolonged in an infirm person, and he uses hyde, poultices, head-baths, oils, and applications: let us proceed to cauterization.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	Especially if it has been cauterized once before with the one kind of cautery which we have described, and does not benefit from it: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head is infirm of nature, and not weak, and there is a cold sensation: then cauterize with another kind of cautery under it little by little.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize the head itself over all its horns with his own cautery, and let not the skin be damaged, and let some quantity be scraped from the bone, which we have described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize the head itself with one kind of cautery in the nape of the neck, in the place which is called the "was"; and that is the place where a breeze blows: and wet your hand in this, and do not scrape the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the infirmity is caused by the intense pain, and is far removed from the pain of the other parts of the head.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will call this cautery by its own name; and it is necessary that there be a kind of cautery with which the horns of the head are cauterized, and that a smaller kind of cautery is used to cauterize the middle part of the head.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	Chapter V: On the Treatment of Hemorrhage, whether with medicine adjusted or with iron.
Caput IIII.	Chapter IV: On the Treatment of Headache.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and soda occur in part of the head, or extends to the eye, and is rinsed with medicated water, and the rest of the treatment administered, as I said in the division of diseases, and does not bring it all: then cauterization is according to two ways: either cauterization with sharp medicine burning: or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	But cautery with sharp medicine burning, is, that you take one tooth of another, and bark it up, and cut off the ends from both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then cut the area of pain at the time with a phlebotome on one side, until a spot under the skin is made where the pain is taken.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Then introduce it into himself under the skin, until it is hidden: then tie it over itself with a cloth constricting it, and leave it for fifteen hours, and then dissolve it, and remove another, and leave it for two days, or three: then put on top of it an oiled cloth, until the spot makes pus: then heal the pus with ointment until it heals.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you want to make this with some sharp medicines that I wrote about in the twelfth chapter of the book "On the Burning of Medicines".
Cauterizatio uero eius cum ferro, est secundum hunc modum.	But cautery with iron, is according to this way:
Igni Cauterium, cuius forma haec est.	Place on the fire
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called a Clauis: for the shape of the head is like the shape of a clauis, in which there is some curvature, and in the middle of it is some small eminence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place the clauis on the spot, and keep your hand: and turn the iron slowly with speed: and let the quantity that burns be of the thickness of the skin, like a half.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And move your hand so that the artery, which is below, does not burn, and an outflow of blood does not occur.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then dip the cloth in salt water, and place it on the spot, and leave it for three days: then dip the cloth in butter: then heal with ointment until it heals.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you see this half-headache with extreme cutting, second cautery.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And because of the incision of the artery in this half-headache, not old in itself.
¶ De modo cauteriezandi in hemicrania antiqua.	The method of cauterizing in an old half-headache.
Caput V.	Chapter V.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When you are healing a half-headache, with this that we have said before from the treatment preceding, and because we have said in the divisions of illnesses, and the cure is not sufficient: and you see from illness that it does not suffice to him that we have said from the first cautery with medicine, or with cautery with fire, then it should be that you cause the fires of cauterium to cut, until white comes out after the signs on the spot of pain with a line, whose length is half a finger, or almost like that: and you put your hand by force, and squeeze it until you cut the artery, and reach as far as the mouth.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	However, you need to cauterize the continuation of the jaw, which moves when it chews, so that it does not burn on the side, or the nerve that moves it, from which comes a spasm.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	And this should be over the guard, and caution about the flow of blood of the artery that has been cut off.
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	For there is a fear in cutting it, and above all to him who does not know that which he does, and is not learned, nor expert: and dismisses the operation with him at first.
