Praefatio.	Preamble.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	6. Si in manu aut in pedi, aut in lacu stigi, aut in vulvo femini, aut in vagina, aut in utero, aut in uterine, aut in labiis virili, aut in oris circumdatione, aut in oculis, aut in auribus, aut in naso, scitote complexe: 7. Si in manu, aut in pedi, aut in lacu stigi, aut in vulvo femini, aut in vagina, aut in utero, aut in uterine, aut in labiis virili, aut in oris circumdatione, aut in oculis, aut in auribus, aut in naso, scitote complexe: 8. Si in motu musculorum, aut in ossibus, aut in cartilagineibus, aut in tendinis, aut in ligamentis, aut in osse bus, aut in artichitis, scitote complexe: 9. Si in venis, aut in arteriis, aut in nervis, aut in viscis innominatis, scitote complexe:
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Also, many wise men spoke and disagreed with each other, and indeed a little of their speech is enough for me, fearing prolongation.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I therefore say that cauterization is universal for all complexions, which are with substance and without substance; excepting two complexions, which are a warm complexion without substance and a dry complexion without substance.
In complexione autem calida et sicca cum materia dissenserunt.	In a warm and dry complexion with substance they disagreed.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some have said that cauterization is helpful in this one.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others have said the opposite of this, namely that cauterization is not appropriate in a disease that is of heat and dryness: for fire's nature is hot; and it is inappropriate, as it will heal a disease of hot and dry from hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who says the opposite of this said: "By cauterization a benefit is brought about in all diseases of heat and dryness that occur in human bodies": for when you compare the human body with its humidities to the complexion of fire, you will find the human body cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I myself say by his speech: for from experiment I have discovered that sometimes.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However, it is not necessary to make a comment on that, unless one has already been proved and exercised in the exercise of the last chapter of cauterization, and has known the difference between complexions and the various diseases in themselves, and their causes and accidents, and the course of time for them.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	However, there is no danger for you from the other complexions, especially in cold and moist diseases.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	Now all physicians have come to an agreement on them, and they have not disagreed about the benefit of cauterization with them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know, children, that the secret of the cure by fire and the goodness of it when it is combined with medicine while burning is this: for the fire is simple, and its action does not reach unless to the member that is cauterized; and it does not hurt another connected member unless with little harm.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The truth is that the action of burning leads to that which lengthens from the members: and perhaps it causes difficulty in the healing of a member, and perhaps it kills.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	But fire because of its own subtlety and beauty of its substance, does not do that, unless it is in excess.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	I have indeed made it known to you through experimentation, because of the length of its use and study with art, and its position on truthfulness of things: and through it I excuse the length of speech.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not, because it is not permitted to my book, I would bring you a secret and mystery in fire, and the quality of its action in its expulsion of bodies, which expels sickness with a philosophical demonstration, which is increased by the minds of your scholars.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And you sons, know that they differ in time when the cautery should be made, and put a better time for the wine.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that the cautery should be made at any time: therefore, because the accident that happens is hidden by the time, it is attracted with the cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if the cautery is for pains from necessary pains, strong pains, festivities, which do not tolerate delay: because they are afraid of them, that mischief happens, which is greater than a small harm that does not cross due to time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And do not fall into the minds of your scholars or sons that they do not consider, unless they are common and stupid doctors, that is, that they think that the sickness which is healed by cautery is always a return: and they put that consequence, and the thing is not as they think: because cauterization is not, except in the place of medicine, which changes the complexion, and dries up the humidities that are causes, because of which pains occur.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	But the cautery is superfluous over medicine by the speed of its own power and the virtue of its operation, and the dominance of its own: and it is possible that it should bring back sickness at some time according to the complexion of the nurse, and the location of his sickness, and the virtue of it: and that it is prepared in his body from the aggregation of superfluity in it: and that it achieves it by means of acquisition from food, and similar things from causes, unless there is sickness, in which cautery is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	The slight illness in a few members that are superfluous, and the moisture, such as the tooth cautery because of the pain, and similar to it, is possible that that pain does not return in it.
Sed illud fit in paucis.	But this fits in with the few.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But this word of the ulegy again, which is the last medicine, is a straight word: not to that what they intend in it: because they believe that there is no therapy that brings with it medicine, nor with another after the occasion of the cautery.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But the thing is the opposite of his and the intent, that the cautery is the last medicine, is not, unless when we administer ways of cure in some diseases, and do not bring those medicines: then we administer at the end of this matter a cautery, and it brings forth: so it falls that the cautery is the last medicine of the doctor, not according to the intention which the vulgar and many-sighted doctors understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	But the ancients said that the cautery with gold is better than the cautery with iron: and they did not say this, except for the equality of gold, and the limitation of its substance: and they said that it does not make a place of pus cauterize.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But this is not at all: for I have already tried this, and I found that it does not do so in some bodies without others.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And the cautery with itself is good, and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	But when you ignite the fire of cautery from gold, it does not appear to you, when it is ignited according to the quantity that you use, because of the redness of gold: and when it comes to its coldness, and if you add to it ignition, it melts in the fire, and turns into leaves.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Why does the craftsman fall from this work: and because of that it is made Cautery with iron with us faster and nearer, according to the straightness towards the action.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I have already arranged this Chapter in the Cauterium, according to the Chapters; and I have arranged it from the head to the feet, that it may be more easily found by him who seeks it.
¶ De modo cauterizandi Caput in commissura coronali.	The way of cauterizing the head in the crown-commissure.
Caput II.	Chapter Two: The Head.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Here is the cauterization to the dominion of humidity and coldness upon the brain: which are two causes of sweat, and of a multitude of the flux of humours out of the head to the parts of the eyes and ears, and of a multitude of sleep, and of pain of the teeth, and of pain of the throat: and universally all sicknesses, which happen from coldness, such as paralysis, and swelling, and epilepsy, and apoplexia, and similar things from those ailments.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The mode of cauterization is, that you should wash the sick-person: to empty the head by means of a fluid medicinal preparation which cleanses and purifies it; three times, or four times, according to the exigencies of the strength of the illness, and his age, and his custom.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then command him to wash his head with water.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands so that he has placed his own hands upon his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your hand upon the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	And whichever way your middle finger moves, mark that spot with a brand.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then light the cauterizing fire of olive oil: which has this shape.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place the person himself upon the marked spot with the brand, pressing his hands slowly down, and you shall roll him.
Deinde leua manum tuam uelociter, et aspicias locum.	Then light your hand quickly, and see the place.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see already a quantity of the hair of the head, or a quantity of the herbs, then light your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat your hand with the iron, or with another one if it grows cold: until you see the bones which I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take a little salt, and dissolve it in water, and dip it in the same, and put it on the place: and leave it for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put on the place the dip in butter, and leave it until the wound is healed.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for that with the ointment of four drugs, until he is healed.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	I have said, that as long as a wound remains open, it will discharge pus; why then is it better and more beneficial to dress it freely?
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them said, that the skin should be causticated down to the jaw: and the cautery should be held until a certain hard substance of bone is burned up.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then the wound should be washed after that which has been burned from the bone, then dressed.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say, that it is necessary to make an impression with the cautery on the last part, until it enters the jaw a little, so that the bone is broken, which takes place like the shape of a key: or the instrument which women put in a pot with water: and they say, that vapours rise from this place and the open wound is healed in a long time.
Deinde curetur, donec consolidetur.	Then dress it with the cautery until it hardens.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But these two kinds of cautery do not seem to me at all, unless among some people for fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And leave it, in my opinion, is better with the health of that person.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by continuous solution of its natural substance: as we have testified in the other members: and especially when the head is weak in nature: and the species of cautery first is more healthy and better with me, and I use it: so then work with that when healthy.
¶ De modo cauterizandi capitis in dolore totius capitis.	The mode of causticing the head when in pain throughout all the head.
Caput III.	Head 3.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When there is a chronic pain throughout the head: and it is prolonged in a sick person, and uses hyoscyamus, and rubs, and caps, and oils, and employment of poultices.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized with one fire, which we have described, and there is nothing of those things left: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head is wounded and of strong constitution, and is not weak, and a severe cold comes upon it: then cauterize with another fire beneath it slightly.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize himself on all the horns of his head with the fire we have described, and let not the skin be touched, and a quantity be taken from the bone, as we have mentioned.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize himself with one fire in the back of his head, in a place which is called a vein; and this is a place where a flowing [blood] comes out: and wash your head well in this, and do not discover the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For it is because of this that a severe pain comes upon him, and is far removed from the pain of all other head cauterizations.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will call this a Cauterization in its place: and it should be that a cauterization which is sharp  [should be used] where the horns of the head are cauterized, and the back of the head with a subtler fire, which cauterizes the middle of the head.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	Regarding the way to cauterize in a headache, as much with the medicine as with the iron.
Caput IIII.	Head 4.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When it happens to a pain in a part of the head and a soda, or the pain extends all the way to the eye, and is washed away with cleansing medicines, and the rest of the treatment is given, as I have mentioned in the division of diseases, and does not leave all of this: then cauterization in it is according to two ways: either cauterization with a sharp fire burning while administering: or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	But a Cauterization while the sharp fire burns while administering: it is, as you take one tooth of the other, and scrape it out, and cut off its ends from both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then cut out the place of pain at a time when the phlebotome is standing by, until it does become in it a place under the skin, where the blood is drawn.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Intromitte ergo eum in ipso subcute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitte ulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to do this with some medicines burned, which I wrote in the twelfth treatise, On Burning Medications.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	The cauterization of it with iron, however, is according to this method.
Igni Cauterium, cuius forma haec est.	Of fire, whose form is this.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called a clavis: because the form of the head is like the form of a key, in which there is some curve, and in the middle of it is a small eminence.
