Praefatio.	Preamble.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For there remains more to remain for our glory, and higher in the world this is, and finally for the quantities of ours.
Galenus enim iam dixit in quibusdam suis admonitionibus.	Because Galen has already said in some of his advices:
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not treat diseases that are bad: do not call yourself a doctor of evil.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	I have already divided this treatise into three chapters.
Capitulum primum.	Chapter one:
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Chapter one:
Capitulum secundum.	Chapter two:
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Chapter two:
Capitulum tertium.	Chapter three:
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	and the cure of twists, and similar cases: a treatise, ordered from the head down to the feet, and forms of instruments.
Soli Deo Gloria.	To God alone be glory.
Liber Chirurgici Albucasis.	The Surgery Book of Al-Bāṣīs.
Pars I.	Part I:
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	Regarding the Preparation of the Surgeon and the Wound: with which complexions he should be, and at what time: and if with iron, or gold.
Caput I.	Chapter 1.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before that, as soon as I remember the operation with him, it is necessary for me to say the quality of his incisions and wounds: and in which complexion he presents himself.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I will therefore say that the speech about the quality of cauterization's incision and wound is a lengthy, subtle, learned, and secret speech.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Even many wise men spoke in it, and disagreed with each other: and for me alone a little of their speeches is enough, fearing extension.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I will therefore say that cauterization is universal to all complexions, whether with substance or without: excepting two complexions, which are a warm complexions without substance, and a dry complexions without substance.
In complexione autem calida et sicca cum materia dissenserunt.	In complexion, however, the warm and the dry, with substance, disagreed.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some have said that cauterization is in it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite of it, that cauterization is not fitting for a sickness, which is from heat and dryness: because the nature of fire is hot; and does not suit, that it should heal a sickness from hot and dry, with hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who says the opposite of it said: That through cauterization is made a healing in all sicknesses hot and dry, which happens in human bodies: for when you compare the human body, and its moistures, to the complexion of fire, you cool down the human body.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I myself also say through his speech: because from experiment I have already discovered that sometimes.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	But it is not necessary that you make it about that, unless he has already been tried, and exercised in the exercise of the chapter on cauterization, and has known the diversity of human complexions, and the disposition of sicknesses to themselves, and the causes of them, and the accidents of them, and the space of their times.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	Do not fear also the residue of the poultices; and above all in cold and damp diseases.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For indeed all doctors have come together on them, and they do not disagree with cautery in them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And you sons, know that from the secret cure by cautery with fire, and its goodness over cautery with medicine burning is simple: because the action of fire does not reach, unless to the member that is cauterized; and it does not hurt another member joined with it, except with small damage.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	But of medicine burning action reaches to that which is elongated out of the member; and perhaps makes happen in the member difficult disease of cure, and perhaps kills it.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	But fire because of its subtleness and goodness of its substance does not do that, unless it overflows.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Indeed I have already made it known to you that by experience, because of the length of practice and study with skill, and station on verity of things: and because of it I excuse from the length of speech.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not, for it is not allowed to my book, I would bring to you the secret and hidden thing in fire, and quality of its action in the bodies of its expulsion, which expels diseases by philosophical demonstration of speech, which was added from the minds of your men.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And you sons, know that they disagree in the time, in which it is to be made cauterium, and put better time of the wound.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	But I say that cauterium is to be made at all times: for the damage that happens because of time is hidden in the healing, which is attracted with cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And above all if the cauterium is because of the pains from necessary pains, strong, feasts, which do not tolerate tardiness: for they fear them, that happens mischief which is greater, than small damage is intrans because of time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And may not fall in the minds of your sons that son, who does not hold back, unless you are common and stupid doctors, namely, that he who has a sickness which is healed by cauterization, is not always returned: and they put down this consequence, and the thing is not as they think: because cauterization is not, except in medicine, which changes the complexion, and dries up the humidities which are the causes, why pains occur.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	However, cauterization surpasses medicine in the speed of its healing power, and the excellence of its operation, and the swiftness of its lordship: and it is possible that it may bring back a sickness at some time of the day according to the complexion of the patient, and the location of his sickness, and the excellence of its cure; and because it is prepared in his body from an excess of gathering in him: and it comes to itself in acquisition from food, and similar things from causes, unless it be a sickness, in which cauterization is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A sickness of the body is less likely to be healed by cauterization than an excess of little members and humors, such as a toothache, because of the pain, and similar ones; for it is possible that this pain may not be healed in him.
Sed illud fit in paucis.	But this happens in a few.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But the word of the common people again, that cauterization is the last medicine, is a straight word: it does not refer to what they intend in him; for they believe that there is no cure which is brought about by medicine, and by nothing else after the occasion of cautery.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But the opposite of this is true, and the intent, that cauterization is the last medicine, is not, unless when we administer methods of cure in some illnesses, and they do not confer these medicines: then we administer at the end of the thing cauterization, and it confers; then it falls, that cauterization is the last medicine, not according to the intent which the common people and many stupid doctors understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	But the ancients say that it is better to apply cautery with gold than with iron; and they did not say this except for the reason that gold is equal in strength to flesh and yet does not corrode it; and they say that there is no need of a place for cauterization.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But this is not absolutely true; for I have tried it myself and found that it does not work in certain parts of the body without other means.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And cautery with gold is good, and better than with iron, as they say.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	But when you ignite the cautery from gold in fire, it is not revealed to you, when it burns according to the quantity that you use, because of the redness of gold: and when it comes to itself, and if you add ignition on it, it melts in fire and becomes thin sheets.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Why does the artisan fall from that in business; and because of that do we prefer cautery with iron among us more quickly and closer, from its rightness towards the work?
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I too have already arranged this chapter on cautery according to chapters; and I have arranged it from the head to the feet, that you may easily find what you want from it.
¶ De modo cauterizandi Caput in commissura coronali.	About the way of cauterizing the top of the nose.
Caput II.	The second top.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Confirm here cauterization towards the domain of humidity and coldness over the brain: which are two causes of blood, and multitude of flow of humors from the head to the parts of the eyes and ears, and multitude of sleep, and pain in the teeth, and pain in the throat: and universally all sickness, which happens from coldness, such as paralysis, and soya, and epilepsies, and apoplexies, and similar ones from those illnesses.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The way of cauterizing is, that you draw out with a soluble medicine the head three nights or four, according to the need of the sickness, and its age, and custom of it.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then tell him to cut his head with a scalpel.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then have him sit between your hands and face the fourth side, so that he has already placed his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm over the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Whatever way your middle finger goes, mark that spot with a bit of pepper.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then put olive oil on the cautery, which has this shape.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place the specimen at the marked spot with the oil, and compress your hand slowly, and you turn it around.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly lift your hand up, and look at the spot.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see that he has already removed a quantity of skull, or a quantity of hair, then quickly lift your hand up.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat the motion of your hand with the iron, or with another one if it is cold: until you see the bones, which I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water, and drink it with the bag, and place it on the spot: and release him after three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then place the soaked bag on top of the specimen and release it on the spot, until the fire goes out.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then take care of that with the four-part ointment, until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They have already said that as long as there is a wound open, it will discharge pus: why is this better and more beneficial?
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And one of them said: 'The skin should be cauterized all the way down to the bone': and the cautery should be held, until some ossification appears.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then scrape after that which is burnt from the bone, then cauterize again.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it should be scraped with the cautery up to the last part, until it makes an impression on the bone like a stamp, so that the bone is made as in the shape of a crown: or an instrument that women put in a little cup and pour out, which they call alpha, and measure it, since from this place vapours of the head are exhaled, and the wound is closed after a long time.
Deinde curetur, donec consolidetur.	Then treat, until it has healed.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	Which, however, are not evident to me at all these two kinds of cauterization unless they are present in some people according to the first fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And let go of him, with me it is better when he is healthy.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the continuation of its natural solution: as we have testified in the other members; and especially when the head is weak with sickness: and the species of cauterization is first more healthy and better to me, and I use it: then let's operate while he is healthy.
¶ De modo cauterizandi capitis in dolore totius capitis.	The mode of cauterizing the head when it is whole (in one piece).
Caput III.	Head III.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When there is a chronic pain in the whole head and it is prolonged in the sick, and he uses ointments, and poultices, and washings, and oils, and employments (such as).
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized by one kind of cauterization, which we have described, and does not benefit from any of them: then examine.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head is sick with the strength of nature, and is not weak, and there is a sharp coldness: then cauterize it with another kind of cauterization under it little by little.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize him on all the horns of his head with his own cauterization, and don't let it pass through the skin, and disclose a quantity from the bone, which we have described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize him with one kind of cauterization on the back of his head in the place which is called the "wind" and this is a place where there is a breeze; and dip your finger in water in this place, and do not disclose the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the sick is troubled by that sharp pain, and is far from the pain of all the other heads' cauterization.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will call this cauterization in its place; and it must be a cauterization by which the horns of the head are cauterized, and the back of his head is cauterized with a smaller kind of cauterization, by which the middle of the head is cauterized.
Et haec est forma eius.	And this is his form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	In case of a headache, whether with or without medicine, as with iron.
Caput IIII.	Chapter IV.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When it hurts in one part of the head and soapes, or extends the pain to the eye, and the head is washed with cleaning medicines, and the rest of the treatment is administered as I have mentioned in the division of illnesses, and does not give all of that: then cauterization is according to two ways: either cauterization with burning medicine: or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	But if cauterization is with burning medicine, it is as if you take one of the teeth of a cow, and you cut it into two sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then cut the area of pain at the time with a blade on one side, until a place appears under the skin where the pain is caught.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Then introduce it into that under the skin, until it is hidden: then tie it tightly with a thread of constricting knot, and let it go for fifteen hours, then unravel it, and remove it on the second day or third: then put a covered thing over the spot immersed in butter, until a pus place appears: then heal the spot with ointment until it heals.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you want to do that with certain medicines that burn, which I have written in the 12th book, on Medicinal Incantations.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	But if cauterization is with iron, it is according to this way.
Igni Cauterium, cuius forma haec est.	Fire cauterization, whose form is this:
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called a Klis; because the form of the head is like the form of a kleis, in which there is some curvature, and in the middle of it there is a small eminence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then put the iron on that place, and hold your hand: and you turn the iron little by little with speed: and let the amount that burns be according to the thickness of the skin, such as half of it.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And pray that your hand does not hurt, so that the artery below does not rupture and blood flow occurs.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then dip the bandage in salt water and place it on the spot, and leave it for three days: then dip it with butter: afterwards apply ointment until it heals.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if there is a headache, cauterize this headache with the point of a scalpel, second time with cauterization.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And do not cut the artery in this headache, but use the old one's own.
¶ De modo cauteriezandi in hemicrania antiqua.	The mode of cauterizing in a headache:
Caput V.	Head 5.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When you are healing a headache, with the method we have mentioned before in connection with cures for diseases, and as we have mentioned in respect of divisions of illnesses, and when there is no effect from this treatment: then you will see from the illness that it does not suffice to apply the cautery at first with medicine, or with the cautery with fire; then you must apply the fire of the cauterization until it turns white after the signs on the spot of pain with a line whose length is half a finger, or almost like that: and place your hand in a grip and squeeze it until you hit the artery, and reach as far as the mouth.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	However, you must cauterize the jaw which moves during chewing, so that it does not hurt on one side or the nerve which moves it, from which spasm occurs.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	And be on guard, and take care with regard to the flow of blood from the artery which has been cut off.
