Praefatio.	Premise.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I too had been called to extract it: and I saw from the great size of the stone, and the care of the nurse, that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician, who was taking a fee from some Duke of our land for his medicine: and there happened to be with him a black eunuch, who was by his side, and broke his thigh bone near the heel: and the physician went on, through his ignorance, and bound up the fracture on the knee with strong bandages, and did not cease from his operation.
Deinde absoluit eum secundum desyderia sua.	Then he discharged him according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then he dismissed him after a few days, and he commanded that the ligaments should not be loosened: and so it stood until his leg was broken at the knee, and his ankle, and he came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	So I was called to him: and I set about loosing the ligaments: and there resulted peace, and he was free from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However the corruption had already taken hold in the limb: and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So the corruption ceased to wander in the limb, until it died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician, who pierced an aposteme cancerous wound: and it became a ulcer after a few days, until the malignancy of it was manifest to his lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	That is, for when it is a cancer pure from the melancholic humor, then it should not be cut with iron at all unless it be in a member which can bear it, that it may be completely cut off from it.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And for that reason, my sons, it is necessary that you know that surgery is divided into two parts: namely, the operation which is associated with health, and the operation where there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already excited in every place of this book, where came the operation, where there is fear and fright.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Why it is necessary for you to beware of that, and to decrease it: so that you may not find stupid speech when you speak, and dishonorable.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore receive with carefulness and protection, and give your patients with ease and strength, and use a better path leading to the grace of God for salvation and worthy succession: and remove from you terrible diseases with difficult healing: and take away your souls from there, which makes you fear, so that it may come upon you hesitancy in our faith and comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For this remains more remaining to our glory, and higher in the world so that afterwards to the quantities of you.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has already said in some of his advice.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not call disease a bad one: do not name the doctor as bad.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	I have already divided this Treatise into three chapters.
Capitulum primum.	Chapter One:
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Chapter One: On the cautery with fire, and on the cautery with acute medicine, fresh, and arranged from the head to the feet, and on the shapes of instruments, and tools for cauterizing: and everything that is necessary in the operation.
Capitulum secundum.	Chapter Two:
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Chapter Two: On the cutting and piercing, phlebotomy and venesection, and wounds: and on the extraction of arrows, and things like them: and all the Treatise, arranged in the shapes of instruments.
Capitulum tertium.	Chapter Three:
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On the restoration, and dislocation, and cure of torsion, and things like them: Treatise divided into three chapters, arranged from the head to the feet, and in the shapes of instruments.
Soli Deo Gloria.	To God alone be glory.
Liber Chirurgici Albucasis.	Liber Chirurgice Albucasi.
Pars I.	I, 1. The art of surgery is twofold, practical and theoretical. The practical concerns what must be done; the theoretical, why it must be done. Thus one should not only study the art in order to practice it, but also understand its principles. Consequently, knowledge without experience is incomplete, and experience without knowledge is dangerous. There are two kinds of surgery: that which deals with the body as a whole, and that which concerns separate parts. The former is called general surgery, the latter, special or local surgery. Under the first heading come such operations as amputation, ablation, resection, ligation, and puncturing; under the second, those concerned with specific organs, such as the eye, ear, nose, throat, breast, groin, anus, and genitals. Among these last are included the various kinds of cataplasm and poultice, as well as the treatment of wounds and ulcers.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	I, 2. In respect to cauterization and incisions, it is necessary to know which parts of the body require them, and at what time; also, whether they are to be made with iron or gold.
Caput I.	I, 3. The first principle in surgery is to know the nature of the flesh, and the causes that bring it to disease. The nature of the flesh is fourfold: blood, nerve, fat, and bone. These are its basic elements, but it also has other ingredients, such as muscle, sinew, lymph, and serous fluid. Blood gives life to all parts of the body; it is the most vital part, and without it death ensues. Nerve controls all the functions of the body: therefore, whatever affects it must be carefully considered. Fat contributes to the nourishment of all the parts, and so does bone, which also gives support and protection. Muscle performs various movements; sinew binds together the bones; lymph circulates through the vessels, carrying food to the parts, and taking away their waste products; serous fluid fills the cavities and spaces, maintaining the balance of the body's fluids.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before I proceed to speak of the different kinds of operations, it is necessary that I should explain the qualities of cauterization and incisions, and at what sort of parts they are to be applied.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I therefore say that the speech concerning the quality of cauterization and the operation is long, intricate, profound, and full of secrets and mysteries.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	A multitude of wise men also spoke therein, and disagreed among themselves; but for me a little from their words is sufficient, I am afraid of protraction.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I therefore say that cauterization applies to all kinds of tissue, whether it be with or without substance; I except two kinds of tissue, which are hot and dry without substance, and dry without substance.
In complexione autem calida et sicca cum materia dissenserunt.	In the hot and dry complexions with substance there was a difference:
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some said that cauterization is applied to the warm and dry complexions with substance.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite of him, namely that cauterization is not suited in a disease that is from heat and dryness: for nature's quality is heat; and it is not suitable, so as to heal from a hot and dry disease, when it is hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who speaks contrary to him said: That by means of cauterization a remedy is made for all hot and dry disease that happens in human bodies: because when you compare the human body, and its humidities, with the complexion of fire, you cool the human body.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I myself also say by my speech: because from experience I have already found that.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However, it is not necessary that you should argue about that, unless he who has already been proven and exercised in the exercise of the last chapter of cauterization, and knows the difference between the complexions of men, and the disposition of diseases in himself, and the causes thereof, and the accidents thereof, and the space of time thereof.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	From the rest of the complexions there is no fear for you; and above all in cold and wet diseases.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For all physicians have already gathered on them: and they did not disagree in the remedy with cauterization in them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know you children, that from the secret of the cure by means of cauterization with fire, and its goodness with cauterization while burning is: because the fire is simple, whose action does not penetrate, unless to the limb that is cauterized: and it does not harm another member connected with it, except with a little injury.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The action of medicine that burns peruses to the part that is prolonged from it: and perhaps makes happen a difficult cure of disease in the member, and perhaps destroys it.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	But fire, because of its subtlety and goodness of its substance, does not do that, unless it overflows.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	For this has already been made known to us by experience, because of the length of service and study with art, and the standing on the truth of things: and for this I excuse myself from the length of speech.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if there is not, because it is not allowed to this my book, I shall bring you a secret hidden in fire, and the quality of his operation in its bodies its expulsion, which expels ailments with a philosophical demonstration, which was made by your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know you sons, that they differ in the time, in which it is to be done cauterization, and put better time for the wound.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say, that cauterization is to be done at any time: for the damage, which happens by time, is hidden in the juice, which is attracted with cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And above all, if the cauterization is because of pains from necessary pains, hard, festivities, which do not tolerate delay: for they are afraid of them, that evil happens, which is greater than a small damage intrans to time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And do not fall in the minds of you sons that they are not careful, unless the common and stupid doctors: namely, that to them the sickness, which is healed by cauterization, is not always a return: and they put this consequence, and the thing is not as they think: for cauterization is not, except in place of medicine, which changes complexion, and dries humidities, because they cause pains.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	But the cauterization is too much on medicine by its velocity of its virtue, and the strength of its operation, and the quickness of its lordship: and it is possible that it brings back disease at some hour of time according to complexion of sickness, and place of sickness, and virtue of its operation: and that it is prepared in his body from aggregation of excess in him: and that it attains to itself in acquisition of its from food, and similar things from causes, unless it happens sickness, in which cauterization is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	The subtle sickness in a member of few excesses and humidities, as the cauterization of tooth, because of pain, and similar to it, is possible indeed, that it does not bring back in him that pain.
Sed illud fit in paucis.	But that is fitting for few.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But that is fitting for few.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But this is contrary to what they intend, and the intention, that the cautery is the last resort of medicine, is not, unless when we administer ways of cure in some diseases, and these do not confer the medicines: then we administer at the end of the thing a cautery, and it confers: then from there it falls, that the cautery is the last resort of medicine, not according to the intention which the common people and many of the doctors understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	But the ancient ones said that when it comes to gold, the cautery is better than the cautery with iron: and they did not say this except because of the equality of gold, and the limitation of its substance: and they said that there is no place for a cautery.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But this is not absolutely so: because I have already tested it, and I found that it does not do it in certain bodies without others.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And the cautery with itself is good, and better than the cautery with iron, as they say.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	But when you ignite the cautery from gold in fire, it does not appear to you, when it ignites according to the quantity that you use, because of the redness of gold: and when it is appropriate for it to cool down, and if you add ignition on top of it, it melts in fire, and turns into sheets.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Why does the craftsman fall from it in business: and because of this it is fitting that the cautery with iron is faster and closer to us, according to the straightness towards the operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I have already arranged this chapter in the Cautery, according to chapters: and I arranged it from the head to the feet: so that those who seek it may find it from it.
¶ De modo cauterizandi Caput in commissura coronali.	About the way of cauterizing the head in the commissure of the crown.
Caput II.	Chapter Two.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Chapter Two: Here is a treatment for the excess of heat and cold in the brain: These two are the causes of headaches and a multiplicity of fluxes of humors from the head to the eyes and ears, and of a multiplicity of dreams, toothache, and sore throat, and universally all ailments that occur from cold, such as paralysis, spasms, epilepsy, apoplexy, and similar ailments from those ailments.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is this, as you have ordered to the sick: that he be emptied with liquid medicine, and his head be washed three nights or four, according to the strength of the illness and its age, and his custom.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then order him to rub his head with a warm cloth.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then let him sit between your hands square, so that he has put his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm over the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Therefore whenever your middle finger touches any spot with difficulty, mark that place with a brand.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then light the cautery with olive oil: whose this form is.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place the person himself on the marked spot with the brand, and let your hands compress him slowly, and he will turn away from you.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly lift your hand, and look at the spot.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see there a quantity of salt from the bone, or a quantity of herbs, then lift your hand quickly.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat the compressing with iron, or with something else when he grows cold: until you see the bones, which I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water, and immerse it in a cloth, and place it on the spot: and let him go for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then place over the person the cloth immersed in butter, and let him go on the spot until the fire is extinguished.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then that care with the four-part ointment, until it is healed.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	I have said, that as long as the wound remains open, it will emit puss: therefore it is better and more salutary.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them said, let the skin be cauterized all the way down to the bone: and let the cautery be held, until a certain hardness of bone is attained.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then let it be rubbed after that which is burnt from the bone, then let it be poulticed.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say, that it should be done with the cautery all the way down to the last, until an impression is made on the bone like a mold: or an instrument which women put in with a letter-board: and they determine, that vapors from this place are exhaled when one exhales through this opening for a long time.
Deinde curetur, donec consolidetur.	Then let it be poulticed, until it has hardened.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But these two kinds of cautery are not known to me at all unless in some men according to the second for fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And let it be removed, for me it is better with the health of it.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by continued solution of its natural substance: as we have testified in the other members: and especially when the head is feeble with nature: and the kind of cautery first is more salutary and better with me, and I use it: therefore let us operate while it is healthy.
¶ De modo cauterizandi capitis in dolore totius capitis.	Regarding the mode of cauterizing the head in a case of headache throughout the whole head.
Caput III.	The Head, Chapter III.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When chronic pain occurs throughout the whole head: and it is prolonged in a sick person, and uses herbs, and poultices, and washings, and oils, and medications.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And above all if it has been cauterized with one kind of cautery which we have mentioned, and gives no benefit from it: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head is healthy with strong nature, and is not feeble, and finds a sharp cold: then cauterize under it a little with another kind of cautery.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then he cauterizes himself on all the horns of his head with his own cautery, and does not let the skin pass through, and lets a quantity come out from the bone, which we have said.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And he cauterizes himself with one cautery in the nape of his head, in the place which is called a canal; and it is a place in which the wind is put; and clean your mind in this place, and do not let your bone come out.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For that pain is found through it, and is far from the pain of all the other parts of the head.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will call this Cautery in its place: and it is necessary that it should be a cautery by which the horns of the head are cauterized, and the nape of the head is more finely cauterized by which the middle of the head is cauterized.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	De The mode of cauterizing in headache, whether with the medicine alone, or with iron as well.
Caput IIII.	Head 4.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When it is in a part of the head pain and salt, or extends the pain all the way to the eye, and washes out with cleaning medicines, and gives the remaining treatment which I have spoken of in divisions of diseases, and does not bring that whole one: then the cauterization in him is according to two ways: either the cauterization with sharp burning medicine: or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	But the Cautery with sharp burning medicine is, that you take one of your teeth, and saw it out, and cut off its ends from both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then cut the place of pain with a blade in the time when the phlebotomist cuts it from side to side, until it is made in him a place under the skin, in which the bone is captured.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Then introduce it into him under the skin, until it is hidden: then tighten it over it with a constricting thread that comes down, and let it out by the quantity of fifteen hours, and then dissolve it, and take off the other, and let it lie for two days, or three: then put on it a cotum immersed in butter, until a pus place is made: then cure the place with an ointment until it is healed.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to make it with some medicines that burn, which I wrote in the twelfth treatise, on medicines applied to the middle parts.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	The cauterization however of that with iron, is according to this manner.
Igni Cauterium, cuius forma haec est.	Of fire the cauterization, whose form this is.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called a clavis: because the form of his head is like the form of a clave, in which there is some little eminence in the middle.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then put the same on the place, and hold your hand: and you shall turn the iron little by little with velocity: and the quantity that is to be burned of the thickness of the skin, as it were a half of it.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And take your hand away, lest you burn the artery that is below, and there happen to be a flow of blood.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then dip the cloth in salt water, and put it on the place, and leave it three days: then dip the same in butter: afterwards take care with an unguent until it is healed.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish to make a wound, cauterize this headache with a sharp knife the second time of the cauterization.
