Ayssi comensan las paraulas de Albucasim .	Thus they begin with the words of Albucasim.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization is opposed to humidity and cold on the service of the accidental one from which two causes are: it is a cause of swelling and multitude of flux, called rheumatism, of the head to the parts of the ears and of the hearing, and multitude of sleeping, and of toothache and of throat pain, and universally of all sickness that comes from cold, as well as paralysis, swelling, and apoplexy, and symptoms in those sicknesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this: that first we command the patient to be evacuated with laxative medicine, for three or four nights, according to what the virtue of the sickness and the age of him and his custom require.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and then make him sit between your hands on a wooden bench and place your hands on his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then stop the flow of your palm's root near the nose's root between the heels of the shoes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	More emperor, when the said inner part is perforated, mark that place with a probe, and apply the olive-tree cautery of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then stop that on the place immediately with a probe, in a manner that descends, in which the inner hand is constricted little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand slightly and examine the place, and if you see any part of the bone being uncovered to some extent, such as the quantity of a grain of barley, then lift your hand, and if it does not return to its former position, or if another part is cooled, until it is seen by the bone that which was said to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on the place and apply it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then stop on the cloth dipped in wax and apply it until the scar is destroyed by the fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then heal the place with Tetrapharmacum ointment until it is healthy.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it is said that the more the wound is opened, the better and more youthful the arm will be, for which it is better.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They said that some of them should have the tendon cauterized within the bone, and a cautery should be held within it so that a part of the bone's vitality is taken away.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then the part that is next to the bone should be scraped, and then it should be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they said that others should push the cautery from behind, so that it presses strongly into the bone, until the bone breaks, and this is the method of minor surgery:
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, vapors of the head are expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the open wound should be held for a long time, and then it should be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But to me, these two species of cautery have not been seen, except in some men according to the way of fear; and that, it seems to me, is better for health, because the head is revealed by solution of continuity of the urine as we have testified in other members, and especially when the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cautery is safer and better, it seems to me; and from that practice and in that work, health is obtained.
Capitol segon.	Chapter according to.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head there is chronic and long pain and it is prolonged in the patient, and it uses treatments such as purges and suppositories and poultices and plasters and dressings and bandages and liniments and remedies, and especially if it has already been cauterized with a cautery that does not help due to the lack of knowledge of those causes, then consider whether the head of the patient is of strong creation in its nature; and it is not frivolous and removes much cold, then that cautery is applied with another cautery, and place that one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that on the horn of the sick head with a cautery in which the cord is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and let it be uncovered by the bone the quantity that we have recounted, and cauterize that with a cautery in the right partition of the head, in the place which is called "vas" - and this is the place where the windy vessel is situated.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And raise your hand thus, and do not uncover the bone, because the patient through this will remove much diverse pain different from the pain of all the other cauteries of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery is in its place, because it is known that the cautery with which the horns of the head and the occiput are cauterized is a more subtle cautery than that with which the middle place of the head is cauterized; and this is the method of it.
Capitol ters.	Head of the bed.
De cauterisacio de emigranea no-antiqua.	From the cauterization of an old migrane.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the part of the head, or it is a sharp pain inside the eye, the head must be evacuated with evacuating medicine, and another cure administered, which has been mentioned in the treatises on illnesses; and this is not advisable, then cauterization can be done in two ways: either cauterization with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The best cauterization with burning medicine is that you take a piece of alum, and scrape it and apply the ends to both sides of the affected area.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then cut into the place of the pain in the temple with a sharp knife, so that it enters and the abscess is emptied out, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then tie above it with a bandage to constrict tightly, and leave that for three hours; and then untie it and extract the alum, and leave the wound for two or three days, and then apply a poultice on the affected area submerged in hot water until the place forms a scab.
E aprop cura aquel am enguent entro que sia sanat.	And then heal it with an ointment until it is healthy.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see, make that with some medicines which I have written about in the second treatise on combining medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	We perform cauterization with iron in this manner: instructions for the cautery of which this is the method:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called clave or nail, because its head is like the shape of a nail in which there is some curvature, and in the middle part of it is a small protrusion.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place it on the location of the pain, and hold your hand - so that the artery is not irritated, which is underneath - and move the small iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is irritated by the sharpness of the cauterization is as much as its size, then lift your hand so that the artery underneath is not irritated, so that there does not come a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak a cloth in salt water and apply it to the area, and leave it there for three days; and then apply a clean bandage, and treat it with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see fit, cauterize at the extremity of the cutaneous tissue according to the cauterization, and beware of the incision of an artery in this migration properly not ancient.
Capitol quart.	Fourth chapter.
De cauterizacio d’emigranea antiqua.	On the cauterization of ancient migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines with what we have said about previous treatments, and what we have said in the divisions of illnesses, and do not hasten the treatment, and sometimes because of the illness that is not enough what we have said about the first cauterization by medicine or by fire, then it is necessary that you apply the cauterizing iron, which has been purified, on the place of the pain along the line of longitude where the greatest pain is, or in that area; and place your hand for a while and firmly hold it while you make an incision in the artery and penetrate to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard the continuity of the jaw, which is hindered by chewing, and that the ligament is not injured and the nerve which moves it, and that there is no spasmodic contraction.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and caution of the flow of blood from the artery that is cut, for in the cutting of it there is fear, and especially for one who ignores what he does and is not careful and is reckless; then leave the operation to someone who begins.
