Ayssi comensan las paraulas de Albucasim .	Thus they begin with the teachings of Albucasim.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauterization by fire and with sharp medicine and reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatment of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary to investigate the quality of the juices of that cauterization and of its occurrences, and in what complication it is prohibited to cauterize.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the juice of cauterization and its occurrence is a long and prolix discourse, subtle by science, and secretly hidden; and already many wise men have spoken about it, and they are discordant among themselves, and for me it suffices to take a little from their discourses, fearing prolivity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterization is suitable for every universal complication, whether it be with matter or without matter, except for two complications, which are complications without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complicated and dry matter, it is said that a burning sensation occurs; for some said that cautery is helpful in this case, and others said the opposite, that cautery is not convenient for an illness characterized by heat and dryness, since the nature of fire is heat and dryness, and it is inconvenient to treat a hot and dry illness with something that is itself hot and dry, but rather something moist should be used to heal.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And they said that the opposite of that is true, that cautery is beneficial in all hot and dry illnesses that occur in the bodies of men, for when you compare the body of a man and its humidity to the complexity of fire, you find the body of a man to be cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say this from the sermon of that one, who has already experimented with that many times and discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But it is more fitting that what comes next is that which has already been tried and tested in the chapter on cautery through prior exercise, and having understood the diversity of the complexities of men and the disposition of their illnesses, and the causes of those, and the accidents that befall them, and the timing of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complications, it is not about your fear, and especially in cold and moist illnesses, for already all the doctors agree on those, and are not in disagreement about the treatment with cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And it is known, sons, that the secret of cure by cautery with fire and of its goodness, so much about medical combustion, is that the fire is simple, whose action does not penetrate except to the member which is cauterized and does not reach another member of the body except for a small harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medical combustion reaches to that one in the members where it is joined, and strengthens it so much that it comes into the sick member with difficult healing and it also helps it.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, by its sublimity and the goodness of its substance, does not make that except to overflow; And it is already known to us through experiment and length of service of study in the art about the truth of causes; and for this I am excused from the length of the sermon; And if it were not that my free will is not read in this passage to you, hidden secret with fire, and the quality of its operation in bodies and of its expulsion through which you expel diseases, in a philosophical demonstration, which would be sharp in your thoughts.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they disagree about the time in which it is convenient to do cautery and consider the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, because the harm caused by the accident in time is submerged in the benefit of what the cautery attracts, and especially if the cautery is for pains or necessary pains, strong and constant, which do not tolerate delay so that it is feared that malice will come, which is worse than a small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And I also do not cater to your feet, or, sons, this is not esteemed except by the common people and foolish doctors, so it is that for that illness which is healed by cautery, not all time is needed, and they pause on that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not known thus by them because, since cautery is not but in place of medicine which alters the complexion and dries the humidity which are the causes for which the pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But I prefer cautery over medicine due to the will of its validity and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the illness returns at some hour of time, according to the complexion of the patient and the location of the illness, and the virtue of it, and what is prepared in the body from the aggregation of superfluities in it, and what has come to it through its acquisitions in food and similarities of those causes; unless the illness in which cautery is administered is a subtle illness in a member with few superfluities and humidities, just as a cautery for tooth pain and similarity to that, it is possible that in it the pain does not return, but rather it happens in a small way.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And most vulgar speech is that cautery is the last resort of medicine, and it is a third option, not because they understand in it, but because they believe that neither medicine nor any other cause justifies the use of cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is to the contrary; and the intention that cautery is the last resort of medicine is not unless when administering the methods of cure in certain illnesses, and those medicines do not work, and then at the end of the treatment, one administers cautery, and it is useful for that purpose.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And thus it is clear that cautery is the last resort of medicine, not according to the intention which the common people and foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the excellence of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not make a difference, as this is not absolutely true, because it has been proven and found that it does not make a difference except in some bodies other than the others, and cautery with gold is good and better than with iron, as they said; however, when you do cautery with fire on gold, it is not up to you to declare, because it burns according to the quantity that you want for the roughness of the gold, and prepares to receive cold; and if you adjust it over the flame, the gold melts in the fire, and certain layers are formed through which the artisan can work due to the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for that reason, a cautery iron is made with a fine point and is properly applied with slight pressure to the affected area of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on the cautery according to chapters, and I have ordered those of the head between the feet, so that I clarify to the inquirer what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On the cautery for headache caused by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization is beneficial for the humidity and cold that affects the servant's accidental condition, of which there are two causes, so it is a cause of sweating and an abundance of rheumatic flux, called corrissa, from the head to the joints and ears, and an abundance of sleep, and of pain in the teeth and throat, and universally of all ailments that come from cold, such as paralysis, swooning, and apoplexy, and similar things in those ailments.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cauterization is this: first, we command the patient to evacuate with a laxative medicine, cleansing the head for three or four nights, according to what the virtue of the ailment and the age of the patient and their habit require.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then we command him to shave his head with a razor, and then make that incision between the thighs on a heated bench and place his hands on his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then stop the flow of your palm near the sole of the foot on the flow of the nose between the ankles.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Greater emperor, when the vein that runs through the middle of the place is perforated, touch that place with a probe, and apply the olive-tree cautery to it, which is the form of this treatment.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then stop that on the location with a gentle touch, in a way that descends, so that the vein is constricted little by little, and you turn it around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand slightly and examine the location, and if you see any part of the bone being uncovered to some amount of the head, like the amount of a grain of barley, then lift your hand, and if it doesn't return to its place, or if another one does, if it is chilled, until what was said to you is seen by the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on the location and apply it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then stop it on the cloth dipped in vinegar and apply it to him until the scar of the wound is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then heal the location with four-part ointment until it is healthy.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it is said that as the wound in the arm grows larger, so much better does the arm become, because it is more youthful and improves.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They said that among them, the knee should be cauterized within the bone, and a cautery should be held within it until some part of the bone's marrow is released.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove what has been adjusted to the bone, and then cure it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They said that others with the cautery should penetrate to the back, until it strongly impresses on the bone so that the bone breaks, and this is the method of minor surgery:
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, vapors of the head are expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the open wound be held for a long time, and then let it be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But to me, these two species of cauteries have not been seen, except in some men according to the way of fear; and I say, it is better for me, healthier is with salt, what it is; because the head is revealed by solution of continuity of the aforementioned, as we have testified in other members, and especially when the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cautery is the safest and best, it seems to me; and from that usage and with that work, comes health.
Capitol segon.	Chapter according to.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head there is chronic and long-lasting pain and it is prolonged in the patient, and uses treatments with poultices and bandages and medicated plasters and remedies and potions and ointments and gargles and similarities, and especially if it has already been cauterized with a cautery that we recount and does not alleviate the suffering of those causes, then consider whether the head of the patient is of strong creation in its nature; and it is not fragile and absorbs much cold, then cauterize with another cautery, leaving that one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that on the horn of the sick head with a cautery within which the cord is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and let it be uncovered by the bone the quantity that we have recounted, and cauterize that with a cautery in the posterior part of the head, in the place which is called "vas" — and this is the place where the windy humour is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And raise your hand thus, and do not uncover the bone, because the patient by this will absorb much diverse pain different from the pain of all the other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery is in its place, because it is known that the cautery with which the horns of the head and the occiput are cauterized is a more subtle cautery than the one with which the middle part of the head is cauterized; and this is the form of it.
Capitol ters.	Head of the bed.
De cauterisacio de emigranea no-antiqua.	Of cauterization of non-ancient migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the part of the head or it is a stubborn pain within the belly, let it be evacuated with medicines that clean the head, and let another cure be administered, which was mentioned in the chapters on illnesses; and not to prolong it, cauterization is done in two ways: either with sharp medicine that burns, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The best cauterization with burning medicine is that you take a cauldron of salt, and pour it out and bind the extremities of the patient on both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut the place of the pain in the temple with a sharp needle so that it is in the patient's bad blood, and let the blood be evacuated, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then put a bandage on the wound to stop the strong constriction, and leave it there for three hours; and then remove it and wash the wound with salt water, and leave the plaster on for two or three days; and then apply a poultice soaked in vinegar until the place forms a scab.
E aprop cura aquel am enguent entro que sia sanat.	And then heal it with an ointment until it is healthy.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see that certain medicines burn, which I have written about in the second treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	More, the cauterization is done with iron following this method:  Ignition for cauterization of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called nail hammer, because the head of it is like the form of a nail in which there is some curvature, and in the middle place of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And put the pause on the place of the pain, and hold your hand — so that the artery which is underneath is not injured — and turn the small iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is injured by the sharpness of the cauterization is as much as the size of it, and raise your hand so that the artery which is underneath is not injured, so that no flow of blood comes.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And put the cloth soaked in salt water and place that on the area, and leave it there for three days; and then put a clean bandage, and treat it with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize at the extremity of the shoulder blade according to the cauterization, and beware of the incision of the artery in this proper non-ancient migration.
Capitol quart.	Fourth chapter.
De cauterizacio d’emigranea antiqua.	On the cauterization of ancient migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines with what we have said about previous treatments, and what we have said in the divisions of illnesses, and do not hasten the treatment, and sometimes for the illness that is not enough what we have said about the first cauterization or medicine or cauterization by fire, then it is necessary that you apply the cauterized iron where it is whitened, because it signifies on the place of pain along the line of length from which is the greatest pain, or where that is; and place your hand for a guide and hold it firmly while you cut with the iron and penetrate to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard the continuity of the jaw, which is gnawn by chewing, and that the ligament not be torn and the nerve which moves it, and that spasm does not occur.
