Ayssi comensan las paraulas de Albucasim .	Thus they begin to recite the words of Albucasim.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the discourse on the quality of the juice of cautery and its outcome is a long and prolix discourse, subtle for science, and hidden secret; and already many wise men have spoken about it, and they are discordant among themselves, and for me it suffices to take a little from their discourses, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery is suitable for all universal complexion, whatever the material or non-material may be, except for two complexions, which are cold complexions without material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complicated and dry matter, it will be decided; for some said that a cautery is helpful for that, and others said the opposite of that, that a cautery is not convenient in an illness which is due to heat and dryness, because the nature of fire is heat and dryness, and it's convenient that a hot and dry illness with a cautious and dry treatment will be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And they say that which says the opposite of that, that with a cautery is made a remedy for all hot and dry illnesses that occur in the bodies of men, because when you compare the body of man and its humidity to the complexity of fire, you find the body of man is cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the sermon of that one, that I have already experimented this myself many times and discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I more openly say that it is not necessary for what has already been tried and discussed in the chapter on cauteries through previous exercise, and to have understood the diversity of the complexity of men and the disposition of illnesses in their treatments, and the causes of those, and the accidents of them, and the timing of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complications, it is not about your fear, and especially in cold and humid illnesses, because already all doctors are in agreement on those, and they do not disagree on the treatment with a cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you should know, sons, that the secret of cure by cautery with fire and the goodness of it, is that on a medical cautery, the fire is simple, whose action does not penetrate except to the member which is cauterized and does not reach another member of the body except for a small injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medical fire penetrates to that in the members where it is joined, and it makes come to the member with difficulty of healing a strong help and assistance.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, by its subtlety and the goodness of its substance, does not make it exceed except that it is superfluous; And we have joined to us through experiment and through length of service of study in the art on the truth of causes; and for this I excuse the length of the sermon; And if it were not that it is not read in my free will in this passage, a secret hidden with fire, and the quality of its operation in bodies and of its expulsion by which you expel diseases, in a philosophical demonstrative sermon, which would be sharp in your thoughts.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they disagree about the time in which it is convenient to do a cautery and they pause for the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, because the harm caused by the accident in time is submerged in the benefit of what the cautery attracts, and especially if the cautery is for pains or necessary pains, strong and frequent, which do not suffer delay for fear of those that bring malice, which is greater than small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And also do not step on your feet, or, sons, that they do not esteem except the common people and foolish doctors, it is that for that illness which is healed by cautery there is not need for all time, and they pause to consider the consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not known thus by them because of that, for cautery is not but in place of medicine which alters the complexion and dries the humidity which are the cause for which come the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	More, I prefer cautery above medicine for the will of its validity and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the illness returns at some hour of time, according to the complexion of the patient and the location of the illness, and the virtue of it, and that which is prepared in the body from the aggregation of superfluities in it, and that which has come to it through its acquisition of food and similitudes of those causes; except that the illness in which cautery is administered is a subtle illness in a member with few superfluities and humidity, just as a cautery for a tooth for pain and similitude to that, it is possible that in it the pain does not return, but rather decreases.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And most vulgar speech is that cautery is the last resort of medicine, and it is a speech of ignorance, not because they understand it, but because they believe that it is not a cure that is improved by medicine nor by any other cause except for applying cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is to the contrary; and the intention that cautery is the last resort of medicine is only when we administer the means of cure in certain illnesses, and those medicines do not work, and then at the end of the treatment, cautery is administered, and improved by that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And it is said here that cautery is the last resort of medicine, not according to the intention which is understood by the common people and ignorant doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not matter, as it is not absolutely true, because it has been proven and found that it does not work except in some bodies other than the others, and cautery with gold is good and better than with iron, as they said; but however when you do cautery with fire or with gold, it is not declared to you, because it is done according to the quantity that you want for the roughness of the gold, and prepare to receive cold; and if you adjust it on the ignited spot, the gold melts by the fire, and pour some lamellas into the fire so that the artisan can take it for the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And by this a cautery iron is made with a gentle touch and properly applied to the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on the cautery according to chapters, and I have ordered those of the head within the feet, so that I alleviate the demanding thing that he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On the cautery for pain in the head caused by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization is contrary to humidity and cold on the servant's accidental [condition] of which there are two causes, so it is a cause of sweat and multitude of fluxes, called rheumatism, from the head to the parts of the ears and of the hearing fluent, and multitude of sleeping, and of pain in the teeth and of the throat, and universally of all malady that comes from cold, as well as paralytic, and apoplectic, and similar things in those maladies.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this, that first we command the patient to be evacuated with a laxative medicine for three or four nights, according to what the virtue of the malady and their age and their custom require.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and then make him sit between your hands on a wooden bench and place your hands on his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then stop the flow of your palm near the foot on the flow of the nose between the two heels.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	More precisely, when the vein of the middle place is perforated, mark that place with a probe, and apply the olive cautery, which is the shape of this:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then stop that on the place you are probing with a hand that presses down, in such a way that the vein is constricted little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand gently and examine the place, and if you see the bone being uncovered to some extent of the head, like the quantity of a grain of barley, then lift your hand, and if it does not return to its previous position, or if another one appears, if it is inflamed, until what has been said to you is seen by the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on the place and apply it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then stop it on the cloth wrapped in cotton and place it on until the scar of the wound is destroyed by the fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then heal the place with four-part ointment until it is healthy.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it has been said that as the wound becomes larger, so much better will be the arm, because it is more improved and younger.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They said that part of it should be cauterized where the bone enters, and hold the cautery in such a way that it touches some portion of the bone's marrow.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then scrape off what is attached to the bone, and then let it heal.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They said that others with the cautery should reach to the back, so that it presses into the bone strong pressure so that the bone breaks, and this is the method of small aphtha.
E estiman de aquel loc expiran la vapors del cap.	And they think that from that place come out the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the wound be kept open for a long time, and then be treated until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But to me, these two species of cautery have not been seen, except in some men according to the way of fear; and it seems to me, better is health, when it is; for the head is revealed by solution of continuity of the aforementioned, as we have testified in other members, and especially when the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cautery is safer and better, in my opinion; and from that practice and with that work comes health.
Capitol segon.	Chapter according to.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the head suffers from chronic and prolonged pain, and this is in the patient's prolonged illness, and uses treatments such as poultices and suppositories and head wraps and plasters and bandages and cold compresses and liniments and remedies, and especially if it has already been cauterized with a cautery that has not relieved the symptoms of those causes, then consider whether the patient's head is of strong constitution in its nature; and it is not fragile and suffers from great cold, then that cautery should be done with another cautery, leaving the previous one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that area on the horn of the sick head with a cautery until the cord is severed.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and expose the bone the amount that we have described, and cauterize it with a cautery in the right part of the head, in the place which is called "vas" — and this is the place where airy flesh is found.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand thus, and do not expose the bone, because the patient suffers from very great pain different from the pain of all the other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery in its place, because it is known that the cautery with which the horns of the head and the occiput are cauterized is a more subtle cautery than the one with which the middle part of the head is cauterized; and this is the form of it.
Capitol ters.	Head of the bed.
De cauterisacio de emigranea no-antiqua.	From the cauterization of an old migration.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain is located in the part of the head or it is a stabbing pain inside the eye, then evacuate the head with medicine that cleanses the head, and administer the other cure, which was previously mentioned in the treatment of illnesses; and not to prolong, there are two ways to cauterize: either cauterization with sharp burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The most cauterizing of burning medicine is that you take a handful of salt, and scrub it and bind the extremities of the patient on both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut into the place of pain in the temple with a sharp lancet so that it is in the patient's bad blood which remains there, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply a bandage over the wound with a tight compression, and leave it there for three hours; and then undo it and treat the salt, and leave the poultice on for two or three days, and apply a plaster submerged in hot water until the place forms a scab.
E aprop cura aquel am enguent entro que sia sanat.	And then heal it with an ointment until it is healthy.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want, make this with some burning medicines which have been written about in the second treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	More with the cautery iron according to this method:  warnings for the cautery of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called key or end of the hands, because its head has a form like that of a nail in which there is some curvature, and in the middle place of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause over the place of the pain, and hold your hand — so that the artery is not irritated, which is underneath — and turn the small iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is irritated by the narrowness of the tube is as much as its size, then raise your hand so that the artery which is underneath is not irritated, so that there does not come a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak a cloth in salt water and apply it to the place, and leave it there for three days; and then apply a warm poultice, and treat with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see it, cauterize at the extremity of the knife wound according to the cautery, and beware of the cutting of an artery in this migration properly not ancient.
Capitol quart.	Fourth chapter.
De cauterizacio d’emigranea antiqua.	Of the cautery of ancient migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat emigranea with the aforementioned treatment for the preceding cure, and what has been said about the divisions of illnesses, and do not hasten the cure, and sometimes due to the illness that is not enough for what has been said about the first cautery in medicine or the cautery with fire, then it is necessary that you apply the cautery iron which is albificated, because it indicates on the location of the pain along the line of longitude where the majority of the aforementioned is, or perhaps something else; and place your hand for a observation and hold it firmly while making an incision in the artery and penetrating through to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It is necessary for you to be mindful of the continuity of the mandible, which is harmed by chewing, and that the ligament not be injured and the nerve which gives movement to it, and that it does not become dislocated with spasms.
