Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Avicenna.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another doctor who perforates a cancerous fistula, and it becomes an ulcer that takes several days to heal, until the malignancy of the disease increases under his care.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which causes the pain to be purely from melancholic humor, and it does not cover that it will harm them completely, but rather that it should be in the member where they suffer most.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, sons, it is necessary for you that the operation be divided into two parts: one is in an operation associated with health, and the other is in a work which is perilous to the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already encountered this throughout all parts of this book where operations are discussed that contain error and fear; for it is necessary for you to keep this and reject that, so that people do not take the wrong path and speak against you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	So take up your tools with diligence and the protection of God, and your patients as an ease and a stability.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best means by the grace of God to achieve salvation and glorious success, leave behind terrible illnesses with difficult healing, and set aside your fears so that your faith and your name are not abandoned: for more remains to your glory, both now in this world and forever after in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	He already dissected in some of his own members:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not cure bad ailments improperly, lest bad doctors become renowned.
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first, from the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered deals with the feet, in the forms of instruments and the craftsmanship of cauterization tools, and what is necessary for the operation.
La divisio de la segonda partida.	Division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter discusses incision and perforation, and the use of cupping glasses, poultices, and extracts from arrows and similar objects, all chapters and ordered according to the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of twists and similar conditions; a well-ordered chapter on internal foot issues and the shapes of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and sharp medicine, and the recollection of the operation.
Am aquel comensa le tractat de tot le libre.	At that point begins the treatment of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Understand what I have said about the quality of the materials for that cautery and the documents related to it, and in what circumstances cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, it is said that the discourse on the quality of cautery materials and the documents related to them is long, prolix, and subtle in its knowledge, and secrets are hidden within it; and much has been written about it by scholars, but there are disagreements among them, so I will content myself with a brief discussion of their points.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore it is said that cautery will relieve every condition universally, whether it be of material or its matter, except for two conditions, which are conditions that have their own matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the condition that is dry and hard, the matter is out of balance; some say that cautery is beneficial for such cases, while others say the contrary, claiming that cautery is not appropriate for ailments caused by dryness and hardness, as the nature of fire is quality and dryness, and it would be counterproductive to treat a condition that is dry and hard with heat and dryness.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who say the contrary claim that cautery is beneficial for all dry and hard conditions seen in the bodies of men, because when you compare the body of man and its humidity to the condition of fire, you find the body of man to be rough.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And he says through the discourse of those who claim this, that he has already experimented with it several times to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not advisable to attempt this without proper training and knowledge, as one who has already been initiated and practiced in the art of cautery on various parts of the body, knows well the diversity of human anatomy, the disposition of ailments within their members, the causes of these, and the circumstances surrounding them, and the passage of time regarding these.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other complex cases, there is no need to fear, especially in gouty and humid ailments, for all doctors are in agreement about these, and they do not disagree on the treatment with cautery in these cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my children, that the secret of healing by cautery with fire and the goodness of it, lies in cautery as a medicinal remedy, for fire is simple; its action affects only the member being cauterized, without causing pain to other members nearby, except perhaps with a slight sensation.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of the medicinal fire reaches those members from which it draws its strength, and it strongly affects a member suffering from a difficult-to-heal ailment, aiding its recovery.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Kindle the fire, due to its subtlety and the goodness of its substance, for it does nothing but superfluous things. It has long been known to us from experience and from the longevity of studying the art regarding the truth of causes; and therefore you are excused from the length of speech. If it were not that it is read at my own leisure in this brief moment, I would secretly keep the fire from you, as well as the quality of the operation in the body and its expulsion by which you expel illnesses, demonstrated through philosophical discourse, which would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know this, my children, that the timing of when to perform cautery and place pads is best during springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And you say that cauterization is convenient at all times, so that the damage caused by time's accident is overshadowed by the healing of what is thrown off by cautery, especially if the cautery is for pains or necessary aches, severe and acute, which do not suffer from delay, since it is feared of those who come with evil, that it is better to inflict minimal damage entering at the right time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus, do not sit on your feet, my sons, for it is only the common people and foolish doctors who value such things; for that illness which is healed by cautery does not always return, but leaves its consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they believe, for cautery is merely a place of medicine that alters the composition and dries up the humors which are the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Yet, one may use cautery superfluously over medicine because of the desire for its validity and virtue in operation and the greatness of their lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that their illness may return at some time in the future, depending on the composition of the illness and the location of their affliction, and the strength of it, and what is prepared within them from the addition of excesses and humors, and what has come to them through their food and similar causes; but the illness in which cautery is administered is a subtle illness in a few excesses and humors, just as dental cautery for pain and similar conditions, so it may be that that pain does not return, but this is done in small doses.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is often said in popular speech that a cautery is the last remedy of medicine, and it is true speech, not to those who understand it, for they believe that it is not a cure that profit through medicine or any other cause near cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the reason is to the contrary; and I understand that saying a cautery is the last remedy of medicine is only when one administers methods of healing in certain illnesses, and those medicines do not take effect, and then at the end of the cause, one applies a cautery and profits from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here it follows that a cautery is the last remedy of medicine, not according to the understanding of the vulgar and too many lay physicians.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that a gold cautery is better than an iron cautery, and they did not say this but for the equality of the gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cautery does not cause pain, which is not entirely true, for you have already seen and experienced that it only causes pain in some bodies; cautery with fire from gold is good and better than what they said; nevertheless, when you make a cautery with fire, be careful, because gold melts according to the quantity you want, due to the intensity of the heat, and if you place it over the fire, some sheets may fall into the fire so that the artisan suffers from occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this, cautery with iron requires that we hold it lightly and precisely to ensure the correctness of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And you have already organized this chapter on cautery according to other chapters, and you have ordered those from the beginning related to the feet, so that now I am asking him what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	About cautery for head pain caused by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers dryness and coldness upon the affected part, which is the primary cause of sudden and numerous rheumatic fluxes, called chills, from the head to the extremities of the arms and legs, as well as many sleep-related issues, toothache and throat pain, and generally any illness that arises from cold, also causing paralysis, stiffness, and apoplexy, and similar conditions in those maladies.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method for this cautery is as follows: first, command the evacuation of the illness using laxative medicines, three or four nights in a row, according to the nature of the illness, the patient's age, and their usual condition.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command them to shave their head, and make a cut between their thighs on a clean bench, and place their hands on the afflicted foot.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place your palm's pressure on the bridge of their nose between their eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, if the said condition of the middle part is overcome, mark that place with a try, and then apply the olive-shaped cautery whose form is this:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that over the healthy area marked with a try, descending in such a way that the patient's hand is gradually constrained, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then gently lift your hand and inspect the area, and if you see that any bone is exposed, as well as any amount of gum or stone (calculus), lift your hand, and if not, return your hand to that instrument, or another one from it, while keeping it cold until you are able to see the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt, dissolve it over the area, and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand over the area soaked in border and leave it on the inside until the wall of fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then apply the treatment to the area with the four-part remedy until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it is said that when the Roman plague opens up, the better the brace, as it is more beneficial and restorative.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that some of them cauterize the cord within the bone and hold the cautery until some part of the bone's specific nature is hardened.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then they remove what is adjusted to the bone, and then it is cleaned.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they say others that with the cautery to reach the deepest, it strengthens the bone from within, so that the bone does not break, and this is the form of creating small incisions:
E estiman de aquel loc expiran la vapors del cap.	They believe that from that place, vapours from the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound remains open for a long time, it should be treated until it heals and hardens.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not recommend these two types of cautery to everyone, but only to certain individuals out of fear; and in those cases, when it is necessary for healing, it is best done as soon as possible, as we have seen with the other members, especially when the head of the malady is of a feverish nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The specific type of cautery, when applied correctly, is the safest and best method for healing; and from that practice and with that work comes health.
Capitol segon.	Second chapter.
Del cauteri del cap.	On the head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and prolonged pain occurs in the entire head, and this persists for an extended period of time, and various remedies such as herbs, combs, caps, plasters, guazes, caldrons, goats, sheep, and similar treatments are used, especially if a cautery has already been performed that does not address the root cause of the malady, then one must consider whether the nature of the head ailment is robust; if there is no significant or severe pain, then another cautery should be applied.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that area on the side of the head where the hairline is parted using an internal cautery.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the hairline and expose the bone as much as we have found, and cauterize that area with a cautery at the rear part of the head in the place called "vas" - it is the location where the wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And apply your hand to it, do not expose the bone, for the illness finds great pain through this, different from the pain of all other cauterizations on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you should perform this cauterization in its proper place, because you know that the cauterization which treats the horns of the head and the occiput is a more subtle cauterization than the one performed on the middle part of the head; and this is its form.
Capitol ters.	Capitol terms. (Note: This appears to be a heading or a title, not a sentence to translate.)
De cauterisacio de emigranea no-antiqua.	On the treatment of old migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When a severe pain arises at the base of the head or a burning pain extends to the ear, it is treated with medicines that cleanse the head, and other cures, as I have mentioned regarding the deviances of illnesses; and if these do not prove effective, cauterization on it is performed in two ways: either with acute medicinal fire, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May there be cauteries or burning medicines, you should take a hot cloth, cut it open, and extract the extreme ends of it from both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then you should incise the painful area on the temple with a lance, carefully so as not to cause further harm, until the pain is alleviated.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then you should stretch it strongly after the swelling has subsided, and leave it for three hours; and afterward, extract the foreign body, and apply a poultice for two or three days, and keep the affected area submerged in cold water until the pain ceases.
E aprop cura aquel am enguent entro que sia sanat.	And then you should apply a cure made from a potion, as long as it heals.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, perform these using some of the burning medicines that I have written about in the two treatises on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Apply the cautery according to this manner: take a hot iron whose shape is as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called a claw clamp because its head has the shape of a claw with some curvature, and in the middle part there is a small eminence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then apply pressure over the painful area, hold your hand—to prevent the skin from being burned—and slowly turn the iron at a controlled speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood stuck due to the specific condition of the vein is such that it equals or exceeds the capacity of the vein, raise your hand so that the artery below is not affected, preventing any flow of pus.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then soak it in salt water and place it over the area for three days; also apply a lot of heat, and take care to use ointment until it heals.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, burn the end of the knife with a cautery, and be careful not to make an incision into the artery in this fresh wound especially.
Capitol quart.	Capital quarter.
De cauterizacio d’emigranea antiqua.	On the cauterization of old wounds.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When treating an old wound as we have discussed in the previous treatment and the divisions of illnesses, and if the treatment does not improve or worsens due to the illness that does not allow access to what we have said about the initial cauterization with medicine or fire, then you must ignite the cuticular cautery until it is whitened, indicating over the area of pain along the length of which is the most intense, or where; and rest your hand for a moment and press deeply as you make an incision into the arteria.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful about the continuation of the jaw, which is damaged and affects chewing, that the fracture is not healed and the nerves which are affected by it, and that a spasm does not occur.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it concerns the care and caution regarding the flow of blood from an artery that is severed, as in the case of its abrupt separation, there is fear, especially for those who do not understand what they are doing and lack study and patience; and thus, surgery on them should be delayed.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you should return to the recollection of the regulation of the flow of blood from an artery according to its nature in its proper place within this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you find that this illness does not respond to the cautery and see that the patient's condition is tolerable, perform the cautery in the middle part of the head as we have mentioned, and treat the wound until it heals.
