Ayssi comensan las paraulas de Albucasim .	Thus commence the words of Albucasim.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already encountered this in every place of this book where we speak of operations involving error and fear; therefore, it is necessary for you to pay attention and set aside that which leads people astray from speaking and shames you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take up your weapons with diligence and the protection of God, and your patients with ease and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best means for the grace of God leading to salvation and glorious success, and set aside the terrible illnesses of difficult healing, and cease using those things that make you fear, so that your confidence in your faith and in His name does not desert you: for greater glory remains for you, and more honor both in this world and in the next, to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	They already dissected in some of their own organs:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat bad diseases improperly, so that bad doctors do not become famous.
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first, the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter organized within the feet, in the forms of instruments and in the tools of cautery, and of what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter deals with incisions and punctures, and also with venoms, and with extracts of arrows and similar objects, all chapters and ordered according to the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and repositioning, and on the cure of twists and similar conditions; a well-ordered chapter on internal foot care and the shapes of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and sharp medicine, and the remembrance of the operation.
Am aquel comensa le tractat de tot le libre.	At that point begins the treatment of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Understand what I have said about the quality of the youth of that cautery and the documents of it, and in what conditions cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, it is said that the discourse on the quality of cautery's youth and the documents of it is long and prolix, subtle for knowledge, and secrets hidden; and much has been spoken about it by many wise men, and there are disagreements among them, so I will content myself with a small part of their discourses, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore it is said that cauterization will apply to the entire universal connection, which is of material or its material, except for two connections, which are connections whose material is itself.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the connection that is dry and lacks material, opinions differ; some say that cauterization is beneficial to it, while others claim the opposite, stating that cauterization is not appropriate for ailments characterized by quality and dryness, as the nature of fire is quality and dryness, and it would be counterproductive to treat a condition that is dry and lacking in moisture with heat.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who claim the opposite state that cauterization is beneficial for all dry and dehydrated ailments in the bodies of men, as when you compare the body of a man and its humidity to the connection with fire, you find the body of a man to be rough.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And he says through the argument of those who claim this, that he himself has already discovered it through experience several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not appropriate for someone who has already been exhausted and practiced in the chapter of cautery for further training, and who knows the diversity of the composition of people and the disposition of ailments in their bodies, and the causes of those, and the accidents of them, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other situations, there is no need for fear, especially in dry and humid ailments, as all doctors are agreed on these, and they are not discordant in the application of cautery to them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my sons, that the secret of healing by cautery with fire and the goodness of it, lie in cautery over medicine, for fire is simple, whose action only reaches the member to be cauterized, and does not affect other members with its heat except with a slight discomfort.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of medicine combined with fire reaches that member from which it departs, and strongly drives away the sick member of difficult healing, and strongly assists.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Light, due to its subtlety and the goodness of its substance, does not cause this but exceeds. It is already known to us from experience and from a long service of studying the art based on the truth of causes; for this reason, I excuse you from the length of my speech. And if it were not that it is hidden from me in this brief moment, I would reveal to you the secret fire, and the quality of the operation in the body and its expulsion through which you expel illnesses, demonstrated by philosophical discourse, which would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that the times of disagreement from which these diseases arise are in the springtime, when it is most convenient to make cauterization and apply pressure.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And you say that cauterization is convenient at all times, so that the damage caused by accidental time is overshadowed by the healing of what is thrown off by cauterization, and even more so if the cauterization is for pains or necessary pains, severe and extensive, which do not suffer from delay, because it is feared those that come with evil, that it is better to have a little damage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And so do not sit on your feet, my children, for it is only the common people and foolish doctors who value such things, for that disease which is healed by cautery does not fully recover, and leaves a scar.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason is not thus as they believe, for cautery is but a place of medicine which alters the composition and dries up moisture, which is the cause why pain comes.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Yet doctors may use cautery excessively over medicine because of their desire for its power, virtue, and the greatness of their lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that their illness may return at some time in the future, according to the nature of the illness and its location, and the power of it, and what is prepared within the body from the addition of excesses in it, and what has come upon it from food and similar causes; for the illness in which cautery is administered is a subtle illness in members with few excesses and moisture, just as a tooth cautery for pain and similar things, so it may not return that pain in it, but this is done in small measures.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is common in popular speech that a cautery is the last remedy of medicine, and although it may seem the rightest thing to do, they believe that it is not a cure that benefits from medicine or any other cause through cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the reason is to the contrary; and the understanding that a cautery is the last remedy of medicine is not so much as when one applies the methods of healing in certain ailments, and those medicines do not work, and at the end of the cause, one administers a cautery to benefit from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here it follows that a cautery is the last remedy of medicine, not according to the understanding of the common people and too many of the foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that a gold cautery is better than an iron cautery, and they did not say this except for the equality of the gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cautery does not burn unless it is absolutely true, for you have already seen and experienced that it only burns in some bodies, and cauterization on that spot is good and better than what they said; nevertheless, when you make a cauterization with fire from gold, it is not clearly declared, because the amount of gold you want determines the severity of the burn, and since you prepare to receive friction; and if you place it over the flame, the gold melts in the fire, and sometimes some sheets fall into the fire so that the craftsman can catch them due to the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this, cauterization with iron must be made more gently and precisely to ensure the correctness of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	You have already organized this chapter on cauterization according to other chapters, and you have organized those within the feet first, so that now I am asking him what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	With a cold cautery for head pain due to coldness and humidity.
Le capitol primier.	**First Chapter**
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers upon the servant the benefit of humidity and coldness as remedies for various accidents, which are two causes of severe and numerous rheumatic fluxes, called rigor, from the head to the parts of the senses and ears, flowing excessively, and also from sleep, toothache, and throat pain, and generally from any ill health that arises from cold, similarly in cases of paralysis, apoplexy, and similar ailments.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cautery is as follows: first, command that the illness be evacuated using a laxative on the head, for three or four nights, depending on the severity of the illness, the age of the patient, and their usual condition.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then he commands them to shave their head, and make that cut between your thighs on a prepared bench, and place their hands on the patient's feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then he places the palm of his hand, pressing it against the root of the nose between the patient's feet.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, if the swelling in the affected area has subsided, mark that place with a sign, and then apply the olive-shaped pointed cautery to it.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then he places that over the healthy area marked with a sign, descending in such a way that the patient's hand is gradually constrained, and you remove that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then he gently lifts his hand and examines the area, and if you notice any bones exposed, along with the quantity of grit or stones, raise your hand again, and if it doesn't return to that position firmly, use another instrument from those nearby, or one cooled down, as long as it's visible to the bone, which I have already mentioned.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it over the area and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then apply pressure on the burned area at the border, and leave it on the inner part until the skin's barrier is destroyed by the heat.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then clean the area with a four-ingredient ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it is said that when the Roman plague opens, the better the arm gets, so it is better and more youthful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that some parts of the bone should be cauterized and the cautery should be held until a part of the bone's spirit is dried up.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then remove the part that is attached to the bone, and clean it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they say that the cautery should be applied to the back, first strengthening the bone with a powerful tool, and this is the form of the small knife used for lancing:
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that area, vapours from the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then it should be treated until it is healed and consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not have sight of these two types of cautery in all cases, but only in some men according to the way of fear; and let this be enough for me: health is best when it is present, as we have witnessed in the other members, and especially when the head of the patient is naturally hot.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the specific type of cautery that comes first is the safest and best for me; and from that and in that work, health comes.
Capitol segon.	Second Chapter.
Del cauteri del cap.	On the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and persistent pain occurs throughout the head and these symptoms prolong in the patient's suffering, it is customary to use various remedies such as blades, splints, poultices, emplasters, salves, leeches, and dogs, and even more, but especially if a cautery has already been performed that does not address the root cause of the malady. Consider this: if the head of the patient's illness is of a strong and inherent nature, and there is no severe or obvious external injury, then such cauterization with another cautery should be left to one side for the time being.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that part of the head where the bone is cracked using an internal cautery.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and expose the amount we have found, then cauterize that with an internal cautery at the rear part of the head in the area known as the "vat" – it is the location where the wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And apply your hand there, do not expose the bone, for the malady finds great pain through it, unlike all other burns on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you should apply this cautery in its proper place, because you know that the cautery which treats the horns of the head and the occipital region is a more subtle cautery than the one applied to the middle part of the head; this is its form.
Capitol ters.	Capital chapters.
De cauterisacio de emigranea no-antiqua.	On the treatment of old migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When a severe headache occurs at the temple or inside the head, and pain is spread throughout the body, it is treated with medications that clarify the head, and other remedies as mentioned in the treatment of illnesses; if these do not prove effective, then cauterization is performed in two ways: either with sharp, burning medicines or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Make use of cauterizing medicines or burning ointments, take a hot compress and cut open the affected area on both sides of its ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then, with a lance, cut into the site of pain in the temple, deeply enough to reach the bone, but not to expose it.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then tighten it with a bandage after applying a cold compress, leaving it for three hours; afterwards, remove the compress and place the affected area in hot water for two or three days, then apply a new bandage to the cooled site.
E aprop cura aquel am enguent entro que sia sanat.	And then apply a salve to that area until it heals.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you choose to do this, follow the instructions I have written in the two treatises on burning medicines that I have mentioned above.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Apply the cautery according to this manner: take a hot iron whose shape is as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called a claw clamp because its head has the shape of a claw with some curvature, and in the middle part there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then apply pressure over the painful area, hold your hand—to prevent the skin from blistering—and slowly turn the hot iron at a gentle pace.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood that clings to the specific part due to the heat of the iron is such that it covers most of it, raise your hand so that the artery beneath does not adhere, preventing any flow of pus.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then clean the area with salt water and place a dressing over it, leaving it for three days. Apply a lot of ointment around the wound until it heals.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, burn the edge of the knife with a cautery, and be careful not to incise an artery in this newly formed injury.
Capitol quart.	Capital quarter.
De cauterizacio d’emigranea antiqua.	On the cauterization of ancient injuries.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an ancient injury as we have discussed in the previous section on the treatment of various ailments, and if the treatment is not effective, and the pain persists due to a lack of light (or proper care), then ignite the cautery knife while it is still sharp, focusing on the area of greatest pain along its length. Rest your hand for a moment and press down as you make the incision to reach the underlying artery.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be vigilant regarding the continuation of the mandible, which is severely damaged due to lack of chewing, and ensure that the wound is not infected, and the nerves which are affected, do not have spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it concerns the prevention and care of the flow of blood from an artery that is compromised, as in the case of its occlusion, there is fear, especially for him who does not understand what causes it and lacks study and patience; thus, delay the operation upon it at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And now come to the remembrance of the rules for dealing with the flow of blood from an artery, as it happens, according to their manner, in their place within this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this ailment does not respond to the cautery and you judge the patient's condition tolerable, apply the cautery in the middle part of the head as we have mentioned, and cure the wound until it is healed.
