Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Avicenna.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who claim the opposite state that cautery is beneficial for any dry and painful condition in the human body, as when you compare the human body and its humidity to the nature of fire, you find the body dry.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And he says through the arguments of those who claim this, that he has personally experimented with it numerous times to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not advisable for this to be handled by someone who has no experience in the practice of cautery and who is unfamiliar with the diversity of physical conditions in people, their causes, the circumstances under which they occur, or the passage of time regarding them.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other conditions, there is no cause for fear, especially in cases of pain and swelling, as all doctors are agreed on these, and they do not disagree about the use of cautery to treat them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my children, that the secret of healing by cautery with fire and the goodness of it, lie in cautery as a medicinal flame; for fire is simple, whose action only reaches the member being cauterized, without affecting other members with its heat, except to a slight degree.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of the medicinal flame reaches those members from which it withdraws, and strongly causes pain in a member affected by a difficult-to-heal illness, aiding greatly in its healing.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Kindle the fire, due to its subtlety and the goodness of its substance, does not cause harm, and it is already known to us from experience and from the long study of the art on the truth of the causes; for this reason, I excuse you from the length of my speech. And if it were not that this secret fire, which I hide in this brief pause, cannot be read at my free will, the quality of its operation in the body and its expulsion through which we eliminate illnesses, demonstrated by philosophical discourse, would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, my children, that the time of discord is when cauterization and bandaging should be performed, and it is best to do so in the springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And you say that cauterization is convenient at all times, so that the damage caused by accidental time may be overcome by the youthfulness of what is removed through cauterization, and most especially when cauterization is for pains or necessary pains, severe and acute, which do not suffer delay, since it is feared those that come with malice, that it is better to minimize damage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And so you must not fear in your hearts, o sons, for this condition is not esteemed by the common people or foolish doctors; it is that with such illness treated by cautery, it is not always completely cured, and they leave behind a consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not understood thus by those who care for it, for cautery is but a place of medicine that alters the composition and dries up moisture, which is the cause why pain comes.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Yet, they may use cautery superfluously over medicine because of the will to assert its validity and the virtue of its operation and the power of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that their illness may return at some time in the future, according to the composition of the illness and the location of their malady, and the strength of it, and what is prepared within them from the addition of excesses and humors, and what is acquired by them through food and similar causes; but the illness in which cautery is administered is a subtle illness in a few members with slight excesses and humidities, so with a tooth cautery for pain and similar to that, it is possible that that pain may not return in them, but this is done in small doses.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is a common saying that cautery is the last remedy of medicine, and it is a true saying, not to those who understand it, for they believe that there is no cure that profits from medicine or any other cause by cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the reason is to the contrary; and the understanding that cautery is the last remedy of medicine is not but when one administers the methods of healing in certain ailments, and those medicines confer no benefit, and then at the end of the cause, one applies cautery, and profits from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from this it follows that cautery is the last remedy of medicine, not according to the understanding of the common people and too many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that cautery with gold is better than cautery with iron, and they did not say this but for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cautery does not burn unless it is absolutely true, for you have already seen and experienced that it only burns in certain bodies, and cauterizing with fire from gold is good and better than what they said; however, when you make a cautery with fire, it is not declared to you, because the gold is consumed according to the quantity you want due to the heat of the fire, and if you place it over the fire, some sheets will fall into the fire for the artisan to catch due to the occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this, cauterizing with iron must be done more lightly and precisely to ensure the correctness of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	You have already organized this chapter on cauterization according to chapters, and you have organized those from the beginning within the feet, so now I am asking him what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Regarding cauterization for head pain caused by cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers warmth and heat to the affected area, which is a remedy for two causes: it is effective against sudden cold and numerous rheumatic fluxes, called coryza, from the head to the parts of the nose and ears, frequent sleep, toothache and throat pain, and generally all ailments that arise from coldness, as well as paralyses, soddenness and apoplexy, and similar conditions in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cautery is as follows: first, you must command the disease to be evacuated using a laxative medicine, for three or four nights, depending on the severity of the illness, the age of the patient, and their usual condition.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command them to shave their head, and place that sharp object between your legs on a heated bench, and place your hands on the affected foot.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place your palm's pressure on the bridge of their nose between their eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, if the pain in the middle of the foot has been alleviated, mark that spot with a try, and then heat the olive cautery whose shape is as follows:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that over the unmarked spot with pressure, in a descending manner, so that your hand is constrained little by little, and you lift it up.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then gently lift your hand and examine the spot, and if you see that some bone is exposed along with any quantity of fat, raise your hand again, and if it doesn't return to that position, or if it's chilled, as long as you can see the bone, do as I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt, dissolve it over the spot, and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand over the burnt area at the border, leaving that one inside to destroy the wall of fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with the four-part medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it is said that when the Roman plague opens, the arm gets better and more youthful, so it is better and more restorative.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They also say that the bone should be cauterized within the bone, and the cautery should be held until some part of the specific nature of the bone is hardened.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove what is adjusted to the bone, and then cure it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they say others that with the cautery you should reach the rear, while always strengthening the bone inward, until the bone hardens, and this is the form of creating small incisions:
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, vapors from the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound remains open for a long time, it should be treated until it is healed and strengthened.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not recommend these two types of cautery to everyone, but only in certain cases out of fear; and that one, for me, is better for health when it is appropriate, because the head has been deprived of continuity through solution as we have witnessed in other members, and especially when the nature of the disease is feverish.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the specific type of cautery that comes first is more safe and better for me; and from this and through this work to health.
Capitol segon.	Second chapter.
Del cauteri del cap.	On cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and prolonged pain occurs throughout the head and this is a result of illness, it is customary to use various remedies such as poultices, plasters, extracts, ointments, hot compresses, cold applications, and cataplasms, especially if a cautery has been previously applied that does not heal or benefit from any of those causes. Consider that if the nature of the malady is strong, and there is no significant external injury, then use another cautery instead of this one, a little bit.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that part of the patient's head where the hair is thin using an inner cautery, as long as the skin is intact.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the skin and expose the amount of bone that has been affected, and cauterize it with a cautery at the rear part of the head in the area known as the 'socket', which is the place where the windpipe is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	Then hold your hand over it and do not expose the bone, because this illness causes great pain that is different from the pain of all other cauteries on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you should apply this cautery in its proper place, for this cautery which is used to burn the horns of the head and the occiput is a more subtle cautery than that which is used to cauterize the middle part of the head; this is its form.
Capitol ters.	It appears that your message might have been cut off or there was a typo. "Capitol ters" does not form a complete or recognizable term in any language I'm familiar with, including those similar to Latin, Italian, Spanish, or French. Could you please provide more context or check the spelling? I'd be happy to help translate or interpret if given more details.
De cauterisacio de emigranea no-antiqua.	Regarding the treatment of non-ancient migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When a severe headache occurs at the temple or there is pain within the skull, it is appropriate to use medications that clear the head, and also administer other treatments as mentioned regarding the deviations of illnesses; but if this does not prove effective, cauterization on the affected area should be performed in two ways: either with acute medicinal fire or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	One may use cauterizing medicines or burning remedies such that you take a hot iron, and scorch it and cut off the ends of them from both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then you cut the place of pain in the temple with a lance, until it is felt in the right place and left hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then you tighten it with a bandage for a descent constriction and leave it for three hours; and afterwards you remove the dressing, and leave the pain for two or three days, and place a cold compress on the affected area until the pain goes away.
E aprop cura aquel am enguent entro que sia sanat.	And then apply that as a poultice until it heals.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with certain burning medicines which I have written about in the two tracts on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Prepare the cautery iron according to this manner: ignite the cautery whose shape is as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called a clave (or key) because its head has the shape of a claw with some curvature, and in the middle part there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then apply pressure on the painful area, holding your hand—to prevent the wound from becoming infected—and slowly turn the iron at a controlled speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood stuck due to the nature of the wound is such that it equals or exceeds the capacity of the artery, raise your hand so that the artery is not affected, preventing the flow of pus.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then cover it with salt water and place a bandage over it, leaving it for three days. Apply plenty of ointment until it heals.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the end of the knife with a cautery according to cauteries, and be careful not to incise an artery in this fresh wound improperly.
Capitol quart.	Capital quarter.
De cauterizacio d’emigranea antiqua.	On the cauterization of old wounds.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an old wound as we have discussed in the previous treatment and you do not benefit from it, and the pain returns due to a malady that does not allow access to what we said about the first cautery with medicine or fire, then know that you must ignite the cuticular cautery until it is albified (whitened), indicating its effectiveness on the area of pain along the length of the line where the greatest intensity occurs. Rest your hand for a moment and strengthen it as you make an incision in the artery and penetrate into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful about the continuation of the jaw, which is damaged and affects chewing, and that the wound is not infected and the nerves affected by it are not damaged, and that there is no muscle spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and caution of blood flow from an arterial injury that is acute, as in the acute phase of it there is fear, especially for those who ignore what they are doing and lack study and patience; and let the operation on them begin at a later stage.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And come to the remembrance of the regulation of blood flow in cases of arterial accidents according to their method, in their place within this book.
