Praefatio.	A preface.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some of them said that cauterization is beneficial in it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite, that is, that cauterization is not suitable in disease caused by heat and dryness: because fire is nature's warmth; and it is unsuitable to be healed from a hot and dry affliction with heat and dryness.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who said the opposite said that through cauterization a benefit is produced in all hot and dry diseases which occur in human bodies: because when you compare the body of man to its humors, it turns out that the body of man becomes cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I myself say according to his words: because from experience he has already informed me of this on several occasions.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However it is not to be done unless he who has tested it first and trained himself in the last chapter of Cauterization, and knows the difference between human compositions and the disposition of diseases within themselves, their causes, accidents, and duration, has tried it.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	For the remaining conditions there is no fear for you, and especially in the severe and cold and moist ones.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For since they have all agreed among the physicians on these, and have not disagreed about applying cauterization to them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And you should know that the children of men, that from the secret cure by fire and the good quality of the fire on the cauterization, with the medicine burning against it is: because fire is simple, whose action does not reach anything but to the member which is cauterized; and it does not harm another member united to it, unless a slight damage.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	But the action of burning medicine reaches to that which is elongated from the members: and perhaps it makes occur in the member an illness difficult to be cured, and perhaps kills it.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	However, because of its subtlety and the goodness of its substance, it does not do that, unless it overflows.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	However, this has become known to us through experience, because of the length of study and the effort with the art, and standing on the truth of things: and because of that I excuse myself for not treating the length of the discussion.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not because it is not permitted to me by this book of mine, I would bring you the secret and occult thing in fire, and the quality of its operation on the bodies which it expels, by which it drives away pains demonstrated through philosophical discourse, which would be agreed upon by your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And you should know that the children of men also disagree at the time when it is to be done the cauterization, and they put the better time for the truth.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that the cauterization is fitting in every time: because for this reason, the accident of injury is submerged in the remedy, which is attracted with the cauterization.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if cauterization is needed due to painful necessities, strong, festering wounds that cannot tolerate delay, because of the fear that from them something greater may happen, which is worse than a small damage caused by time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And let it not enter your minds, O sons, that this is not understood by the multitude and the dull physicians, namely that for those who are cured with cauterization, there is no return: they put forward what seems, but things are not as they seem; because cauterium is nothing but a substitute for medicine, which alters the complexion and dries out humidity that causes pain.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	However, cauterization may be superfluous over medicine by the swiftness of its own power, and the virtue of its operation, and the strength of its dominion: and it is possible that the disease will return at some hour according to the complexion of the weak person, and the location of his illness, and its own virtue: and what is prepared in his body from the superfluity of cauterization - namely, what he acquires through his food, and similar things, except if disease arises, in which case cauterium is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A subtle disease in a few members due to superfluities and humidity, such as cauterium of the tooth, due to pain, and similar ones, it is possible that that pain will not return in that place.
Sed illud fit in paucis.	But this happens in few cases.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But the true word is that cauterium is a last resort for medicine, not their intended meaning: because they believe that there is no cure that can compare to or complement medicine, nor to another after the occurrence of cauterium.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	However, it is the opposite, and the intent of cauterization as the last resort in medicine is not so, unless when we administer modes of cure in some sicknesses, and they do not conform to those of medicine: then we administer cauterium at the end of the thing, and confirm; it is from this that it falls out, that cauterization is the last resort in medicine, not according to the intent which the common people and many of the physicians understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	But the ancients said that cauterium made of gold is better than cauterium made of iron: and they did not say it was so, except because of the equality of gold, and its loftiness in substance: and they said that a place does not form pus as a result of cauterization.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But it is not true absolutely: for I have already proved it, and found that it does not do this in certain bodies without other things.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And cauterium made of its own substance is good, and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when the cauterium is made of fire from gold, it does not declare itself to you, when it burns according to its power, because of the reddening of gold: and when it is delayed towards ice, and if you add more heat on it, it liquefies in the fire, and turns into layers.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore the artisan falls from it into occupation: and because of this, we have cauterium made of iron faster and more closely, due to its accuracy in the operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I myself have arranged this chapter on cauterization, according to the chapters: and I have arranged those things from head to foot: so that seekers of it may find what they want from it.
¶ De modo cauterizandi Caput in commissura coronali.	On the manner of cauterizing the head at the coronal suture.
Caput II.	Head II.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	The cauterization here is applied to the authority of humidity and coldness over the brain: which two are common causes, and the flow of many humors from the head to the eyes and ears, and multitude of sleep, and pain in the teeth, and pain in the throat: and universally all kinds of ailments that occur from coldness, such as paralysis, and ordinary epilepsy, and apoplexy, and similar ailments.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The mode of cauterization is, as follows: first you order the sick person to be evacuated, that he may be purged with medicine, in three or four nights, according to the virtue of the sick man, and his age, and his habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then you order him to shave his head with a razor.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands in a square shape, so that his arms are already laid on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm over the root of his nose, between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever your middle finger reaches, mark the place with cautery.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then apply oil cauterization, whose shape is this.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it upon the marked place with cautery, in such a way that your hand is slowly constrained by its descent, and you reverse it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly lift up your hand, and examine the place.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	Wherefore if you see the quantity of a bone, or of sedge, now separated from the head, then lift up your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	If not, repeat your hand with iron itself, or with another from the same if it freezes again; until you see the bones, which I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water, and drink from the same foot, and place it on the spot; and let him be released after three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then place over the foot which has been drunk of butter on it, and release him from the spot until the burn is destroyed by fire.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then treat that with tetrapharmacos (a medicinal ointment) until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They have said that the more the wound remains open, the more it emits pus; so it is better and more healing.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	Some of them said that the skin should be cauterized up to the bone: and that the cauterization should be kept in the wound until it is burnt with a dense consistency of bone.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then it is scraped after what has been burned up from the bone, and then it is treated.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it should be so that when the cauterization reaches to the end, until it makes an impression on the bone like a mark; or an instrument which women put in place of the alphabet small: and they say that from this place there come vapors of the head, and the wound is allowed to remain open for a long time.
Deinde curetur, donec consolidetur.	Then it is treated until it consolidates.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But to me, these two kinds of cauterization are not recognized at all except for those who follow the way of fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And to release him, to me it is better with his health.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the dissolution of its natural continuity: as we have testified in the rest of the body; and particularly when the head is weak with a feeble nature: and the cautery, which is the first species, is more safe and beneficial to me, and I use it: therefore let us work on that with it for the cure.
¶ De modo cauterizandi capitis in dolore totius capitis.	On the mode of cauterizing the head when the whole head is in pain.
Caput III.	Head III.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When there is a chronic pain in the whole head and it continues to afflict the weak, and they use henna, cumin, mustard, and poultices, and olive oil, and application of poultices.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized with one cautery, as we have narrated, and no benefit is added to it by those things: then examine this.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the weak head has a strong natural constitution and is not feeble, and it is struck by a severe cold: then cauterize with another cautery under that.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize the same with a cautery on all of its horns, so that not one part of the skin remains uncovered, and it is discovered how much quantity there was, as we have narrated.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize the head with a cautery on one occasion in the occipital region of the head, at the place called the nuchal line, where it is customary to apply a poultice: and lift up your own thigh in this place, and do not uncover the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the weak suffer because of this great pain, and are different from the pain of the other cauterizations of the head.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I say that this is the cautery for its place: and it should be a cautery used to cauterize the horns of the head, and the occipital region with a finer cautery, by which the middle part of the head is cauterized.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	On the manner of cauterizing on half-craniotomy, both with burning medicine and iron.
Caput IIII.	Head IV.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain occurs in the head, whether it is sharp or dull, or extends to the eye, and the head is cleansed with purging medicines, and the rest of the treatment is administered, as I have said in the divisions of the diseases, but does not cover the whole: then cauterization in that place is done in two ways: either cauterization with sharp medicine burning it up: or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	But cauterization with sharp medicine burning it up is, that you take a single tooth from an animal, and remove its root, and cut off both of its extremities.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then split the site of pain in time with a phlebotomist's knife, until it becomes a place under the skin, in which the tooth is captured.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Therefore insert him into the same under the skin, until it is hidden: then tie him over with a poultice wrapped tightly, and release him after fifteen hours: afterwards remove the animal and release it for two days or three: afterwards place the cloth soaked in butter over the foot that was submerged, until the site becomes infected with pus: then treat it with ointment until it is healed.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to do this with certain burning medicines, which I wrote about in the Twelfth Book, of Burning Medicines.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	But cauterization with iron is done according to this manner.
Igni Cauterium, cuius forma haec est.	The Ignis Cauterium, whose form is this.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	It is called the Clavicle because its form resembles that of a key, for there is some curvature to it, and in its middle is a small prominence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place the clavicle on that spot, and hold your hand in place: and then, slowly turn the iron with speed; so that it is as long as the part burned from the thickness of the skin, just like its middle.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And raise your hand so that the artery, which is below, may not be burnt and that there be a flow of blood.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then bind the foot with salt water and place it back on the spot, and leave it for three days: then put the foot with butter afterwards; subsequently treat with ointment until it heals.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this half-head with the second part of a curved knife.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And cut away from the artery in this half-head, not from an old wound properly.
¶ De modo cauteriezandi in hemicrania antiqua.	On the method of cauterizing an old wound on the half-head.
Caput V.	Head V.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When treating a half-head, with what we have said on the previous treatment and in our divisions of afflictions, and not providing relief: and if you see from the affliction that it is not sufficient for him as we said after the first cauterization with medicine, or after cauterizing with fire, then you must apply a second cauterization with an iron instrument, until the area becomes white after marking its position on the spot with a line, whose length is half the length of a finger, or almost so much: and hold your hand back as if one hand, and tie it tight until you cut into the artery, and reach to the bone.
