Ayssi comensan las paraulas de Albucasim .	The words of Albucasim begin thusly.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it's possible that its illness could return at some point in time, depending on the nature of the ailment and the location of your illness, as well as its virtue, what has been prepared within you from the addition of excesses in you, and what is consumed by you through food and items related to those causes; unless the illness treated with cautery is a subtle illness affecting parts with few excesses and humidity. Like tooth cautery for pain and things related to that, it's possible that such pain doesn't return within you, but this happens in small cases.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	A common medical term is that cautery is the last tool of medicine, and this is a professional discourse, not something I understand in it, they believe that there is no cure that improves with medicine or other cause leading to cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The reason is opposite to that; and I understand that cautery is the last tool of medicine only when administering methods of treatment in some diseases, those medicines do not provide relief, and at the end of the cause one administers cautery, and improves with that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here it is known that cautery is the last tool of medicine, not according to my understanding which agrees with the vulgar and many doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And it was said by the ancients that cautery with gold is better than cautery with iron, and they did not say this simply because of the equality of gold and the inferiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And it was said that the location for cautery does not make a mark, as this is only partially true, because I have already done this and found out that it doesn't do that in certain conditions; gold cautery is good and better than iron in that case as they say; however, when you do cautery with fire using gold, it's not been clearly explained to you, since the heat depends on the quantity you want according to the strength of the gold, and what needs to be received for the process; and if you adjust the fire above it, the gold melts in the fire, and sometimes a few layers are produced that allow the artisan to work on it based on the size of that piece.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, when doing cautery with iron, you should apply it more gently and more precisely in line with the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cautery according to sections, I have organized those pertaining to the foot under it, so that I can request what you want from them.
De cauteri de dolor de cap per frigiditat e humiditat.	Regarding cautery for head pain due to coldness and dampness.
Le capitol primier.	The first section.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery treatment allows the dampness and cold to cause the unfortunate incident of which there are two causes, it is the source of swelling and an abundance of traumatic fluxes, called aural flushing, from the head down to the extremities and ears, as well as all kinds of sleeping disorders, toothache, gout, and universally for any ailment that comes from coldness, such as paralysis, acidity, and apoplexy, and is similar in those ailments.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method for this cautery treatment is as follows: first, you instruct the patient to undergo a purging with an emetic medicine on their head every three or four nights, according to what suits the patient and their age and their usual practice.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then you instruct them to shave their head with a razor, and then they should apply the points on their neck on a flat surface, and place their hands on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then you place the palm of your hand near the nose tip between their ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when you have found the right location as instructed by your guide, mark that spot with charcoal and then ignite olive cautery of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that (cautery) on the marked spot under pressure, in such a way that your hand is gradually squeezed down, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand gently and look at the spot, and if you see that some quantity of the head is exposed, like the amount of wax, in this case raise your hand, and if not, turn your hand towards iron or another one, if it's coldness, so that you can see from the mouth what I've told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on that spot and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place the burned stick in ash and leave it on him until the ashes of the fire are destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with tetrapharmakon ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it was said that when the wound opens up, then the mark heals better and is more rejuvenated, so it's better and more advantageous.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them say that when the canal is burned inside the mouth, then keep the cautery until it becomes reddened from a part of the color of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then make this mark which adheres to the bone, and then treat it well.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that when you reach the end of the cautery, you should proceed inside the mouth until it becomes strong and then the bone falls out, this is the form for small alpha cautery:
E estiman de aquel loc expiran la vapors del cap.	And they estimate that from that spot, vapor from the head escapes.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound is open for a long time, then it should be healed until it becomes consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	And yet, I have not seen these two species of head cautery in all their forms, but rather in some people according to fear; leave it as is, you should know that the best thing is with health, whenever it happens; when the head is treated by solar heat continuity of what we have testified in other members, and especially when the patient's head has a cool nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first species of head cautery is better saved for me, and from that point onwards, do the work with health.
Capitol segon.	Second section.
Del cauteri del cap.	From the head's cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When throughout the entire head there occurs a chronic and long pain, and this extends in the thigh for an extended period, using wars, drums, cymbals, bandages, plasters, gloves, swords, and other tools, mostly if one has already undergone a cautery with a cautery which resists these causes without being worsened by them; then consider that if the thigh of the patient is of strong creation in its nature; and does not endure much friction or fatigue; then this cautery should be repeated again; and the other leaves a small one to the first.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And place that one on the patient's forehead with an inner cautery, where the disease is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Make an incision and expose the amount of disease from the mouth that we have recounted, then apply cautery to it with a cautery in the rear part behind the head at the location which is called the artery -- and this is the area where suction is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And comfort your hand with aloe, and do not expose the mouth, for this patient undergoes great pain from this method differently than the pain from all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say this about this cautery in its location, for it seems that the cautery with which you apply to the horns of the head and the occiput is more subtle than this one which applies to the middle part of the head; and this is how he does it.
Capitol ters.	Headache resolved.
De cauterisacio de emigranea no-antiqua.	Regarding the new migraines cautery treatment.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the rear part of the head or an internal pain in the skull, it should be treated with medicines that cool and calm the head. Then we apply the other treatment, which I have mentioned in treatments for illnesses of the head; without exaggeration, then the new migraines cautery procedure involves two methods: one is to use a cauterization with an acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	When using a cauterizing medicine, you should take a dollop of alum, heat it and then apply the softened ends to both parts of the head.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And place the location of the pain in the temple with a small needle where it was cut open, and leave the incision closed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And strengthen over it with the stoppage of descent due to contraction, and release that by the spaces of three hours; then wash off and dry the alum, and leave the wound for two or three days, and place your hand on its back submerged in water until the spot turns red.
E aprop cura aquel am enguent entro que sia sanat.	And heal that with ointment where it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see this, do as I have written about some burning medicines in my treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The cautery using iron is as follows: heat it to the degree of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And this is called ironing on the head, which makes the head appear like a thorn with some curvature, and in the middle part of it there is a small elevation.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand on the location of the pain, and rub it - so that you don't burn the skin which is left - and slowly rotate the small iron with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity that gets burned due to the intensity of the pain is more than half of it, raise your hand so that the artery which is left isn't burned, so that no blood flow occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the cloth in salt water and place it over the area, leave it for three days; and afterwards place the moist cloth on water, and treat with ointment once it's healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see this, apply the cautery at the end of the surgical blade according to the old method, and be careful not to cause an arterial incision in this new migraine.
Capitol quart.	Headache resolved for the fourth time.
De cauterizacio d’emigranea antiqua.	Regarding the old migraines cautery treatment.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines with what we have discussed about the previous treatment and in the divisions of headaches, without exaggerating the treatment, due to this headache not being enough for what we have said regarding the first cautery with medicine or the cautery with fire, it seems that you should ignite the surgical blade until it becomes white, because place your hand on the location of the pain at the line of its length which is most relevant in our discussion or do so; and then rest your hand for a moment and press there while you incise the skin and go into the skull.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuation of the jawbone which makes chewing difficult, and that the wound not be burned and the nerves that are sensitive to this, and that there does not occur muscle spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it's about the custody and caution of blood flow from the artery that is cut, where there is fear at the cut, especially to those who don't know what they are doing and aren't studious and anxious; leave the operation as it was begun.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will recall here the regulation of blood flow in case of an accidental cut to the artery according to this method, in its place in this text.
