Ayssi comensan las paraulas de Albucasim .	Albucasim begins his words.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already mentioned this in all parts of this book where there is operation with error and fear; it is necessary for you to keep this in mind and be cautious about it, so that the pages do not accuse you or wrong you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons for solicitude and protection of God, and your patients for happiness and strength.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best path by God's grace for the sake of salvation and possible success, beware of the terrible diseases with difficult treatment, keep your weapons away from what makes you afraid; because recovery in your faith and your name will not desert you: it is what remains for your glory, more even in this world and later on in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia already said in some of his monikers:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Don't treat terrible diseases with bad doctors, for it is better to not have heard their names."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have completed this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and the first part of the first section starts.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first ordered chapter within the section on the feet, about the forms of tools and the instruments of cauterys, and what is necessary in an operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning dryness and puncturing, as well as blisters, and plagues, and the extraction of arrows and resemblance to those; a complete chapter organized on the forms of the tools.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, concerning restoration and dislocation, as well as the treatment of twists and resemblance to those; an organized chapter within the feet, on the forms of the tools.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On the use of fire (for cautery) and acute medicine, and recollection of the operation.
Am aquel comensa le tractat de tot le libre.	And here begins the discussion of all free topics.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you about the quality of those affected by this cautery and its aftereffects, and when it is forbidden to apply cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the discussion on the effect of cautery and its aftereffects is long and tedious, subtle in knowledge, and secretly concealed; many wise men have spoken about it, and they disagree with each other, and I am afraid of going too far even by mentioning a little from their discourses.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And thus I say that cautery affects all components universally in terms of matter or sex matter, except for two components, which are the tail components.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail and in the dry condition there is matter that gets dried out; some argue that cautery benefits this area, while others argue against this, stating that it's not convenient for a patient with a quality or dryness condition, as fire has qualities and dryness. It would be inconvenient to use cautery on a tail and dry matter when you want the disease to be cured, since fire is associated with qualities and dryness, and it goes against treating a condition where the body needs moisture and warmth instead of drying out.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says the opposite of this argues that with cautery, youth is achieved in all tail and dry diseases that come to humans. When you compare the human body and its moisture content to the condition of fire, you find that the human body gets rid of it.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say based on the discussion of this, something that I have experimented with for several times myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I must not touch on this topic that has already been thoroughly discussed in the chapter about cautery for later use, and I have come to understand the variety of human body components and the disposition of diseases among their members, as well as the causes of those diseases, their accidents, and the duration of those conditions.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In the other components, there is no reason for fear, especially in diseases that are damp or wet; all doctors have agreed on these issues, and they are not divided about the use of cautery for youth in such conditions.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, about the secret of healing through fire and its goodness, concerning cautery with burning medicine; because fire is simple, its action affects only the member that is being cauterized and does not spread to other members in such a way as to cause minor harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	And the action of burning medicine extends to that in members where it's applied, and it strongly brings about a difficult healing process and a strong weakening.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And fire, through its superiority and the goodness of its substance, does nothing other than excess. We have come to know this through experience and years of service in studying the art, based on the truth about causes; thus, I justify the length of my discussion because if it were not for the fact that there is no freedom to read such secrets about fire, as well as the quality of its operation within bodies and the elimination you perform which expels diseases through a philosophical demonstration which would clarify things in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree about the time when it is best to perform cautery and favor the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times; for the inconvenience due to time accidents are submerged in the youth of what comes from this, and especially if cautery is for pain or necessary pains, strong ones with pus, which do not suffer delay since they fear those which come with malice, which outweigh minor harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And let this not worry you, or children, those who only value common folk and simple doctors are saying that it is not advisable to apply cautery at all times for the healing of such diseases; they fear certain consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason is not so much due to their concern about this, because cautery is merely a form of medicine that alters components and dries out the moisture which causes pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, unnecessary cautery over medicine due to its utility and the virtue of its operation and greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease may return at some point in time depending on the nature of the body and the location of its disease, as well as its virtue, and what is prepared in the patient's body from accumulating superfluities within it, as well as what has been introduced to it through food or resemblance of those causes; so that if cautery was administered for a subtle disease with few superfluities and moisture, even if cautery is done on teeth due to pain and resemblance to that, it may not return the same pain in this patient, rather this can be done for smaller cases.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common term is that cautery is the last resort of medicine, and this is the professional language, not what I understand from it, for they believe that neither this nor any other cause leading to cautery is a cure.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the reason is opposite to this; and I understand that cautery is the last resort of medicine not simply when administering the methods of treatment in some illnesses, and those medicines do not provide relief. Instead, towards the end of the cause, one administers a cautery, leading to this outcome.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here onwards, it is understood that cautery is the last resort of medicine, not according to my understanding which is shared by many common people and doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they used to say that a cautery made of gold is better than one made of iron, and they did not say this in any other sense but due to the equality of gold and its limited nature compared to its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they used to say that the location of a cautery does not cause scarring, but this is not absolutely true, for I have already experienced this and found out that it only causes this in some types of skin, and a gold cautery is good and better than an iron one; however, when you make a gold cautery on fire, you do not specify this, as the heat depends on the quantity you want for the hardness of the gold, and to receive fumes; and if you place the flame over it, the gold melts due to the heat. And in case of heat, several sheets are produced so that the craftsman can work according to the occupation of that one.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, when making a cautery from iron, you should do it more lightly and more precisely towards the accuracy of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cautery according to sections, and I have arranged those of the section inside the feet for you to ask what you want from them.
De cauteri de dolor de cap per frigiditat e humiditat.	Regarding the cautery for head pain caused by coldness and moisture.
Le capitol primier.	The first section.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery brings moisture and coldness to the unfortunate event of which there are two causes, they are the cause of swelling and inflammation, called corissa, from the head to the parts of the ears and behind the ears, as well as sleeping, tooth pain, and the stomach area, and universally for all illnesses that come from coldness, such as paralysis, spondylitis, and stroke, and similar in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cautery is as follows, first command the patient to be treated with a laxative medicine on the head for three or four nights, according to what suits the patient and their age and their custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command the patient to clean their head with a razor, and then proceed to shave them between their hands on a fallen bench, making them lie down on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And place your palm's edge near the nose's tip between their ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when your designated area is reached, mark that spot with a trial, and then ignite the olive cautery of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And place that over the marked spot on trial, in such a way that it descends, while your hand is gradually forced inward, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And lift your hand slightly and observe the area, and if you see that any quantity of the head is already exposed to the air, like the quantity of fat, then lift your hand. And if your hand does not return to that iron, in another one, if it is cooled down, so that what I have told you can be seen from the air.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the area, let that rest for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And place it on the scorched spot in the air and let it rest until the skin burned by fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the area with turpentine ointment until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they used to say that when the wound opens up, so much better the scar gets, for it is better and more rejuvenating.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they used to say that the canal is cauterized inside the mouth, and that the cautery remains until a part of the characteristic of the bone becomes attached.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then let this part stick to the bone like this, and then let it heal.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they used to say that when the cautery reaches the bottom, it strengthens the bone until it falls into the bone, and this is the form of a small aphecati:
E estiman de aquel loc expiran la vapors del cap.	And estimate from that place the fumes of the head expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the wound be open for a long time, and then be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May be that these two types of cautery are not exactly as you see them in all, but only in some people according to their fear; let this rest, for what is best for your health, when it happens; so the head is cleansed by means of continuous application of salve like we have testified on other parts, and especially when the head of the patient has a hot nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is better and more for your sake, so I advise you to use that one with health.
Capitol segon.	The second section.
Del cauteri del cap.	Regarding head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When throughout the entire head chronic and prolonged pain occurs, which is long-lasting in the patient's body, using headrests, pillows, cap cushions, plasters, hats, collars, caps, and other similar items, especially if it has already been cauterized with a cautery that relieves without exacerbating its symptoms; then consider that if the head of the patient has robust creation in its nature; it does not endure much heat or takes a large amount of fire, then this head is cauterized by another cautery; leave him only one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply a cautery on that above his forehead in the region where the vein splits.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the vein and expose the amount which we have measured; apply a cautery on that behind the head in the place where it is called the "vessel," - and that is the place where suction is applied, -
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And hold your hand in this way, do not expose the mouth, for when done like this, the patient experiences a great different kind of pain compared to all other head cautery pains.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I advise to perform this cautery in its place, for it is said that this type of cautery which involves burning the ears and the back of the head as well as the occipital region is more subtle than when the middle part of the head is burnt; this is how it should be done.
Capitol ters.	Head high.
De cauterisacio de emigranea no-antiqua.	Regarding the non-traditional application of cautery for migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain is localized in the head, or when it's confined within the skull, medicines to relieve the pain should be applied to the head. Then follow another treatment method, which I have mentioned earlier for various illnesses; and if all else fails, then using cautery becomes two-fold: either with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The medicine for burning cautery involves taking a small amount of sulfur, heating it until it starts to smoke, and then using the hot ends of two heated pieces of copper as the cautery tool.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then pierce the area of pain in the temple with a small sharp knife, just before doing so make sure to locate the vein and hide it inside.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And apply strength to it until the descent is stopped by constraint, and then let it rest in that area for three hours; and cleanse and wash with sulfur, letting the wound heal for two or three days, and place a compress dipped in oil over the affected part, allowing it to cool.
E aprop cura aquel am enguent entro que sia sanat.	And then treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you observe, do this using some burning medicines that I have written about in my treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The cautery using iron follows this manner: heat it until you can create this form for the cautery:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called the key of the lock, where the head of it is thus shaped like a clove, and in the middle part of it there is a small protuberance.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand on the area of pain, hold - to prevent the heat from damaging the skin which is exposed - and move the small iron piece back and forth gradually at a speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount that gets heated due to the specificity of the vein like most parts do, raise your hand so that the artery does not get heated as well, in order to prevent bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the compress in salt water and place it on the affected area, let it stay for three days; and after that, apply the oil-soaked compress over butter, then treat with ointment until it heals.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And when you see that it's necessary, apply the cautery at the tip of the knife following the usual procedure. Be careful not to cut into an artery in this non-traditional migraine treatment.
Capitol quart.	Head quarter.
De cauterizacio d’emigranea antiqua.	Regarding the application of cautery for traditional migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines as we have described for previous treatments and as detailed in the divisions of illnesses, if those methods do not provide sufficient relief, due to issues with the illness itself, then consider this: heat the knife cautery until it glows white hot, meaning place your hand over the area of pain along a line that's most affected by what we've discussed earlier, or right there; pause for a moment and apply strength there before piercing the skin and entering into the skull.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is essential that you guard against the continuous jaw movement, which can harm your ability to chew, and ensure that the tongue does not get burned along with the nerves that control it, as well as prevent muscle spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it's concerning the risk of bleeding from an artery which gets cut during the procedure, there is fear in this operation, especially for those who don't know what they are doing and lack experience; leave the operation as started.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will remind you of the order for dealing with bleeding incidents due to vessel rupture according to this method in this article.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this method of cautery does not provide enough relief for the illness and finds the patient tolerable, apply the cautery in the middle of the head as we have counted, and treat the wound until it heals.
