Ayssi comensan las paraulas de Albucasim .	This begins the words of Al-Baghdadi.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And the fire, due to its simplicity and goodness of substance, does not do this except cause excess. We have come to know this through experiments and a long service in studying the art, based on understanding the true causes; for that reason, I justify myself from going into much detail about this topic. But were it not for the fact that these secrets concerning fire and its operation within bodies, as well as your expulsion causing maladies to leave, are not fully understood through philosophical demonstration alone, they would serve you well in these discussions.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know this, children, that there are disagreements regarding the time when cautery should be applied and they pause on the best period of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is suitable in any time period; because the harm due to temporary accidents is submerged by the youth brought about from that which comes with cautery, especially if it's used for pain or necessary pains that are strong and inflamed ones, which don't suffer from delay as feared by those that might cause mischief, which is greater than small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And you shouldn't consider this in your discussions, or children, those who only estimate such things as the common folk and lay doctors do, it's true that for every ailment healed by cautery not all times are suitable, and they hold onto this conclusion.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason isn't simply this when they worry about it, because cautery is merely a form of medicine that alters structure and dries out the humidity which is causing the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	And however, excessive cautery over medicine due to its value and virtue of operation and the greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it's possible that the ailment could return at some point in time, depending on the structure of the body and the location of its ailment, as well as its virtue, and what is prepared within the body from adding superfluities to it, as well as what gets absorbed by it through food and similar causes; otherwise, if the ailment being treated with cautery is a subtle ailment in limbs with few superfluities and humidity, just like dental cautery for pain and similar treatments, it's possible that such pain wouldn't return within it, rather, this happens on a small scale.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common saying is that cautery is the last remedy of medicine, and it's an outdated term, not something I understand in this context, they believe it's not a cure that improves with medicine nor any other cause leading to cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the reason is against this; and I understand that cautery is the last remedy of medicine, but it's only when administering methods of treatment in certain illnesses, and those medicines do not work, then at the end of the cause, one administers cautery, and improves towards that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here at this point, that cautery is the last remedy of medicine, not according to my understanding which recognizes common and many doctors' views.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And it was said by the ancients that cautery with gold is better than cautery with iron, and they didn't say this merely due to the equality of gold and its limited substance compared to others.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And it was said that the place for cautery does not burn, as this is not absolutely true, I have already done this and found out that it does not do this in certain parts of the body rather than others; cautery with that (gold) is good and better than with iron too as they were saying; however, when you perform cautery with fire using gold, it has not been clearly explained, it's heated according to the quantity you want for the hardness of the gold, and to receive freg. And if you place the fire on it, the gold melts due to the heat; and in some parts of the fire, several sheets are heated so that the artisan can work on it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, when performing cautery with iron, you should do so more gently and more precisely according to the nature of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cautery according to chapters, and I have ordered those of the foot within these, for which I am asking you what you want from them.
De cauteri de dolor de cap per frigiditat e humiditat.	Regarding cautery for head pain due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery process facilitates the cold and humidity to reach a sudden event of which there are two causes, they are caused by soda and multiplicity of traumatic flux, called corissa, from the head to the parts of the veins and ear canals, and multiplicity of sleep, and tooth pain and throat infection, and universally for all illness that comes from coldness, such as paralyticism, soda, stroke, and they are similar in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cautery is as follows, which we initially ordered the patient to undergo a liberating medicine in their head for three or four nights, according to what you require from the patient and their age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And afterwards you instruct the patient to shave their head with a razor, and then make them sit on a low bench and place their head on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the tip of your palm close to the pulse under the nostril between the patient's ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when you've reached the middle point as instructed, mark that location with a test, and then apply olive cautery oil which has this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And place that (the olive oil) over the marked spot on the heated test, in such a way that it descends slowly as your hand is gradually constrained, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And slowly lift your hand and look at the spot, and if you see some quantity of the head being exposed already, like the amount of grease in oil, then lift your hand. And if your hand doesn't turn towards that iron or another one, when it is cold, show me what I have told you about this head from which you can observe.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the spot, leave that for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then apply it over the burned cheek in butter and leave it until the skin from fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with tetrapharmacon ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it was said that when the wound opens up, then the bruising improves, because it is better and more rejuvenating.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And it was said by them that the cautery is done inside the mouth, and the cautery should be kept until a part of the quality of the bone becomes hardened.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then make this mark that gets hardened from the bone, and then treat it properly.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And it was said by others that the cautery reaches to the end, within which one should take care of the bone's strength in order for the bone to come out, and this is the method for small cautery:
E estiman de aquel loc expiran la vapors del cap.	And consider that place where the vapor from the head escapes.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And keep the wound open for a long time, and then it should be cured when it becomes consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	And yet I have not seen these two types of head cautery from you, but rather in some individuals according to fear; leave that as is, the best is with health when possible; so the head opens through solution due to continuous contact like we've testified in other body parts, and especially if the patient's head has a hot nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is better and safer, you should do it that way; from there onwards and with that method for health.
Capitol segon.	Second chapter.
Del cauteri del cap.	About head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When throughout the head a chronic and long-lasting pain occurs, and this is prolonged in the patient's body, using remedies such as teas, broth, cold compresses, wraps, hot water baths, massages, and other treatments, especially if already treated with one cautery which doesn't aggravate the patient's symptoms from those causes; then consider that if the head of the patient has a strong creation nature; and doesn't cause much heat or inflammation, then this cautery should be replaced by another, leaving the patient with just a few sessions.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply the cautery near his forehead in the spot where the neck divides, applying the cautery inside that area.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the neck and reveal the amount of matter in it which we have recounted, then apply the cautery near his head behind the neck at the place where one would call gout, - and that is the spot where suction was performed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And hold your hand in ashes, do not uncover the mouth, for this patient experiences great pain due to this different from all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I shall direct this cautery in its place, for it is known that this cautery when used to cauterize the horns of the head and the occiput is a finer cautery than that which is applied to the middle part of the head; and this is the form of this patient.
Capitol ters.	Head healed.
De cauterisacio de emigranea no-antiqua.	Regarding the cautery treatment for non-age-old migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain at the back of the head or pain spreading within the skull, it should be relieved with medicine that clears the head, and then another treatment is administered, which I have mentioned in the treatments for diseases; and if this does not improve the situation, then the cautery treatment for this is done in two ways: either with an acute burning medicine cauterization or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Medicine cautery that involves burning is when you take a dollop of garlic, and pierce it and cut off its extremities from both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then apply the painful area in the temple with a small knife where it is cut into you leave the neck, where it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen on you by stopping it with pressure due to descending constriction, and let that flow through the space of three hours; and release it by spreading out the garlic, and leave the wound for two or three days, and place your elbow under water where the spot makes a bruise.
E aprop cura aquel am enguent entro que sia sanat.	And then treat that with grease until it heals.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see this done with some burning medicines which I have written in the detailed treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The cautery with iron according to this method: heat it for the process of which here is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called a ring lock, where the head of the patient is thus shaped like a thorn, and in the middle part of it, there is a small elevation.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand on the painful area, - to prevent burning the skin which is being heated -, and move the small iron slowly but steadily.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that gets burned by the uniqueness of the neck thus much, raise your hand so that the artery which is being heated does not get burned either, to prevent a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then dip your elbow in water with salt and place it on the spot, and leave it for three days; and then place your elbow under water, and treat it with grease until it heals.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see this done, apply the cautery at the end of the knife as for cautering, and be careful not to cut into the artery in this non-age-old migraine.
Capitol quart.	Head fourth.
De cauterizacio d’emigranea antiqua.	Regarding the cautery treatment for ancient migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines as we have said for the previous treatment, and as we have said in the divisions of diseases, and if this does not improve your treatment, because there is still what we previously mentioned about the first cautery with medicine or with heat, then know that you should light the knife cautery so that it becomes white. This means holding your hand over the painful area at a line which has most of what was previously discussed, or at this point; and place your hand for a moment and press that into piercing the artery and entering the skull.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, you must guard against the continuation of the jawbone, which should not be burned during chewing, and that the muscle which controls it is not affected, and that no cramp occurs.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the fear of blood flow from the artery that is cut, which causes fear, especially in those who do not know what they are doing and lack experience; leave the operation to them at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will remind you of the protocol for blood flow accidents involving the artery according to his method in this free.
