Ayssi comensan las paraulas de Albucasim .	This begins the words of Albucasim.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he would slip according to his desires, and afterward he would dress the wound, and then allowed it to heal over several days as commanded by our prescriptions; this also happens when the skin and chest are erysipelas infected, leading to disaster.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I have attempted this for him, and helped to slip out the obstruction, achieving tranquility and alleviation of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was already confirmed in the limb, so I couldn't restrain it, and it continued to spread the corruption within the body as the patient's condition deteriorated.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another surgeon who drilled an abscess and was ulcerated several days later, during which his illness increased in the lord's presence.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is the reason why the wet nurse must be pure of melancholy humor; otherwise, it would affect him with all its strength, but rather that there is a member that suffers from everything being affected by it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for that reason, children, it is necessary for you to have the operation on a person divided into two parts: one associated with health and in work where danger is present in major circumstances.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already set out this in all parts of this book where there is operation involving error and fear; it is necessary for you to keep that in mind so that the pages do not accuse you and mislead you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take your weapons in the service of God and protection, and your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way with God's grace to obtain health and reasonable succession, and tolerate the terrible diseases that are difficult to heal, and keep your weapons away from what you fear, so that recovery is in your faith and in your name does not abandon you: for more remain at your glory, and also in this world and later on your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Guali already said in some of his monochords:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Don't treat bad patients with bad medicine, for it is not the fault of doctors that they are named badly."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have completed this book according to three main points.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and first comes the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered within the feet, in the forms of the tools and in the implements of the cautery, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning drying and puncturing, as well as the use of blisters, plagues, extraction of arrows, and resemblance to those, all organized and detailed in the forms of the tools.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, concerning restoration and dislocation, as well as the treatment of torsion and resemblance to those. The chapter is organized within foot ailments, detailing in the forms of the tools.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	About the cautery with fire and the use of acute medicine, remembering the operation.
Am aquel comensa le tractat de tot le libre.	And with this begins the discussion on all the free topics.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Let me tell you about the quality of those cauteries and their lumps, and in which phase it is prohibited to use a cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the discourse on the quality of the cautery's lump and its lump is long and tedious, subtle in knowledge, and hidden in secrecy; already many wise people have spoken about it in detail, and they disagree among themselves, yet I am content with a small part of their discourses, fearing lengthiness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And I say that the cautery confirms to any phase universally made of matter or sex matter, except for two phases; those are phases made of sex matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the phase of dryness and heat, there is matter; some argue that the cautery should be applied to such conditions, while others say the opposite. They believe it's not convenient for an illness characterized by its nature and dryness, as fire has these qualities. It's inconvenient for a caudal and dry ailment when treated with something hot and dry which might heal it instead of being detrimental.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And the one who disagrees with this argues that in all dry and hot ailments that occur within human bodies, when you compare the body of a person to the phase of fire, you find that the human body is cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say according to the discourse of this, which I have experimented with for several times and discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I do not delve into what has already been extensively discussed in the chapter on cautery and known through later exercises. I understand the variety of human phases and the distribution of illnesses among their members, as well as the causes of those illnesses and the occurrences related to them, and the timing for those events.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other phases, do not worry about this, especially with wet and humid illnesses; already all doctors have agreed on these, there is no disagreement. And they are not concerned with the use of cautery in wet conditions.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that in the secret of healing with fire and the goodness of this matter, concerning cautery using medicine, it is because fire is simple; its action only reaches the part that is treated by cautery and does not extend to other parts unless there's a slight injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of medicine used for burning reaches those parts of the body where it was applied, and it significantly increases the difficulty in healing an illness in that body part, making recovery quite hard.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	The fire, by its subtlety and the goodness of its substance, does not do anything except excess. We have known this through experiments and long years of service studying the art, understanding the truth about their causes; thus I justify myself for the length of my discourse. If it were not that my freedom in writing this passage did not allow me to reveal this secret related to fire, as well as the quality of its operation within bodies and its expulsion, which would serve as a philosophical demonstration revealing itself in your minds, it would be enlightening for you.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree on the time when it is convenient to apply cautery and wait for the best springtime period.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at any time because the injury caused by time's passage is submerged in the heat of what was applied with the cautery, especially if it's for pain or necessary pains, strong ones and pimples which do not suffer from delay as they are feared compared to those that might cause malice, which is more significant than a small injury coming over time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this does not pass in your minds, or, children, they only consider what the common people and ordinary folk doctors think, that is, it's not necessary to apply cautery at all times when healing from an illness; thus there is a consequence with that.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason is not as simple as they think; cautery is merely a form of medicine that alters phase and dries out the humidity which causes pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	And indeed, unnecessary cautery over medicine due to the value and virtue of its operation and the greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it's possible that the patient's illness could return at any time depending on the phase of their illness and the location of their ailment, its virtue, what is prepared within their body from accumulating superfluities, as well as what is ingested in foods related to those causes; unless the illness being treated with cautery is a subtle illness involving few superfluities and humidity. For instance, when dental cautery is done for pain, it's possible that this type of pain doesn't return within them anymore, though this happens in smaller cases.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	A common medical term is that the cautery is the last resort of medicine, and this is a professional discourse, not one I understand in it, they say that using it does not constitute treatment nor another cause leading to cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is against this; and I understand that the cautery is the last resort of medicine not simply when administering the methods of treatment for some illnesses, and those medicines do not work, and at the end of the cause one applies cautery, and proceeds with that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here comes the view that the cautery is the last resort of medicine, not according to my understanding, which agrees with common knowledge and many doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients would say that a cautery made of gold is better than one made of iron, and they would not say this simply because of the equality in terms of value between gold and the inferiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the location for applying the cautery does not cause a burn, as this is not absolutely true; I have already experimented with this and found out that it doesn't do this unless in certain parts of the body, where a gold cautery is good and better than an iron one just like they would say. Yet however, when you apply the cautery using fire onto metal, you are not told to do this, as the heat depends on the quantity you want based on the size of the gold, and how it needs to be received in preparation; and if you adjust over the flame, the gold melts with the fire; and in case of burning in the fire, a few sheets are produced for the artisan to work upon that part.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, when applying the iron cautery, you should do so more gently and more precisely according to the principles of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter concerning the cautery according to sections, and I have organized those of the section within the feet, because I will ask you for what you want from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Regarding the application of a cautery for head pain caused by coldness and dampness.
Le capitol primier.	The first section.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This application of cautery brings about the effect of humidity and coldness onto a specific part of the body where two causes are involved, causing swelling, inflammation, and traumatic flow, known as "corissa," from the head to other parts of the neck and ear fluid, along with various sleep issues, tooth pain, throat problems, and universally for all illnesses caused by coldness, whether they are paralytic, swollen, or resulting in stroke, and similar conditions.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cautery is like this, initially instruct the patient to undergo a medicine-based elimination of toxins from their head for three or four nights, according to what you require and the patient's health condition and routine.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And subsequently command the patient to clean their head with a razor and then make them lie down on a sloped bench, placing their hands under their back.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And place the palm of your hand next to the nose's edge between their ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when you have determined the right location as advised by you, mark that spot with your finger and then apply an olive oil cautery of this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place it over the marked spot on your heated hand in such a way that as you descend, your hand is gradually constrained, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand gently and look at the spot, and if you see some amount of skull being exposed already, like the quantity of fat that sticks out, in this case, lift your hand, and if it doesn't heat up with iron or another type when placed on it, especially if it's cold, then you will observe the condition I have told you about.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on that spot, and let that sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place an unripe buttercote over it and let that sit until the layer of burnt skin is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And subsequently, cure the area with tetrarhompha cream until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they have said that whenever the wound is opened like this, it's much better and quicker to heal compared to when it isn't, because it heals faster and rejuvenates more.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that when the canal is burnt into the bone, and then letting the cautery remain until it adheres to some part of the bone's surface.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then scrape off this burnt bone piece, and then let it heal.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they say that when the cautery reaches the deepest point, it strengthens the bone inside until the bone breaks through, and this is how you perform this treatment:
E estiman de aquel loc expiran la vapors del cap.	They estimate that from that place, vapor from the head escapes.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the wound remain open for a long time, and then it will be healed once it has been consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Nowadays I do not see these two kinds of head cauteries at all, but in some individuals according to fear; let this stand: it's better for health when done immediately, as the head is healed through the continuity of its own juices as we've witnessed in other body parts, and especially so when the head is made of fatty nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the type of cautery first is more saving and better you must use it; and from that one, do that work until it is healed.
Capitol segon.	Second chapter.
Del cauteri del cap.	On the head's cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and long-lasting head pain occurs throughout the whole body, and this lasts in the patient for a long time, using remedies like herbs, spices, poultices, oils, combs, scissors, gauze, and bandages, especially if an earlier cautery has been used which didn't alleviate the effects of those causes; then consider that if the head is strong by nature; and doesn't undergo severe pain or fever, then this cautery uses another kind, letting the previous one use a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And place that cautery on the top of their head, within which the pain is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the pain and reveal its quantity from the opening of the mouth, which we have measured, and place that on a cautery in the part behind the head at the location which is called the vessel - and this is the location where suction is made.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And warm your hand in ashes, and do not reveal the mouth, for when this is done, the patient experiences various intense pain different from the pain of all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I shall say this about the cautery in its place, that when one uses a cautery to cauterize the heads and occiputs of the head is more subtle than the one used which cauterizes the middle of the head; and this is how it should be done.
Capitol ters.	Final chapter.
De cauterisacio de emigranea no-antiqua.	On the treatment for new migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain is concentrated in the head or occurs inside the skull, it should be treated with medicines that soothe headaches and then administer another cure which I have described in treatments for illnesses; if none of these methods work, then the cautery treatment for this would be done in two ways: either using an acute burning medicine as a cautery, or using iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	A cautery made with a burning medicine is that you take half a clove of garlic, crush it and cut off the ends from both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then prick the pain spot on the temple with a pointed needle inside where you make the incision, inside where the pain is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen yourself by stopping any descent of congestion, let that flow through spaces of three hours; and gently remove the garlic, leave the wound for two or three days, and rest on your elbow with it submerged in water until the place becomes warm.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that with ointment once it has healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see fit, do this with some burning medicines that I have written about in the detailed treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	A cautery made with iron follows this way: heat it up to use as a cautery, in the following manner:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called a thorn lock, where the head of the patient resembles a thorn in which there is some curvature, and at the middle of the head is a small elevation.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand over the location of pain, and hold it back - so that you do not burn the skin which is under this - and slowly rotate the small iron piece with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of it that is burned by the sensitivity of the pain is as much as half of this, lift your hand in such a way that the artery which under this is not burned either, so that no blood flow occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak your elbow in salt water and place it over the area, let this rest for three days; and then rest with a damp cloth on the water, and then cure with ointment once it has healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see fit, cauterize at the end of the bistoury (surgical knife) as per cautery instructions, and watch that you do not make an incision into the artery in this new migraine.
Capitol quart.	Final chapter.
De cauterizacio d’emigranea antiqua.	On the treatment for old migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines using what we have said about the cure previously, and what we have said in the divisions of illnesses, if this treatment is not sufficient for you, and times when the illness does not reach what was said of the first cautery with medicine or the cautery with fire, then consider that you should ignite the surgical knife so that it turns white, which signifies over the area of pain on a line of length where most of what was said belongs, or place this; and rest your hand for one time and strengthen that while you prick the skin and delve into the skull.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, you must guard against the continuation of the jawbone, which is crushed by chewing, and that the tongue does not stick to it, and that the nerves that affect this do not cause cramps.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and caution of blood flow from the artery that is cut, there is fear in this dissection, especially for those who do not understand what they are doing and lack experience; and leave the operation as planned.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I shall return to recall the regulation of blood flow from an artery accident according to its manner, in this section of this work.
