Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasim.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he would follow it according to his wishes, and afterwards he would dress it, and let it heal for several days, and command that we remove the bandage; and thus within which the wound and the flesh have developed pus, leading to destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I had requested this from him, and he prepared to remove the bandage, achieving tranquility and alleviation of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was confirmed in the member, so I could not suppress it, and it continued to spread the corruption within the body of the patient.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who punctured an abscess and cancer, and some days later it became magnified in the lord of the patient.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is the reason why the cancerous ulcer is pure of melancholic humor, so it does not spread throughout the body, but rather that it's in a member that suffers from being exposed to all.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, children, it is necessary for you that the operation in our body be divided into two parts: it is associated with health in the operation itself, and work which involves risks in major positions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already discussed this in all parts of this book where there is operation involving error and fear; so it is necessary for you to consider this and avoid it, so that the pages do not get involved in speaking and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons for solicitude and protection of God, and your patients for happiness and strength.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way through God's grace for seeking health and hopeful succession, and leave your terrible patients with difficult recovery, and keep your weapons of what makes you afraid, so that recovery remains in your faith and your name does not forsake you: for it is only then that they remain in your glory, and even more so externally in the world and ultimately in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galen had already said in some of his monographs:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Don't treat sick patients badly, for bad doctors are not found among them".
E yeu ja he devesit aquest libre segontz tres capitols.	And I have completed this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and it starts with the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is organized about the feet, concerning the forms of instruments and the tools for cauterization, and what is necessary in an operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning drying and piercing, as well as suction cups, plagues, extraction of arrows, and resemblance to those methods; a fully detailed and organized description of the tools' forms.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, concerning restoration and dislocation, as well as the treatment of torsion and resemblance to those methods; an ordered chapter about treatments within the limbs, and the forms of the tools.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On using fire for a cautery and applying sharp medicine, remembering the operation.
Am aquel comensa le tractat de tot le libre.	Let us begin with the treatise on all free matters.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Know that I will speak about the quality of those burnt areas and their healing, and in what state is it forbidden to perform a cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then I say that the discussion about the quality of the burnt area and its healing is long and tedious, requiring deep knowledge, and hidden behind secrecy. Much has been said on this subject by great scholars, and they disagree among themselves, yet I am content with a little of their teachings, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And thus I say that applying cautery affects the whole body universally, its nature being either pure or impure matter. Except for two conditions, those are the scrotum's pure matter condition.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the condition of the spine and the back, there's impure matter; some would argue that applying cautery should be beneficial to such areas, whereas others would disagree, stating that it is not suitable for diseases that are due to nature and dryness, as fire's nature is one of dryness. It would be inconvenient if a disease from pure and dry material was treated with heat and drying that leads to healing.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he points out that what you've said is the opposite of this, that with cautery, youth should be applied in all diseases of the spine and back that occur in men's bodies. When you compare a man's body to the conditions of fire, you find that a man's body has been burned.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say according to this discussion, which I've experienced myself several times and have discovered through experimentation.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Nevertheless, let it not be said that this comes after what has already been discussed and exercised in the chapter on cautery techniques, where one learns about the variety of body conditions among men and the locations of diseases within their limbs, as well as the causes of these illnesses, their incidents, and the time span for those situations.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other conditions, there is no cause for alarm, especially in wet and damp diseases; all doctors have agreed on these matters, and they are not divided when it comes to applying cautery to such conditions.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Know this, children, about the secret of healing through cautery using fire and its benefit: when it comes to cautery medicine, burning is involved; for fire is simple, its action affects only the member that is being cauterized and does not spread to other members with the same intensity unless causing minor harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of burning medicine reaches to those members that are in contact with it, and it forcefully brings on difficulties in healing the diseased limb.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Fire, due to its power and the quality of its substance, does not do anything other than overflowing. We have known this through experimentation and many years of service studying the art, understanding the truth about causes; hence I excuse myself for the length of my discussion. If it weren't that such knowledge isn't freely available to you on this subject hidden behind fire, and the quality of its operation within bodies as well as its expulsion which pushes out diseases through a philosophical demonstration that would sharpen your minds, then I wouldn't be taking so much time with this explanation.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that there is disagreement among them about the time when it's best to perform a cautery and they suggest waiting until spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery should be done at any time; because the harm caused by time-related accidents is submerged in the healing of what happens with the application of cautery and especially if it's for pain or necessary pains like swelling and pus, which don't tolerate delay due to fears arising from those that cause malice, which outweighs minor harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not worry about this in your minds, children, as these are only considered by the common people and many doctors; what they mean is that for every disease being healed with cautery, it's not appropriate all the time, so they hold onto that conclusion.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason is not this simple when they are concerned about it; cautery is simply in a category of medicine that alters condition and dries out wetness, which causes pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But indeed, unnecessary cautery is superior to medicine due to the value and effectiveness of its operation and the greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it's possible that their illness could return at some point in time, depending on the nature of the disease and its location, as well as its effectiveness, and what is accumulated within their body due to excesses, and what gets delivered to them through eating or other causes related to those. It might not return the same kind of pain if cautery is applied to a subtle illness in a limb with few excesses and wetness, like tooth cautery for pain and similar cases; it's possible that such pain won't return within them, although this happens particularly in small cases.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common language is that cautery is the final remedy of medicine, and it's a professional term, not for me to understand in this context, they believe that burning without medical understanding or other reason does not result in healing.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is against this; and I understand that cautery is the final remedy of medicine only when administering methods of treatment in certain illnesses, and those medicines don't work, therefore towards the end of the case one administers cautery, it brings about improvement to that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here, in a more nuanced view, that cautery is the final remedy of medicine, not according to my understanding which comprehends common folk knowledge and many doctors'.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they didn't say this simply because of the equality of gold and its limited quality compared to the material.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the location for cautery does not cause pain, as this is not absolutely true; already I've tried this and found out that it doesn't cause this way in most patients, but cautery with gold is good and better than iron too like they were saying; however, when you do cautery with fire using gold, it's not something to be declared, for it burns according to the quantity you want by the intensity of the gold, and to receive its fume; and if you place the flame on it, the gold melts from the heat, and in the heat several layers form for the craftsman to work on that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, when doing cautery with iron, one should apply it more gently and more precisely to the right orientation of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cautery according to chapters, having organized those about the use within the feet for you, just as I am asking what you want from them.
De cauteri de dolor de cap per frigiditat e humiditat.	Regarding cautery for headache due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery treatment allows the humidity and coldness to cause a surprising accident of which there are two causes, it is due to excess and fluidity of traumatic flow, called spasm, from the head to the parts of the body and from the ear fluids, as well as restlessness, pain in teeth and stomachache, and universally for all illnesses caused by coldness, whether they be paralytic, excessive or apoplexy, and resembling those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery treatment is as follows, we first advise the patient to be treated with a laxative medicine on their head for three or four nights, depending on what suits the patient and their age and their usual routine.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then instruct them to wash their head with a razor, and then have them place their hands under one of the benches lying down and have their hands placed on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the palm of your hand close to the nostril, in between their cheeks.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when the place you've described has been reached, apply the olive cautery to that area by tracing it with your hand and using this method for cautery:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that [cautery tool] on the heated area by descending it, in such a way that your hand constrains it gradually and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand gently and look at the area; if you see some quantity of bone being exposed from within the head, like the quantity of wax in an ear, then lift your hand; otherwise turn your hand with that iron or another tool of the same kind, should it be due to coldness, so that what I've told you can be seen.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on the area and let it rest for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place the burnt end of the stick in hot water and let it rest until the layer of smoke is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with tetra-formula balm until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it was said that when the wound opens up, so much more do you feel pain relief, for which it is better and more restorative.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that the cautery is performed inside the ear canal, and that the cautery should be kept until a portion of the specificity of the bone is adhered.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then let this part of the bone adhere, and then let it heal.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they said that when the cautery reaches to the bottom, you should begin to exert force within the bone until the bone falls off, and this is how you perform a little surgery:
E estiman de aquel loc expiran la vapors del cap.	And it is expected that from that place, vapor from the head will expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the wound remain open for a long time, and then be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May be that in some cases I do not see these two types of cautery of this kind, but rather in certain individuals due to fear; let it rest, you should know, it's better for health when done; when the head is treated with continuity therapy as we have testified in other body parts, and especially when the head of the patient has a cool nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is better and more effective, you should know this; from that method and by doing that work for health.
Capitol segon.	Second chapter.
Del cauteri del cap.	Regarding the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When throughout the head there occurs chronic and long-lasting pain in the patient, and it's a continuous issue with them, and they use pillows, cushions, cap compressions, plaster applications, bandages, cloths, various remedies, and especially if their head has already been treated by one cautery that relieves them of those causes, then consider this; if the head of the patient is strong in its creation in nature; then it doesn't experience much heat or intensity from the coldness, therefore they should be treated with another cautery using a different method for that cautery to last longer.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply a cautery on that above the forehead, within the cauterization where the cut is made.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Make an incision and expose the quantity of bone that we have measured, then apply a cautery on that with a cautery in the back part behind the head at the spot which is called gout - and this is the spot where suction is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And hold your hand in oil, and do not expose the bone, because the patient will feel a great different pain from the pain of all other head cauterizations due to this.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will tell you this about the cautery in its place, for this cautery is like when you cauterize the corners of the head and the occiput is a more subtle cautery than that which cauterizes the mid area of the head; this is how it should be done.
Capitol ters.	Head done.
De cauterisacio de emigranea no-antiqua.	Regarding the non-traditional cautery for migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the head, or pain spreading to the neck, it should be treated with medicines that cool and reduce the head, and then another treatment is administered; this is what I have described for illnesses of the head. If all these do not help, then the cautery treatment is done in two ways: one with medicinal acute burning cauterization, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Apply medicinal burning cautery as follows: take a dollop of garlic and crush it, then remove the tips from both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And place the tip of the lancet where there is pain on the temple, inside which it makes a hole; then leave the incision, inside which the wound is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And strengthen yourself on it by stopping any downward stretching strain, and let it go through the spaces of three hours; then stretch the garlic and leave it for two or three days, and press your finger under water until the place becomes warm.
E aprop cura aquel am enguent entro que sia sanat.	And after that, treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see this, do so with some burning medicines which I have written about in the detailed treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The cautery using iron is done like this: heat it up to use as a cautery, which is the way:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called the lock-knob, where the head of the patient resembles a thorn in shape with some curvature, and there is a small elevation in the middle of them.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And hold your hand over the area of pain, and keep your fingers - to prevent them from being burned by the iron which you have placed there - and move the small iron piece gently at a slow speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount that gets burned due to the size of the cut is more than half of it, raise your hand so that the artery which you have placed there does not get burned either, so that no blood flow comes out.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then dip your finger in salt water and hold it over the area, leave it for three days; and after that place wet cotton on the wound, and treat it with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you notice this, cauterize at the end of the cuticle as per cautery, and watch out for an incision in the artery in this non-traditional migraine.
Capitol quart.	Head fourth.
De cauterizacio d’emigranea antiqua.	Regarding the traditional treatment of migraines with cautery.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines with the treatment we've discussed previously and in the divisions of illnesses, if this doesn't resolve the issue, due to the illness not being alleviated by what we have described for the first cautery with medicine or the one with fire, then understand that you should heat up the surgical knife's cautery until it becomes white-hot. This signifies pressing your finger at the area of pain along a line which is as long as most of what was discussed before, or where the pain is concentrated; and pause for a moment and press that with strength into the artery while piercing through to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be cautious about the continuation of the mandible which causes difficulty in chewing; ensure that the saliva does not stick and the nerves that affect this do not get burned, also making sure there's no muscle spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it's about the fear of blood flow from the artery that is cut, there's concern especially in those who do not understand what they are doing and are inexperienced; leave the operation as it began with the patient.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will recall the regulation of blood flow in an artery incident according to their method, at their place for this freedom.
