Ayssi comensan las paraulas de Albucasim .	This begins the words of Albucasim.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he would remove them according to his wishes, and he would dress it, and after leaving it for some days as ordered that we should remove the stitches; this is also where the leg swells up along with the foot, and it would lead to disaster.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I have already mentioned this to him and assisted in removing the stitches, thus achieving tranquility and alleviation of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was already confirmed in the limb, so I could not prevent it, and the corruption continued to spread within the body causing danger to the patient.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another doctor who perforated a cancer boil, and it became infected over some days, causing the illness to greatly worsen in him at his lord's expense.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is because the young male is pure of melancholy humor, so it doesn't require treatment with all means, but rather a body part that suffers from being affected by everything.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And that's why, children, it is necessary for you to have the operation on oneself divided into two parts: one associated with health in the operation itself, and another work where danger exists in major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already established this in every place of this book concerning the operation where errors and fears occur; it is necessary for you to keep this and avoid that, so pages do not speak out of turn and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your tools for service and protection of God, and your patients for happiness and strength.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by God's grace to achieve salvation and peaceful succession, and bear with terrible illnesses that are difficult to heal, and keep your tools from what makes you afraid, so that stability in your faith and your name does not abandon you: for more remain to your glory, and even further among men and at last to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia already said in some of his monosyllabic words:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Don't treat bad illnesses with bad doctors, for the fault lies with the doctors themselves."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have completed this book according to three main sections.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and it starts with the first section of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered within the feet, in the forms of the instruments and in the tools of the cautery, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on dryness and puncturing, and of blisters, and of pox, and of the extraction of arrows and to those akin, all chapters ordered and arranged in the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of twists and akin; a chapter ordered within the feet, and in the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and acute medicine, and recall of the operation.
Am aquel comensa le tractat de tot le libre.	In this way begins the treatise on all that is free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you about the quality of those parts of that cautery and its aftermath, and in what condition is it forbidden to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the discourse on the quality of the cautery and its aftermath is long and prolix, subtle in science, and secret concealed; many wise men have spoken at length about this, and they are in disagreement with each other, so my concern is only a small part of their discourses, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And I say that cautery confirms to the whole universal constitution of matter or substance, except for two components, those which are parts of bodily matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the composition of the tail and body there is dry matter which will be dried out; some say that cautery helps with this, while others say the opposite, that cautery is not suitable for maladies characterized by their constitution and dryness, as fire's nature is constitution and dryness, and it would be detrimental for a diseased body to become both heated and dried up.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And that person who says the opposite of this states that with cautery youth is attained in all tail and body maladies which occur in men's bodies, for when you compare a man's body to the composition of fire and his humidity to this comparison, you find that a man's body burns.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say according to the discourse of that person, which I have experimented myself on several occasions and discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not to be doubted that what this person has already expressed in the chapter on cautery and through later exercises, and has come to know about the diversity of human constitution and the disposition of maladies within their bodies, and the causes thereof, as well as the incidents related to them, and the duration of those incidents.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	As for the other compositions, there is no fear about this, especially in wet and cold maladies, which all doctors have agreed upon, and are not divided on youth attained through cautery in such conditions.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing through fire cautery and the benefit thereof lies in medical cautery with medicine; for fire is simple, its action only affects the member being cauterized and does not spread to other parts without some slight harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	And the action of burning medicine reaches that within those members which it has reached, and readily brings about difficulty in healing in diseased parts with severe impairment.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And fire, through its simplicity and the goodness of its substance, does not do anything else but spread. And we have come to know this through experience and from long service in studying the art with regard to the truth about causes; and for that reason I excuse the length of my discourse. If it were not for the fact that certain things related to fire are not freely written about here, and its quality with respect to the operation within bodies and its expulsion through which you expel maladies, a philosophical demonstration would be suitable for your consideration, which would sharpen your understanding.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree about the time when it is suitable to do cautery and prefer the best springtime period.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is suitable at all times, for the harm due to temporary incidents is submerged in the youth that arises from that which comes with cautery, especially if it's done for pain or necessary pains, severe and inflammatory ones, which do not tolerate delay as much as those that might come from malice, which is greater than small harm caused by time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And it does not concern you in your reflections, or children, those who only value what is considered by the common people and some doctors, for that there isn't always justification to use cautery for healing such a malady, and they consider this consequence accordingly.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason is not just that they are concerned about this, for cautery is only like medicine which alters constitution and dries out humidity which causes pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	And yet, unnecessary cautery over medicine due to the value and virtue of its operation and the size of its authority.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that her malady may return at some point in time, according to the constitution of the body and the location of her malady, as well as its virtue, and what has been prepared within her body from the addition of superfluities, and what has reached her through consumption and connections with those causes; unless the malady to which cautery is administered is a subtle malady in limbs with few superfluities and humidity, as in dental cautery for pain and similar things, it's possible that she won't experience that pain again, rather this happens in infants.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	A common medical term is that cautery is the final remedy in medicine, and this term is misleading, not according to what I understand from it, as they believe it is a cure that progresses with medicine or any other cause leading to cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The reason is in opposition to that; and my understanding is that cautery is the final remedy in medicine, not just when administering the methods of treatment for certain illnesses, but those medicines do not resolve themselves, and at the end of the cause, one administers cautery, progressing towards it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here, up to the 16th century, cautery was considered the final remedy in medicine. According to my understanding, this is what the common people and many doctors believe.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients would say that cautery with gold is better than cautery with iron, and they did not say this simply because of the equality of gold and its inferiority in substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they would say that the location for cautery does not cause scarring, as this is not absolutely true; already I have seen this and found out that it only causes this in some parts of the body, with gold cautery being good and better than iron. But however, when you do cautery with fire using gold, this is not explained to you, since it burns according to the quantity you want for the strength of the gold, and what needs to be received for reception; and if you adjust the fire over it, the gold melts due to the heat, and in some parts of the fire, several layers are formed so that the artisan works during its occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, gold cautery should be done more lightly and more precisely according to the principles of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cautery according to sections, and I have ordered those from the first section into the feet, just as you ask for what you want from them.
De cauteri de dolor de cap per frigiditat e humiditat.	Regarding cautery for headaches caused by coldness and humidity.
Le capitol primier.	The first section.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery allows the humidity and coldness to cause an accident in which there are two causes, being the cause of swelling and inflammation of various traumatic fluids, called rushing, from the head to the limbs and ears, and a lot of sleep, and toothache and the throat, and generally of all illnesses that come through coldness, such as paralytic, swollen and apoplectic, similar in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cautery is as follows, which I first command the patient to undergo a diuretic medicine in the head, for three or four nights, according to how you need the effectiveness of the patient and their age and usual practice.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and then make him lie between his hands on a tilted table and have his hands under his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the tip of your palm against the nose on the bridge between their nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, whenever you mentioned the correct location, apply that area with temptation, and then heat the olive cautery of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that over the heated area in temptation, like it descends, in which your hand is gradually forced to adjust, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand slightly and look at the area; if you see already some quantity of the head being exposed like that of sugar syrup, in this case lift your hand. If not turn your hand with that iron, another from that one, when it is cold, so that what I have told you to see is visible inside the mouth.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it over the area, let that sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place on your burnt palm in bandages and let that sit until the burn is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with turpentine ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they would say that when the wound is opened, so much better it heals, for this is better and more rejuvenating.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them would say that the cautery is performed inside the mouth, and the cautery is left until a part of the quality of the bone becomes hardened.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then let this be set like it adheres to the bone, and then allow for its healing.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others would say that the cautery reaches to the end, where it begins inside the bone becoming stronger, and then the bone falls out, this is how small tooth extraction works:
E estiman de aquel loc expiran la vapors del cap.	And consider from that area, the vapors of the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And keep the wound open for a long time, and then allow it to heal until consolidation occurs.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May it not be these two types of cautery that I see everywhere, but in some people according to fear; let that sit, my lord, for health is better than anything else when the head is cleared by the solution of continuity as we have testified elsewhere in their other members, and especially when the patient's head has a naturally cold nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cautery is better and more preserved, my lord; let us proceed from that and do that work for health.
Capitol segon.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors. And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery. Then return the intestine or hernia to its cavity, and place your hand over the area to prevent the intestine from coming out. You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
Del cauteri del cap.	From the head's cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When throughout the entire head there occurs chronic and prolonged pain, and this is extended in the body, using pillows, bedsprings, headrests, plasters, cloths, pillows, and all kinds of cushions, and especially if one has already applied a cautery which no longer aggravates his discomfort from those causes, then consider whether the head of the body is made of strong creation by nature; and if there is not much heat or fume emitted, then that cautery should be replaced with another one; leave this cautery for now but give it a little time.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And apply the cautery to his forehead, within which the pain is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the pain and expose it from the mouth to the amount we have counted; apply a cautery to that with a single cautery behind the head in the place which is called the vessel - and this is the place where suction takes place.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And warm your hand in this way, do not expose the mouth, for the body experiences a different intense pain with this compared to all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will explain this cautery in its place, which concerns that cautery under which the head and the back of the head are more subtle than the one used for cauterizing the middle part of the head; this is how it works.
Capitol ters.	Head treatment.
De cauterisacio de emigranea no-antiqua.	Regarding the new type of migraine cautery.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain is localized in the part of the head or confined within it, it should be relieved with medicines that soothe the head, and then another treatment is administered; this one I have mentioned in those concerning illnesses of the body. And if nothing alleviates it, then the cauterization for it is done in two ways: either with a cauterizing medicine that burns acutely or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	A cauterizing medicine that burns is one where you take a dollop of aloes, soak it and divide the ends of both its heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And apply by cutting into the pain spot on the temple with a needle so that you make a place in it for the pain to be located, inside where it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And apply strength to it stopped by gentle compression, then release it through spaces of three hours; and loosen the aloes and extract it, then let the wound heal for two or three days, and place on its head submerge in water so that the spot becomes moist.
E aprop cura aquel am enguent entro que sia sanat.	And treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see this in some burning medicines which I have written in the treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	A cautery with iron can be done this way: heat for the cautery of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called iron key, which the head of it is like a form of a thistle where there is some curvature, and in the middle part of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand on the pain spot, and wet your hand - so that the metal rod does not stick to it - and turn the small iron slowly, at speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount that sticks due to the thickness of the pain is as much as most of it, lift your hand so that the artery does not stick either, so that there does not come a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And soak your head in salt water and place it on the spot, let it heal for three days; then soak your head in cold water, then treat with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see this, cauterize at the tip of the knife according to cautery, and be careful not to cut into the artery in this new type of migraine.
Capitol quart.	Head fourth treatment.
De cauterizacio d’emigranea antiqua.	Regarding the treatment of old migraines with cautery.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you are treating migraines as we have described in previous treatments and the treatment for illnesses of the head, if this treatment is not effective enough for what we have said about the first cautery with medicine or the cautery with fire, then consider that you should heat the knife cautery until it becomes white-hot, because you apply it on the spot of pain along a line of its length which is the majority of the described action, or if it goes beyond this; and pause your hand for once and strengthen it as you cut into the artery and pierce through to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to avoid continuous chewing of the mandible, which damages your ability to chew, and that the saliva does not stick and the nerves that control this are not burned, and that there be no muscle cramping.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the precaution of blood flow from the artery that is cut, which there is fear during cutting, especially when done by someone who does not know what he is doing and lacks expertise; leave the operation as it started.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will remind you of the protocol for blood flow during an artery accident according to his method, in this place of this manual.
